source_headword	NL	example_NL
fridge	de koelkast	De melk staat in de koelkast.
frog	de kikker	Een kikker sprong in de vijver.
furniture	de meubels	Deze meubels zijn oud maar sterk.
further	verder; meer	We hebben meer informatie nodig.
gallery	de galerie; de galerij	De galerie is vandaag open.
gap	de opening; het gat	Er zit een opening in de muur.
gas	de benzine; het gas	De auto heeft benzine nodig.
gate	de poort	Doe de poort dicht, alstublieft.
general	algemeen	Dit is een algemene regel.
gift	het cadeau	Zij kocht een cadeau.
goal	het doel	Ons doel is eenvoudig.
god	God; de god	Veel mensen bidden tot God.
gold	het goud; gouden	De ring is van goud.
golf	golf	Hij speelt vandaag golf.
government	de regering	De regering veranderde de wet.
grass	het gras	Het gras is nat.
greet	begroeten	Begroet elke gast beleefd.
ground	de grond	Ga op de grond zitten.
guest	de gast	Onze gast kwam vroeg aan.
guide	de gids; de handleiding	De gids liet ons het museum zien.
gun	het vuurwapen	De politie vond een vuurwapen.
guy	de jongen; de kerel	Die kerel is mijn broer.
habit	de gewoonte	Dagelijks lezen is een goede gewoonte.
hall	de hal; de gang	Wacht in de gang.
happily	gelukkig	Ze leefden gelukkig samen.
headache	de hoofdpijn	Ik heb hoofdpijn.
heart	het hart	Haar hart klopt snel.
heat	verwarmen; de warmte	Verwarm de soep langzaam.
heavy	zwaar	Deze tas is zwaar.
height	de hoogte	Meet de hoogte van de tafel.
helpful	behulpzaam; nuttig	Uw advies is erg nuttig.
hero	de held	Hij is mijn held.
hers	van haar	De blauwe jas is van haar.
herself	zichzelf	Zij maakte zelf het avondeten.
hide	verbergen; zich verstoppen	Verberg de sleutel onder de doos.
hill	de heuvel	We beklommen de heuvel.
himself	zichzelf	Hij repareerde het zelf.
hit	slaan; raken	Sla niet tegen de deur.
hockey	hockey	We keken gisteravond hockey.
hold	vasthouden	Houd mijn hand vast.
hole	het gat	Er zit een gat in mijn sok.
huge	enorm	De kamer was enorm.
human	de mens; menselijk	Elke mens heeft water nodig.
hurt	pijn doen; verwonden	Mijn knie doet pijn.
ideal	ideaal	Deze kamer is ideaal om te studeren.
identify	identificeren; herkennen	Kun je deze vogel herkennen?
ill	ziek	Zij voelt zich vandaag ziek.
illness	de ziekte	De ziekte duurde een week.
image	het beeld; de afbeelding	De afbeelding is duidelijk.
immediately	onmiddellijk	Kom onmiddellijk hier.
impossible	onmogelijk	Deze puzzel lijkt onmogelijk.
included	inbegrepen	Het ontbijt is inbegrepen.
including	inclusief; waaronder	Er kwamen tien mensen, waaronder ik.
increase	toenemen; verhogen	De prijzen stijgen in de zomer.
incredible	ongelooflijk; geweldig	Het uitzicht was ongelooflijk.
independent	onafhankelijk	Zijn zus is onafhankelijk.
individual	het individu; individueel	Elk individu heeft een nummer.
industry	de industrie	De lokale industrie groeit.
informal	informeel	Deze e-mail is informeel.
injury	de blessure; het letsel	De blessure is niet ernstig.
insect	het insect	Een insect landde op de beker.
inside	binnen	Wacht binnen in het huis.
instead	in plaats daarvan	Drink in plaats daarvan water.
instruction	de instructie	Lees elke instructie zorgvuldig.
instructor	de instructeur	De instructeur legde de oefening uit.
instrument	het instrument	Zij bespeelt een instrument.
intelligent	intelligent	Zij is een intelligente leerling.
international	internationaal	Dit is een internationale luchthaven.
introduction	de inleiding; de introductie	De inleiding was kort.
invent	uitvinden	Kinderen kunnen een nieuw spel uitvinden.
invention	de uitvinding	De uitvinding bespaart tijd.
invitation	de uitnodiging	Ik kreeg een uitnodiging.
invite	uitnodigen	Nodig je vriend ook uit.
involve	omvatten; met zich meebrengen	Het werk brengt reizen met zich mee.
item	het item; het voorwerp	Kies één item.
itself	zichzelf	De machine schakelde zichzelf uit.
jam	de jam	Smeer jam op het brood.
jazz	jazz	Jazz klinkt vanavond goed.
jewellery	de sieraden	Zij bewaart sieraden in een doos.
joke	de grap	Vertel me een grap.
journalist	de journalist	De journalist stelde een vraag.
jump	springen	Spring over de lijn.
kid	het kind	Het kind lacht.
kill	doden	Dood het insect niet.
king	de koning	De koning woonde in een paleis.
knee	de knie	Mijn knie doet pijn.
knife	het mes	Gebruik een scherp mes.
knock	kloppen	Klop voordat je binnenkomt.
knowledge	de kennis	Kennis groeit door oefening.
lab	het lab; het laboratorium	Het lab is gesloten.
lady	de dame; de vrouw	De dame glimlachte naar ons.
lake	het meer	Het meer is rustig.
lamp	de lamp	Doe de lamp aan.
laptop	de laptop	Mijn laptop is nieuw.
last1 (taking time)	duren	De film duurde twee uur.
laughter	het gelach	We hoorden gelach buiten.
law	de wet	De wet veranderde gisteren.
lawyer	de advocaat	De advocaat belde mij.
lazy	lui	Wees niet lui.
lead1	leiden	Een goede leider leidt door voorbeeld.
leader	de leider	Zij is de leider van het team.
learning	het leren	Leren kost tijd.
least	minst; het minste	Kies de minst dure.
lecture	de lezing; het college	Het college begint om tien uur.
lemon	de citroen	Doe citroen in de thee.
lend	uitlenen	Kun je mij vijf dollar lenen?
less	minder	Eet minder suiker.
level	het niveau	Dit niveau is makkelijk.
lifestyle	de levensstijl	Hij heeft een gezonde levensstijl.
lift	optillen; de lift	Til de doos voorzichtig op.
light	aansteken; aanzetten	Steek de kaars voorzichtig aan.
light (not heavy)	licht	Deze tas is licht.
likely	waarschijnlijk	Het gaat morgen waarschijnlijk regenen.
link	de link	Stuur mij de link.
listener	de luisteraar	Wees een goede luisteraar.
lock	op slot doen; het slot	Doe de deur op slot.
lorry	de vrachtwagen	De vrachtwagen vervoerde dozen.
lost	verdwaald; kwijt	We zijn verdwaald.
loud	luid; hard	De muziek is hard.
loudly	hardop; luid	Spreek alstublieft niet zo hard.
lovely	mooi; heerlijk	Wat een mooie tuin!
low	laag	De stoel is laag.
luck	het geluk	Veel succes met je toets.
lucky	gelukkig; met geluk	Je hebt vandaag geluk.
mail	de post; de brief	Ik kreeg vanmorgen post.
major	belangrijk; groot	Dit is een groot probleem.
male	mannelijk; het mannetje	Het mannetje van de vogel is fel gekleurd.
manage	beheren; aankunnen	Kun je deze taak aan?
manager	de manager	De manager is druk.
manner	de manier; de houding	Spreek op een beleefde manier.
mark	markeren; het cijfer	Markeer je antwoord duidelijk.
marry	trouwen	Zij gaan in juni trouwen.
material	het materiaal	Dit materiaal voelt zacht aan.
mathematics	de wiskunde	Wiskunde is mijn favoriete vak.
maths	de wiskunde	Wiskunde is moeilijk voor mij.
matter	de zaak; ertoe doen	Dat doet er niet toe.
may modal	mogen; kunnen	Je mag nu gaan.
media	de media	De media berichtten over het verhaal.
medical	medisch	Zij heeft medische hulp nodig.
medicine	het medicijn	Neem dit medicijn na de lunch.
memory	het geheugen; de herinnering	Mijn geheugen is goed.
mention	noemen; vermelden	Noem mijn naam niet.
metal	het metaal	De poort is van metaal.
method	de methode	Deze methode werkt goed.
middle	het midden	Ga in het midden staan.
might modal	zou kunnen; misschien	Het kan later regenen.
mind	de geest; de mening	Ik ben van mening veranderd.
mine (belongs to me)	van mij	Dit boek is van mij.
mirror	de spiegel	Kijk in de spiegel.
missing	vermist; ontbrekend	Mijn sleutels zijn kwijt.
mobile	de mobiele telefoon	Mijn mobiele telefoon ligt op tafel.
monkey	de aap	De aap klom in de boom.
moon	de maan	De maan is helder.
mostly	meestal; grotendeels	De klas was grotendeels stil.
motorcycle	de motor	Hij rijdt op een motor.
movement	de beweging	Ik zag beweging in de bomen.
musical	de musical; muzikaal	Dit is een muzikale film.
musician	de muzikant	De muzikant speelde gitaar.
myself	mezelf	Ik heb dit zelf gemaakt.
narrow	smal	De weg is smal.
national	nationaal	Dit is een nationale feestdag.
nature	de natuur	Ik hou van de natuur.
nearly	bijna	We zijn er bijna.
necessary	nodig; noodzakelijk	Is dit nodig?
neck	de nek	Mijn nek doet pijn.
neither	geen van beide	Geen van beide antwoorden is goed.
nervous	zenuwachtig	Zij voelt zich zenuwachtig.
network	het netwerk	Het netwerk is uitgevallen.
noise	het lawaai; het geluid	Ik hoorde een hard geluid.
noisy	lawaaierig	De straat is lawaaiig.
none	geen; niets	Geen van hen kwam.
normal	normaal	Dit is normaal.
normally	normaal gesproken	Ik sta normaal gesproken vroeg op.
notice	opmerken; de mededeling	Heb je het bord opgemerkt?
novel	de roman	Zij schreef een roman.
nowhere	nergens	Er was nergens een plek om te zitten.
nut	de noot	De noot is hard.
ocean	de oceaan	De oceaan is diep.
offer	aanbieden; het aanbod	Ik nam het aanbod aan.
officer	de agent; de officier	De agent controleerde mijn kaartje.
oil	de olie	Doe olie in de pan.
onto	op; naar boven	Zet het op de plank.
opportunity	de kans	Dit is een goede kans.
option	de optie	Kies de beste optie.
ordinary	gewoon	Het was een gewone dag.
organization	de organisatie	De organisatie helpt studenten.
organize	organiseren; ordenen	Orden de bestanden alstublieft.
original	origineel; oorspronkelijk	Bewaar de originele bon.
ourselves	onszelf	We kookten zelf het avondeten.
oven	de oven	De oven is heet.
owner	de eigenaar	De eigenaar opende de winkel.
pack	inpakken; het pak	Pak je tas nu in.
pain	de pijn	Ik voel pijn in mijn rug.
painter	de schilder	De schilder maakte de muur af.
palace	het paleis	Het paleis is oud.
pants	de broek	Deze broek is te lang.
parking	het parkeren; de parkeerplaats	Parkeren is hier moeilijk.
particular	bepaald; specifiek	Ik heb een bepaald boek nodig.
pass	aangeven; passeren	Geef mij het zout aan.
passenger	de passagier	Elke passagier heeft een kaartje nodig.
patient	de patiënt; geduldig	Wees geduldig met kinderen.
pattern	het patroon	Dit patroon is eenvoudig.
peace	de vrede; de rust	We willen allemaal vrede.
penny	de cent; de kleine munt	Ik vond een kleine munt.
per	per; per stuk	Het kaartje kost tien dollar per persoon.
per cent	het procent	Vijf procent is weinig.
perform	optreden; uitvoeren	De band treedt vanavond op.
perhaps	misschien	Misschien is zij thuis.
permission	de toestemming	Vraag eerst toestemming.
personality	de persoonlijkheid	Zij heeft een vriendelijke persoonlijkheid.
pet	het huisdier	Mijn huisdier is een kat.
petrol	de benzine	De auto heeft benzine nodig.
physical	fysiek	Fysieke oefening helpt de gezondheid.
physics	de natuurkunde	Natuurkunde is moeilijk.
pick	kiezen; plukken	Kies één kaart.
pilot	de piloot	De piloot sprak duidelijk.
planet	de planeet	De aarde is een planeet.
plastic	het plastic; plastic	Deze fles is van plastic.
plate	het bord	Leg het eten op het bord.
platform	het perron; het platform	Wacht op perron twee.
pleased	blij; tevreden	Ik ben blij je te ontmoeten.
pocket	de zak	Het kaartje zit in mijn zak.
polite	beleefd	Wees beleefd tegen iedereen.
pollution	de vervuiling	Vervuiling schaadt de oceaan.
pop	pop; popmuziek	Ik hou van popmuziek.
population	de bevolking	De bevolking groeit.
position	de positie	Verander je positie.
possession	het bezit	Deze ring is mijn bezit.
possibility	de mogelijkheid	Er is een mogelijkheid op regen.
poster	de poster	Plak de poster op de muur.
power	de stroom; de kracht	De computer heeft stroom nodig.
predict	voorspellen	We kunnen het weer niet voorspellen.
president	de president	De president hield een toespraak.
prevent	voorkomen	Was je handen om ziekte te voorkomen.
print	afdrukken	Druk het document af.
printer	de printer	De printer is kapot.
prison	de gevangenis	Hij ging naar de gevangenis.
prize	de prijs	Zij won de prijs.
process	het proces	Het proces kost tijd.
produce	produceren; maken	Boerderijen produceren voedsel.
professional	professioneel; de professional	Zij is een professionele danseres.
professor	de professor	De professor beantwoordde de vraag.
profile	het profiel	Werk je profiel bij.
program	het programma	Het programma begint nu.
progress	de vooruitgang	We hebben vandaag vooruitgang geboekt.
promise	beloven; de belofte	Houd je belofte.
pronounce	uitspreken	Spreek dit woord alstublieft uit.
protect	beschermen	Bescherm je ogen.
provide	voorzien; aanbieden	Zij bieden gratis water aan.
pub	de pub; de kroeg	We ontmoetten elkaar in de kroeg.
public	publiek; openbaar	Het park is openbaar.
publish	publiceren	Zij publiceren een tijdschrift.
pull	trekken	Trek aan die deur.
purpose	het doel	Wat is het doel?
push	duwen; indrukken	Druk op de knop.
quality	de kwaliteit	De kwaliteit is hoog.
quantity	de hoeveelheid	Controleer de hoeveelheid.
queen	de koningin	De koningin zwaaide.
quietly	zachtjes; stilletjes	Spreek zachtjes.
race (competition)	de race; de wedstrijd	De race begint binnenkort.
railway	de spoorlijn	De spoorlijn is gesloten.
raise	optillen; verhogen	Steek je hand op.
rate	het tarief; het niveau	Het hoteltarief is hoog.
rather	nogal; liever	Ik ben nogal moe.
reach	bereiken; reiken	Kun je bij de plank?
react	reageren	Hoe reageerde zij?
realize	beseffen	Ik besefte mijn fout.
receive	ontvangen	Heb je mijn bericht ontvangen?
recent	recent; onlangs	Dit is een recente foto.
recently	onlangs	Ik ben onlangs hierheen verhuisd.
reception	de receptie; de ontvangst	De receptie is op maandag.
recipe	het recept	Dit recept is makkelijk.
recognize	herkennen	Ik herken dat lied.
recommend	aanbevelen	Ik beveel dit boek aan.
record	het verslag; opnemen	Bewaar een verslag van de betaling.
recording	de opname	De opname klinkt duidelijk.
recycle	recyclen	Recycle papier en plastic.
reduce	verminderen	Verlaag de hitte.
refer	verwijzen	Verwijs naar pagina twee.
refuse1	weigeren	Ik weiger te liegen.
region	de regio	Deze regio is koud.
regular	regelmatig; vaste	Zij is een vaste klant.
relationship	de relatie	Hun relatie is sterk.
remove	verwijderen; uittrekken	Trek je schoenen uit.
repair	repareren	Repareer de fiets vandaag.
replace	vervangen	Vervang de oude batterij.
reply	antwoorden	Antwoord alstublieft snel.
reporter	de verslaggever	De verslaggever maakte aantekeningen.
request	het verzoek	Ik deed een verzoek.
research	het onderzoek; onderzoeken	We onderzoeken de lokale geschiedenis.
researcher	de onderzoeker	De onderzoeker controleerde de gegevens.
respond	reageren; antwoorden	Reageer vandaag alstublieft.
response	het antwoord; de reactie	Het antwoord was snel.
rest (remaining part)	de rest	Eet de rest later.
rest (sleep/relax)	de rust; rusten	Je hebt rust nodig.
review	beoordelen; de recensie	Bekijk je aantekeningen vanavond.
ring1	de ring	Zij draagt een gouden ring.
ring2	bellen; rinkelen	Bel me na de lunch.
rise	stijgen; de stijging	De prijzen stijgen elk jaar.
rock (stone)	de steen	De steen is zwaar.
