simplified	LO	example_LO
挨	ອົດທົນຜ່ານ	ລາວອົດທົນຜ່ານທັງຄືນ ຈົນຮອດເຊົ້າ.
癌症	ມະເຮັງ	ການພົບມະເຮັງແຕ່ເຊົ້າສຳຄັນຫຼາຍ.
暧昧	ກຳກວມ	ຄຳຕອບຂອງລາວກຳກວມຫຼາຍ.
爱不释手	ຮັກຈົນວາງບໍ່ລົງ	ນາງຮັກປຶ້ມເຫຼັ້ມນີ້ຈົນວາງບໍ່ລົງ.
爱戴	ຮັກແລະນັບຖື	ຄູຄົນນີ້ໄດ້ຮັບການຮັກແລະນັບຖືຈາກນັກຮຽນ.
安宁	ສະຫງົບ	ກາງຄືນຢູ່ທີ່ນີ້ສະຫງົບຫຼາຍ.
安详	ສະຫງົບອ່ອນໂຍນ	ສີໜ້າຂອງຜູ້ເຖົ້າສະຫງົບອ່ອນໂຍນຫຼາຍ.
安置	ຈັດຫາທີ່ຢູ່	ລັດຖະບານໄດ້ຈັດຫາທີ່ຢູ່ໃຫ້ຜູ້ປະສົບໄພ.
按摩	ນວດ	ຂ້ອຍໄດ້ຈອງການນວດໄວ້ແລ້ວ.
暗示	ບອກໃບ້	ນາງບອກໃບ້ຂ້ອຍວ່າຢ່າຖາມອີກ.
案件	ຄະດີ	ຕຳຫຼວດກຳລັງສືບສວນຄະດີນີ້.
案例	ຕົວຢ່າງຄະດີ	ຕົວຢ່າງຄະດີນີ້ມີລັກສະນະແທນໄດ້ດີ.
昂贵	ແພງຫຼາຍ	ອຸປະກອນເຄື່ອງນີ້ແພງຫຼາຍ.
凹凸	ຂຸຂະ	ຜິວຖະໜົນສາຍນີ້ຂຸຂະບໍ່ຮາບພຽງ.
熬	ອົດທົນຝືນ	ລາວອົດທົນຝືນສາມມື້ຈຶ່ງເຮັດລາຍງານສຳເລັດ.
奥秘	ຄວາມລັບລຶກ	ນັກວິທະຍາສາດຢາກເປີດເຜີຍຄວາມລັບລຶກນີ້.
巴不得	ຢາກຫຼາຍ	ຂ້ອຍຢາກອອກເດີນທາງທັນທີຫຼາຍ.
