source_headword	ET	example_ET
prey	saakloom	Öökullid jahivad saakloomi öösiti.
privatization	erastamine	Erastamine muutis raudteesüsteemi.
privilege	privileeg	Haridus ei tohiks olla privileeg.
probe	uurimine	Uurimine paljastas tõsiseid vigu.
problematic	problemaatiline	Leping on endiselt problemaatiline.
proceedings	kohtumenetlus	Kohtumenetlus algas esmaspäeval.
proceeds	tulu	Tulu toetab kohalikke koole.
processing	töötlemine	Piltide töötlemine võtab aega.
processor	protsessor	Protsessor tõrkus testimise käigus.
proclaim	kuulutama	Juhid kuulutavad võitu liiga vara.
productive	produktiivne	Koosolek oli produktiivne.
productivity	tootlikkus	Tootlikkus paranes pärast koolitust.
profitable	kasumlik	Pood muutus sel aastal kasumlikuks.
profound	sügav	Kõnel oli sügav mõju.
projection	prognoos	Prognoos näitab stabiilset kasvu.
prominent	silmapaistev	Temast sai silmapaistev teadlane.
pronounced	tugev	Tema aktsent muutus tugevamaks.
propaganda	propaganda	Kampaania kasutas internetis propagandat.
proposition	ettepanek	See ettepanek on riskantne samm.
prosecute	kohtu alla andma	Ametnikud annavad tõsised kelmusejuhtumid kohtu alla.
prosecution	süüdistus	Süüdistus esitas uusi tõendeid.
prosecutor	prokurör	Prokurör küsitles tunnistajat.
prospective	tulevane	Tulevased tudengid tutvusid linnakuga.
prosperity	heaolu	Kaubandus tõi piirkonda heaolu.
protective	kaitsev	Ta kandis kaitsekindaid.
protocol	protokoll	Protokoll nõuab kirjalikku heakskiitu.
province	provints	Provints investeeris transporti.
provincial	provintsi	Provintsiametnikud kuulutasid plaani välja.
provision	säte	Leping sisaldab ohutussätet.
provoke	provotseerima	Kõne võib provotseerida tugevaid reaktsioone.
psychiatric	psühhiaatriline	Haigla avas psühhiaatriaosakonna.
pulse	pulss	Õde kontrollis tema pulssi.
pump	pump	Pump viib vee üles.
punch	löök	Ta andis vihasena rusikahoobi.
query	päring	Saada oma päring klienditoele.
quest	otsing	Nende õigluse otsingud jätkusid.
quota	kvoot	Meeskond täitis oma müügikvoodi.
radar	radar	Torm ilmus radarile.
radical	radikaalne	Rühmitus pakkus välja radikaalseid reforme.
rage	raev	Tema raev rauges kiiresti.
raid	haarang	Politsei korraldas koidikul haarangu.
rally	meeleavaldus	Toetajad liitusid kesklinnas meeleavaldusega.
ranking	edetabelikoht	Ülikool parandas oma edetabelikohta.
rape	vägistamine	Vägistamisjuhtumid nõuavad hoolikat uurimist.
ratio	suhtarv	Klassis on madal õpetajate suhtarv.
rational	ratsionaalne	Tema otsus oli ratsionaalne.
ray	kiir	Sisse paistis päikesekiir.
readily	meelsasti	Ta võttis pakkumise meelsasti vastu.
realization	taipamine	See taipamine muutis tema plaane.
realm	valdkond	See küsimus kuulub teise valdkonda.
rear	tagumine	Kasutage täna tagumist sissepääsu.
reasoning	arutluskäik	Tema arutluskäik oli selge.
reassure	rahustama	Arst püüdis teda rahustada.
rebel	mässaja	Mässajate juht pääses vahistamisest.
rebellion	mäss	Mäss lõppes pärast läbirääkimisi.
recipient	saaja	Saaja allkirjastas vormi.
reconstruction	taastamine	Taastamine algas pärast üleujutust.
recount1	ümber jutustama	Ta oskab sündmusi selgelt ümber jutustada.
referendum	rahvahääletus	Rahvahääletus lõhestas riiki.
reflection	mõtisklus	Essee vajas sügavamat mõtisklust.
reform	reform	Reform parandas avalikke teenuseid.
refuge	varjupaik	Perekond otsis välismaalt varjupaika.
refusal	keeldumine	Tema keeldumine üllatas komiteed.
regain	tagasi võitma	Ta tegi kõvasti tööd, et usaldust tagasi võita.
regardless	hoolimata sellest	Nad jätkasid hoolimata kriitikast.
regime	režiim	Režiim piiras sõnavabadust.
regulator	regulaator	Regulaator trahvis ettevõtet.
regulatory	regulatiivne	Regulatiivne heakskiit võttis kuid.
rehabilitation	taastusravi	Taastusravi aitas tal uuesti kõndida.
reign	valitsemisaeg	Kuninga valitsemisaeg kestis aastakümneid.
rejection	tagasilükkamine	Tagasilükkamine riivas tema enesekindlust.
relevance	asjakohasus	Andmete asjakohasus on piiratud.
reliability	töökindlus	Hädaabisüsteemides on töökindlus oluline.
reluctant	vastumeelne	Ta oli rääkimise suhtes tõrges.
remainder	ülejääk	Ülejääk läks heategevuseks.
remains	säilmed	Säilmeid uuriti hoolikalt.
remedy	õiguskaitsevahend	Seadus näeb ette õiguskaitsevahendi.
reminder	meeldetuletus	E-kiri oli kasulik meeldetuletus.
removal	eemaldamine	Tõkete eemaldamine aitas kaubandusele kaasa.
render	muutma	Viga muutis lepingu kehtetuks.
renew	uuendama	Uuenda oma pass varsti.
renowned	tunnustatud	Ta on oma teadustöö poolest tunnustatud.
rental	rent	Rent sisaldab kindlustust.
replacement	asendus	Asendusosa saabus täna.
reportedly	väidetavalt	Minister astus väidetavalt eile tagasi.
representation	esindatus	Õiglane esindatus on endiselt oluline.
reproduce	paljunema	Need taimed paljunevad kiiresti.
reproduction	reproduktsioon	Digitaalne reprodutseerimine parandas juurdepääsu.
republic	vabariik	Vabariigis toimusid valimised.
resemble	sarnanema	Kaks disaini sarnanevad teineteisega väga.
reside	elama	Nad elavad piiri lähedal.
residence	residents	Tema ametlikku residentsi valvatakse.
residential	elamu-	See piirkond on peamiselt elamurajoon.
residue	jääk	Puhastusvahend jättis kleepuva jäägi.
