source_headword	VI	example_VI
fridge	tủ lạnh	Sữa ở trong tủ lạnh.
frog	con ếch	Một con ếch nhảy xuống ao.
furniture	đồ nội thất	Đồ nội thất này cũ nhưng chắc.
further	thêm; xa hơn	Chúng tôi cần thêm thông tin.
gallery	phòng trưng bày	Phòng trưng bày mở cửa hôm nay.
gap	khoảng trống; khoảng cách	Có một khoảng trống trên tường.
gas	xăng; khí ga	Chiếc xe cần xăng.
gate	cổng	Hãy đóng cổng lại.
general	chung; tổng quát	Đây là một quy tắc chung.
gift	món quà	Cô ấy đã mua một món quà.
goal	mục tiêu	Mục tiêu của chúng tôi rất đơn giản.
god	Thượng đế; thần	Nhiều người cầu nguyện với Thượng đế.
gold	vàng	Chiếc nhẫn bằng vàng.
golf	gôn	Anh ấy chơi gôn hôm nay.
government	chính phủ	Chính phủ đã thay đổi luật.
grass	cỏ	Cỏ còn ướt.
greet	chào; đón tiếp	Hãy chào từng khách một cách lịch sự.
ground	mặt đất	Hãy ngồi trên mặt đất.
guest	khách	Khách của chúng tôi đến sớm.
guide	hướng dẫn viên; hướng dẫn	Hướng dẫn viên chỉ cho chúng tôi bảo tàng.
gun	súng	Cảnh sát tìm thấy một khẩu súng.
guy	anh chàng; người đàn ông	Anh chàng đó là anh trai tôi.
habit	thói quen	Đọc hằng ngày là một thói quen tốt.
hall	hành lang; hội trường	Hãy đợi ở hành lang.
happily	một cách hạnh phúc	Họ sống hạnh phúc bên nhau.
headache	đau đầu	Tôi bị đau đầu.
heart	trái tim	Tim cô ấy đập nhanh.
heat	nhiệt; làm nóng	Hãy hâm nóng súp từ từ.
heavy	nặng	Cái túi này nặng.
height	chiều cao	Hãy đo chiều cao của cái bàn.
helpful	hữu ích	Lời khuyên của bạn rất hữu ích.
hero	anh hùng	Anh ấy là anh hùng của tôi.
hers	của cô ấy	Chiếc áo khoác màu xanh là của cô ấy.
herself	chính cô ấy	Cô ấy tự nấu bữa tối.
hide	giấu; trốn	Hãy giấu chìa khóa dưới hộp.
hill	ngọn đồi	Chúng tôi leo lên ngọn đồi.
himself	chính anh ấy	Anh ấy tự sửa nó.
hit	đánh; va vào	Đừng đánh vào cánh cửa.
hockey	khúc côn cầu	Chúng tôi xem khúc côn cầu tối qua.
hold	cầm; giữ	Hãy nắm tay tôi.
hole	cái lỗ	Có một cái lỗ trong tất của tôi.
huge	rất lớn	Căn phòng rất lớn.
human	con người; thuộc về con người	Mỗi con người đều cần nước.
hurt	đau; làm đau	Đầu gối của tôi bị đau.
ideal	lý tưởng	Căn phòng này lý tưởng để học.
identify	nhận dạng; xác định	Bạn có thể nhận dạng con chim này không?
ill	ốm; bệnh	Cô ấy cảm thấy ốm hôm nay.
illness	bệnh tật	Căn bệnh kéo dài một tuần.
image	hình ảnh	Hình ảnh này rất rõ.
immediately	ngay lập tức	Hãy đến đây ngay lập tức.
