source_headword	TL	example_TL
institute	instituto	Nagbukas ang instituto ng bagong programa sa pananaliksik.
institution	institusyon	Binago ng institusyon ang mga patakaran nito sa pagpasok.
insurance	seguro	Sinakop ng kanyang seguro ang mga gastos sa ospital.
intended	nilalayong	Naabot ng mensahe ang nilalayong madla nito.
intense	matindi	Mabilis na naging matindi ang debate.
internal	panloob	Nagsimula ang kumpanya ng panloob na pagsusuri.
interpret	ipaliwanag	Mangyaring ipaliwanag nang mabuti ang mga resulta.
interrupt	abalahin	Huwag abalahin ang nagsasalita ngayon.
investigation	imbestigasyon	Ibinunyag ng imbestigasyon ang mga seryosong pagkakamali.
investment	pamumuhunan	Lumikha ang pamumuhunan ng maraming lokal na trabaho.
joy	kagalakan	Ang kanilang tagumpay ay nagdulot ng malaking kagalakan.
judgement	paghatol	Bumuti ang kanyang paghatol sa karanasan.
junior	baguhan	Sumali siya sa koponan bilang isang junior na analyst.
justice	hustisya	Humingi ng hustisya ang pamilya pagkatapos ng paglilitis.
justify	bigyang-katwiran	Dapat mong bigyang-katwiran ang desisyong iyon nang malinaw.
labour	paggawa	Ang proyekto ay nangangailangan ng sanay na manggagawa.
landscape	tanawin	Nagbago ang tanawin pagkatapos ng bagyo.
largely	higit sa lahat	Ang plano ay naging matagumpay sa malaking bahagi.
launch	ilunsad	Ilulunsad nila ang produkto bukas.
leadership	pamumuno	Nakatulong ang malakas na pamumuno upang makabawi ang koponan.
league	liga	Sumali ang aming club sa isang rehiyonal na liga.
lean	sumandal	Huwag sumandal sa basang dingding.
licence	lisensya	Mag-e-expire ang lisensya sa susunod na buwan.
limited	limitado	Mayroon tayong limitadong oras ngayon.
lively	masigla	Naging masigla ang pulong pagkatapos ng tanghalian.
load	kargada	May dalang mabigat na kargada ang trak.
loan	pautang	Inaprubahan ng bangko ang pautang.
logical	lohikal	Malinaw at lohikal ang kanyang argumento.
long-term	pangmatagalan	Ito ay isang pangmatagalang solusyon.
loose	maluwag	Maluwag ang pakiramdam ng hawakan.
lord	panginoon	Nagmamay-ari ang panginoon ng ilang mga nayon.
lower	ibaba	Ibinababa nila ang presyo kapag taglamig.
lung	baga	Maaaring sirain ng paninigarilyo ang baga.
maintain	panatilihin	Pinapanatili namin ang regular na komunikasyon.
majority	karamihan	Sinuportahan ng karamihan ang panukala.
mass	kumpol	Tinakpan ng kumpol ng mga ulap ang kalangitan.
massive	malawakan	Nagdulot ang lindol ng malawakang pinsala.
master	dalubhasa	Naging dalubhasa siya sa negosasyon.
matching	magkatugma	Nagsuot siya ng magkatugmang sapatos at sinturon.
maximum	pinakamataas	Naabot ng silid ang pinakamataas na kapasidad nito.
means	paraan	Email ang aming pangunahing paraan ng komunikasyon.
measurement	sukat	Medyo mali ang sukat.
melt	matunaw	Matutunaw ang niyebe bago maghapon.
military	militar	Nagsara ang base militar noong nakaraang taon.
mineral	mineral	Isang mahalagang mineral ang bakal.
minimum	pinakamababa	Labing-walo ang pinakamababang edad.
minister	ministro	Sinagot ng ministro ang mahihirap na tanong.
minor	maliit	Nagdulot ng maliit na pinsala ang aksidente.
minority	minorya	Tinutulan ng isang minorya ang bagong panuntunan.
mission	misyon	Ligtas na nagtapos ang kanilang misyon.
mixed	halo	Ang balita ay nakatanggap ng halong reaksyon.
modify	baguhin	Maaari nating baguhin ang disenyo mamaya.
