simplified	HY	example_HY
挨	դիմանալ; տանել; հաղթահարել	Նա ամբողջ գիշեր դիմացավ և վերջապես սպասեց լուսաբացին։
癌症	քաղցկեղ	Քաղցկեղը վաղ հայտնաբերելը շատ կարևոր է։
暧昧	անորոշ; երկիմաստ	Նրա պատասխանը շատ երկիմաստ էր։
爱不释手	այնքան սիրել, որ չուզենաս բաց թողնել	Նա այդ գիրքն այնքան էր սիրում, որ չէր ուզում ձեռքից բաց թողնել։
爱戴	սիրել ու հարգել	Այս ուսուցչին աշակերտները շատ են սիրում ու հարգում։
安宁	խաղաղ; հանգիստ	Այստեղի գիշերները շատ խաղաղ են։
安详	խաղաղաշունչ; հանգիստ	Ծեր մարդու դեմքի արտահայտությունը շատ խաղաղաշունչ էր։
安置	տեղավորել; բնակեցնել	Կառավարությունը տեղավորեց աղետից տուժած մարդկանց։
按摩	մերսում; մերսել	Ես մերսման ժամ եմ ամրագրել։
暗示	ակնարկել; հուշել; ակնարկ	Նա ակնարկեց, որ այլևս չհարցնեմ։
案件	դատական գործ; գործ	Ոստիկանությունը հետաքննում է այս գործը։
案例	դեպք; օրինակ	Այս դեպքը շատ ներկայացուցչական է։
昂贵	թանկ; բարձրարժեք	Այս սարքավորումը շատ թանկ է։
凹凸	անհարթ; ելուստավոր	Այս ճանապարհի մակերեսը անհարթ է։
熬	երկար եփել; դիմանալ; տանջվել	Նա երեք օր դիմացավ և հետո ավարտեց զեկույցը։
奥秘	խոր գաղտնիք; առեղծված	Գիտնականը ցանկանում է բացահայտել այս առեղծվածը։
巴不得	անհամբեր ցանկանալ; շատ ուզել	Ես անհամբեր ուզում եմ անմիջապես ճանապարհ ընկնել։
巴结	քծնել; հաճոյանալ	Նա չի ուզում հաճոյանալ ղեկավարներին։
扒	կառչել; փորել; քաշել	Երեխան կառչել էր դռնից և դուրս էր նայում։
疤	սպի	Նրա թևի վրա մի սպի կա։
拔苗助长	շտապելով գործը փչացնել	Երեխային այսպես ստիպելը միայն շտապելով գործը փչացնել է։
把关	վերահսկել; ստուգել	Այս պայմանագիրը պետք է իրավաբանը ստուգի։
把手	բռնակ	Դռան բռնակը կոտրվել է։
罢工	գործադուլ; գործադուլ անել	Աշխատողները որոշեցին վաղը գործադուլ անել։
霸道	բռնակալական; իշխողամիտ; կոպիտ	Նա շատ իշխողամիտ ձևով է խոսում։
掰	երկու ձեռքով կոտրել; պոկել	Նա հացը երկու մասի կոտրեց։
摆脱	ազատվել; ձերբազատվել	Նա վերջապես ազատվեց վատ սովորությունից։
拜访	այցելել; այցի գնալ	Մենք հանգստյան օրերին կայցելենք ուսուցչին։
拜年	ամանորյա շնորհավորական այց անել	Գարնան տոնին մենք այցելում ենք պապիկին ու տատիկին շնորհավորելու համար։
拜托	խնդրել; վստահել գործը	Այս գործը քեզ եմ վստահում։
败坏	փչացնել; վնասել; ապականել	Այսպիսի վարքը կվնասի ընկերության հեղինակությանը։
斑	բիծ; գունավոր հետք; շերտ	Կատվի վրա մի սև բիծ կա։
颁布	հրապարակել; ուժի մեջ մտցնել	Նոր կանոնները կհրապարակվեն հաջորդ շաբաթ։
颁发	շնորհել; հանձնել; արձակել	Դպրոցը պատվոգրեր հանձնեց գերազանց աշակերտներին։
版本	տարբերակ; հրատարակություն	Այս ծրագրի նոր տարբերակ կա։
伴侣	զուգընկեր; ուղեկից	Նա շանը համարում է իր ուղեկիցը։
伴随	ուղեկցել; միասին առաջանալ	Հաջողությանը հաճախ ուղեկցում է ճնշումը։
半途而废	կիսատ թողնել; կես ճանապարհին հրաժարվել	Հետազոտությունը չի կարելի կիսատ թողնել։
扮演	դեր խաղալ; մարմնավորել	Նա ֆիլմում բժիշկ է մարմնավորում։
榜样	օրինակ; օրինակելի կերպար	Ծնողները երեխաների համար օրինակ են։
绑架	առևանգել; պատանդ վերցնել	Ոստիկանությունը կանխեց առևանգման դեպքը։
磅	ֆունտ; հարթակային կշեռք	Այս արկղը քսան ֆունտ է կշռում։
包庇	թաքցնել; հովանավորել; պաշտպանել մեղավորին	Ոչ ոք իրավունք չունի հովանավորել հանցանքը։
包袱	կապոց; բեռ; հոգս	Նա բեռը վայր դրեց և իրեն շատ ավելի թեթև զգաց։
包围	շրջապատել; օղակել	Լրագրողները շրջապատեցին դերասանին։
