simplified	ID	example_ID
啊	partikel modal untuk persetujuan atau penegasan	Baik, ayo kita pergi sekarang.
阿姨	bibi; pengasuh anak; wanita yang lebih tua	Bibi bekerja di pasar swalayan.
矮	pendek; rendah	Meja ini agak rendah.
爱好	hobi; minat	Hobi saya mendengarkan musik.
安静	tenang; sunyi	Di perpustakaan sangat tenang.
把	memegang; menggenggam; partikel objek	Tolong tutup pintunya.
搬	pindah; memindahkan	Kami pindah rumah besok.
班	kelas; kelompok	Di kelas kami ada dua puluh siswa.
办法	cara; metode; solusi	Cara ini sangat baik.
办公室	kantor	Manajer ada di kantor.
半	setengah; separuh	Saya menunggu setengah jam.
帮忙	membantu; memberi bantuan	Bisakah kamu membantu?
包	tas; membungkus; menutupi	Dia membeli tas baru.
饱	kenyang	Saya sudah kenyang.
北方	utara; bagian utara	Musim dingin di utara sangat dingin.
被	partikel pasif; oleh	Sepeda saya dipinjam oleh seorang teman.
鼻子	hidung	Hidungnya agak merah.
比较	membandingkan; agak	Hari ini agak panas.
比赛	pertandingan; kompetisi	Pertandingan ini sangat penting.
笔记本	buku catatan	Saya meletakkan buku catatan di atas meja.
必须	harus; wajib	Kamu harus mengulang pelajaran dengan sungguh-sungguh.
变化	perubahan; berubah	Kota ini banyak berubah.
别人	orang lain	Jangan mengambil barang orang lain.
冰箱	kulkas	Buahnya ada di kulkas.
不但…而且…	tidak hanya... tetapi juga...	Dia tidak hanya pintar, tetapi juga rajin.
菜单	daftar hidangan	Tolong beri saya daftar hidangan.
参加	ikut serta; menghadiri	Saya ingin menghadiri rapat ini.
草	rumput	Anak anjing itu berlari di rumput.
层	lantai; lapisan	Gedung ini memiliki tiga lantai.
差	buruk; berbeda; kurang	Cuaca hari ini buruk.
超市	pasar swalayan	Saya pergi ke pasar swalayan untuk membeli roti.
衬衫	kemeja; blus	Kemeja ini sangat bersih.
城市	kota	Beijing adalah kota besar.
成绩	nilai; hasil	Nilai matematikanya sangat bagus.
迟到	terlambat	Jangan terlambat masuk kelas.
除了	selain; di samping	Selain kopi, saya juga ingin teh.
船	perahu; kapal	Kami pergi ke kota itu dengan kapal.
春	musim semi	Pada musim semi ada banyak bunga.
词典	kamus	Kamus ini sangat berguna.
聪明	pintar; cerdas	Anak ini sangat pintar.
打扫	membersihkan; menyapu	Saya membersihkan kamar pada akhir pekan.
打算	berencana; berniat	Apa rencanamu untuk besok?
带	membawa	Tolong bawa paspormu.
担心	khawatir; cemas	Jangan khawatir, saya akan membantumu.
蛋糕	kue	Kue ini sangat manis.
当然	tentu saja; pasti	Tentu saja kamu bisa.
地	partikel adverbial; dengan	Dia tersenyum dengan gembira.
灯	lampu	Tolong nyalakan lampunya.
地方	tempat; daerah	Tempat ini sangat tenang.
地铁	kereta bawah tanah; metro	Saya naik kereta bawah tanah ke kantor setiap hari.
地图	peta	Saya mencari sekolah di peta.
电梯	lift	Liftnya ada di sebelah kiri.
电子邮件	email	Saya mengirim email kepada guru.
东	timur	Matahari terbit dari timur.
冬	musim dingin	Pada musim dingin saya suka minum teh panas.
动物	hewan	Panda adalah hewan terkenal di Tiongkok.
短	pendek; singkat	Celana ini terlalu pendek.
段	paragraf; bagian	Tolong baca paragraf ini.
锻炼	berolahraga; melatih diri	Saya berolahraga setiap pagi.
多么	betapa; alangkah	Betapa baiknya lingkungan di sini!
饿	lapar	Saya lapar dan ingin makan roti.
耳朵	telinga	Telinga saya agak sakit.
发	mengirim; menerbitkan	Saya mengirim email pada malam hari.
发烧	demam	Dia demam dan tidak bisa pergi ke sekolah.
发现	menemukan; menyadari	Saya menemukan bahwa cara ini baik.
方便	nyaman; praktis	Naik kereta bawah tanah itu praktis.
放	meletakkan; menaruh; melepaskan	Tolong letakkan buku itu di atas meja.
放心	tenang; tidak khawatir	Jangan khawatir, saya akan tiba tepat waktu.
分	membagi; memisahkan	Tolong bagikan kue ini kepada semua orang.
复习	mengulang pelajaran; meninjau	Saya perlu mengulang pelajaran sebelum ujian.
附近	dekat sini; sekitar	Di dekat sini ada restoran.
干净	bersih; rapi	Kamar ini sangat bersih.
感冒	masuk angin; pilek	Saya pilek dan ingin beristirahat.
感兴趣	tertarik	Saya sangat tertarik pada bahasa Mandarin.
刚才	barusan; tadi	Siapa yang meneleponmu tadi?
个子	tinggi badan; perawakan	Dia berbadan tinggi.
根据	menurut; berdasarkan	Menurut peta, sekolah ada di sebelah timur.
跟	dengan; mengikuti	Saya pergi ke taman dengan seorang teman.
更	lebih; semakin	Hari ini lebih dingin daripada kemarin.
公斤	kilogram	Apel ini beratnya satu kilogram.
公园	taman umum	Anak-anak sedang bermain di taman.
故事	cerita	Kakek menceritakan sebuah cerita kepada saya.
刮风	berangin	Hari ini berangin; jangan naik sepeda.
关	menutup; mematikan	Tolong tutup pintunya.
关系	hubungan	Hubungan saya dengan rekan kerja baik.
关心	peduli; memperhatikan	Ibu sangat memperhatikan kesehatan saya.
关于	tentang; mengenai	Buku ini tentang budaya Tiongkok.
国家	negara	Tiongkok adalah negara yang sangat besar.
过	partikel pengalaman; pernah	Saya pernah ke Beijing.
过去	masa lalu; dahulu	Dulu di sini tidak ada kereta bawah tanah.
还是	atau; masih	Kamu minum teh atau kopi?
害怕	takut	Saya tidak takut pada ujian.
黑板	papan tulis	Guru menulis karakter di papan tulis.
后来	kemudian; setelah itu	Kemudian kami pergi ke taman.
护照	paspor	Tolong bawa paspormu.
96:花	menghabiskan; berharga	Membeli ponsel itu menghabiskan dua ribu yuan.
97:花	bunga	Di atas meja ada bunga.
画	menggambar; gambar; lukisan	Adik perempuan saya suka menggambar panda.
坏	rusak; buruk	Komputer saya rusak.
欢迎	menyambut; selamat datang	Selamat datang di rumah saya.
环境	lingkungan	Lingkungan sekolah ini sangat baik.
还	mengembalikan	Tolong kembalikan buku saya besok.
换	mengganti; menukar	Saya ingin menukar kemeja.
黄河	Sungai Kuning	Sungai Kuning sangat panjang.
回答	menjawab; jawaban	Tolong jawab pertanyaan saya.
会议	rapat; konferensi	Rapat dimulai pukul sembilan.
或者	atau; mungkin	Kamu bisa naik kereta bawah tanah atau bus.
几乎	hampir	Dia berolahraga hampir setiap hari.
机会	kesempatan; peluang	Ini kesempatan yang baik.
极	sangat; amat	Dia sangat senang.
季节	musim	Musim gugur adalah musim favorit saya.
记得	ingat	Apakah kamu ingat membawa kartu kredit?
检查	memeriksa	Dokter memeriksa saya.
简单	sederhana; mudah	Kalimat ini sangat sederhana.
健康	kesehatan; sehat	Olahraga baik untuk kesehatan.
