source_headword	IT	example_IT
fridge	il frigorifero	Il latte è nel frigorifero.
frog	la rana	Una rana è saltata nello stagno.
furniture	i mobili	Questi mobili sono vecchi ma robusti.
further	ulteriore; più lontano	Abbiamo bisogno di ulteriori informazioni.
gallery	la galleria	La galleria è aperta oggi.
gap	il vuoto; la lacuna	C'è un vuoto nel muro.
gas	la benzina; il gas	L'auto ha bisogno di benzina.
gate	il cancello	Chiudi il cancello, per favore.
general	generale	Questa è una regola generale.
gift	il regalo	Lei ha comprato un regalo.
goal	l'obiettivo; il gol	Il nostro obiettivo è semplice.
god	Dio; il dio	Molte persone pregano Dio.
gold	l'oro; dorato	L'anello è d'oro.
golf	il golf	Lui gioca a golf oggi.
government	il governo	Il governo ha cambiato la legge.
grass	l'erba; il prato	L'erba è bagnata.
greet	salutare	Saluta ogni ospite con cortesia.
ground	il terreno; il suolo	Siediti sul terreno.
guest	l'ospite	Il nostro ospite è arrivato presto.
guide	la guida; guidare	La guida ci ha mostrato il museo.
gun	la pistola; l'arma	La polizia ha trovato una pistola.
guy	il ragazzo; il tipo	Quel ragazzo è mio fratello.
habit	l'abitudine	Leggere ogni giorno è una buona abitudine.
hall	il corridoio; la sala	Aspetta nel corridoio.
happily	felicemente	Hanno vissuto felicemente insieme.
headache	il mal di testa	Ho mal di testa.
heart	il cuore	Il suo cuore batte veloce.
heat	scaldare; il calore	Scalda lentamente la zuppa.
heavy	pesante	Questa borsa è pesante.
height	l'altezza	Misura l'altezza del tavolo.
helpful	utile	Il tuo consiglio è stato utile.
hero	l'eroe; l'eroina	Lui è il mio eroe.
hers	suo; sua	Il cappotto blu è suo.
herself	se stessa	Ha preparato la cena da sola.
hide	nascondere	Nascondi la chiave sotto la scatola.
hill	la collina	Abbiamo salito la collina.
himself	se stesso	Lui l'ha riparato da solo.
hit	colpire; il colpo	Non colpire la porta.
hockey	l'hockey	Abbiamo guardato l'hockey ieri sera.
hold	tenere	Tienimi la mano.
hole	il buco	C'è un buco nel mio calzino.
huge	enorme	La stanza è enorme.
human	l'essere umano; umano	Ogni essere umano ha bisogno d'acqua.
hurt	fare male; ferire	Mi fa male il ginocchio.
ideal	ideale	Questa stanza è ideale per studiare.
identify	identificare	Riesci a identificare questo uccello?
ill	malato	Oggi lei si sente malata.
illness	la malattia	La malattia è durata una settimana.
image	l'immagine	L'immagine è chiara.
immediately	immediatamente	Vieni qui immediatamente.
impossible	impossibile	Questo puzzle sembra impossibile.
included	incluso	La colazione è inclusa.
including	incluso; compreso	Sono venute dieci persone, me compreso.
