source_headword	BG	example_BG
abolish	отменям	Законът ще отмени старата такса.
abortion	аборт	Абортът остава чувствителен медицински въпрос.
absence	отсъствие	Нейното отсъствие забави крайното решение.
absent	отсъстващ	Двама членове отсъстваха от час.
absurd	абсурден	Твърдението прозвуча абсурдно за всички.
abundance	изобилие	В долината има изобилие от вода.
abuse	злоупотреба	Докладът описва злоупотреби на работното място.
academy	академия	Академията обучава млади музиканти.
accelerate	ускорявам	Новото финансиране ще ускори изследванията.
acceptance	приемане	Неговото приемане на критиката ме впечатли.
accessible	достъпен	Музеят е достъпен за хора в инвалидни колички.
accomplishment	постижение	Завършването на книгата беше истинско постижение.
accordance	съответствие	Работата беше свършена в съответствие с правилата.
accordingly	съответно	Доказателствата се промениха и ние действахме съответно.
accountability	отчетност	Политиката увеличава отчетността на мениджърите.
accountable	отговорен	Мениджърите са отговорни за безопасността.
accumulate	натрупвам	Прахът може да се натрупа зад екрана.
accumulation	натрупване	Натрупването на данни отне месеци.
accusation	обвинение	Обвинението шокира комисията.
accused	обвиняем	Обвиняемият се яви в съда.
acquisition	придобиване	Придобиването бързо разшири компанията.
acre	акър	Фермата обхваща един акър.
activation	активиране	Активирането на картата отнема минути.
activist	активист	Активистът говори на митинга.
acute	остър	Тя изпита остра болка след бягане.
adaptation	адаптация	Адаптацията промени края на романа.
adhere	спазвам	Персоналът трябва да спазва правилата за безопасност.
adjacent	съседен	Хотелът е в съседство с гарата.
adjustment	корекция	Малка корекция реши проблема.
administer	поставям	Медицинските сестри поставят ваксината внимателно.
administrative	административен	Административният персонал се занимава с формулярите.
administrator	администратор	Администраторът нулира паролата ми.
admission	вход	Входът за музея е безплатен.
adolescent	юноша	Юношата се нуждаеше от допълнителна подкрепа.
adoption	осиновяване	Осиновяването даде на детето стабилен дом.
adverse	неблагоприятен	Лекарството предизвика неблагоприятни ефекти.
advocate	защитник	Защитникът бранеше правата на наемателите.
aesthetic	естетичен	Стаята има спокоен естетичен стил.
affection	привързаност	Тя показа привързаност към семейството си.
aftermath	последица	Последиците от бурята бяха тежки.
aggression	агресия	Учителят забеляза агресия по време на междучасието.
agricultural	селскостопански	Селскостопанският износ се увеличи тази година.
aide	помощник	Помощникът организира графика на министъра.
albeit	макар и	Планът проработи, макар и бавно.
alert	предупреждавам	Моля, незабавно предупредете персонала.
align	подравнявам	Стрелките се подравняват с пътя.
alignment	регулиране	Регулирането на колелата подобри управлението на колата.
alike	еднакво	Близнаците се обличат еднакво през уикендите.
allegation	твърдение	Твърдението се появи във вестника.
