source_headword	IT	example_IT
prey	la preda	I rapaci cacciano le prede di notte.
privatization	la privatizzazione	La privatizzazione ha cambiato il sistema ferroviario.
privilege	il privilegio	L'istruzione non dovrebbe essere un privilegio.
probe	l'indagine	L'indagine ha rivelato gravi errori.
problematic	problematico	L'accordo rimane problematico.
proceedings	il procedimento	I procedimenti giudiziari sono iniziati lunedì.
proceeds	il ricavato	Il ricavato sosterrà le scuole locali.
processing	l'elaborazione	L'elaborazione delle immagini richiede tempo.
processor	il processore	Il processore si è guastato durante i test.
proclaim	proclamare	I leader proclamano la vittoria troppo presto.
productive	produttivo	La riunione è stata produttiva.
productivity	la produttività	La produttività è migliorata dopo la formazione.
profitable	redditizio	Il negozio è diventato redditizio quest'anno.
profound	profondo	Il discorso ha avuto un effetto profondo.
projection	la proiezione	La proiezione mostra una crescita costante.
prominent	di spicco	È diventata una scienziata di spicco.
pronounced	marcato	Il suo accento è diventato più marcato.
propaganda	la propaganda	La campagna ha usato la propaganda online.
proposition	la proposta	La proposta è un'impresa rischiosa.
prosecute	perseguire	I funzionari perseguono i casi di grave frode.
prosecution	l'accusa	L'accusa ha presentato nuove prove.
prosecutor	il pubblico ministero	Il pubblico ministero ha interrogato il testimone.
prospective	potenziale	I futuri studenti hanno visitato il campus.
prosperity	la prosperità	Il commercio ha portato prosperità nella regione.
protective	protettivo	Indossava guanti protettivi.
protocol	il protocollo	Il protocollo richiede un'approvazione scritta.
province	la provincia	La provincia ha investito nei trasporti.
provincial	provinciale	I funzionari provinciali hanno annunciato il piano.
provision	la clausola	Il contratto include una clausola di sicurezza.
provoke	provocare	Il discorso potrebbe provocare reazioni forti.
psychiatric	psichiatrico	L'ospedale ha aperto un reparto psichiatrico.
pulse	il battito	L'infermiera ha controllato il suo battito.
pump	la pompa	La pompa spinge l'acqua verso l'alto.
punch	il pugno	Ha sferrato un pugno per la rabbia.
query	la richiesta	Invia la tua richiesta all'assistenza.
quest	la ricerca	La loro ricerca di giustizia è continuata.
quota	la quota	La squadra ha raggiunto la sua quota di vendite.
radar	il radar	La tempesta è apparsa sul radar.
radical	radicale	Il gruppo ha proposto riforme radicali.
rage	la rabbia	La sua rabbia è svanita in fretta.
raid	l'incursione	La polizia ha condotto un'incursione all'alba.
rally	la manifestazione	I sostenitori si sono uniti alla manifestazione in centro.
ranking	la classifica	L'università ha migliorato la sua classifica.
rape	lo stupro	I casi di stupro richiedono un'indagine accurata.
ratio	il rapporto	La classe ha un basso rapporto insegnanti-studenti.
rational	razionale	La sua decisione è stata razionale.
ray	il raggio	È entrato un raggio di sole.
readily	prontamente	Ha prontamente accettato l'offerta.
realization	la consapevolezza	La consapevolezza le ha fatto cambiare i piani.
realm	l'ambito	Questa domanda appartiene a un altro ambito.
rear	posteriore	Oggi usa l'ingresso posteriore.
reasoning	il ragionamento	Il suo ragionamento era chiaro.
reassure	rassicurare	Il medico ha cercato di rassicurarla.
rebel	il ribelle	Il leader ribelle è sfuggito alla cattura.
rebellion	la ribellione	La ribellione è finita dopo le trattative.
recipient	il destinatario	Il destinatario ha firmato il modulo.
reconstruction	la ricostruzione	La ricostruzione è iniziata dopo l'alluvione.
recount1	raccontare	Lei sa raccontare gli eventi chiaramente.
referendum	il referendum	Il referendum ha diviso il paese.
reflection	la riflessione	Il saggio richiedeva una riflessione più profonda.
reform	la riforma	La riforma ha migliorato i servizi pubblici.
refuge	il rifugio	La famiglia ha cercato rifugio all'estero.
refusal	il rifiuto	Il suo rifiuto ha sorpreso il comitato.
regain	riconquistare	Ha lavorato sodo per riconquistare la fiducia.
regardless	a prescindere	Hanno continuato a prescindere dalle critiche.
regime	il regime	Il regime ha limitato la libertà di parola.
regulator	l'autorità di regolamentazione	L'autorità ha multato l'azienda.
regulatory	normativo	L'approvazione normativa ha richiesto mesi.
rehabilitation	la riabilitazione	La riabilitazione lo ha aiutato a camminare di nuovo.
reign	il regno	Il regno del re è durato decenni.
rejection	il rifiuto	Il rifiuto ha ferito la sua autostima.
relevance	la pertinenza	I dati hanno una pertinenza limitata.
reliability	l'affidabilità	L'affidabilità è importante nei sistemi di emergenza.
reluctant	riluttante	Era riluttante a parlare.
remainder	il resto	Il resto è andato in beneficenza.
remains	i resti	I resti sono stati esaminati con attenzione.
remedy	il rimedio	La legge fornisce un rimedio.
reminder	il promemoria	L'email è stata un utile promemoria.
removal	la rimozione	La rimozione delle barriere ha aiutato il commercio.
render	rendere	L'errore ha reso non valido il contratto.
renew	rinnovare	Rinnova presto il tuo passaporto.
renowned	rinomato	È rinomata per la sua ricerca.
rental	il noleggio	Il noleggio include l'assicurazione.
replacement	il ricambio	Il pezzo di ricambio è arrivato oggi.
reportedly	secondo quanto riferito	Il ministro si è dimesso ieri, secondo quanto riferito.
representation	la rappresentanza	Un'equa rappresentanza rimane importante.
reproduce	riprodurre	Queste piante si riproducono velocemente.
reproduction	la riproduzione	La riproduzione digitale ha migliorato l'accesso.
republic	la repubblica	La repubblica ha tenuto le elezioni.
resemble	somigliare	I due design si somigliano molto.
reside	risiedere	Risiedono vicino al confine.
residence	la residenza	La sua residenza ufficiale è sorvegliata.
residential	residenziale	La zona è per lo più residenziale.
residue	il residuo	Il detergente ha lasciato un residuo appiccicoso.
resignation	le dimissioni	Le sue dimissioni hanno scioccato il consiglio di amministrazione.
resistance	la resistenza	La resistenza al cambiamento è stata forte.
respective	rispettivo	Sono tornati nei rispettivi uffici.
respectively	rispettivamente	I punteggi erano 80 e 90, rispettivamente.
restoration	il restauro	Il restauro dell'edificio ha richiesto anni.
restraint	la moderazione	La polizia ha mostrato moderazione.
resume	riprendere	Le lezioni riprendono la prossima settimana.
retreat	la ritirata	L'esercito ha iniziato una ritirata.
retrieve	recuperare	Lei ha recuperato il file.
revelation	la rivelazione	La rivelazione ha danneggiato la sua reputazione.
revenge	la vendetta	Voleva vendetta per l'insulto.
reverse	ribaltare	Il tribunale ha ribaltato la decisione.
revival	la ripresa	La città ha visto una ripresa economica.
revive	far rivivere	Il festival ha aiutato a far rivivere le tradizioni locali.
revolutionary	rivoluzionario	L'invenzione era rivoluzionaria.
rhetoric	la retorica	La sua retorica suonava aggressiva.
rifle	il fucile	Il fucile era conservato al sicuro.
riot	la rivolta	La rivolta è durata diverse ore.
rip	strappare	Strappa la carta con attenzione.
ritual	il rito	Il rito segna il raccolto.
robust	robusto	Il sistema è robusto.
rock	scuotere	L'esplosione ha scosso il villaggio.
rod	l'asta	La tenda è appesa a un'asta.
rotate	ruotare	Ruota lentamente la maniglia.
rotation	la rotazione	La rotazione delle colture protegge il suolo.
ruling	la sentenza	Il tribunale ha emesso una sentenza.
rumour	la voce	La voce si è diffusa rapidamente.
sack	licenziare	Il consiglio potrebbe licenziare l'allenatore.
sacred	sacro	Il tempio è sacro.
sacrifice	il sacrificio	I genitori fanno spesso sacrifici.
saint	il santo	La chiesa onora un santo locale.
sake	il bene	È rimasto per il suo bene.
sanction	la sanzione	La sanzione ha influenzato il commercio internazionale.
say	la voce in capitolo	I dipendenti avevano voce in capitolo sulla programmazione.
scattered	sparso	Documenti sparsi coprivano la scrivania.
sceptical	scettico	È rimasta scettica riguardo all'affermazione.
scope	l'ambito	L'ambito del progetto si è ampliato.
screw	la vite	Stringi la vite con attenzione.
scrutiny	il controllo	L'accordo ha affrontato il controllo pubblico.
seal	sigillare	Sigilla la busta prima di spedirla.
secular	laico	La scuola segue un programma laico.
seemingly	apparentemente	Il compito era apparentemente semplice.
segment	il segmento	Il segmento finale era più corto.
seize	sequestrare	La polizia ha sequestrato i documenti.
seldom	raramente	Lei perde raramente una lezione.
selective	selettivo	Il programma è altamente selettivo.
senator	il senatore	Il senatore ha sostenuto il disegno di legge.
sensation	la sensazione	La scoperta ha causato sensazione.
sensitivity	la sensibilità	La questione richiede sensibilità.
sentiment	l'opinione	L'opinione pubblica è cambiata rapidamente.
separation	la separazione	La separazione è stata difficile.
serial	di serie	Il numero di serie è mancante.
settlement	l'accordo	L'accordo ha posto fine alla controversia.
set-up	l'allestimento	L'allestimento ha richiesto tutta la mattina.
sexuality	la sessualità	Il corso discute di identità e sessualità.
shareholder	l'azionista	Un azionista ha interrogato il consiglio.
shatter	frantumare	La notizia ha frantumato la sua fiducia.
shed	tagliare	L'azienda taglierà posti di lavoro.
sheer	puro	Le pure dimensioni hanno sorpreso tutti.
shipping	la spedizione	I costi di spedizione sono aumentati.
shoot	il servizio fotografico	Il servizio fotografico è finito presto.
shrink	restringersi	La camicia potrebbe restringersi.
shrug	fare spallucce	Ha fatto spallucce.
sigh	sospirare	Ha sospirato di sollievo.
simulate	simulare	Il software può simulare il traffico.
simulation	la simulazione	La simulazione ha previsto allagamenti.
simultaneously	simultaneamente	Due allarmi hanno suonato simultaneamente.
sin	il peccato	L'orgoglio è considerato un peccato.
situated	situato	L'hotel è situato in centro.
sketch	lo schizzo	Ha fatto un rapido schizzo.
skip	saltare	Non saltare la colazione.
slam	sbattere	Può sbattere la porta.
slap	dare uno schiaffo	Non dare schiaffi sul tavolo.
slavery	la schiavitù	La schiavitù ha plasmato la storia della regione.
slot	la fascia oraria	Prenota una fascia oraria online.
smash	frantumarsi	Il bicchiere si è frantumato sul pavimento.
snap	spezzarsi	Il ramo si è spezzato nel vento.
soak	mettere in ammollo	Metti in ammollo i fagioli durante la notte.
soar	impennarsi	I prezzi del carburante potrebbero impennarsi.
socialist	socialista	Il partito sostiene politiche socialiste.
sole	unico	Era l'unico sopravvissuto.
solely	esclusivamente	La decisione era esclusivamente sua.
solicitor	l'avvocato	L'avvocato ha preparato il contratto.
solidarity	la solidarietà	I lavoratori hanno espresso solidarietà.
solo	da solista	Ha pubblicato un album da solista.
sound	sensato	Il piano è sensato e pratico.
sovereignty	la sovranità	Il trattato proteggeva la sovranità nazionale.
spam	lo spam	Lo spam ha riempito la casella di posta.
span	attraversare	Il ponte attraversa il fiume.
spark	scatenare	Una piccola osservazione ha scatenato il dibattito.
specialized	specializzato	La clinica fornisce cure specializzate.
specification	la specifica	Il design soddisfa ogni specifica.
specimen	il campione	Il campione è stato conservato in modo sicuro.
spectacle	lo spettacolo	La parata è stata uno spettacolo vivido.
spectrum	lo spettro	Le opinioni coprono un ampio spettro.
spell	il periodo	Il periodo di siccità è durato settimane.
sphere	la sfera	La politica è entrata nella sfera culturale.
spin	girare	Le ruote hanno iniziato a girare.
spine	la colonna vertebrale	L'infortunio ha colpito la sua colonna vertebrale.
spotlight	i riflettori	Lo scandalo lo ha messo sotto i riflettori.
spouse	il coniuge	Il suo coniuge ha partecipato alla cerimonia.
spy	la spia	La spia ha inviato messaggi in codice.
squad	la squadra	La squadra di soccorso è arrivata velocemente.
squeeze	stringere	Stringi la maniglia delicatamente.
stab	accoltellare	Il referto descriveva una ferita da arma da taglio.
stability	la stabilità	La politica ha portato stabilità.
