simplified	NL	example_NL
挨	doorstaan	Hij doorstond de hele nacht en wachtte eindelijk tot het licht werd
癌症	de kanker	Vroege ontdekking van kanker is erg belangrijk
暧昧	dubbelzinnig	Zijn antwoord was erg dubbelzinnig
爱不释手	niet kunnen wegleggen	Ze kon het boek bijna niet wegleggen
爱戴	liefhebben en respecteren	Deze leraar wordt door de leerlingen diep gerespecteerd
安宁	vredig	De nachten hier zijn erg vredig
安详	sereen	De uitdrukking van de oude man was heel sereen
安置	huisvesten	De overheid huisvestte de mensen die door de ramp waren getroffen
按摩	de massage	Ik heb een massage geboekt
暗示	een hint geven	Ze gaf me een hint dat ik niet verder moest vragen
案件	de zaak	De politie onderzoekt deze zaak
案例	het voorbeeldgeval	Dit voorbeeldgeval is erg representatief
昂贵	duur	Deze apparatuur is erg duur
凹凸	oneffen	Het wegdek is oneffen
熬	doorbijten	Hij beet drie zware dagen door voordat hij het rapport afmaakte
奥秘	het mysterie	De wetenschapper wil dit mysterie onthullen
巴不得	niet kunnen wachten	Ik kan niet wachten om meteen te vertrekken
巴结	in de gunst komen	Hij wil niet bij de leiding in de gunst komen
扒	zich vasthouden	Het kind hield zich aan de deur vast en keek naar buiten
疤	het litteken	Er zit een litteken op zijn arm
拔苗助长	overhaasten	Een kind zo tot studie dwingen werkt alleen maar averechts
把关	controleren	Dit contract moet door een advocaat worden gecontroleerd
把手	de handgreep	De handgreep van de deur is kapot
罢工	de staking	De arbeiders besloten morgen te staken
霸道	overheersend	Hij praat op een te overheersende manier
掰	breken	Ze brak het brood in twee helften
摆脱	kwijtraken	Hij raakte eindelijk zijn slechte gewoonte kwijt
拜访	bezoeken	We bezoeken de leraar dit weekend
拜年	nieuwjaarswensen brengen	Tijdens het Lentefeest brengen we onze grootouders nieuwjaarswensen
拜托	toevertrouwen	Ik vertrouw deze zaak aan jou toe
败坏	schaden	Dit gedrag schaadt de reputatie van het bedrijf
斑	de vlek	Er zit een zwarte vlek op de kat
颁布	uitvaardigen	De nieuwe regels worden volgende week uitgevaardigd
颁发	uitreiken	De school reikte certificaten uit aan uitstekende leerlingen
版本	de versie	Deze software heeft een nieuwe versie
伴侣	de metgezel	Zij ziet de hond als haar metgezel
