source_headword	PT	example_PT
abandon	abandonar	Eles abandonaram o plano ontem.
absolute	absoluto	Precisamos de honestidade absoluta aqui.
acceptable	aceitável	A resposta dele foi aceitável.
accompany	acompanhar	O irmão dela a acompanhou para casa.
accurate	preciso	O relatório parece preciso.
accuse	acusar	Eles o acusaram de mentir.
acknowledge	reconhecer	Por favor, reconheça o erro.
acquire	adquirir	Ela adquiriu novas competências rapidamente.
actual	real; efetivo	O custo real foi menor.
adapt	adaptar-se	Nós nos adaptamos à mudança.
additional	adicional	Ajuda adicional chegou hoje.
administration	a administração	A administração mudou a política.
adopt	adotar	Eles adotaram um novo método.
advance	o avanço	Fizemos um pequeno avanço.
affair	o caso; o escândalo	O escândalo prejudicou a confiança pública.
afterwards	depois	Depois, todos se sentiram calmos.
agency	a agência	A agência contratou três tradutores.
agenda	a agenda	A segurança está na agenda.
aggressive	agressivo	O tom dele soava agressivo.
aid	a ajuda	A ajuda médica chegou rapidamente.
aircraft	a aeronave; o avião	O avião pousou com segurança.
alter	alterar	Não altere o acordo.
anger	a raiva	A raiva dele surpreendeu todos.
angle	o ângulo	Tente outro ângulo de câmera.
anniversary	o aniversário	O aniversário deles é amanhã.
annual	anual	A reunião anual começa na segunda-feira.
anxious	ansioso	Ela ficou ansiosa antes da cirurgia.
apparent	aparente	A decepção dele era aparente.
apparently	aparentemente	Aparentemente, o trem está atrasado.
appeal	o recurso; o apelo	A decisão pode sofrer recurso.
approach	a abordagem	A abordagem dela resolveu o problema.
appropriate	apropriado	Escolha uma resposta apropriada.
approval	a aprovação	O projeto precisa de aprovação.
approve	aprovar	O conselho aprovou o orçamento.
arise	surgir	Problemas podem surgir mais tarde.
armed	armado	Guardas armados ficaram do lado de fora.
arms	as armas	Eles depuseram as armas.
artificial	artificial	As flores pareciam artificiais.
artistic	artístico	Ela tem talento artístico.
ashamed	envergonhado	Ele se sentiu envergonhado depois.
aspect	o aspecto	Considere cada aspecto com cuidado.
assess	avaliar	Devemos avaliar o dano.
assessment	a avaliação	A avaliação levou duas horas.
associate	associar	As pessoas associam fumaça a perigo.
associated	associado	O estresse está associado a doenças.
association	a associação	A associação apoia jovens artistas.
assume	supor	Suponho que você concorda.
attempt	a tentativa	A primeira tentativa dele falhou.
bacteria	as bactérias	As bactérias podem se espalhar rapidamente.
barrier	a barreira	O idioma foi uma barreira.
basically	basicamente	Basicamente, precisamos de mais tempo.
bear (deal with)	suportar	Não consigo suportar este barulho.
beg	implorar	Por favor, implore por ajuda.
being	o ser	Todo ser precisa de água.
bent	dobrado	A barra de metal estava dobrada.
bet	apostar	Aposto que ele sabe.
beyond	além de	A aldeia fica além do rio.
bitter	amargo	O remédio tinha gosto amargo.
blame	culpar	Não culpe o motorista.
blind	cego	Ele ficou cego jovem.
bond	o vínculo	A confiança cria um vínculo forte.
breast	o peito	Ela sentiu dor no peito.
brief	breve	Mantenha sua resposta breve.
broad	amplo; largo	O rio é largo aqui.
broadcast	transmitir	O discurso foi transmitido ao vivo.
budget	o orçamento	O orçamento está muito apertado.
bullet	a bala	A bala atingiu a parede.
bunch	o molho; o grupo	Ela carregava um molho de chaves.
bush	o arbusto	Um pássaro se escondeu no arbusto.
cable	o cabo	O cabo está quebrado.
calculate	calcular	Calcule o custo total.
cancel	cancelar	Eles cancelaram a reunião.
cancer	o câncer	O tratamento do câncer pode ser difícil.
capable	capaz	Ela é capaz de mais.
capacity	a capacidade	O salão atingiu a capacidade.
capture	capturar; captar	A foto capta o clima.
cast	o elenco	O elenco está pronto.
cell	a célula; a célula da tabela	Cada célula contém dados.
chairman	o presidente	O presidente abriu a reunião.
characteristic	a característica	A paciência é a principal característica dela.
chief	principal	O engenheiro principal chegou tarde.
circumstance	a circunstância	Considere cada circunstância com cuidado.
cite	citar	Por favor, cite sua fonte.
citizen	o cidadão	Todo cidadão pode votar.
civil	civil; educado	O protesto permaneceu pacífico.
classic	clássico	Este filme é um clássico.
closely	de perto	Observe o processo de perto.
collapse	desabar	A ponte velha pode desabar.
combination	a combinação	A combinação funcionou bem.
comfort	o conforto	Suas palavras deram conforto.
command	o comando	O oficial deu um comando.
commission	a comissão	A comissão revisou o caso.
commitment	o compromisso	O trabalho exige compromisso.
committee	o comitê	O comitê se reúne semanalmente.
commonly	comumente	Esta planta é cultivada comumente.
complicated	complicado	As instruções são complicadas.
component	o componente	Um componente falhou.
concentration	a concentração	O ruído quebra minha concentração.
concept	o conceito	O conceito é simples.
concern	a preocupação	A segurança é nossa principal preocupação.
concerned	preocupado	Os pais estavam profundamente preocupados.
conduct	conduzir	Eles conduzem pesquisa localmente.
confidence	a confiança	A prática desenvolve confiança.
conflict	o conflito	O conflito durou anos.
confusing	confuso	O mapa era confuso.
conscious	consciente	Ela permaneceu consciente.
conservative	conservador	As opiniões dele são conservadoras.
consideration	a consideração	O custo é uma consideração importante.
consistent	consistente; constante	Os resultados dela são consistentes.
constant	constante	O barulho constante nos esgotou.
constantly	constantemente	Ele verifica o telefone constantemente.
