source_headword	SL	example_SL
absolutely	absolutno	Absolutno se strinjam s tabo.
academic	akademski	Akademsko leto se začne septembra.
access	dostop	Študenti potrebujejo dostop do knjižnice.
accommodation	nastanitev	Rezervirali smo nastanitev blizu postaje.
account	račun	Odprla je nov bančni račun.
achievement	dosežek	Zaključek tečaja je bil velik dosežek.
ad	oglas	Oglas je prikazoval nov telefon.
addition	dodatek	Bazen je koristen dodatek.
admire	občudovati	Občudujem njen miren pristop.
admit	priznati	Priznal je svojo napako.
advanced	napreden	To je napreden tečaj angleščine.
advise	svetovati	Zdravniki svetujejo redno gibanje.
afford	privoščiti si	Ne moremo si privoščiti taksija.
aged	star	Program je za otroke, stare deset let.
agent	agent	Potniški agent nam je spremenil vozovnice.
agreement	sporazum	Danes so dosegli sporazum.
ahead	naprej	Pot naprej je prosta.
aim	prizadevati si	Prizadevamo si kmalu končati.
alarm	alarm	Alarm je zazvonil ob šestih.
album	album	Ta album ima deset pesmi.
alcohol	alkohol	Hotel ne streže alkohola.
alcoholic	alkoholen	Ta pijača ni alkoholna.
amazed	osupel	Bila je osupela nad rezultatom.
ambition	ambicija	Njegova ambicija je postati pilot.
ambitious	ambiciozen	Ima ambiciozen načrt.
analyse	analizirati	Moramo analizirati rezultate.
analysis	analiza	Njena analiza je bila jasna in skrbna.
announce	najaviti	Jutri bodo najavili zmagovalca.
announcement	obvestilo	Obvestilo je presenetilo vse.
annoy	motiti	Glasna glasba lahko moti sosede.
annoyed	nejevoljen	Po zamudi je bil videti nejevoljen.
annoying	nadležen	Ta zvok je zelo nadležen.
apart	narazen	Hiši sta dva metra narazen.
apologize	opravičiti se	Opravičujem se za zamudo.
application	prijava	Izpolni prijavo na spletu.
appointment	termin	Jutri imam termin pri zobozdravniku.
appreciate	ceniti	Cenim tvojo pomoč.
approximately	približno	Sprehod traja približno dvajset minut.
arrest	aretirati	Policija je aretirala voznika.
arrival	prihod	Naš prihod je bil poznejši od pričakovanega.
assignment	naloga	Nalogo je treba oddati v petek.
assist	pomagati	Medicinske sestre pomagajo zdravniku.
atmosphere	vzdušje	Kavarna ima sproščeno vzdušje.
attach	priložiti	Priloži datoteko svojemu e-sporočilu.
attitude	odnos	Njen odnos se je spremenil po sestanku.
attract	privabiti	Svetle rože privabljajo čebele.
attraction	znamenitost	Grad je priljubljena znamenitost.
authority	oblast	Lokalna oblast je popravila cesto.
aware	zavedati se	Zaveda se tveganja.
backwards	nazaj	Previdno je hodil nazaj.
bake	peči	Vsako nedeljo pečem kruh.
balance	ravnotežje	Dobri čevlji pomagajo ohraniti ravnotežje.
ban	prepovedati	Mesto bo prepovedalo avtomobile.
bank (river)	breg reke	Stali smo na bregu reke.
base	baza	Ekipa se je vrnila v bazo.
basic	osnoven	Vsi potrebujejo osnovne računalniške veščine.
basis	osnova	Zaupanje je osnova prijateljstva.
battery	baterija	Baterija mojega telefona je šibka.
battle	bitka	Bitka je trajala celo noč.
beauty	lepota	Občudovali smo lepoto gora.
bee	čebela	Čebela je pristala na cvetu.
belief	prepričanje	Njegovo prepričanje mu je dalo pogum.
bell	zvonec	Šolski zvonec je glasno zazvonil.
bend	upogniti	Upogni kolena, ko dviguješ.
bite	ugrizniti	Pes lahko ugrizne neznane ljudi.
block	blokirati	Padlo drevo je blokiralo cesto.
bomb	bomba	Bomba je poškodovala več stavb.
border	meja	Mejo so prečkali ponoči.
bother	motiti	Prosim, ne moti sestre.
branch	veja	Veja se je zlomila v nevihti.
brand	blagovna znamka	Ta blagovna znamka je priljubljena med študenti.
brave	pogumen	Pogumen moški je rešil otroka.
breath	dih	Globoko vdihni.
breathe	dihati	V tem dimu ne morem dihati.
breathing	dihanje	Njeno dihanje je bilo počasno.
bride	nevesta	Nevesta je nosila belo obleko.
bubble	mehurček	Mehurček je lebdel nad kozarcem.
bury	zakopati	Škatlo so zakopali v pesek.
calm	miren	Ostani miren med izpitom.
campaign	kampanja	Kampanja je zbrala denar za šole.
campus	kampus	Študenti živijo blizu kampusa.
candidate	kandidat	Vsak kandidat je odgovoril na tri vprašanja.
cap	kapa	Nosil je bejzbolsko kapo.
captain	kapitan	Kapitan je govoril z ekipo.
careless	nepreviden	Neprevidna napaka nas je stala časa.
category	kategorija	Izberi pravilno kategorijo.
ceiling	strop	Strop je bil pobarvan belo.
celebration	praznovanje	Praznovanje je trajalo ves večer.
central	osrednji	Hotel ima osrednjo lokacijo.
ceremony	slovesnost	Slovesnost se je začela opoldne.
chain	veriga	Nosila je srebrno verigo.
challenge	izziv	Ta projekt je pravi izziv.
champion	prvak	Prvakinja se je zahvalila trenerju.
channel	kanal	Prosim, zamenjaj kanal.
chapter	poglavje	Nocoj preberi naslednje poglavje.
charge	pristojbina	Za otroke ni pristojbine.
cheat	goljufati	Ne goljufaj pri testu.
cheerful	vesel	Zjutraj je bila videti vesela.
chemical	kemičen	Kemični vonj je bil močan.
chest	prsni koš	Po teku ga je bolel prsni koš.
childhood	otroštvo	Spominjam se hiše iz otroštva.
claim	trditi	Trdijo, da je izdelek varen.
clause	klavzula	Ta klavzula spremeni pomen.
click	klikniti	Klikni modri gumb.
client	stranka	Stranka je zahtevala več podrobnosti.
cloth	krpa	Obriši mizo s to krpo.
clue	namig	Namig nam je pomagal rešiti težavo.
coal	premog	Stari vlak je uporabljal premog.
coin	kovanec	Na tleh je našla kovanec.
collection	zbirka	Njena zbirka znamk je velika.
coloured	obarvan	Nosila je obarvan šal.
combine	združiti	Združi moko z vodo.
commercial	reklamni	Reklamni odmor je trajal pet minut.
commit	zavezati se	Moramo se zavezati načrtu.
communication	komunikacija	Dobra komunikacija preprečuje napake.
comparison	primerjava	Ta primerjava je koristna.
competitive	konkurenčen	Trg je zelo konkurenčen.
competitor	konkurent	Naš glavni konkurent je znižal cene.
complaint	pritožba	Vložil je pritožbo zaradi hrupa.
complex	zapleten	Navodila so preveč zapletena.
concentrate	osredotočiti se	Ob glasbi se ne morem osredotočiti.
conclude	zaključiti	Zdaj bomo zaključili sestanek.
conclusion	zaključek	Njegov zaključek se je zdel razumen.
confident	samozavesten	Pred intervjujem se je počutila samozavestno.
confirm	potrditi	Prosim, potrdi svoj e-poštni naslov.
confuse	zmedeti	Ti dve imeni me zmedeta.
confused	zmeden	Zaradi zemljevida sem bil zmeden.
connection	povezava	Internetna povezava je počasna.
consequence	posledica	Pomanjkanje spanja ima posledice.
consist	sestavljati se	Obrok je sestavljen iz treh jedi.
consume	porabiti	Veliki avtomobili porabijo več goriva.
consumer	potrošnik	Potrošnik želi jasne informacije.
contact	stik	Vzpostavi stik z mano po kosilu.
container	posoda	Daj juho v posodo.
content1	vsebina	Vsebina tečaja je koristna.
continuous	neprekinjen	Stroj je proizvajal neprekinjen zvok.
contrast	kontrast	Kontrast med njima je jasen.
convenient	priročen	Postaja je zelo priročna.
convince	prepričati	Prepričal jo je, naj poskusi znova.
costume	kostum	Nosil je gusarski kostum.
cottage	koča	Najeli so majhno kočo.
cotton	bombaž	Ta srajca je iz bombaža.
countryside	podeželje	Sprehajali smo se po podeželju.
court	sodišče	Primer je prišel na sodišče.
covered	pokrit	Miza je bila pokrita s papirji.
cruel	krut	Bilo je kruto smejati se.
cultural	kulturni	Muzej ponuja kulturne dogodke.
currency	valuta	Lokalna valuta je evro.
current	trenuten	Trenutna situacija je težka.
currently	trenutno	Trenutno študira v tujini.
curtain	zavesa	Ponoči zagrni zaveso.
custom	običaj	Ta običaj je zelo star.
damage	škoda	Nevihta je povzročila resno škodo.
decade	desetletje	Tam so živeli eno desetletje.
decorate	okrasiti	Skupaj okrasimo sobo.
define	opredeliti	Ali lahko opredeliš ta pojem?
definite	jasen	Potrebujemo jasen odgovor.
definition	definicija	Napiši definicijo v zvezek.
deliver	dostaviti	Hrano dostavijo na naš dom.
departure	odhod	Čas odhoda se je spremenil.
despite	kljub	Kljub dežju smo hodili.
destination	cilj	Pariz je bil njihov končni cilj.
determine	določiti	Testi bodo določili tvojo raven.
determined	odločen	Bila je odločena uspeti.
development	razvoj	Razvoj mesta je bil hiter.
diagram	diagram	Nariši preprost diagram.
diamond	diamant	Prstan je imel majhen diamant.
difficulty	težava	Imel je težave z vrati.
directly	neposredno	Prosim, govori neposredno z mano.
dirt	umazanija	Čevlji so bili prekriti z umazanijo.
disadvantage	slabost	Dolga pot je slabost.
disappointed	razočaran	Bila je razočarana nad rezultatom.
disappointing	razočarajoč	Konec je bil razočarajoč.
discount	popust	Študenti tukaj dobijo popust.
dislike	ne marati	Ne maram zelo glasne glasbe.
divide	razdeliti	Razdeli torto na kose.
documentary	dokumentarec	Gledali smo dokumentarec o vesolju.
donate	darovati	Mnogi ljudje darujejo stara oblačila.
doubt	dvom	O tem nimam nobenega dvoma.
dressed	oblečen	Bil je oblečen v črno.
drum	boben	Boben se je slišal po vsej sobi.
drunk	pijan	Voznik je bil pijan.
due	zapadel	Poročilo zapade jutri.
dust	prah	Stare knjige so bile prekrite s prahom.
duty	dolžnost	Moja dolžnost je pomagati.
earthquake	potres	Potres je poškodoval most.
eastern	vzhodni	Vzhodna obala je vetrovna.
economic	gospodarski	Država ima gospodarske težave.
economy	gospodarstvo	Gospodarstvo je letos zraslo.
edge	rob	Stopi stran od roba.
editor	urednik	Urednik je preveril članek.
educate	izobraževati	Šole izobražujejo mlade ljudi.
educated	izobražen	Ona je zelo izobražena.
educational	izobraževalen	Igra je izobraževalna.
effective	učinkovit	To zdravilo je učinkovito.
effectively	učinkovito	Pravilo je razložil učinkovito.
effort	trud	Tvoj trud je bil pomemben.
election	volitve	Rezultat volitev je bil tesen.
element	element	Zaupanje je pomemben element.
embarrassed	osramočen	Po padcu se je počutil osramočeno.
embarrassing	neprijeten	To je bila neprijetna napaka.
emergency	nujni primer	V nujnem primeru pokliči to številko.
emotion	čustvo	Strah je močno čustvo.
employment	zaposlitev	Zaposlitev se je ta mesec povečala.
encourage	spodbujati	Učitelji spodbujajo študente k branju.
enemy	sovražnik	Državi sta bili sovražnici.
engaged	zaročen	Zaročila sta se lani spomladi.
engineering	inženirstvo	Na univerzi študira inženirstvo.
entertain	zabavati	Pevka bo zabavala goste.
