source_headword	ML	example_ML
abandon	ഉപേക്ഷിക്കുക	അവർ ഇന്നലെ പദ്ധതി ഉപേക്ഷിച്ചു.
absolute	പൂർണ്ണമായ	ഞങ്ങൾക്ക് ഇവിടെ പൂർണ്ണമായ സത്യസന്ധത ആവശ്യമാണ്.
acceptable	സ്വീകാര്യമായ	അവന്റെ ഉത്തരം സ്വീകാര്യമായിരുന്നു.
accompany	കൂടെ പോവുക	അവളുടെ സഹോദരൻ അവളെ വീട്ടിലേക്ക് അനുഗമിച്ചു.
accurate	കൃത്യമായ	റിപ്പോർട്ട് കൃത്യമാണെന്ന് തോന്നുന്നു.
accuse	കുറ്റപ്പെടുത്തുക	അവർ അവനെ നുണ പറഞ്ഞതിന് കുറ്റപ്പെടുത്തി.
acknowledge	അംഗീകരിക്കുക	ദയവായി തെറ്റ് അംഗീകരിക്കുക.
acquire	നേടുക	അവൾ പുതിയ കഴിവുകൾ വേഗത്തിൽ നേടി.
actual	യഥാർത്ഥ	യഥാർത്ഥ ചെലവ് കുറവായിരുന്നു.
adapt	പൊരുത്തപ്പെടുക	ഞങ്ങൾ മാറ്റവുമായി പൊരുത്തപ്പെട്ടു.
additional	അധികമായ	അധിക സഹായം ഇന്ന് എത്തി.
administration	ഭരണസമിതി	ഭരണസമിതി നയം മാറ്റി.
adopt	സ്വീകരിക്കുക	അവർ ഒരു പുതിയ രീതി സ്വീകരിച്ചു.
advance	മുന്നേറ്റം	ഞങ്ങൾ ഒരു ചെറിയ മുന്നേറ്റം നടത്തി.
affair	സംഭവം	ഈ സംഭവം ജനങ്ങളുടെ വിശ്വാസത്തെ നശിപ്പിച്ചു.
afterwards	അതിനുശേഷം	അതിനുശേഷം എല്ലാവർക്കും ശാന്തത തോന്നി.
agency	ഏജൻസി	ഏജൻസി മൂന്ന് വിവർത്തകരെ ജോലിക്ക് എടുത്തു.
agenda	അജണ്ട	സുരക്ഷ അജണ്ടയിലുണ്ട്.
aggressive	ആക്രമണാത്മകമായ	അവന്റെ സംസാരത്തിൽ ഒരു ആക്രമണ സ്വഭാവം ഉണ്ടായിരുന്നു.
aid	സഹായം	വൈദ്യസഹായം പെട്ടെന്ന് എത്തി.
aircraft	വിമാനം	വിമാനം സുരക്ഷിതമായി ഇറങ്ങി.
alter	മാറ്റുക	കരാർ മാറ്റരുത്.
anger	ദേഷ്യം	അവന്റെ ദേഷ്യം എല്ലാവരെയും അത്ഭുതപ്പെടുത്തി.
angle	കോൺ	മറ്റൊരു ക്യാമറ കോൺ പരീക്ഷിക്കുക.
anniversary	വാർഷികം	അവരുടെ വാർഷികം നാളെയാണ്.
annual	വാർഷിക	വാർഷിക യോഗം തിങ്കളാഴ്ച ആരംഭിക്കുന്നു.
anxious	ഉത്കണ്ഠയുള്ള	ശസ്ത്രക്രിയയ്ക്ക് മുമ്പ് അവൾക്ക് ഉത്കണ്ഠ തോന്നി.
apparent	വ്യക്തമായ	അവന്റെ നിരാശ വ്യക്തമായിരുന്നു.
apparently	പ്രത്യക്ഷത്തിൽ	ട്രെയിൻ വൈകിയാണെന്ന് തോന്നുന്നു.
appeal	അപ്പീൽ	തീരുമാനത്തിന്മേൽ അപ്പീൽ നൽകിയേക്കാം.
approach	സമീപനം	അവളുടെ സമീപനം പ്രശ്നം പരിഹരിച്ചു.
appropriate	അനുയോജ്യമായ	അനുയോജ്യമായ ഒരു മറുപടി തിരഞ്ഞെടുക്കുക.
approval	അംഗീകാരം	പദ്ധതിക്ക് അംഗീകാരം ആവശ്യമാണ്.
approve	അംഗീകരിക്കുക	ബോർഡ് ബജറ്റ് അംഗീകരിച്ചു.
arise	ഉണ്ടാകുക	പ്രശ്നങ്ങൾ പിന്നീട് ഉണ്ടായേക്കാം.
armed	സായുധരായ	സായുധരായ കാവൽക്കാർ പുറത്ത് നിന്നു.
arms	ആയുധങ്ങൾ	അവർ ആയുധങ്ങൾ താഴെ വെച്ചു.
artificial	കൃത്രിമമായ	പൂക്കൾ കൃത്രിമമാണെന്ന് തോന്നി.
artistic	കലാപരമായ	അവൾക്ക് കലാപരമായ കഴിവുണ്ട്.
ashamed	ലജ്ജിച്ചു	അവന് പിന്നീട് ലജ്ജ തോന്നി.
aspect	വശം	എല്ലാ വശങ്ങളും ശ്രദ്ധാപൂർവ്വം പരിഗണിക്കുക.
assess	വിലയിരുത്തുക	നമ്മൾ നാശനഷ്ടം വിലയിരുത്തണം.
assessment	വിലയിരുത്തൽ	വിലയിരുത്തലിന് രണ്ട് മണിക്കൂർ എടുത്തു.
associate	ബന്ധപ്പെടുത്തുക	ആളുകൾ പുകയെ അപകടവുമായി ബന്ധപ്പെടുത്തുന്നു.
associated	ബന്ധപ്പെട്ട	സമ്മർദ്ദം രോഗവുമായി ബന്ധപ്പെട്ടിരിക്കുന്നു.
association	സംഘടന	സംഘടന യുവ കലാകാരന്മാരെ പിന്തുണയ്ക്കുന്നു.
assume	കരുതുക	നിങ്ങൾ സമ്മതിക്കുന്നുവെന്ന് ഞാൻ കരുതുന്നു.
attempt	ശ്രമം	അവന്റെ ആദ്യ ശ്രമം പരാജയപ്പെട്ടു.
