source_headword	ES	example_ES
heal	sanar	El descanso ayuda al cuerpo a sanar.
healthcare	la asistencia sanitaria	Los costes de la asistencia sanitaria subieron este año.
helmet	el casco	Lleva un casco en la bicicleta.
hence	por lo tanto	Por lo tanto, cambiamos el horario.
herb	la hierba	La albahaca es una hierba útil.
hidden	escondido	La llave estaba escondida bajo el felpudo.
highway	la autopista	La autopista fue cerrada después de nevar.
hilarious	graciosísimo	La película era graciosísima.
hip	la cadera	Se lastimó la cadera durante el entrenamiento.
historian	el historiador	El historiador estudió cartas antiguas.
homeless	sin hogar	El refugio ayuda a las familias sin hogar.
honesty	la honestidad	La honestidad genera confianza.
hook	el gancho	Cuelga el abrigo en el gancho.
hopefully	con suerte	Con suerte, el tren llegará pronto.
hunger	el hambre	El hambre puede afectar a la concentración.
hypothesis	la hipótesis	El experimento probó la hipótesis.
icon	el icono	El icono de la aplicación cambió hoy.
ID	el carnet de identidad	Muestra tu carnet de identidad en recepción.
identical	idéntico	Los gemelos llevaban chaquetas idénticas.
illusion	la ilusión	El espejo crea una ilusión.
immigration	la inmigración	La política de inmigración cambió el año pasado.
immune	inmune	La vacunación puede hacer a las personas inmunes.
implement	implementar	La escuela implementará la política.
implication	la implicación	La implicación era clara.
incentive	el incentivo	El bono dio a los trabajadores un incentivo.
incorporate	incorporar	Incorpora más verduras en las comidas.
incorrect	incorrecto	La respuesta era incorrecta.
independence	la independencia	El país celebró su independencia.
index	el índice	Busca el tema en el índice.
indication	la indicación	La sonrisa era una indicación de alivio.
inevitable	inevitable	Cierto retraso era inevitable.
inevitably	inevitablemente	Inevitablemente, los precios subieron después de la escasez.
infer	inferir	Podemos inferir la respuesta por el contexto.
inflation	la inflación	La inflación aumentó los precios de los alimentos.
info	la información	El sitio web incluye información útil.
infrastructure	la infraestructura	La tormenta dañó la infraestructura local.
inhabitant	el habitante	Cada habitante recibió agua limpia.
inherit	heredar	Ella heredará la casa familiar.
ink	la tinta	La impresora necesita tinta negra.
innovation	la innovación	La innovación impulsa a la industria hacia adelante.
innovative	innovador	La empresa lanzó un producto innovador.
input	el aporte	El gerente pidió aportes.
insert	insertar	Inserta la tarjeta en la máquina.
inspector	el inspector	El inspector revisó el edificio.
installation	la instalación	La instalación duró dos horas.
instant	instantáneo	La aplicación envió una respuesta instantánea.
instantly	al instante	La pantalla se encendió al instante.
integrate	integrar	El software puede integrar nuevas herramientas.
intellectual	intelectual	El debate fue intelectual pero amistoso.
interact	interactuar	Los estudiantes interactúan durante el trabajo en grupo.
interaction	la interacción	La interacción fue educada.
interpretation	la interpretación	Su interpretación del poema fue original.
interval	el intermedio	Hubo un corto intermedio entre los actos.
invade	invadir	El ejército intentó invadir la isla.
invasion	la invasión	La invasión dañó muchos pueblos.
investor	el inversor	El inversor financió una nueva startup.
isolate	aislar	Los médicos aíslan a los pacientes con infecciones graves.
isolated	aislado	El pueblo quedó aislado por la nieve.
jail	la cárcel	El ladrón fue a la cárcel.
jet	el reactor	El reactor aterrizó al mediodía.
joint	conjunto	Anunciaron un proyecto conjunto.
journalism	el periodismo	El periodismo requiere datos precisos.
jury	el jurado	El jurado llegó a una decisión.
kit	el kit	El kit de reparación incluye tornillos.
ladder	la escalera	La escalera estaba apoyada contra la pared.
landing	el aterrizaje	El avión hizo un aterrizaje suave.
lane	el carril	Mantente en el carril derecho.
lately	últimamente	Últimamente he dormido mal.
leaflet	el folleto	El folleto explica el servicio.
legend	la leyenda	La leyenda habla de una ciudad oculta.
lens	el objetivo	Limpia el objetivo de la cámara con cuidado.
lifetime	la vida	Ahorró dinero durante toda la vida.
lighting	la iluminación	La buena iluminación mejora la habitación.
likewise	igualmente	Ella sonrió; él hizo lo mismo.
limitation	la limitación	El plan tiene una limitación.
literally	literalmente	Literalmente corrió hacia el autobús.
literary	literario	El festival honra la obra literaria.
litre	el litro	Compra un litro de leche.
litter	la basura	No tires basura.
logo	el logotipo	El logotipo aparece en cada página.
lottery	la lotería	Ganó un pequeño premio de la lotería.
loyal	leal	El perro era leal a su dueño.
lyric	la letra	La letra repetía la idea principal.
magnificent	magnífico	El palacio se veía magnífico.
make-up	el maquillaje	Llevaba un maquillaje sencillo.
making	la creación	La creación de la película fue difícil.
manufacture	fabricar	La fábrica fabricará teléfonos.
manufacturing	la fabricación	Los trabajos de fabricación aumentaron localmente.
marathon	el maratón	Ella terminó el maratón.
margin	el margen	Escribe notas en el margen.
marker	el rotulador	Usa un rotulador para la etiqueta.
martial	marcial	Estudia artes marciales.
mate	el compañero	Mi antiguo compañero de colegio llamó ayer.
mayor	el alcalde	El alcalde abrió la biblioteca.
mechanic	el mecánico	El mecánico reparó el autobús.
mechanical	mecánico	El reloj tiene un fallo mecánico.
mechanism	el mecanismo	El mecanismo de la cerradura es simple.
medal	la medalla	Ganó una medalla de oro.
medication	el medicamento	Tome el medicamento con agua.
membership	la membresía	La membresía del gimnasio cuesta menos por internet.
memorable	memorable	El viaje fue memorable.
