source_headword	IS	example_IS
absolutely	alveg	Ég er alveg sammála þér.
academic	akademískur	Akademíska árið hefst í september.
access	aðgangur	Nemendur þurfa aðgang að bókasafninu.
accommodation	gisting	Við bókuðum gistingu nálægt stöðinni.
account	reikningur	Hún opnaði nýjan bankareikning.
achievement	árangur	Að ljúka námskeiðinu var mikill árangur.
ad	auglýsing	Auglýsingin sýndi nýjan síma.
addition	viðbót	Sundlaugin er nytsamleg viðbót.
admire	dást að	Ég dáist að rólegu viðhorfi hennar.
admit	viðurkenna	Hann viðurkenndi mistök sín.
advanced	framhalds-	Þetta er framhaldstími í ensku.
advise	ráðleggja	Læknar ráðleggja reglulega hreyfingu.
afford	hafa efni á	Við höfum ekki efni á leigubíl.
aged	á aldrinum	Námskeiðið er fyrir börn á aldrinum tíu ára.
agent	umboðsmaður	Ferðaumboðsmaðurinn breytti miðunum okkar.
agreement	samkomulag	Þau náðu samkomulagi í dag.
ahead	fram undan	Vegurinn fram undan er auður.
aim	stefna að	Við stefnum að því að klára fljótlega.
alarm	vekjaraklukka	Vekjaraklukkan hringdi klukkan sex.
album	plata	Á þessari plötu eru tíu lög.
alcohol	áfengi	Hótelið býður ekki upp á áfengi.
alcoholic	áfengur	Þessi drykkur er ekki áfengur.
amazed	undrandi	Hún var undrandi á niðurstöðunni.
ambition	metnaður	Metnaður hans er að verða flugmaður.
ambitious	metnaðarfullur	Hún hefur metnaðarfulla áætlun.
analyse	greina	Við þurfum að greina niðurstöðurnar.
analysis	greining	Greining hennar var skýr og nákvæm.
announce	tilkynna	Þau tilkynna sigurvegarann á morgun.
announcement	tilkynning	Tilkynningin kom öllum á óvart.
annoy	pirra	Há tónlist getur pirrað nágrannana.
annoyed	pirraður	Hann virtist pirraður eftir seinkunina.
annoying	pirrandi	Þetta hljóð er mjög pirrandi.
apart	í sundur	Húsin standa tvo metra í sundur.
apologize	biðjast afsökunar	Ég biðst afsökunar á seinkuninni.
application	umsókn	Vinsamlegast fylltu út umsóknina á netinu.
appointment	tími	Ég á tíma hjá tannlækni á morgun.
appreciate	meta	Ég met hjálp þína.
approximately	um það bil	Gangan tekur um það bil tuttugu mínútur.
arrest	handtaka	Lögreglan handtók ökumanninn.
arrival	koma	Koma okkar var seinni en búist var við.
assignment	verkefni	Verkefninu á að skila á föstudag.
assist	aðstoða	Hjúkrunarfræðingar aðstoða lækninn.
atmosphere	andrúmsloft	Kaffihúsið hefur rólegt andrúmsloft.
attach	festa við	Festu skrána við tölvupóstinn.
attitude	viðhorf	Viðhorf hans breyttist eftir fundinn.
attract	laða að	Björtu blómin laða að býflugur.
attraction	aðdráttarafl	Kastalinn er vinsælt aðdráttarafl.
authority	yfirvald	Yfirvaldið á staðnum lagfærði veginn.
aware	meðvitaður	Hún er meðvituð um áhættuna.
backwards	aftur á bak	Hann gekk varlega aftur á bak.
bake	baka	Ég baka brauð á hverjum sunnudegi.
balance	jafnvægi	Góðir skór hjálpa til við að halda jafnvægi.
ban	banna	Borgin bannar bíla.
bank (river)	árbakki	Við sátum á árbakkanum.
base	bækistöð	Liðið sneri aftur til bækistöðvarinnar.
basic	grunn-	Allir þurfa grunnfærni í tölvum.
basis	grundvöllur	Traust er grundvöllur vináttu.
battery	rafhlaða	Rafhlaðan í símanum mínum er tóm.
battle	orrusta	Orrustan stóð alla nóttina.
beauty	fegurð	Við dáðumst að fegurð fjallanna.
bee	býfluga	Býflugan settist á blómið.
belief	trú	Trú hans gaf honum hugrekki.
bell	bjalla	Skólabjallan hringdi hátt.
bend	beygja	Beygðu hnén þegar þú lyftir.
bite	bíta	Hundurinn getur bitið ókunnuga.
block	loka	Fallið tré lokaði veginum.
bomb	sprengja	Sprengjan skemmdi nokkrar byggingar.
border	landamæri	Þau fóru yfir landamærin um nóttina.
bother	trufla	Vinsamlegast ekki trufla systur þína.
branch	grein	Greinin brotnaði í storminum.
brand	vörumerki	Þetta vörumerki er vinsælt meðal nemenda.
brave	hugrakkur	Hugrakkur maður bjargaði barninu.
breath	andardráttur	Dragðu djúpt andann.
breathe	anda	Ég get ekki andað í þessum reyk.
breathing	öndun	Öndun hennar var hæg.
bride	brúður	Brúðurin var í hvítum kjól.
bubble	bóla	Bólan svifaði yfir glasinu.
bury	grafa	Þau grófu kassann í sandinn.
calm	rólegur	Vertu rólegur í prófinu.
campaign	herferð	Herferðin safnaði peningum fyrir skóla.
campus	háskólasvæði	Nemendur búa nálægt háskólasvæðinu.
candidate	frambjóðandi	Hver frambjóðandi svaraði þremur spurningum.
cap	húfa	Hann var með hafnaboltahúfu.
captain	skipstjóri	Skipstjórinn talaði við áhöfnina.
careless	kærulaus	Kærulaus mistök kostuðu okkur tíma.
category	flokkur	Veldu réttan flokk.
ceiling	loft	Loftið var málað hvítt.
celebration	hátíð	Hátíðin stóð allt kvöldið.
central	miðlægur	Hótelið er á miðlægum stað.
ceremony	athöfn	Athöfnin hófst um hádegi.
chain	keðja	Hún var með silfurkeðju.
challenge	áskorun	Þetta verkefni er raunveruleg áskorun.
champion	meistari	Meistarinn þakkaði þjálfaranum sínum.
channel	rás	Vinsamlegast skiptu um rás.
chapter	kafli	Lestu næsta kafla í kvöld.
charge	gjald	Börn greiða ekkert gjald.
cheat	svindla	Ekki svindla í prófinu.
cheerful	glaðlegur	Hún hljómaði glaðleg í morgun.
chemical	efnafræðilegur	Efnafræðileg lyktin var sterk.
chest	brjóst	Hann fann til í brjóstinu eftir hlaupið.
childhood	bernska	Ég man heimilið frá bernsku minni.
claim	fullyrða	Þau fullyrða að varan sé örugg.
clause	setningarliður	Þessi setningarliður breytir merkingunni.
click	smella	Smelltu á bláa hnappinn.
client	viðskiptavinur	Viðskiptavinurinn bað um fleiri upplýsingar.
cloth	klútur	Þurrkaðu borðið með þessum klút.
