source_headword	LO	example_LO
abandon	ປະຖິ້ມ	ມື້ວານນີ້ພວກເຂົາປະຖິ້ມແຜນການ.
absolute	ຢ່າງເດັດຂາດ	ບ່ອນນີ້ຕ້ອງການຄວາມຊື່ສັດຢ່າງເດັດຂາດ.
acceptable	ຍອມຮັບໄດ້	ຄໍາຕອບນີ້ຍອມຮັບໄດ້.
accompany	ໄປກັບ	ດົນຕີໄປກັບສາກທັງໝົດ.
accurate	ຖືກຕ້ອງ	ລາຍງານຕ້ອງຖືກຕ້ອງ.
accuse	ກ່າວຫາ	ນາງບໍ່ຢາກກ່າວຫາເຂົາໂດຍບໍ່ມີຫຼັກຖານ.
acknowledge	ຍອມຮັບ	ເຂົາຍອມຮັບບັນຫາຢ່າງຊັດເຈນ.
acquire	ໄດ້ຮັບ	ນາງໄດ້ຮັບທັກສະໃໝ່ຢ່າງໄວ.
actual	ແທ້ຈິງ	ຄ່າໃຊ້ຈ່າຍແທ້ຈິງສູງກວ່າທີ່ຄາດ.
adapt	ປັບຕົວ	ທີມປັບຕົວກັບກົດໃໝ່.
additional	ເພີ່ມເຕີມ	ພວກເຮົາຕ້ອງການຂໍ້ມູນເພີ່ມເຕີມ.
administration	ການບໍລິຫານ	ການບໍລິຫານສົ່ງແຈ້ງການແລ້ວ.
adopt	ນໍາໃຊ້	ໂຮງຮຽນນໍາໃຊ້ນະໂຍບາຍໃໝ່.
advance	ກ້າວໜ້າ	ການຄົ້ນຄວ້າຊ່ວຍໃຫ້ໂຄງການກ້າວໜ້າ.
affair	ເລື່ອງ	ນີ້ເປັນເລື່ອງສ່ວນຕົວຂອງຄອບຄົວ.
afterwards	ຫຼັງຈາກນັ້ນ	ພວກເຂົາພົບກັນອີກຫຼັງຈາກນັ້ນ.
agency	ອົງການ	ອົງການຈັດການການເດີນທາງ.
agenda	ວາລະ	ວາລະມີຫ້າຫົວຂໍ້ສໍາຄັນ.
aggressive	ກ້າວຮ້າວ	ນ້ໍາສຽງຂອງເຂົາຟັງກ້າວຮ້າວ.
aid	ຄວາມຊ່ວຍເຫຼືອ	ບ້ານນັ້ນໄດ້ຮັບຄວາມຊ່ວຍເຫຼືອດ່ວນ.
aircraft	ເຮືອບິນ	ເຮືອບິນລົງຈອດຊ້າ.
alter	ປ່ຽນແປງ	ການຕັດສິນໃຈນີ້ອາດປ່ຽນແປງແຜນ.
anger	ຄວາມໂກດ	ຄວາມໂກດຂອງນາງຫຼຸດລົງຊ້າໆ.
angle	ມຸມ	ຖ່າຍຮູບຈາກມຸມນີ້ດີກວ່າ.
anniversary	ວັນຄົບຮອບ	ພວກເຂົາສະຫຼອງວັນຄົບຮອບທີສິບ.
annual	ປະຈໍາປີ	ລາຍງານປະຈໍາປີອອກໃນເດືອນມິຖຸນາ.
anxious	ກັງວົນ	ເຂົາກັງວົນກ່ຽວກັບຜົນ.
apparent	ຊັດເຈນ	ເຫດຜົນຊັດເຈນແມ່ນຂາດເວລາ.
apparently	ເບິ່ງຄືວ່າ	ເບິ່ງຄືວ່ານາງບໍ່ໄດ້ຍິນຄໍາຖາມ.
appeal	ດຶງດູດ	ຄວາມຄິດນີ້ດຶງດູດນັກຮຽນຫຼາຍຄົນ.
approach	ວິທີການ	ວິທີການໃໝ່ນີ້ໄດ້ຜົນ.
appropriate	ເໝາະສົມ	ເສື້ອຜ້ານີ້ເໝາະສົມກັບພິທີ.
approval	ການອະນຸມັດ	ໂຄງການຕ້ອງການການອະນຸມັດກ່ອນ.
approve	ອະນຸມັດ	ຄະນະກໍາມະການອະນຸມັດແຜນ.
arise	ເກີດຂຶ້ນ	ບັນຫາໃໝ່ອາດເກີດຂຶ້ນພາຍຫຼັງ.
armed	ມີອາວຸດ	ຕໍາຫຼວດເຫັນຊາຍມີອາວຸດ.
arms	ອາວຸດ	ປະເທດນັ້ນຫຼຸດການຊື້ອາວຸດ.
artificial	ປອມ	ແສງປອມເຮັດໃຫ້ຫ້ອງສະຫວ່າງ.
artistic	ສິລະປະ	ການອອກແບບນີ້ມີຄວາມຮູ້ສຶກສິລະປະ.
ashamed	ອາຍ	ເຂົາອາຍຕໍ່ຄວາມຜິດຂອງຕົນ.
aspect	ດ້ານ	ພວກເຮົາຄຸຍກັນເຖິງດ້ານສໍາຄັນໜຶ່ງ.
assess	ປະເມີນ	ຄູປະເມີນວຽກຂອງນັກຮຽນ.
assessment	ການປະເມີນ	ການປະເມີນຈະເລີ່ມອາທິດໜ້າ.
associate	ເຊື່ອມໂຍງ	ຄົນຫຼາຍເຊື່ອມໂຍງກິ່ນນີ້ກັບບ້ານ.
associated	ກ່ຽວຂ້ອງ	ຄວາມສ່ຽງກ່ຽວຂ້ອງຖືກອະທິບາຍຊັດເຈນ.
association	ສະມາຄົມ	ສະມາຄົມຈັດການສໍາມະນາ.
assume	ສົມມຸດ	ຢ່າສົມມຸດວ່າພວກເຂົາຮູ້ເລື່ອງນີ້.
attempt	ຄວາມພະຍາຍາມ	ເຂົາພະຍາຍາມອະທິບາຍອີກຄັ້ງ.
bacteria	ແບັກທີເຣຍ	ແບັກທີເຣຍອາດເຕີບໃນນ້ໍາສົກກະປົກ.
barrier	ອຸປະສັກ	ພາສາເປັນອຸປະສັກສໍາລັບພວກເຂົາ.
basically	ໂດຍພື້ນຖານ	ໂດຍພື້ນຖານຄວາມຄິດນີ້ງ່າຍຫຼາຍ.
bear (deal with)	ທົນ	ນາງບໍ່ສາມາດທົນຄວາມກົດດັນນີ້ອີກ.
beg	ອ້ອນວອນ	ເດັກນ້ອຍອ້ອນວອນຂໍຄວາມຊ່ວຍ.
being	ສິ່ງມີຊີວິດ	ທຸກສິ່ງມີຊີວິດຕ້ອງການນ້ໍາ.
bent	ງໍ	ແທ່ງເຫຼັກນັ້ນງໍ.
bet	ພະນັນ	ຂ້ອຍພະນັນວ່າເຈົ້າຈະມັກເລື່ອງນີ້.
beyond	ເກີນ	ບັນຫານີ້ເກີນການຄວບຄຸມຂອງພວກເຮົາ.
bitter	ຂົມ	ຢານີ້ມີລົດຂົມ.
blame	ໂທດ	ຢ່າໂທດທີມທັງໝົດ.
blind	ຕາບອດ	ໝາຊ່ວຍຊາຍຕາບອດຂ້າມຖະໜົນ.
bond	ສາຍສໍາພັນ	ພວກເຂົາມີສາຍສໍາພັນຄອບຄົວແຂງແຮງ.
breast	ເອິກ	ທ່ານໝໍກວດອາການເຈັບເອິກ.
brief	ສັ້ນ	ເຂົາໃຫ້ຄໍາອະທິບາຍສັ້ນ.
broad	ກວ້າງ	ຖະໜົນນີ້ກວ້າງກວ່າເກົ່າ.
broadcast	ອອກອາກາດ	ສະຖານີອອກອາກາດຂ່າວຕອນແລງ.
budget	ງົບປະມານ	ງົບປະມານປີນີ້ຖືກຫຼຸດລົງ.
bullet	ລູກປືນ	ຕໍາຫຼວດພົບລູກປືນຢູ່ບ່ອນນັ້ນ.
bunch	ກຸ່ມ	ກຸ່ມເດັກນ້ອຍຢືນຢູ່ໜ້າຮ້ານ.
bush	ພຸ່ມໄມ້	ລູກບານຕົກເຂົ້າພຸ່ມໄມ້.
cable	ສາຍໄຟ	ສາຍໄຟນີ້ເຊື່ອມຄອມພິວເຕີກັບຈໍ.
