simplified	CS	example_CS
哎	hej; ach	Hej, proč jsi přišel?
唉	ach; povzdech	Ach, zase jsem přišel pozdě.
爱护	chránit; pečovat	Musíme chránit životní prostředí.
爱惜	vážit si; šetřit	Važ si svého času.
爱心	soucit; laskavost	Je velmi laskavá.
安慰	utěšit	Přítel mě utěšil.
安装	instalovat	Pracovník instaluje klimatizaci.
岸	břeh	Loď se pomalu blíží ke břehu.
暗	tmavý	V pokoji je velmi tma.
熬夜	být dlouho vzhůru	Ponocování škodí zdraví.
把握	jistota; uchopit	Nemám jistotu, že to zvládnu dobře.
摆	uspořádat	Uspořádej židle pěkně do řady.
办理	vyřídit	Musím jít do banky vyřídit záležitosti.
傍晚	podvečer	Večer se půjdeme projít.
包裹	balík	Dostal jsem balík.
包含	obsahovat	Cena zahrnuje snídani.
包括	zahrnovat	Poplatek zahrnuje oběd.
薄	tenký	Tato kniha je tenká.
保持	udržet; zachovat	Zachovejte ticho.
保存	uložit; uchovat	Ulož tento soubor.
保留	rezervovat; ponechat	Rezervuj mi místo.
保险	pojištění	Koupil jsem cestovní pojištění.
宝贝	poklad	Tohle je můj poklad.
宝贵	cenný	Čas je velmi cenný.
报到	zaregistrovat se; hlásit se	Noví studenti se dnes hlásí ve škole.
报道	informovat; zpráva	Zprávy o této věci informovaly.
报告	zpráva; prezentace	Právě přednáší zprávu.
报社	redakce novin	Pracuje v redakci novin.
抱怨	stěžovat si	Stále si stěžuje, že má moc práce.
悲观	pesimistický	Nebuď příliš pesimistický.
背	záda	Sedí zády ke dveřím.
背景	pozadí	Stručně představ své zázemí.
被子	přikrývka	Přikrývka je velmi teplá.
本科	bakalářské studium; pregraduální studium	Je studentem bakalářského studia.
本领	dovednost	Naučil se novou dovednost.
本质	podstata	Podstata problému je velmi jednoduchá.
彼此	navzájem	Měli bychom se navzájem respektovat.
比例	poměr	Poměr mužů a žen je přibližně stejný.
必然	nevyhnutelný	Pilná práce nevyhnutelně přinese výsledky.
必要	nutný; potřeba	Není nutné si dělat starosti.
毕竟	koneckonců	Koneckonců je ještě dítě.
避免	vyhnout se	Vyhni se pozdnímu příchodu.
编辑	upravit; redaktor	On je zodpovědný za úpravu tohoto článku.
鞭炮	petardy; ohňostroje	Během Svátků jara někteří lidé odpalují petardy.
便	potom; pohodlný	Po jídle šel na hodinu.
辩论	debata; debatovat	Debatují o této otázce.
标点	interpunkce	Dávej pozor na interpunkci.
标志	znak; symbol	Červené světlo je znamení k zastavení.
表达	vyjádřit	Vyjádřil svůj názor.
表面	povrch	Povrch stolu je velmi čistý.
表明	ukázat; svědčit	Výsledek ukazuje, že má pravdu.
表情	výraz	Jeho výraz je velmi vážný.
表现	výkon; projevit se	Dnes podal velmi dobrý výkon.
冰激凌	zmrzlina	Děti rády jedí zmrzlinu.
病毒	virus	Tento virus se šíří velmi rychle.
