source_headword	LT	example_LT
incur	patirti	Dėl vėlavimo galima patirti papildomų išlaidų.
indicator	rodiklis	Nedarbas yra vienas ekonominis rodiklis.
indictment	kaltinamasis aktas	Kaltinamajame akte buvo nurodyti trys kaltinimai.
indigenous	vietinis	Vietiniai augalai čia gerai auga.
induce	sukelti	Vaistai gali sukelti miegą.
indulge	tenkinti	Ji netenkina brangių įpročių.
inequality	nelygybė	Pajamų nelygybė išlieka pagrindinė problema.
infamous	liūdnai pagarsėjęs	Kalėjimas tapo liūdnai pagarsėjęs visame pasaulyje.
infant	kūdikis	Kūdikis miegojo lovelėje.
infect	užkrėsti	Virusas gali užkrėsti sveikas ląsteles.
inflict	sukelti	Nesukelkite skausmo gyvūnams.
influential	įtakingas	Ji yra įtakinga teisės mokslininkė.
inherent	būdingas	Dizainas turi būdingų pavojų.
inhibit	slopinti	Baimė gali slopinti sąžiningą diskusiją.
initiate	inicijuoti	Vadovas inicijuos peržiūrą.
inject	suleisti	Slaugytoja suleis vakciną.
injection	injekcija	Injekcija sumažino skausmą.
injustice	neteisybė	Nutartis atskleidė akivaizdžią neteisybę.
inmate	kalinys	Kalinys paprašė teisinės konsultacijos.
insertion	įterpimas	Formoje reikia vieno teksto įterpimo.
insider	saviškis	Saviškis nutekino ataskaitą.
inspect	apžiūrėti	Pareigūnai kasmet tikrina tiltą.
inspection	patikrinimas	Patikrinimas atskleidė rimtą žalą.
inspiration	įkvėpimas	Jos kalba suteikė man įkvėpimo.
instinct	instinktas	Jo pirmasis instinktas buvo padėti.
institutional	institucinis	Institucinės taisyklės lėmė sprendimą.
instruct	instruktuoti	Vadovas instruktuos naują personalą.
instrumental	lemiamas	Jos patarimas buvo lemiamas derybose.
insufficient	nepakankamas	Įrodymų kaltinimams buvo nepakankamai.
insult	įžeidimas	Jo įžeidimas užbaigė pokalbį.
intact	nepažeistas	Senovinė siena išliko nepažeista.
intake	suvartojimas	Cukraus suvartojimas turėtų išlikti saikingas.
integral	neatsiejamas	Pasitikėjimas yra neatsiejama komandos dalis.
integrated	integruotas	Mokykla siūlo integruotą pagalbą.
integration	integracija	Integracija pagerino visą sistemą.
integrity	sąžiningumas	Teisėjas parodė didelį sąžiningumą.
intensify	sustiprėti	Audra per naktį gali sustiprėti.
intensity	intensyvumas	Treniruočių intensyvumas padidėjo.
intensive	intensyvus	Jie baigė intensyvius kalbos mokymus.
intent	ketinimas	Jo ketinimą buvo sunku įrodyti.
interactive	interaktyvus	Muziejuje yra interaktyvių parodų.
interface	sąsaja	Sąsaja yra lengva naršyti.
interfere	kištis	Nesikiškite į tyrimą.
interference	trukdžiai	Signalo trukdžiai nutraukė skambutį.
interim	tarpinis	Tarpinė ataskaita bus pateikta rytoj.
interior	vidinis	Vidines sienas reikia nudažyti.
intermediate	vidutinis	Ji prisijungė prie vidutinio lygio klasės.
intervene	įsikišti	Policijai teko greitai įsikišti.
intervention	intervencija	Ankstyva intervencija padėjo pacientui.
intimate	intymus	Jie surengė intymią šeimos ceremoniją.
intriguing	intriguojantis	Duomenai atskleidė intriguojantį modelį.
investigator	tyrėjas	Tyrėjas apklausė kiekvieną liudytoją.
invisible	nematomas	Dujos yra nematomos ir pavojingos.
invoke	remtis	Advokatas bandė remtis precedentu.
involvement	dalyvavimas	Jo dalyvavimas liko neaiškus.
ironic	ironiškas	Ironiškas komentaras visus prajuokino.
ironically	ironiškai	Ironiška, bet maršrutas truko ilgiau.
irony	ironija	Ironija buvo akivaizdi visiems.
irrelevant	nesvarbus	Ta detalė čia nesvarbi.
isolation	izoliacija	Izoliacija gali pakenkti psichikos sveikatai.
judicial	teisminis	Teisminė peržiūra prasideda pirmadienį.
junction	sankryža	Sankryžoje sukite į kairę.
jurisdiction	jurisdikcija	Teismo jurisdikcija yra ribota.
just	teisingas	Teisėjas priėmė teisingą sprendimą.
justification	pagrindimas	Mums reikia aiškaus išlaidų pagrindimo.
kidnap	pagrobti	Nusikaltėliai bandė pagrobti diplomatą.
kidney	inkstas	Jos inkstų funkcija pagerėjo.
kingdom	karalystė	Jo valdymo laikotarpiu karalystė išsiplėtė.
lad	vaikinas	Jaunas vaikinas nešė krepšius.
landlord	nuomotojas	Nuomotojas suremontavo šildymą.
landmark	orientyras	Bokštas tapo miesto orientyru.
lap	keliai	Vaikas sėdėjo jai ant kelių.
large-scale	didelio masto	Miestas planavo didelio masto remontą.
laser	lazeris	Lazeris išmatavo atstumą.
latter	pastarasis	Pastarasis variantas atrodo saugesnis.
lawn	veja	Vaikai žaidė ant vejos.
lawsuit	ieškinys	Įmonė išsprendė ieškinį.
layout	išdėstymas	Puslapio išdėstymas atrodo aiškesnis.
leak	nuotėkis	Vamzdžio nuotėkis užtvindė virtuvę.
leap	šuolis	Pardavimai padarė staigų šuolį.
legacy	palikimas	Jos palikimas suformavo universitetą.
legendary	legendinis	Legendinis dainininkas grįžo į sceną.
legislation	teisės aktai	Nauji teisės aktai saugo nuomininkus.
legislative	įstatymų leidybos	Įstatymų leidybos komitetas posėdžiavo šiandien.
legislature	įstatymų leidžiamoji valdžia	Įstatymų leidžiamoji valdžia patvirtino biudžetą.
legitimate	pagrįstas	Jie iškėlė pagrįstų susirūpinimų.
lengthy	ilgas	Ilgos diskusijos atidėjo balsavimą.
lesbian	lesbietė	Lesbiečių aktyvistė kalbėjo forume.
lesser	mažesnis	Pasirinkite mažesnę riziką.
lethal	mirtinas	Cheminė medžiaga gali būti mirtina.
liable	atsakingas	Vairuotojai yra atsakingi už žalą.
liberal	liberalus	Jis palaiko liberalią socialinę politiką.
liberation	išlaisvinimas	Išlaisvinimas pakeitė šalies ateitį.
liberty	laisvė	Įstatymas saugo asmens laisvę.
license	licencijuoti	Valstybė gali licencijuoti naujas klinikas.
lifelong	visą gyvenimą trunkantis	Ten ji susirado draugų visam gyvenimui.
likelihood	tikimybė	Lietaus tikimybė padidėjo.
limb	galūnė	Sužeista galūnė lėtai gijo.
linear	linijinis	Diagrama rodo linijinę tendenciją.
line-up	sąrašas	Festivalio sąraše yra vietinių grupių.
linger	užtrukti	Kvapas gali tvyroti valandų valandas.
listing	skelbimas	Buto skelbimas atrodė tikslus.
literacy	raštingumas	Suaugusiųjų raštingumo programos išsiplėtė.
liver	kepenys	Kepenys filtruoja kenksmingas medžiagas.
lobby	fojė	Po pietų vestibiulis buvo sausakimšas.
log	žurnalas	Sistema veda kasdienį žurnalą.
logic	logika	Jo argumento logika nepasiteisino.
long-standing	ilgalaikis	Jie išsprendė ilgalaikį ginčą.
long-time	ilgametis	Ji yra ilgametė savanorė.
loom	tvenktis	Tamsūs debesys tvenkiasi virš slėnio.
loop	kilpa	Takas sudaro kilpą.
loyalty	ištikimybė	Jo ištikimybė padarė įspūdį komandai.
machinery	technika	Gamykla sumontavo naujas mašinas.
magical	stebuklingas	Sodas naktį atrodė stebuklingas.
magistrate	teisėjas	Teisėjas išklausė bylą.
magnetic	magnetinis	Magnetinis laukas paveikė kompasą.
magnitude	mastas	Žalos mastas buvo aiškus.
mainland	žemynas	Keltas jungia salas su žemynu.
mainstream	pagrindinė srovė	Ši idėja tapo pagrindinės politikos dalimi.
maintenance	priežiūra	Reguliari priežiūra užkerta kelią gedimams.
mandate	mandatas	Prezidentas tvirtino turįs stiprų mandatą.
mandatory	privalomas	Stažuotojams dalyvavimas yra privalomas.
manifest	pasireikšti	Simptomai gali pasireikšti po kelių savaičių.
manipulate	manipuliuoti	Nemanipuliuokite apklausos rezultatais.
manipulation	manipuliacija	Duomenų manipuliacija buvo atskleista.
manuscript	rankraštis	Leidėjas priėmė jos rankraštį.
march	žygiuoti	Protestuotojai žygiuos į miesto centrą.
marginal	marginalus	Pokytis davė nereikšmingos naudos.
marine	jūrinis	Jūrų gyvūnijai reikia švaraus vandens.
marketplace	prekyvietė	Internetinė prekyvietė greitai išsiplėtė.
mask	kaukė	Darbininkai privalo dėvėti kaukę.
massacre	žudynės	Žudynės šokiravo visą regioną.
mathematical	matematinis	Matematinis modelis prognozavo paklausą.
mature	subrendęs	Subrendę medžiai teikia pavėsį.
maximize	maksimaliai padidinti	Atnaujinimas maksimaliai padidins baterijos veikimo laiką.
meaningful	prasmingas	Jie turėjo prasmingą pokalbį.
meantime	tuo tarpu	Tuo tarpu palaukite lauke.
medieval	viduramžių	Pilis turi viduramžių sienas.
meditation	meditacija	Kasdienė meditacija ramina jos protą.
melody	melodija	Melodija išliko mano galvoje.
memo	memorandumas	Memorandumas paaiškino politiką.
memoir	memuarai	Jos memuarai aprašo vaikystės tremtį.
memorial	memorialas	Memorialas pagerbia vietos karius.
mentor	mentorius	Jos mentorius peržiūrėjo pasiūlymą.
merchant	pirklys	Pirklys pardavinėjo šilką ir prieskonius.
mercy	gailestingumas	Teisėjas parodė gailestingumą.
mere	vien	Vienas žvilgsnis atskleidė klaidą.
merely	tik	Ji tik pakartojo instrukcijas.
merge	susijungti	Dvi įmonės susijungs.
merger	susijungimas	Susijungimas sukūrė didesnį banką.
merit	vertė	Pasiūlymas turi aiškią vertę.
methodology	metodologija	Tyrimas paaiškina savo metodologiją.
midst	vidurys	Jie dirbo chaoso viduryje.
migration	migracija	Sezoninė migracija veikia vietines darbo vietas.
militant	karingas	Karinga grupuotė atmetė derybas.
militia	milicija	Milicija kontroliavo kelią.
mill	malūnas	Senas malūnas tapo muziejumi.
minimal	minimalus	Planas reikalauja minimalių pastangų.
minimize	sumažinti	Privalome sumažinti nereikalingą riziką.
mining	kasyba	Kasyba pakenkė upės slėniui.
ministry	ministerija	Ministerija paskelbė naujas taisykles.
minute2	mažytis	Stikle atsirado mažytis įtrūkimas.
miracle	stebuklas	Jo pasveikimas atrodė kaip stebuklas.
misery	kančia	Pabėgėliai ištvėrė ilgus metus vargo.
misleading	klaidinantis	Klaidinantis grafikas supainiojo skaitytojus.
missile	raketa	Raketos bandymas padidino įtampą.
mob	minia	Pikta minia užblokavo eismą.
mobility	mobilumas	Geresni autobusai pagerina judumą mieste.
mobilize	mobilizuoti	Lyderiai greitai mobilizuoja savanorius.
moderate	nuosaikus	Kandidatas turi nuosaikias pažiūras.
modification	modifikacija	Dizainui reikia vieno pakeitimo.
momentum	pagreitis	Kampanija greitai įgavo pagreitį.
monk	vienuolis	Vienuolis gyveno tyloje.
monopoly	monopolis	Įmonė turėjo monopolį.
morality	moralė	Kursas nagrinėja viešąją moralę.
motive	motyvas	Policija apklausė jo motyvą.
motorist	vairuotojas	Vairuotojas sustojo prie raudono šviesoforo signalo.
municipal	savivaldybės	Šiemet savivaldybės paslaugos pagerėjo.
mutual	abipusis	Jie pasiekė abipusį susitarimą.
namely	būtent	Išlieka viena problema, būtent finansavimas.
nationwide	visoje šalyje	Streikas sukėlė vėlavimus visoje šalyje.
naval	jūrų laivyno	Jūrų laivyno bazė buvo uždaryta pernai.
neglect	apleisti	Neapleiskite pagrindinio saugumo.
neighbouring	kaimyninis	Kaimyniniai miestai dalijosi ligonine.
nest	lizdas	Paukštis susisuko lizdą.
net	grynasis	Grynasis pelnas smarkiai išaugo.
newsletter	naujienlaiškis	Naujienlaiškis atkeliauja kiekvieną penktadienį.
niche	niša	Įmonė rado pelningą nišą.
noble	kilnus	Jos kilnus poelgis visiems padarė įspūdį.
nod	linktelėti	Prašau linktelėti, jei suprantate.
