source_headword	RU	example_RU
toss	бросать	Она бросила ключи на стол.
total	составлять в сумме	Ремонт в сумме обошелся дороже, чем ожидалось.
toxic	токсичный	Токсичный дым заставил всех выйти на улицу.
trademark	торговая марка	Логотип стал торговой маркой компании.
trail	тропа	Тропа вела через лес.
trailer	трейлер	В трейлере была показана концовка фильма.
transaction	транзакция	Транзакция появилась в моей банковской выписке.
transcript	выписка оценок	Студент запросил официальную выписку оценок.
transformation	трансформация	Город пережил масштабную трансформацию.
transit	перевозка	Посылка была повреждена во время перевозки.
transmission	передача	Передача данных была безопасной.
transparency	прозрачность	В отчете содержался призыв к большей прозрачности.
transparent	прозрачный	Процесс должен быть прозрачным для всех.
trauma	травма	Авария оставила глубокую травму.
treaty	договор	Страны подписали мирный договор.
tremendous	огромный	Команда добилась колоссального прогресса.
tribal	племенной	В музее было выставлено племенное искусство.
tribunal	трибунал	Трибунал заслушивал показания всю неделю.
tribute	дань уважения	Концерт был данью уважения к ней.
trio	трио	Трио выступило на фестивале.
triumph	триумф	Победа стала личным триумфом.
trophy	кубок	Капитан с гордостью поднял кубок.
troubled	проблемный	Проблемной компании требовалось новое руководство.
trustee	попечитель	Попечитель управляет стипендиальным фондом.
tuition	плата за обучение	Плата за ее обучение в этом году выросла.
turnout	явка	Явка избирателей оказалась выше ожидаемой.
turnover	текучесть кадров	Текучесть кадров снизилась после изменений.
twist	откручивать	Она открутила крышку.
undergraduate	студент	Студент присоединился к исследовательскому проекту.
underlying	основной	В отчете объяснялись основные причины.
undermine	подрывать	Скандал подорвал доверие общественности.
undoubtedly	несомненно	Она, несомненно, лучший кандидат.
unify	объединять	План направлен на объединение команд.
unprecedented	беспрецедентный	Шторм нанес беспрецедентный ущерб.
unveil	представлять	Компания представит дизайн завтра.
upcoming	предстоящий	Предстоящие выборы привлекли внимание общественности.
upgrade	обновлять	Прошлой ночью мы обновили программное обеспечение.
uphold	поддерживать	Мы поддерживаем первоначальное решение.
utility	коммунальные услуги	Квартира включает в себя все коммунальные платежи.
utilize	использовать	Команда использовала доступные данные.
utterly	совершенно	Объяснение было совершенно запутанным.
vacuum	вакуум	Вакуум в руководстве создал напряженность.
vague	расплывчатый	Его ответ был расплывчатым и слабым.
validity	обоснованность	Исследование поставило под сомнение обоснованность теста.
vanish	исчезать	Файл исчез из папки.
variable	переменная	Цена — это одна из важных переменных.
varied	разнообразный	Курс предлагает разнообразные задания.
vein	вена	Медсестра быстро нашла вену.
venture	предприятие	Новое предприятие привлекло инвесторов.
verbal	устный	Они достигли устного соглашения.
verdict	вердикт	Присяжные вынесли свой вердикт.
verify	подтверждать	Пожалуйста, подтвердите ваш адрес электронной почты.
verse	строфа	Она процитировала строфу из стихотворения.
versus	против	Дебаты были на тему неприкосновенности частной жизни против безопасности.
vessel	судно	Судно перевозило зерно через море.
veteran	ветеран	Ветеран обучал новых сотрудников.
viable	жизнеспособный	Предложение финансово жизнеспособно.
vibrant	оживленный	В городе оживленная культурная жизнь.
vice	порок	Жадность была его величайшим пороком.
vicious	жестокий	Жестокое нападение потрясло город.
villager	житель деревни	Житель деревни проводил нас к реке.
violate	нарушать	Компания может нарушать правила безопасности.
violation	нарушение	Инспектор сообщил о серьезном нарушении.
virtue	добродетель	Терпение — важная добродетель.
vocal	открыто высказывающийся	Она открыто высказывалась о решении.
vow	клясться	Он поклялся закончить работу.
vulnerability	уязвимость	Аудит выявил уязвимость в системе безопасности.
vulnerable	уязвимый	Дети уязвимы во время сильной жары.
ward	палата	Пациент перевелся в другую палату.
warehouse	склад	На складе хранятся запасные части.
warfare	военные действия	Современные военные действия опираются на технологии.
warrant	ордер	Полиция предъявила ордер на обыск.
warrior	воин	Воин защищал деревню.
weaken	ослаблять	Травма ослабила его хватку.
weave	плести	Она научилась плести корзины.
weed	сорняк	Между камнями вырос сорняк.
well	колодец	Деревенский колодец пересох.
well-being	хорошее самочувствие	Сон жизненно важен для хорошего самочувствия.
whatsoever	вообще	Он не проявил вообще никакого интереса.
whereby	посредством которого	Закон создал систему, посредством которой семьи могли подавать апелляции.
whilst	пока	Она работала, пока он отдыхал.
whip	трепать	Ветер может трепать флаги.
wholly	полностью	Решение было полностью неожиданным.
widen	расширять	Город планирует расширить дорогу.
widow	вдова	Вдова живет рядом со школой.
width	ширина	Измерьте ширину двери.
willingness	готовность	Ее готовность помочь впечатлила всех.
wipe	протирать	Протрите экран тканью.
wit	остроумие	Его остроумие сделало речь живой.
withdrawal	отзыв	Отзыв финансирования задержал проект.
workout	тренировка	Тренировка длилась сорок минут.
worship	богослужение	Люди собрались на богослужение на рассвете.
worthwhile	стоящий	Поездка была стоящей.
worthy	достойный	Благотворительная организация достойна поддержки.
yell	кричать	Не кричите на персонал.
yield	урожайность	Урожайность фермы в этом сезоне улучшилась.
youngster	ребенок	Ребенок задавал много вопросов.
