source_headword	HR	example_HR
strengthen	ojačati	Nova politika će ojačati online sigurnost.
strictly	strogo	Ulaznice su strogo ograničene na dvije po osobi.
striking	upadljiv	Slika ima upadljive boje.
stroke	potez	Povukla je jedan potez preko papira.
stunning	zapanjujući	Pogled na planinu bio je zapanjujući.
subsequent	naknadni	Naknadni sastanak potvrdio je proračun.
subsequently	naknadno	Cesta je zatvorena; naknadno se promet odvijao usporeno.
suburb	predgrađe	Oni žive u mirnom predgrađu.
suffering	patnja	Lijek mu je ublažio patnju.
sufficient	dovoljan	Tim ima dovoljno vremena.
sufficiently	dovoljno	Soba je dovoljno topla.
super	super	Novi tablet je super brz.
surgeon	kirurg	Kirurg je popravio oštećeno koljeno.
survival	preživljavanje	Čista voda bitna je za preživljavanje.
survivor	preživjeli	Preživjeli je opisao poplavu.
suspend	obustaviti	Škola bi mogla obustaviti izlet.
sustainable	održiv	Farma koristi održive metode.
swallow	progutati	Progutajte tabletu s vodom.
sympathetic	suosjećajan	Menadžer je bio suosjećajan prema njezinom problemu.
tackle	uhvatiti se u koštac	Moramo se uhvatiti u koštac sa stambenim problemom.
tag	etiketa	Torba je imala etiketu s cijenom.
tap	slavina	Zatvorila je slavinu.
technological	tehnološki	Tehnološke promjene utječu na svako radno mjesto.
teens	tinejdžeri	Mnogi tinejdžeri svakodnevno koriste društvene mreže.
temple	hram	Hram se nalazio blizu rijeke.
temporarily	privremeno	Ured je privremeno zatvoren.
tendency	sklonost	On ima sklonost kašnjenju.
tension	napetost	Napetost je rasla tijekom rasprave.
terms	uvjeti	Uvjeti ugovora bili su jasni.
terribly	užasno	Dijete je bilo užasno uzrujano.
terrify	prestraviti	Glasni zvukovi prestravljuju psa.
territory	teritorij	Karta prikazuje novi teritorij.
terror	teror	Teror se proširio nakon napada.
terrorism	terorizam	Terorizam prijeti javnoj sigurnosti.
terrorist	terorist	Policija je jučer uhitila terorista.
testing	testiranje	Testiranje proizvoda počinje u ponedjeljak.
textbook	udžbenik	Zaboravila je udžbenik iz biologije.
theft	krađa	Krađa se povećala u tom području.
therapist	terapeut	Terapeut mu je pomogao upravljati tjeskobom.
thesis	teza	Njezina teza ispituje online učenje.
thorough	temeljit	Temeljit pregled nije pronašao greške.
thoroughly	temeljito	Temeljito očistite ranu.
thumb	palac	Podigao je palac u znak odobravanja.
timing	vrijeme	Vrijeme poziva bilo je savršeno.
tissue	maramica	Obrisala je čašu maramicom.
ton	tona	Kamion je prevozio tonu pijeska.
tonne	tona	Pošiljka je težila jednu tonu.
tournament	turnir	Teniski turnir počinje sutra.
trace	ući u trag	Znanstvenici mogu ući u trag izvoru virusa.
trading	trgovanje	Trgovanje dionicama prestalo je u podne.
tragedy	tragedija	Nesreća je bila strašna tragedija.
tragic	tragičan	Sudar je imao tragične posljedice.
trait	osobina	Strpljenje je korisna osobina.
transmit	prenijeti	Komarci mogu prenijeti bolest.
transportation	prijevoz	Javni prijevoz je danas pun.
trap	zamka	Kutija može sigurno uhvatiti insekte.
treasure	blago	Stara škrinja skrivala je blago.
tribe	pleme	Pleme je štitilo svoje tradicije.
trigger	pokrenuti	Dim može pokrenuti alarm.
trillion	bilijun	Dug je dosegao bilijun dolara.
troop	trupa	Trupa je krenula prema granici.
tsunami	cunami	Cunami je uništio obalne domove.
ultimate	konačan	Konačni cilj je mir.
unacceptable	neprihvatljiv	Kašnjenje je putnicima bilo neprihvatljivo.
uncertainty	nesigurnost	Nesigurnost je učinila investitore nervoznima.
undergo	proći	Pacijent će sutra proći operaciju.
undertake	poduzeti	Tim će poduzeti anketu.
unfold	odvijati se	Drama se polako počela odvijati.
unfortunate	nesretan	Greška je bila nesretna, ali popravljiva.
unite	ujediniti	Lideri su pokušali ujediniti stranku.
unity	jedinstvo	Govor je pozvao na nacionalno jedinstvo.
universal	univerzalan	Aplikacija koristi univerzalan dizajn.
urgent	hitan	Bolnica je primila hitan poziv.
usage	upotreba	Vodič objašnjava ispravnu upotrebu.
useless	beskoristan	Pokvareni punjač je beskoristan.
valid	važeći	Vaša putovnica je još uvijek važeća.
variation	varijacija	Postoji velika varijacija u cijenama.
vertical	okomit	Grafikon ima okomitu os.
viewpoint	gledište	Njezino se gledište promijenilo nakon debate.
visa	viza	Prijavio se za studentsku vizu.
visible	vidljiv	Znak je vidljiv odavde.
voluntary	dobrovoljan	Tečaj uključuje dobrovoljne radionice.
voting	glasanje	Prijevremeno glasanje počinje sljedeći tjedan.
wander	lutati	Turisti lutaju kroz staru tržnicu.
warming	zatopljenje	Globalno zatopljenje utječe na razinu mora.
weekly	tjedni	Tim održava tjedni sastanak.
weird	čudan	Buka je zvučala čudno.
welfare	socijalna skrb	Program podržava dječju socijalnu skrb.
wheat	pšenica	Poljoprivrednik uzgaja pšenicu.
whoever	tko god	Tko god stigne prvi, trebao bi pričekati vani.
widespread	raširen	Oluja je uzrokovala raširenu štetu.
wisdom	mudrost	Njezina je baka podijelila praktičnu mudrost.
withdraw	povući	Odlučio je povući svoju prijavu.
workforce	radna snaga	Radnoj snazi trebaju nove vještine.
workplace	radno mjesto	Radno mjesto ima jasna sigurnosna pravila.
workshop	radionica	Radionica počinje u deset.
worm	crv	Crv se kretao po tlu.
wrist	zglob	Ozlijedila je zglob.
