source_headword	NO	example_NO
stranger	en fremmed	En fremmed spurte om veien.
strength	en styrke	Hennes styrke hjalp laget.
string	en hyssing	Knyt esken med hyssing.
strongly	sterkt	Jeg er sterkt uenig i den ideen.
studio	et studio	Kunstneren jobber i et lite studio.
stuff	ting	Legg tingene dine på hyllen.
substance	et stoff	Politiet fant et merkelig stoff.
successfully	vellykket	De fullførte prosjektet med hell.
sudden	plutselig	En plutselig lyd vekket oss.
suffer	å lide	Mange planter lider i tørt vær.
suitable	passende	Denne jakken er passende for skolen.
summarize	å oppsummere	Kan du oppsummere artikkelen?
summary	et sammendrag	Skriv et kort sammendrag i kveld.
supply	en forsyning	Byen trenger en ren vannforsyning.
supporter	en tilhenger	Hver tilhenger jublet høyt.
surely	sikkert	Vi kan sikkert løse dette.
surface	en overflate	Overflaten kjentes kald og glatt.
survive	å overleve	Disse dyrene overlever kalde vintrer.
switch	å slå	Slå av kjøkkenlyset.
symptom	et symptom	En hoste kan være et symptom.
tail	en hale	Hunden har en lang hale.
talent	et talent	Hun har et talent for musikk.
talented	talentfull	Han er en talentfull ung skuespiller.
tape	en teip	Bruk teip for å lukke esken.
tax	en skatt	Alle må betale denne skatten.
technical	teknisk	Vi hadde et teknisk problem.
technique	en teknikk	Denne teknikken sparer tid.
tend	å pleie	Barn pleier å lære fort.
tent	et telt	Vi sov i et lite telt.
theirs	deres	De blå syklene er deres.
theme	et tema	Festen hadde et strandtema.
theory	en teori	Hans teori forklarer problemet.
therefore	derfor	Det regnet, derfor ble vi inne.
though	selv om	Selv om hun var sliten, fortsatte hun å jobbe.
throat	en hals	Halsen min gjør vondt i dag tidlig.
throughout	gjennom	Folk danset gjennom hele kvelden.
tight	stram	Disse skoene føles for trange.
till	til	Vent her til jeg kommer tilbake.
tin	en boks	Åpne en boks med bønner.
tiny	bitte liten	En bitte liten fugl landet i nærheten.
toe	en tå	Jeg skadet tåen min i går.
tongue	en tunge	Hun brant tungen på te.
total	total	Den totale kostnaden var lav.
totally	helt	Jeg forstår bekymringen din helt.
trade	en handel	Internasjonal handel skaper jobber.
translate	å oversette	Vennligst oversett denne setningen.
translation	en oversettelse	Oversettelsen høres naturlig ut.
treat	å behandle	Behandle alle med respekt.
treatment	en behandling	Pasienten trenger behandling i dag.
trend	en trend	Denne trenden vokser over hele verden.
trick	et triks	Det korttrikset overrasket meg.
truth	en sannhet	Vær så snill å si sannheten.
tube	en tube	Klem tuben forsiktig.
typically	vanligvis	Studenter ankommer vanligvis før klokken ni.
tyre	et dekk	Bilen trenger et nytt dekk.
ugly	stygg	Den veggfargen ser stygg ut.
unable	ute av stand	Han var ute av stand til å svare.
uncomfortable	ubehagelig	Denne stolen er ubehagelig.
underwear	et undertøy	Pakk rent undertøy for turen.
unemployed	arbeidsledig	Hun var arbeidsledig i to måneder.
unemployment	en arbeidsledighet	Arbeidsledigheten økte i løpet av vinteren.
unfair	urettferdig	Beslutningen virket urettferdig.
union	en fagforening	Fagforeningen ba om tryggere arbeid.
unless	med mindre	Ikke dra med mindre jeg ringer.
unlike	i motsetning til	I motsetning til Tom, elsker Ana vinteren.
unlikely	usannsynlig	Snø er usannsynlig denne uken.
unnecessary	unødvendig	Ekstra poser er unødvendige.
unpleasant	ubehagelig	Rommet hadde en ubehagelig lukt.
update	å oppdatere	Jeg må oppdatere telefonen min.
upon	på	Det var en gang en konge.
upset	opprørt	Hun følte seg lei seg etter samtalen.
used1	brukt	Dette rommet blir brukt til møter.
used2	vant til	Jeg er vant til tidlige morgener.
valuable	verdifull	Denne klokken er verdifull.
value	en verdi	Huset mistet verdi i fjor.
various	forskjellige	Vi prøvte forskjellige lokale retter.
version	en versjon	Denne versjonen fungerer bedre.
victim	et offer	Offeret ringte politiet.
viewer	en seer	En seer stilte et spørsmål.
violent	voldelig	Filmen var for voldelig.
volunteer	en frivillig	Jeg jobber frivillig på biblioteket.
vote	en stemme	Husk å stemme i morgen.
warn	å advare	Jeg prøvde å advare ham.
warning	en advarsel	Advarselen dukket opp på skjermen.
waste	et sløseri	Ikke kast bort rent vann.
weapon	et våpen	Kniven ble et våpen.
weigh	å veie	Vei melet nøye.
western	vestlig	De så på en westernfilm.
whatever	uansett hva	Velg hva enn du liker.
whenever	når som helst	Ring når som helst du trenger hjelp.
whether	om	Jeg vet ikke om hun er enig.
wing	en vinge	Fuglen skadet en vinge.
within	innen	Vennligst svar innen to dager.
wonder	å lure på	Jeg lurer på hva som skjedde.
wool	en ull	Denne frakken er laget av ull.
worldwide	over hele verden	Sangen ble populær over hele verden.
worth	verdt	Denne boken er verdt å lese.
written	skriftlig	Vennligst send skriftlige instruksjoner.
yard	en hage	Barna lekte i hagen.
youth	en ungdom	Ungdomsklubber støtter lokale tenåringer.
