source_headword	PL	example_PL
fridge	lodówka	Mleko jest w lodówce.
frog	żaba	Żaba wskoczyła do stawu.
furniture	meble	Te meble są stare, ale mocne.
further	dalszy;więcej	Potrzebujemy dalszych informacji.
gallery	galeria	Galeria jest dziś otwarta.
gap	luka;przerwa	W ścianie jest luka.
gas	benzyna;gaz	Samochód potrzebuje benzyny.
gate	brama	Zamknij bramę, proszę.
general	ogólny	To jest ogólna zasada.
gift	prezent	Ona kupiła prezent.
goal	cel	Nasz cel jest prosty.
god	Bóg;bóstwo	Wiele osób modli się do Boga.
gold	złoto;złoty	Pierścionek jest złoty.
golf	golf	On gra dziś w golfa.
government	rząd	Rząd zmienił prawo.
grass	trawa	Trawa jest mokra.
greet	witać;pozdrawiać	Witaj każdego gościa uprzejmie.
ground	ziemia;podłoże	Usiądź na ziemi.
guest	gość	Nasz gość przybył wcześnie.
guide	przewodnik;instrukcja	Przewodnik pokazał nam muzeum.
gun	broń palna	Policja znalazła broń palną.
guy	facet;chłopak	Ten facet to mój brat.
habit	nawyk;zwyczaj	Codzienne czytanie to dobry nawyk.
hall	hol;korytarz	Czekaj w korytarzu.
happily	szczęśliwie	Żyli razem szczęśliwie.
headache	ból głowy	Mam ból głowy.
heart	serce	Jej serce bije szybko.
heat	podgrzać;ciepło	Podgrzej zupę powoli.
heavy	ciężki	Ta torba jest ciężka.
height	wysokość	Zmierz wysokość stołu.
helpful	pomocny;przydatny	Twoja rada jest bardzo pomocna.
hero	bohater	On jest moim bohaterem.
hers	jej;należący do niej	Niebieski płaszcz jest jej.
herself	sama;siebie	Ona sama zrobiła kolację.
hide	ukryć;chować	Schowaj klucz pod pudełkiem.
hill	wzgórze	Weszliśmy na wzgórze.
himself	sam;siebie	On sam to naprawił.
hit	uderzyć;trafić	Nie uderzaj w drzwi.
hockey	hokej	Oglądaliśmy wczoraj hokej.
hold	trzymać	Trzymaj mnie za rękę.
hole	dziura	W mojej skarpetce jest dziura.
huge	ogromny	Pokój był ogromny.
human	człowiek;ludzki	Każdy człowiek potrzebuje wody.
hurt	boleć;zranić	Boli mnie kolano.
ideal	idealny	Ten pokój jest idealny do nauki.
identify	zidentyfikować;rozpoznać	Czy możesz rozpoznać tego ptaka?
ill	chory	Ona czuje się dziś chora.
illness	choroba	Choroba trwała tydzień.
image	obraz;wizerunek	Obraz jest wyraźny.
immediately	natychmiast	Przyjdź tutaj natychmiast.
impossible	niemożliwy	Ta zagadka wydaje się niemożliwa.
included	wliczony;zawarty	Śniadanie jest wliczone.
including	w tym;łącznie z	Przyszło dziesięć osób, w tym ja.
increase	zwiększyć;wzrost	Ceny rosną latem.
incredible	niesamowity;niezwykły	Widok był niesamowity.
independent	niezależny;samodzielny	Moja siostra jest niezależna.
individual	indywidualny;osoba	Każda osoba ma numer.
industry	przemysł	Lokalny przemysł rośnie.
informal	nieformalny	Ten e-mail jest nieformalny.
injury	uraz;kontuzja	Uraz nie jest poważny.
insect	owad	Owad usiadł na kubku.
inside	wewnątrz;w środku	Czekaj w środku domu.
instead	zamiast tego	Wypij wodę zamiast tego.
instruction	instrukcja;polecenie	Przeczytaj uważnie każdą instrukcję.
instructor	instruktor	Instruktor wyjaśnił ćwiczenie.
instrument	instrument;narzędzie	Ona gra na instrumencie.
intelligent	inteligentny	Ona jest inteligentną uczennicą.
international	międzynarodowy	To jest międzynarodowe lotnisko.
introduction	wprowadzenie;przedstawienie	Wprowadzenie było krótkie.
invent	wynaleźć;wymyślić	Dzieci mogą wymyślić nową grę.
invention	wynalazek	Ten wynalazek oszczędza czas.
invitation	zaproszenie	Otrzymałem zaproszenie.
invite	zaprosić	Zaproś też swojego przyjaciela.
involve	obejmować;wiązać się z	Ta praca będzie wiązać się z podróżami.
item	przedmiot;pozycja	Wybierz jeden przedmiot.
itself	samo;siebie	Maszyna sama się wyłączyła.
jam	dżem	Posmaruj chleb dżemem.
jazz	jazz	Jazz brzmi dobrze dziś wieczorem.
jewellery	biżuteria	Ona trzyma biżuterię w pudełku.
joke	żart	Opowiedz mi żart.
journalist	dziennikarz;dziennikarka	Dziennikarz zadał pytanie.
jump	skoczyć	Przeskocz przez linię.
kid	dziecko	Dziecko się śmieje.
