source_headword	KO	example_KO
toss	던지다	그녀는 열쇠를 테이블 위에 던졌다.
total	총계가 ~이 되다	수리비 총액은 예상보다 많았다.
toxic	유독한	유독한 연기 때문에 모두 밖으로 나가야 했다.
trademark	상표	그 로고는 회사의 상표가 되었다.
trail	오솔길	그 오솔길은 숲을 통과해 있었다.
trailer	예고편	예고편에서 영화의 결말을 보여주었다.
transaction	거래	그 거래 내역이 내 은행 명세서에 나타났다.
transcript	성적 증명서	그 학생은 공식 성적 증명서를 요청했다.
transformation	변모	그 도시는 큰 변화를 겪었다.
transit	운송	소포가 운송 중에 파손되었다.
transmission	전송	데이터 전송은 안전했다.
transparency	투명성	그 보고서는 더 큰 투명성을 요구했다.
transparent	투명한	그 과정은 모두에게 투명해야 한다.
trauma	트라우마	그 사고는 깊은 트라우마를 남겼다.
treaty	조약	그 국가들은 평화 조약에 서명했다.
tremendous	엄청난	그 팀은 엄청난 발전을 이루었다.
tribal	부족의	그 박물관은 부족 예술품을 전시했다.
tribunal	재판소	재판소는 일주일 내내 증거를 청취했다.
tribute	헌사	그 콘서트는 그녀를 위한 헌사였다.
trio	3인조	그 3인조는 축제에서 공연했다.
triumph	승리	그 우승은 개인적인 승리였다.
trophy	트로피	주장은 자랑스럽게 트로피를 들어 올렸다.
troubled	어려움에 처한	어려움에 처한 그 회사는 새로운 리더십이 필요했다.
trustee	이사	이사가 장학금 기금을 관리한다.
tuition	수업료	그녀의 수업료가 올해 인상되었다.
turnout	투표율	투표율이 예상보다 높았다.
turnover	이직률	변경 후 직원 이직률이 떨어졌다.
twist	비틀다	그녀는 뚜껑을 비틀어 열었다.
undergraduate	학부생	그 학부생은 연구 프로젝트에 참여했다.
underlying	근본적인	그 보고서는 근본적인 원인을 설명했다.
undermine	훼손하다	그 스캔들은 대중의 신뢰를 훼손했다.
undoubtedly	의심할 여지 없이	그녀는 의심할 여지 없이 최고의 후보다.
unify	통합하다	그 계획은 팀들을 통합하는 것을 목표로 한다.
unprecedented	전례 없는	그 폭풍은 전례 없는 피해를 입혔다.
unveil	공개하다	회사는 내일 디자인을 공개할 것이다.
upcoming	다가오는	다가오는 선거는 대중의 관심을 끌었다.
upgrade	업그레이드하다	우리는 어젯밤에 소프트웨어를 업그레이드했다.
