source_headword	CS	example_CS
fridge	lednice	Mléko je v lednici.
frog	žába	Žába skočila do rybníka.
furniture	nábytek	Tento nábytek je starý, ale pevný.
further	dále; další	Potřebujeme další informace.
gallery	galerie	Galerie je dnes otevřená.
gap	mezera; otvor	Ve zdi je otvor.
gas	benzín; plyn	Auto potřebuje benzín.
gate	brána	Zavři bránu, prosím.
general	obecný	Toto je obecné pravidlo.
gift	dárek	Koupila dárek.
goal	cíl	Náš cíl je jednoduchý.
god	Bůh; bůh	Mnoho lidí se modlí k Bohu.
gold	zlato; zlatý	Prsten je ze zlata.
golf	golf	Dnes hraje golf.
government	vláda	Vláda změnila zákon.
grass	tráva	Tráva je mokrá.
greet	pozdravit	Pozdrav každého hosta zdvořile.
ground	zem; půda	Posaď se na zem.
guest	host	Náš host přišel brzy.
guide	průvodce; návod	Průvodce nám ukázal muzeum.
gun	zbraň	Policie našla zbraň.
guy	chlap; muž	Ten chlap je můj bratr.
habit	zvyk	Číst každý den je dobrý zvyk.
hall	hala; chodba	Počkej na chodbě.
happily	šťastně	Žili spolu šťastně.
headache	bolest hlavy	Bolí mě hlava.
heart	srdce	Její srdce bije rychle.
heat	teplo; ohřát	Ohřej polévku pomalu.
heavy	těžký	Ta taška je těžká.
height	výška	Změř výšku stolu.
helpful	ochotný; užitečný	Tvoje rada je velmi užitečná.
hero	hrdina	Je můj hrdina.
hers	její	Modrý kabát je její.
herself	sebe; sama	Uvařila večeři sama.
hide	skrýt; schovat	Schovej klíč pod krabici.
hill	kopec	Šli jsme do kopce.
himself	sebe; sám	Opravil to sám.
hit	udeřit; zasáhnout	Nebouchej do dveří.
hockey	hokej	Včera večer jsme sledovali hokej.
hold	držet	Drž mě za ruku.
hole	díra	V ponožce mám díru.
huge	obrovský	Pokoj byl obrovský.
human	člověk; lidský	Každý člověk potřebuje vodu.
hurt	bolet; zranit	Bolí mě koleno.
ideal	ideální	Tento pokoj je ideální na studium.
identify	identifikovat; poznat	Dokážeš poznat tohoto ptáka?
ill	nemocný	Dnes se cítí nemocná.
illness	nemoc	Nemoc trvala týden.
image	obraz; obrázek	Obrázek je jasný.
immediately	okamžitě	Pojď sem okamžitě.
impossible	nemožný	Tato skládačka se zdá nemožná.
included	zahrnutý	Snídaně je zahrnuta.
including	včetně	Přišlo deset lidí včetně mě.
increase	zvýšit; nárůst	Ceny v létě rostou.
incredible	neuvěřitelný; úžasný	Výhled byl neuvěřitelný.
independent	nezávislý; samostatný	Moje sestra je samostatná.
individual	jednotlivec; individuální	Každý jednotlivec má číslo.
industry	průmysl; odvětví	Místní průmysl roste.
informal	neformální	Tento e-mail je neformální.
injury	zranění	Zranění není vážné.
insect	hmyz	Na hrnek přistál hmyz.
inside	uvnitř; dovnitř	Počkej uvnitř domu.
instead	místo toho	Pij místo toho vodu.
instruction	pokyn; instrukce	Přečti si každý pokyn pozorně.
instructor	instruktor; učitel	Instruktor vysvětlil cvičení.
instrument	nástroj; hudební nástroj	Hraje na hudební nástroj.
intelligent	inteligentní	Je inteligentní žákyně.
international	mezinárodní	Toto je mezinárodní letiště.
introduction	úvod; představení	Úvod byl krátký.
invent	vynalézt; vymyslet	Děti mohou vymyslet novou hru.
invention	vynález	Vynález šetří čas.
invitation	pozvání	Dostal jsem pozvání.
invite	pozvat	Pozvi také svého kamaráda.
involve	zahrnovat; zapojit	Práce zahrnuje cestování.
item	položka; věc	Vyber jednu věc.
itself	samo	Stroj se sám vypnul.
jam	džem	Namaž džem na chleba.
jazz	jazz	Jazz dnes večer zní dobře.
jewellery	šperky	Šperky má v krabici.
joke	vtip	Řekni mi vtip.
journalist	novinář	Novinář položil otázku.
jump	skočit	Skoč přes čáru.
kid	dítě	Dítě se směje.
kill	zabít	Nezabíjej ten hmyz.
king	král	Král žil v paláci.
knee	koleno	Bolí mě koleno.
knife	nůž	Použij ostrý nůž.
knock	zaklepat	Zaklepej, než vejdeš.
knowledge	znalost; vědomosti	Znalosti rostou cvičením.
lab	laboratoř	Laboratoř je zavřená.
lady	dáma; žena	Ta dáma se na nás usmála.
lake	jezero	Jezero je klidné.
lamp	lampa	Rozsviť lampu.
laptop	notebook	Můj notebook je nový.
last1 (taking time)	trvat	Film trval dvě hodiny.
laughter	směch	Slyšeli jsme venku smích.
law	zákon	Zákon se včera změnil.
lawyer	právník	Právník mi zavolal.
lazy	líný	Nebuď líný.
lead1	vést	Dobrý vůdce vede příkladem.
leader	vůdce; vedoucí	Je vedoucí týmu.
learning	učení	Učení vyžaduje čas.
least	nejméně	Vyber tu nejméně drahou možnost.
lecture	přednáška	Přednáška začíná v deset.
lemon	citron	Dej citron do čaje.
lend	půjčit	Můžeš mi půjčit pět dolarů?
less	méně	Jez méně cukru.
level	úroveň	Tato úroveň je snadná.
lifestyle	životní styl	Má zdravý životní styl.
lift	zvednout; výtah	Zvedni krabici opatrně.
light	rozsvítit	Rozsviť světlo opatrně.
light (not heavy)	lehký	Ta taška je lehká.
likely	pravděpodobný; pravděpodobně	Zítra pravděpodobně bude pršet.
link	odkaz	Pošli mi odkaz.
listener	posluchač	Buď dobrý posluchač.
lock	zamknout; zámek	Zamkni dveře.
lorry	nákladní auto	Nákladní auto vezlo krabice.
lost	ztracený; zabloudilý	Zabloudili jsme.
loud	hlasitý	Hudba je hlasitá.
loudly	hlasitě	Nemluv tak hlasitě, prosím.
lovely	krásný; milý	To je krásná zahrada!
low	nízký	Židle je nízká.
luck	štěstí	Hodně štěstí u testu.
lucky	šťastný; mít štěstí	Dnes máš štěstí.
mail	pošta; dopis	Dnes ráno jsem dostal poštu.
major	velký; důležitý	To je velký problém.
male	mužský; samec	Samec ptáka je barevný.
manage	zvládnout; řídit	Zvládneš tento úkol?
manager	manažer; vedoucí	Vedoucí je zaneprázdněný.
manner	způsob; chování	Mluv zdvořilým způsobem.
mark	označit; známka	Označ svou odpověď jasně.
marry	oženit se; vdát se	Vezmou se v červnu.
material	materiál	Tento materiál je měkký.
mathematics	matematika	Matematika je můj oblíbený předmět.
maths	matematika	Matematika je pro mě těžká.
matter	záležitost; záležet	Na tom nezáleží.
may modal	smět; moci	Teď můžeš jít.
media	média	Média o příběhu informovala.
medical	lékařský	Potřebuje lékařskou pomoc.
medicine	lék	Vezmi si tento lék po obědě.
memory	vzpomínka; paměť	Mám dobrou paměť.
mention	zmínit	Nezmiňuj mé jméno.
metal	kov	Brána je z kovu.
method	metoda	Tato metoda funguje dobře.
middle	střed	Stůj uprostřed.
might modal	možná; moci	Později může pršet.
mind	mysl; názor	Změnil jsem názor.
mine (belongs to me)	můj; moje	Tato kniha je moje.
mirror	zrcadlo	Podívej se do zrcadla.
missing	chybějící; ztracený	Moje klíče jsou ztracené.
mobile	mobilní telefon	Můj mobilní telefon je na stole.
monkey	opice	Opice vylezla na strom.
moon	měsíc	Měsíc je jasný.
