source_headword	ES	example_ES
ability	la capacidad; la habilidad	Su capacidad para nadar es clara.
able	capaz; poder	Él puede venir hoy.
abroad	en el extranjero; al extranjero	Ella quiere estudiar en el extranjero.
accept	aceptar	Por favor, acepta este pequeño regalo.
accident	el accidente	El accidente ocurrió cerca de la escuela.
according to	según; de acuerdo con	Según el informe, viene lluvia.
achieve	lograr; alcanzar	Puedes lograr tu meta.
act	actuar; el acto	Él puede actuar en una obra.
active	activo; activa	Ella está activa cada día.
actually	en realidad; de hecho	En realidad necesito más tiempo.
advantage	la ventaja	Este plan tiene una ventaja.
adventure	la aventura	Su viaje fue una aventura.
advertise	anunciar; hacer publicidad	Anuncian el nuevo trabajo.
advertisement	el anuncio	Vi un anuncio.
advertising	la publicidad	La publicidad ayuda a vender comida.
affect	afectar	El sueño puede afectar la salud.
against	contra; en contra de	No te apoyes contra la pared.
ah	ah; vaya	Ah, ahora entiendo.
airline	la aerolínea; la compañía aérea	La aerolínea está muy ocupada.
alive	vivo; viva	El pez pequeño está vivo.
all right	bien; de acuerdo	Todo está bien ahora.
allow	permitir	Aquí permiten perros.
almost	casi	Estamos casi listos.
alone	solo; sola	Ella vive sola.
along	a lo largo de; por	Camina por esta carretera.
already	ya	Ya sé la respuesta.
alternative	la alternativa	Este tren es una alternativa.
although	aunque	Aunque es tarde, podemos quedarnos.
among	entre	Él estaba entre los árboles.
amount	la cantidad; el importe	La cantidad es demasiado pequeña.
ancient	antiguo; antigua	Esta muralla antigua es famosa.
ankle	el tobillo	Me duele el tobillo hoy.
anybody	alguien; cualquiera	¿Alguien puede responder?
any more	más; ya no	No necesito nada más.
anyway	de todos modos	De todos modos, podemos empezar.
anywhere	en cualquier lugar; a cualquier parte	Siéntate en cualquier lugar.
app	la aplicación	Esta aplicación es útil.
appear	aparecer	Su nombre aparecerá aquí.
appearance	la apariencia; el aspecto	Su aspecto es diferente.
apply	solicitar; aplicar	Solicita el trabajo hoy.
architect	el arquitecto; la arquitecta	El arquitecto tiene un plan.
architecture	la arquitectura	Me gusta la arquitectura moderna.
argue	discutir	No discutas con tu hermana.
argument	la discusión; el argumento	La discusión fue corta.
army	el ejército	El ejército es grande.
arrange	organizar; arreglar	Por favor, organiza la reunión.
arrangement	el arreglo; el acuerdo	Este acuerdo funciona bien.
asleep	dormido; dormida	El bebé está dormido.
assistant	el asistente; la asistente	El asistente me ayudó.
athlete	el atleta; la atleta	El atleta corre rápido.
attack	atacar; el ataque	El perro puede atacar.
attend	asistir a	Asisto a clase hoy.
attention	la atención	Por favor, presta atención.
attractive	atractivo; atractiva	El jardín es atractivo.
audience	el público; la audiencia	El público estaba en silencio.
author	el autor; la autora	El autor escribió este libro.
available	disponible	La comida está disponible ahora.
average	medio; el promedio	El resultado medio fue bueno.
avoid	evitar	Evita la carretera transitada.
award	el premio; premiar	Ella recibió un premio.
awful	horrible	El tiempo fue horrible.
background	el fondo; los antecedentes	La imagen tiene un fondo oscuro.
badly	mal	Él jugó mal hoy.
bar	el bar; la barra	Nos vimos en el bar del hotel.
baseball	el béisbol	El béisbol es popular aquí.
based	basado; basada	La película está basada en un libro.
basketball	el baloncesto	Jugamos al baloncesto después de la escuela.
bean	la judía; el frijol	Esta judía es verde.
bear (animal)	el oso	El oso vive en el bosque.
beat	vencer; golpear	Nuestro equipo puede vencerlos.
beef	la ternera; la carne de vacuno	Comí ternera en la cena.
behave	comportarse	Por favor, compórtate bien en clase.
behaviour	el comportamiento	Su comportamiento fue amable.
belong	pertenecer	Estos zapatos me pertenecen.
belt	el cinturón	Su cinturón es negro.
benefit	el beneficio; la ventaja	El ejercicio tiene un beneficio real.
billion	mil millones	Mil millones es un número enorme.
bin	la papelera; el cubo de basura	Pon el papel en la papelera.
biology	la biología	La biología es mi mejor asignatura.
birth	el nacimiento	Su nacimiento fue en mayo.
biscuit	la galleta	Ella come una galleta.
bit	un poco; el trozo	Necesito un poco más de tiempo.
blank	el espacio en blanco; vacío	Escribe tu nombre en el espacio en blanco.
blood	la sangre	La sangre es roja.
blow	soplar	El viento puede soplar fuerte.
board	la pizarra; la tabla	Escribe esto en la pizarra.
boil	hervir	Primero hierve el agua.
bone	el hueso	El perro tiene un hueso.
borrow	pedir prestado	¿Puedo pedir prestado tu bolígrafo?
boss	el jefe; la jefa	Mi jefe es amable.
bottom	la parte inferior; el fondo	Firma en la parte inferior.
bowl	el cuenco; el bol	El cuenco está lleno.
brain	el cerebro	Tu cerebro necesita descanso.
bridge	el puente	El puente es viejo.
bright	brillante; luminoso	La habitación es luminosa.
brilliant	brillante; excelente	Esta idea es excelente.
broken	roto; rota	La silla está rota.
brush	el cepillo; cepillar	Cepíllate los dientes ahora.
burn	quemar; arder	No quemes el pan.
businessman	el empresario; el hombre de negocios	El empresario llegó temprano.
button	el botón; el botón de ropa	Pulsa el botón rojo.
camp	el campamento; acampar	Acampamos junto al lago.
camping	el camping; acampar	Acampar en verano es divertido.
can2	la lata	Abre la lata con cuidado.
care	el cuidado; cuidar	Cuida tu salud.
careful	cuidadoso; atenta	Ten cuidado en las escaleras.
carefully	con cuidado; atentamente	Lee la pregunta con cuidado.
carpet	la alfombra	La alfombra es suave.
cartoon	el dibujo animado	Este dibujo animado es gracioso.
case	el caso; el estuche	Ponlo en el estuche.
cash	el dinero en efectivo	Pagué en efectivo.
castle	el castillo	El castillo es muy antiguo.
catch	coger; atrapar	Coge la pelota ahora.
cause	la causa; causar	La lluvia puede causar problemas.
celebrate	celebrar	Celebramos mi cumpleaños.
celebrity	la celebridad; el famoso	La celebridad fue muy amable.
certain	seguro; cierto	Estoy seguro de esto.
certainly	claro; por supuesto	Claro que te ayudaré.
chance	la oportunidad; la posibilidad	Tienes una oportunidad.
character	el personaje; el carácter	Este personaje es valiente.
charity	la organización benéfica; la caridad	La organización benéfica ayuda a niños.
chat	charlar; el chat	Charlamos después de clase.
chef	el chef; la chef	El chef preparó sopa.
chemistry	la química	La química es difícil para mí.
chip	la patata frita; el chip	Esta patata frita está salada.
choice	la elección; la opción	Esta elección es importante.
church	la iglesia	La iglesia está cerca.
cigarette	el cigarrillo	El cigarrillo es malo para la salud.
circle	el círculo; rodear	Dibuja un círculo aquí.
classical	clásico; clásica	Me gusta la música clásica.
clear	claro; despejar	La respuesta es clara.
clearly	claramente; con claridad	Habla con claridad, por favor.
clever	inteligente; listo	Ella es una niña inteligente.
climate	el clima	El clima cambia.
close2	cerca; cercano	Mi escuela está cerca de casa.
closed	cerrado; cerrada	La tienda está cerrada.
clothing	la ropa	La ropa abrigada es útil.
cloud	la nube	La nube tapa el sol.
coach	el entrenador; el autobús	El entrenador ayudó al equipo.
coast	la costa	Condujimos por la costa.
code	el código	Introduce el código aquí.
colleague	el compañero; la compañera de trabajo	Mi compañero de trabajo me llamó.
collect	coleccionar; recoger	Colecciono tarjetas antiguas.
column	la columna	Lee la primera columna.
comedy	la comedia	Esta comedia es divertida.
comfortable	cómodo; cómoda	Esta silla es cómoda.
comment	el comentario; comentar	Deja un comentario abajo.
communicate	comunicarse	Nos comunicamos por correo electrónico.
community	la comunidad	Nuestra comunidad es amable.
compete	competir	Ellos compiten cada año.
competition	la competición; el concurso	La competición empieza mañana.
complain	quejarse	No te quejes otra vez.
completely	completamente	Estoy completamente de acuerdo contigo.
condition	la condición; el estado	El coche está en buen estado.
conference	la conferencia	La conferencia empieza a las nueve.
connect	conectar	Conecta el teléfono al ordenador.
connected	conectado; relacionado	Estas dos ideas están relacionadas.
consider	considerar; pensar en	Por favor, considera mi idea.
contain	contener	Esta caja contiene libros.
context	el contexto	El contexto ayuda a entender.
continent	el continente	El continente es muy grande.
continue	continuar	Continúa leyendo, por favor.
control	el control; controlar	Controla la velocidad con cuidado.
cooker	la cocina	La cocina está limpia.
copy	la copia; copiar	Haz una copia para mí.
corner	la esquina; el rincón	Siéntate en la esquina.
correctly	correctamente	Escribe la respuesta correctamente.
count	contar; la cuenta	Cuenta los libros.
couple	la pareja	La pareja llegó temprano.
cover	cubrir; la tapa	Cubre el cuenco.
crazy	loco; loca; disparatado	Esa idea suena loca.
creative	creativo; creativa	Ella tiene una idea creativa.
credit	el crédito	Pagué con tarjeta de crédito.
crime	el delito; la delincuencia	La delincuencia es un problema serio.
criminal	el criminal; delictivo	El criminal se fue rápido.
cross	cruzar; la cruz	Cruza la calle con cuidado.
crowd	la multitud	La multitud esperaba fuera.
crowded	lleno; abarrotado	El tren estaba abarrotado.
cry	llorar; el grito	No llores ahora.
cupboard	el armario	Las tazas están en el armario.
curly	rizado; rizada	Ella tiene el pelo rizado.
cycle	ir en bicicleta; el ciclo	Voy en bicicleta a la escuela.
daily	diario; diariamente	Leo las noticias diariamente.
danger	el peligro	La señal muestra peligro.
data	los datos	Estos datos son útiles.
dead	muerto; muerta	La planta está muerta.
deal	el trato; la oferta	Es una buena oferta.
death	la muerte	La muerte es un tema difícil.
decision	la decisión	Toma una decisión hoy.
deep	profundo; profundamente	El agua es profunda.
definitely	definitivamente; sin duda	Sin duda quiero té.
degree	el título; el grado	Mi título es de historia.
dentist	el dentista; la dentista	El dentista revisó mis dientes.
department	el departamento; la sección	La sección de zapatos está arriba.
depend	depender	Depende del tiempo.
desert	el desierto	El desierto es muy seco.
designer	el diseñador; la diseñadora	La diseñadora creó este vestido.
destroy	destruir	No destruyas el archivo.
detective	el detective; la detective	El detective encontró la llave.
develop	desarrollar	Desarrollan una aplicación nueva.
device	el dispositivo	Este dispositivo es útil.
diary	el diario	Ella escribe en su diario.
differently	de manera diferente	Lo hacemos de manera diferente.
digital	digital	Es una cámara digital.
direct	directo; dirigir	Toma el tren directo.
direction	la dirección	Ve en esta dirección.
director	el director; la directora	Al director le gustó la película.
disagree	no estar de acuerdo	No estoy de acuerdo con esta idea.
disappear	desaparecer	El sol desaparecerá pronto.
disaster	el desastre; la catástrofe	La tormenta fue un desastre.
discover	descubrir	Descubren una isla nueva.
discovery	el descubrimiento	El descubrimiento cambió la ciencia.
discussion	la discusión; el debate	La discusión terminó temprano.
disease	la enfermedad	Esta enfermedad es grave.
distance	la distancia	La distancia es corta.
divorced	divorciado; divorciada	Sus padres están divorciados.
document	el documento; documentar	Guarda este documento ahora.
double	doble; duplicar	Necesito una habitación doble.
download	descargar; la descarga	Descarga la aplicación hoy.
drama	el drama	El drama empieza esta noche.
drawing	el dibujo	Su dibujo es bonito.
dream	el sueño; soñar	Tuve un sueño extraño.
driving	la conducción; conducir	Conducir de noche es difícil.
drop	dejar caer; la gota	No dejes caer el vaso.
drug	el medicamento; la droga	El medicamento le ayudó.
dry	seco; secar	La toalla está seca.
earn	ganar	Gano dinero en el trabajo.
earth	la Tierra; la tierra	La Tierra es redonda.
easily	fácilmente	Ella aprende fácilmente.
education	la educación	La educación es importante.
effect	el efecto; la influencia	El efecto fue claro.
either	cualquiera de los dos; tampoco	Cualquiera de las dos respuestas sirve.
electric	eléctrico; eléctrica	Este coche es eléctrico.
electrical	eléctrico; eléctrica	El sistema eléctrico es seguro.
electricity	la electricidad	La electricidad es cara aquí.
electronic	electrónico; electrónica	Este billete electrónico funciona.
employ	emplear; contratar	Ellos contratan a cinco personas.
