source_headword	TE	example_TE
prey	ఎర	గుడ్లగూబలు రాత్రిపూట ఎరను వేటాడతాయి.
privatization	ప్రైవేటీకరణ	ప్రైవేటీకరణ రైల్వే వ్యవస్థను మార్చేసింది.
privilege	ప్రత్యేక హక్కు / విశేషాధికారం	విద్య అనేది ఒక ప్రత్యేక హక్కు కాకూడదు.
probe	దర్యాప్తు / విచారణ	దర్యాప్తులో తీవ్రమైన లోపాలు వెల్లడయ్యాయి.
problematic	సమస్యాత్మకమైన	ఈ ఒప్పందం సమస్యాత్మకంగానే ఉంది.
proceedings	విచారణ / కార్యకలాపాలు	సోమవారం కోర్టు విచారణ ప్రారంభమైంది.
proceeds	ఆదాయం / రాబడి	ఈ ఆదాయం స్థానిక పాఠశాలలకు మద్దతు ఇస్తుంది.
processing	ప్రాసెసింగ్ / ప్రక్రియ	ఇమేజ్ ప్రాసెసింగ్‌కు సమయం పడుతుంది.
processor	ప్రాసెసర్	పరీక్ష సమయంలో ప్రాసెసర్ విఫలమైంది.
proclaim	ప్రకటించుట	నాయకులు చాలా తొందరగా విజయాన్ని ప్రకటించారు.
productive	ఉత్పాదక / ప్రయోజనకరమైన	ఈ సమావేశం ప్రయోజనకరంగా జరిగింది.
productivity	ఉత్పాదకత	శిక్షణ తర్వాత ఉత్పాదకత మెరుగుపడింది.
profitable	లాభదాయకమైన	ఈ సంవత్సరం దుకాణం లాభదాయకంగా మారింది.
profound	లోతైన / ప్రగాఢమైన	ఆ ప్రసంగం ప్రగాఢమైన ప్రభావాన్ని చూపింది.
projection	అంచనా	ఈ అంచనా స్థిరమైన వృద్ధిని చూపుతోంది.
prominent	ప్రముఖ	ఆమె ఒక ప్రముఖ శాస్త్రవేత్త అయింది.
pronounced	స్పష్టమైన / ప్రముఖమైన	అతని యాస మరింత స్పష్టంగా మారింది.
propaganda	ప్రచారం	ప్రచార కార్యక్రమం ఆన్‌లైన్‌లో దుష్ప్రచారాన్ని ఉపయోగించింది.
proposition	ప్రతిపాదన	ఈ ప్రతిపాదన ఒక ప్రమాదకరమైన విషయం.
prosecute	ప్రాసిక్యూట్ చేయుట / కేసు నమోదు చేయు	అధికారులు తీవ్రమైన మోసాల కేసులను ప్రాసిక్యూట్ చేస్తారు.
prosecution	ప్రాసిక్యూషన్	ప్రాసిక్యూషన్ కొత్త సాక్ష్యాలను సమర్పించింది.
prosecutor	ప్రాసిక్యూటర్	ప్రాసిక్యూటర్ సాక్షిని ప్రశ్నించారు.
prospective	కాబోయే / భవిష్యత్	కాబోయే విద్యార్థులు క్యాంపస్‌ను సందర్శించారు.
prosperity	శ్రేయస్సు / సమృద్ధి	వాణిజ్యం ఈ ప్రాంతానికి శ్రేయస్సును తెచ్చింది.
protective	రక్షిత / రక్షణనిచ్చే	ఆమె రక్షణ చేతి తొడుగులు ధరించింది.
protocol	ప్రోటోకాల్ / నియమావళి	ఈ నియమావళికి లిఖితపూర్వక ఆమోదం అవసరం.
province	ప్రావిన్స్ / రాష్ట్రం	ప్రావిన్స్ రవాణా రంగంలో పెట్టుబడులు పెట్టింది.
provincial	ప్రాంతీయ / ప్రావిన్షియల్	ప్రాంతీయ అధికారులు ప్రణాళికను ప్రకటించారు.
provision	నిబంధన / ఏర్పాటు	ఈ ఒప్పందంలో ఒక భద్రతా నిబంధన ఉంది.
provoke	రెచ్చగొట్టుట / ప్రేరేపించుట	ఈ ప్రసంగం తీవ్రమైన ప్రతిచర్యలను ప్రేరేపించవచ్చు.
psychiatric	మానసిక	ఆసుపత్రి ఒక మానసిక వైద్య విభాగాన్ని ప్రారంభించింది.
pulse	నాడి	నర్సు అతని నాడిని తనిఖీ చేసింది.
pump	పంపు / తోడు యంత్రం	పంపు నీటిని పైకి తోడుతుంది.
punch	గుద్దు / పిడికిలితో కొట్టుట	అతను కోపంతో ఒక గుద్దు గుద్దాడు.
query	సందేహం / ప్రశ్న	మీ సందేహాన్ని సపోర్ట్ బృందానికి పంపండి.
quest	అన్వేషణ	న్యాయం కోసం వారి అన్వేషణ కొనసాగింది.
quota	కోటా / వాటా	జట్టు తమ సేల్స్ కోటాను చేరుకుంది.
radar	రాడార్	రాడార్‌లో తుఫాను కనిపించింది.
radical	తీవ్రవాద / సమూలమైన	ఆ బృందం సమూలమైన సంస్కరణలను ప్రతిపాదించింది.
rage	ఆగ్రహం / తీవ్ర కోపం	అతని ఆగ్రహం త్వరగా తగ్గిపోయింది.
raid	దాడి / దాడులు	పోలీసులు వేకువజామున దాడి చేశారు.
rally	ర్యాలీ / ప్రదర్శన	మద్దతుదారులు నగరంలోని ర్యాలీలో చేరారు.
ranking	ర్యాంకింగ్ / స్థానం	విశ్వవిద్యాలయం తన ర్యాంకింగ్‌ను మెరుగుపరుచుకుంది.
rape	అత్యాచారం	అత్యాచార కేసులకు జాగ్రత్తగా దర్యాప్తు అవసరం.
ratio	నిష్పత్తి	ఈ తరగతిలో ఉపాధ్యాయుల నిష్పత్తి తక్కువగా ఉంది.
