source_headword	NE	example_NE
absorb	सोस्नु	तौलियाले छिट्टै पानी सोस्छ।
abstract	अमूर्त	भाषणमा अमूर्त विचारहरूबारे छलफल भयो।
accent	लवज	उनको उच्चारण बुझ्न सजिलो छ।
accidentally	दुर्घटनावश	मैले गल्तीले फाइल डिलिट गरें।
accommodate	समायोजन गर्नु	होटेलले ठूला परिवारहरूलाई अटाउन सक्छ।
accomplish	पूरा गर्नु	उनले जुन अघि आफ्नो लक्ष्य पूरा गरिन्।
accountant	लेखापाल	लेखापालले इनभ्वाइस जाँच गरे।
accuracy	शुद्धता	परीक्षणले पढ्ने शुद्धता मापन गर्छ।
accurately	सही ढंगले	नक्साले बाटो सही तरिकाले देखाउँछ।
acid	अम्ल	एसिडले धातुको सतहलाई नोक्सान पुर्‍यायो।
activate	सक्रिय गर्नु	अलार्म सक्रिय गर्न बटन थिच्नुहोस्।
addiction	लत	उनको लतले उनको कामलाई असर गर्यो।
additionally	थप रूपमा	यसको अतिरिक्त, हामीलाई थप कुर्सीहरू चाहिन्छ।
adequate	पर्याप्त	कोठामा पर्याप्त प्रकाश छ।
adequately	पर्याप्त मात्रामा	प्रतिवेदनले समस्यालाई पर्याप्त रूपमा व्याख्या गर्यो।
adjust	समायोजन गर्नु	गाडी चलाउनुअघि सिट मिलाउनुहोस्।
affordable	किफायती	अपार्टमेन्ट विद्यार्थीहरूको लागि सस्तो छ।
agriculture	कृषि	कृषिले धेरै ग्रामीण परिवारहरूलाई सहयोग गर्छ।
AIDS	एड्स	डाक्टरहरू आधुनिक औषधिको साथ एड्सको उपचार गर्छन्।
alien	एलियन	चलचित्रले एउटा एलियन ग्रह देखाउँछ।
alongside	सँगसँगै	साइकलको बाटो नदीको छेउमा जान्छ।
altogether	पूर्णरूपमा	समग्रमा, परियोजनाले छ हप्ता लियो।
ambulance	एम्बुलेन्स	एम्बुलेन्स केही मिनेटभित्रै आइपुग्यो।
amusing	मनोरञ्जक	कथा रमाइलो र हल्का थियो।
analyst	विश्लेषक	विश्लेषकले बिक्री तथ्याङ्कको समीक्षा गरे।
ancestor	पुर्खा	मेरा पुर्खा यस गाउँको नजिकै बस्थे।
animation	एनिमेसन	एनिमेसनले पाठलाई थप स्पष्ट बनायो।
annually	वार्षिक रूपमा	चाड वार्षिक रूपमा मनाइन्छ।
anticipate	अनुमान गर्नु	हामी भोलि भारी ट्राफिक हुने अनुमान गर्छौं।
anxiety	चिन्ता	चिन्ताले निद्रा गाह्रो बनाउन सक्छ।
apology	माफी	उनले निष्कपट माफी मागिन्।
applicant	आवेदक	आवेदकले नयाँ बायोडाटा पठायो।
appropriately	उचित रूपमा	कृपया अन्तर्वार्ताको लागि उपयुक्त रूपमा लुगा लगाउनुहोस्।
arrow	वाण	तीरले बाहिर निस्कने बाटो देखाउँछ।
artwork	कलाकृति	संग्रहालयले स्थानीय कलाकृति प्रदर्शन गर्यो।
aside	छेउमा	उनलाई बाटो दिन उनी एक छेउमा सरिन्।
asset	सम्पत्ति	अनुभव एउटा मूल्यवान सम्पत्ति हो।
assign	तोक्नु	शिक्षकले आज गृहकार्य दिए।
assistance	सहायता	कृपया सहयोगको लागि कर्मचारीलाई सोध्नुहोस्।
assumption	अनुमान	त्यो अनुमान गलत हुन सक्छ।
assure	आश्वस्त पार्नु	म तपाईँलाई आश्वासन दिन्छु कि ढोका बन्द छ।
astonishing	आश्चर्यजनक	भिरबाट देखिएको दृश्य अचम्मलाग्दो थियो।
attachment	संलग्नक	इमेलमा एउटा एट्याचमेन्ट समावेश छ।
auction	लिलामी	चित्र लिलामीमा बिक्री भयो।
audio	अडियो	अडियो रेकर्डिङ स्पष्ट सुनिन्छ।
automatic	स्वचालित	ढोकामा स्वचालित लक छ।
automatically	स्वचालित रूपमा	बत्तीहरू स्वचालित रूपमा बल्छन्।
awareness	जागरूकता	अभियानले जनचेतना जगायो।
awkward	अप्ठ्यारो	मौनता अप्ठ्यारो महसुस भयो।
badge	ब्याज	आगन्तुकहरूले ब्याज लगाउनुपर्छ।
balanced	सन्तुलित	सन्तुलित आहारमा तरकारीहरू समावेश हुन्छन्।
ballet	ब्याले	उनी स्कूलपछि ब्याले सिक्छिन्।
balloon	बेलुन	बेलुन टेबलमाथि उड्यो।
barely	मुस्किलले	उनले मुस्किलले घोषणा सुने।
bargain	सस्तो मोलतोल	त्यो ज्याकेट निकै सस्तो सम्झौता थियो।
basement	भुइँतले छिँडी	बाकसहरू बेसमेन्टमा छन्।
basket	टोकरी	उनले टोकरीमा स्याउ राखिन्।
bat	ब्याट	चमेरो गुफाबाट उड्यो।
beneficial	लाभदायक	नियमित व्यायाम स्वास्थ्यको लागि लाभदायक छ।
beside	छेउमा	बत्ती सोफाको छेउमा छ।
besides	यसबाहेक	गणित बाहेक, उनी रसायन विज्ञान पढ्छन्।
