source_headword	SV	example_SV
absorb	absorbera	Handduken absorberar vatten snabbt.
abstract	abstrakt	Föreläsningen handlade om abstrakta idéer.
accent	en accent	Hennes accent är lätt att förstå.
accidentally	av misstag	Jag raderade filen av misstag.
accommodate	tillgodose	Hotellet kan ta emot stora familjer.
accomplish	åstadkomma	Hon uppnådde sitt mål före juni.
accountant	en revisor	Revisorn kontrollerade fakturan.
accuracy	en noggrannhet	Testet mäter läsnoggrannheten.
accurately	exakt	Kartan visar rutten exakt.
acid	en syra	Syran skadade metallytan.
activate	aktivera	Tryck på knappen för att aktivera larmet.
addiction	ett missbruk	Hans beroende påverkade hans arbete.
additionally	dessutom	Dessutom behöver vi fler stolar.
adequate	tillräcklig	Rummet har tillräckligt med ljus.
adequately	tillräckligt	Rapporten förklarade problemet tillräckligt.
adjust	justera	Justera sätet innan du kör.
affordable	överkomlig	Lägenheten är överkomlig för studenter.
agriculture	ett jordbruk	Jordbruket stöder många familjer på landsbygden.
AIDS	aids	Läkare behandlar aids med modern medicin.
alien	en utomjording	Filmen visar en främmande planet.
alongside	bredvid	Cykelvägen går längs med floden.
altogether	helt och hållet	Sammanlagt tog projektet sex veckor.
ambulance	en ambulans	Ambulansen anlände inom några minuter.
amusing	underhållande	Berättelsen var underhållande och lättsam.
analyst	en analytiker	Analytikern granskade försäljningsdata.
ancestor	en förfader	Min förfader bodde nära den här byn.
animation	en animation	Animationen gjorde lektionen tydligare.
annually	årligen	Festivalen hålls årligen.
anticipate	förutse	Vi förväntar oss mycket trafik i morgon.
anxiety	en ångest	Ångest kan göra det svårt att sova.
apology	en ursäkt	Hon framförde en uppriktig ursäkt.
applicant	en sökande	Den sökande skickade in ett nytt cv.
appropriately	lämpligt	Klä dig passande för intervjun.
arrow	en pil	Pilen pekar mot utgången.
artwork	ett konstverk	Museet ställde ut lokala konstverk.
aside	åt sidan	Hon klev åt sidan för att släppa förbi honom.
asset	en tillgång	Erfarenhet är en värdefull tillgång.
assign	tilldela	Läraren gav läxa idag.
assistance	en hjälp	Be personalen om hjälp.
assumption	ett antagande	Det antagandet kan vara fel.
assure	försäkra	Jag försäkrar dig att dörren är låst.
astonishing	häpnadsväckande	Utsikten från klippan var häpnadsväckande.
attachment	en bilaga	E-postmeddelandet innehåller en bilaga.
auction	en auktion	Målningen såldes på auktion.
audio	audio	Ljudinspelningen låter tydlig.
automatic	automatisk	Dörren har ett automatiskt lås.
automatically	automatiskt	Lamporna tänds automatiskt.
awareness	en medvetenhet	Kampanjen ökade allmänhetens medvetenhet.
awkward	pinsam	Tystnaden kändes pinsam.
badge	en bricka	Besökare måste bära en namnbricka.
balanced	balanserad	En balanserad kost innehåller grönsaker.
ballet	en balett	Hon studerar balett efter skolan.
balloon	en ballong	Ballongen svävade över bordet.
barely	knappt	Han hörde knappt meddelandet.
bargain	ett fynd	Den jackan var ett riktigt fynd.
basement	en källare	Lådorna är i källaren.
basket	en korg	Hon lade äpplen i korgen.
bat	ett slagträ	Fladdermusen flög ut ur grottan.
beneficial	fördelaktig	Regelbunden motion är välgörande för hälsan.
beside	bredvid	Lampan står bredvid soffan.
besides	dessutom	Förutom matte studerar han kemi.
bias	en partiskhet	Artikeln visade tydlig partiskhet.
bid	ett bud	Företaget gav ett högre bud.
biological	biologisk	Det biologiska testet bekräftade resultatet.
blanket	en filt	Barnet sov under en filt.
blow	ett slag	Det hårda slaget krossade fönstret.
bold	djärv	Rubriken använde fetstilta bokstäver.
bombing	ett bombdåd	Bombdådet skadade flera byggnader.
booking	en bokning	Jag bekräftade hotellbokningen.
boost	en skjuts	Vinsten stärkte lagets självförtroende.
bound	bunden	Paketet var bundet med snöre.
brick	en tegelsten	Väggen är gjord av tegel.
briefly	kort	Hon talade kort efter lunchen.
broadcaster	ett programbolag	Programledaren intervjuade borgmästaren.
broadly	brett	De två planerna är i stort sett liknande.
bug	en bugg	Appen kraschade på grund av en bugg.
cabin	en stuga	Vi bodde i en liten stuga.
canal	en kanal	Båtarna rörde sig långsamt längs kanalen.
candle	ett ljus	Ljuset brann på bordet.
carbon	ett kol	Träd absorberar kol från luften.
casual	ledig	Han hade vardagliga kläder på jobbet.
cave	en grotta	Vandrarna gick in i grottan.
certainty	en visshet	Vi kan inte veta med säkerhet.
certificate	ett certifikat	Hon fick ett utbildningsintyg.
challenging	utmanande	Kursen var utmanande men användbar.
championship	ett mästerskap	Vårt lag nådde mästerskapsfinalen.
charming	charmig	Den gamla gatan såg charmig ut.
chase	en jakt	Hunden jagade bollen.
cheek	en kind	En tår rann nerför hennes kind.
cheer	ett hurrarop	Publiken började jubla högt.
choir	en kör	Kören sjöng vackert.
chop	hacka	Hacka lökarna i små bitar.
circuit	en krets	Löparen fullbordade varvet.
civilization	en civilisation	Forntida civilisation formade denna region.
clarify	förtydliga	Vänligen förtydliga den sista punkten.
classify	klassificera	Forskare klassificerar djur efter art.
clerk	en kontorist	Biträdet skrev ut kvittot.
cliff	en klippa	Stigen slutar nära en klippa.
clinic	en klinik	Kliniken öppnar klockan åtta.
clip	ett klipp	Hon fäste klämman på papperet.
coincidence	en tillfällighet	Att träffa honom där var en slump.
collector	en samlare	Samlaren köpte sällsynta mynt.
colony	en koloni	Myrorna byggde en stor koloni.
colourful	färgglad	Marknaden var ljus och färgglad.
comic	en serie	Den komiska scenen fick oss att skratta.
commander	en befälhavare	Befälhavaren gav tydliga order.
comparative	jämförande	Uppsatsen använder jämförande data.
completion	ett slutförande	Bron närmar sig sitt färdigställande.
compose	komponera	Han ska komponera musik till filmen.
composer	en kompositör	Kompositören skrev en ny låt.
compound	en förening	Föreningen innehåller två kemikalier.
comprehensive	omfattande	Guiden ger omfattande instruktioner.
comprise	omfatta	Teamet består av fem medlemmar.
compulsory	obligatorisk	Närvaro är obligatorisk för denna klass.
concrete	en betong	Golvet är gjort av betong.
confess	erkänna	Han erkände misstaget för sin lärare.
confusion	en förvirring	Förseningen orsakade förvirring.
