source_headword	TR	example_TR
fridge	buzdolabı	Süt buzdolabında.
frog	kurbağa	Kurbağa göletin yanında.
furniture	mobilya	Odadaki mobilya yeni.
further	daha ileri	Yol boyunca daha ileri gittik.
gallery	galeri	Resimler galeride asılı.
gap	boşluk	Duvarda küçük bir boşluk var.
gas	gaz	Mutfakta gaz kokusu vardı.
gate	kapı	Okulun kapısı açık.
general	genel	Bu genel bir kural.
gift	hediye	Annesine hediye verdi.
goal	hedef	Hedefi çok açık.
god	Tanrı	Tanrıya şükretti.
gold	altın	Yüzük altından.
golf	golf	Pazar günü golf oynadı.
government	hükümet	Hükümet yeni planı açıkladı.
grass	çimen	Yağmurdan sonra çimen yeşil.
greet	selamlamak	Misafiri selamladı.
ground	yer	Çocuklar yerde oturdu.
guest	misafir	Misafir erken geldi.
guide	rehber	Rehber şehir hakkında konuştu.
gun	silah	Polis silahı güvenli yere koydu.
guy	adam	Bu adam çok nazik.
habit	alışkanlık	Sabah okumak iyi bir alışkanlık.
hall	salon	Toplantı büyük salondaydı.
happily	mutlu şekilde	Eve mutlu şekilde döndüler.
headache	baş ağrısı	Bugün baş ağrısı var.
heart	kalp	Kalbi hızlı atıyordu.
heat	sıcaklık	Öğlen sıcaklık arttı.
heavy	ağır	Bu kutu çok ağır.
height	yükseklik	Binanın yüksekliği fazla.
helpful	yararlı	Bu tavsiye çok yararlı.
hero	kahraman	Hikayenin kahramanı cesur.
hers	onunki	Bu çanta onunki.
herself	kendisi	Kapıyı kendisi açtı.
hide	saklamak	Anahtarı sakladı.
hill	tepe	Ev tepenin üstünde.
himself	kendisi	Yemeği kendisi hazırladı.
hit	vurmak	Top pencereye vurdu.
hockey	hokey	Akşam hokey oynadılar.
hold	tutmak	Lütfen bu ipi tutun.
hole	delik	Yolda büyük bir delik var.
huge	kocaman	Orada kocaman bir ağaç var.
human	insan	İnsan susuz yaşayamaz.
hurt	incitmek	Sözleri beni incitti.
ideal	ideal	Burası okumak için ideal.
identify	tanımlamak	Kuşu tanımlamaya çalıştı.
ill	hasta	Çocuk dün hastaydı.
illness	hastalık	Bu hastalık hızlı yayılıyor.
image	görüntü	Ekranda net bir görüntü var.
immediately	hemen	Hemen cevap verdi.
impossible	imkansız	Bunu yalnız yapmak imkansız.
included	dahil	Vergi fiyata dahil.
including	dahil olmak üzere	Öğretmen dahil herkes geldi.
increase	artmak	Bu ay fiyat arttı.
incredible	inanılmaz	Manzara inanılmazdı.
independent	bağımsız	Bağımsız bir karar verdi.
individual	bireysel	Her öğrenciye bireysel yardım gerekir.
industry	sanayi	Bu şehirde büyük sanayi var.
informal	resmi olmayan	Bu resmi olmayan bir konuşma.
injury	yaralanma	Oyuncu hafif bir yaralanma yaşadı.
insect	böcek	Yaprağın üstünde küçük bir böcek vardı.
inside	içeride	Çocuklar evin içinde oynuyor.
instead	yerine	Çay yerine su içti.
instruction	talimat	Lütfen talimatı dikkatle okuyun.
instructor	eğitmen	Eğitmen kuralları açıkladı.
instrument	enstrüman	Yeni bir müzik enstrümanı aldı.
intelligent	zeki	Bu çocuk çok zeki.
international	uluslararası	Bu uluslararası bir konferans.
introduction	giriş	Öğretmen kısa bir giriş yaptı.
invent	icat etmek	Bilim insanı yeni bir cihaz icat etti.
invention	icat	Bu icat hayatı kolaylaştırdı.
invitation	davet	Düğün daveti aldık.
invite	davet etmek	Arkadaşını eve davet etti.
involve	içermek	Proje birçok kişiyi içeriyor.
item	öğe	Listedeki her öğeyi kontrol edin.
itself	kendisi	Makine kendiliğinden durdu.
jam	reçel	Ekmeğe reçel sürdü.
jazz	caz	Caz müziğini seviyor.
jewellery	takı	Takılar kutunun içinde.
joke	şaka	Şakası herkesi güldürdü.
journalist	gazeteci	Gazeteci bakana soru sordu.
jump	zıplamak	Çocuk suya zıpladı.
kid	çocuk	Çocuk parkta oynuyor.
kill	öldürmek	Zehir bitkiyi öldürebilir.
king	kral	Kral sarayda yaşıyordu.
knee	diz	Dizi ağrıyor.
knife	bıçak	Bıçak masanın üzerinde.
knock	çalmak	Biri kapıyı çaldı.
knowledge	bilgi	Bu konu hakkında bilgisi var.
lab	laboratuvar	Öğrenciler laboratuvarda çalıştı.
lady	kadın	Kadın otobüse bindi.
lake	göl	Göl köyün yakınında.
lamp	lamba	Masa lambası açık.
laptop	dizüstü bilgisayar	Dizüstü bilgisayarıyla çalışıyor.
last1 (taking time)	sürmek	Toplantı iki saat sürdü.
laughter	kahkaha	Oda kahkahalarla doluydu.
