simplified	AZ	example_AZ
哎	ay; ey	Ay, sən bura necə gəldin?
唉	eh; uf	Eh, yenə gecikdim.
爱护	qorumaq; qayğı göstərmək	Biz ətraf mühiti qorumalıyıq.
爱惜	qədrini bilmək; qoruyub saxlamaq	Zəhmət olmasa, öz vaxtının qədrini bil.
爱心	mərhəmət; xeyirxahlıq	O, çox mərhəmətlidir.
安慰	təsəlli vermək	Dostum mənə təsəlli verdi.
安装	quraşdırmaq	Fəhlə kondisioneri quraşdırır.
岸	sahil	Qayıq yavaş-yavaş sahilə yaxınlaşır.
暗	qaranlıq	Otaq çox qaranlıqdır.
熬夜	gecə yatmamaq	Gecə yatmamaq sağlamlıq üçün pisdir.
把握	əminlik; fürsəti tutmaq	Bu işi yaxşı görə biləcəyimə əmin deyiləm.
摆	düzmək; yerləşdirmək	Zəhmət olmasa, stulları səliqəli düzün.
办理	rəsmiləşdirmək; həll etmək	Mən banka bəzi işləri rəsmiləşdirməyə gedirəm.
傍晚	axşamüstü	Axşamüstü gəzməyə çıxacağıq.
包裹	bağlama	Mən bir bağlama aldım.
包含	daxil olmaq	Qiymətə səhər yeməyi daxildir.
包括	daxil etmək	Ödənişə nahar daxildir.
薄	nazik	Bu kitab çox nazikdir.
保持	saxlamaq	Zəhmət olmasa, sakitliyi saxlayın.
保存	yadda saxlamaq; qoruyub saxlamaq	Zəhmət olmasa, bu faylı yadda saxlayın.
保留	saxlamaq; bron etmək	Zəhmət olmasa, mənim üçün bir yer saxlayın.
保险	sığorta	Mən səyahət sığortası aldım.
宝贝	xəzinə; əziz şey	Bu mənim xəzinəmdir.
宝贵	dəyərli; qiymətli	Vaxt çox dəyərlidir.
报到	qeydiyyatdan keçmək	Yeni tələbələr bu gün məktəbə qeydiyyatdan keçməyə gəlirlər.
报道	xəbər vermək; reportaj	Xəbərlər bu hadisə barədə məlumat verdi.
报告	məruzə; hesabat vermək	O, məruzə edir.
报社	qəzet redaksiyası	O, qəzet redaksiyasında işləyir.
抱怨	şikayət etmək	O, həmişə işin çoxluğundan şikayət edir.
悲观	pessimist; bədbin	Çox bədbin olma.
背	arxa; bel	O, qapıya arxası dönük oturub.
背景	fon; keçmiş	Zəhmət olmasa, öz keçmişin barədə qısa məlumat ver.
被子	yorğan	Yorğan çox istidir.
本科	bakalavriat	O, bakalavriat tələbəsidir.
本领	bacarıq; qabiliyyət	O, yeni bir bacarıq öyrəndi.
本质	mahiyyət	Problemin mahiyyəti çox sadədir.
彼此	bir-biri	Biz bir-birimizə hörmət etməliyik.
比例	nisbət	Kişilərlə qadınların nisbəti təxminən eynidir.
必然	mütləq; qaçılmaz	Zəhmət mütləq nəticə verəcək.
必要	zəruri; lazım	Narahat olmağa ehtiyac yoxdur.
毕竟	axı; hər halda	Axı o, hələ uşaqdır.
避免	qarşısını almaq; yayınmaq	Zəhmət olmasa, gecikməkdən yayın.
编辑	redaktə etmək; redaktor	O, bu məqaləni redaktə etməyə cavabdehdir.
鞭炮	fişəng; partlayıcı fişəng	Yaz bayramında bəziləri fişəng atır.
便	sonra; elə	Yeməkdən sonra o, dərsə getdi.
辩论	müzakirə etmək; debat aparmaq	Onlar bu məsələni müzakirə edirlər.
