source_headword	TE	example_TE
hunt	వెతకడం	వారు శరదృతువులో పుట్టగొడుగులను వెతుకుతారు.
hurricane	తుఫాను	తుఫాను అనేక ఇళ్లను దెబ్బతీసింది.
hurry	తొందర	ఈ రోజు ఎలాంటి తొందర లేదు.
identity	గుర్తింపు	ఆమె గుర్తింపు రహస్యంగా మిగిలింది.
ignore	పట్టించుకోకపోవడం	ఈ హెచ్చరికను పట్టించుకోకుండా ఉండకండి.
illegal	చట్టవిరుద్ధమైన	ఇక్కడ వాహనం నిలపడం చట్టవిరుద్ధం.
imaginary	కల్పిత	కథలో ఒక కల్పిత దీవి ఉంది.
immediate	తక్షణ	మాకు తక్షణ సమాధానం కావాలి.
immigrant	వలసదారు	వలసదారు త్వరగా ఆంగ్లం నేర్చుకున్నాడు.
impact	ప్రభావం	ఆ వార్తకు బలమైన ప్రభావం ఉంది.
import	దిగుమతి చేయు	దేశం మరింత బియ్యం దిగుమతి చేస్తుంది.
importance	ప్రాముఖ్యత	ఆమె నిద్ర ప్రాముఖ్యతను అర్థం చేసుకుంది.
impression	అభిప్రాయం	అతని మొదటి అభిప్రాయం సానుకూలంగా ఉంది.
impressive	ఆకట్టుకునే	మ్యూజియానికి ఆకట్టుకునే ప్రవేశద్వారం ఉంది.
improvement	మెరుగుదల	ఈ నెలలో స్పష్టమైన మెరుగుదల కనిపించింది.
incredibly	అత్యంత	పరీక్ష అత్యంత కష్టంగా ఉంది.
indeed	నిజంగా	అది నిజంగా విచిత్రమైన రోజు.
indicate	సూచించు	బోర్డు బయటికి వెళ్లే దారిని సూచిస్తుంది.
indirect	పరోక్ష	ఆమె పరోక్ష సమాధానం ఇచ్చింది.
indoor	లోపలి	హోటల్‌కు లోపలి ఈత కొలను ఉంది.
indoors	ఇంటి లోపల	తుఫానులో మేము ఇంటి లోపల ఉన్నాము.
influence	ప్రభావం	అతని ఉపాధ్యాయుడికి బలమైన ప్రభావం ఉంది.
ingredient	పదార్థం	పిండి ప్రధాన పదార్థం.
injure	గాయపరచు	నీ వెన్నును గాయపరచకండి.
injured	గాయపడిన	గాయపడిన ఆటగాడు మైదానం విడిచాడు.
innocent	నిర్దోషి	పిల్లవాడు పూర్తిగా నిర్దోషిగా కనిపించాడు.
intelligence	తెలివి	ఆమె తరగతిలో గొప్ప తెలివిని చూపింది.
intend	ఉద్దేశించు	నేను విదేశంలో చదవాలని ఉద్దేశిస్తున్నాను.
intention	ఉద్దేశ్యం	అతని ఉద్దేశ్యం సహాయం చేయడం.
invest	పెట్టుబడి పెట్టు	వారు విద్యలో డబ్బు పెట్టుబడి పెడతారు.
