source_headword	TH	example_TH
rock (music)	เพลงร็อก	ฉันชอบเพลงร็อก.
role	บทบาท	บทบาทของเธอสำคัญ.
roof	หลังคา	หลังคาต้องซ่อม.
round	กลม	โต๊ะตัวนี้กลม.
route	เส้นทาง	เส้นทางนี้สั้นกว่า.
rubbish	ขยะ	เอาขยะไปไว้นอกบ้าน.
rude	หยาบคาย	ความเห็นนั้นหยาบคาย.
runner	นักวิ่ง	นักวิ่งดูเหนื่อย.
running	การวิ่ง	การวิ่งทำให้ฉันแข็งแรง.
sadly	น่าเศร้า	น่าเศร้าที่เราพลาดรถไฟ.
safe	ปลอดภัย	ถนนนี้รู้สึกปลอดภัย.
sail	แล่นเรือ	เราแล่นเรือในวันเสาร์.
sailing	การแล่นเรือ	การแล่นเรือเป็นที่นิยมที่นี่.
salary	เงินเดือน	เงินเดือนของเขาสูงขึ้นแล้ว.
sale	การลดราคา	การลดราคาเริ่มพรุ่งนี้.
sauce	ซอส	เติมซอสลงในข้าว.
save	บันทึก	บันทึกงานของคุณตอนนี้.
scared	กลัว	เด็กคนนั้นรู้สึกกลัว.
scary	น่ากลัว	เรื่องนี้น่ากลัว.
scene	ฉาก	ฉากสุดท้ายตลก.
schedule	ตารางเวลา	ตรวจตารางเวลาวันนี้.
score	คะแนน	คะแนนเท่าไร.
screen	หน้าจอ	เช็ดหน้าจออย่างระมัดระวัง.
search	ค้นหา	ค้นหารูปภาพบนเว็บ.
season	ฤดูกาล	ฤดูร้อนเป็นฤดูกาลที่ยุ่ง.
seat	ที่นั่ง	กรุณานั่งที่นั่งนี้.
second1 (next after the first)	ประการที่สอง	ประการที่สองล้างมือของคุณ.
secondly	ประการที่สอง	ประการที่สองตรวจคำตอบของคุณ.
secret	ความลับ	เก็บความลับนี้ให้ปลอดภัย.
secretary	เลขานุการ	เลขานุการโทรมาวันนี้.
seem	ดูเหมือน	คุณดูเหมือนเหนื่อย.
sense	สมเหตุสมผล	แผนนี้สมเหตุสมผล.
separate	แยก	เก็บเอกสารไว้แยกกัน.
series	ซีรีส์	ซีรีส์นี้เป็นที่นิยม.
serious	จริงจัง	ปัญหานี้จริงจัง.
serve	เสิร์ฟ	พวกเขาเสิร์ฟอาหารกลางวันตอนเที่ยง.
service	บริการ	บริการรวดเร็ว.
several	หลาย	นักเรียนหลายคนมาถึงเร็ว.
shake	เขย่า	เขย่าขวดก่อน.
shall modal	จะ...ไหม	เราจะเริ่มตอนนี้ไหม.
shape	รูปร่าง	วาดรูปร่างสี่เหลี่ยม.
