source_headword	TA	example_TA
heal	குணமடை	ஓய்வு உடலை குணமாக்க உதவுகிறது.
healthcare	சுகாதார பராமரிப்பு	இந்த ஆண்டு சுகாதார பராமரிப்பு செலவுகள் அதிகரித்தன.
helmet	தலைக்கவசம்	பைக்கில் செல்லும் போது தலைக்கவசம் அணியுங்கள்.
hence	எனவே	எனவே, நாங்கள் கால அட்டவணையை மாற்றினோம்.
herb	மூலிகை	துளசி ஒரு பயனுள்ள மூலிகை.
hidden	மறைக்கப்பட்ட	திறவுகோல் பாயின் கீழ் மறைத்து வைக்கப்பட்டிருந்தது.
highway	நெடுஞ்சாலை	பனிப்பொழிவுக்குப் பிறகு நெடுஞ்சாலை மூடப்பட்டது.
hilarious	மிகவும் வேடிக்கையான	திரைப்படம் மிகவும் வேடிக்கையாக இருந்தது.
hip	இடுப்பு	பயிற்சியின் போது அவள் இடுப்பில் அடிபட்டது.
historian	வரலாற்றாசிரியர்	வரலாற்றாசிரியர் பழைய கடிதங்களை ஆய்வு செய்தார்.
homeless	வீடற்ற	காப்பகம் வீடற்ற குடும்பங்களுக்கு உதவுகிறது.
honesty	நேர்மை	நேர்மை நம்பிக்கையை உருவாக்குகிறது.
hook	கொக்கி	சட்டையை கொக்கியில் தொங்கவிடவும்.
hopefully	நம்புகிறேன்	ரயில் விரைவில் வரும் என்று நம்புகிறேன்.
hunger	பசி	பசி கவனத்தை பாதிக்கலாம்.
hypothesis	கருதுகோள்	சோதனை கருதுகோளை சோதித்தது.
icon	சின்னம்	செயலியின் சின்னம் இன்று மாறியது.
ID	அடையாள அட்டை	வரவேற்பறையில் உங்கள் அடையாள அட்டையை காட்டுங்கள்.
identical	ஒரே மாதிரியான	இரட்டையர்கள் ஒரே மாதிரியான ஜாக்கெட்டுகளை அணிந்திருந்தனர்.
illusion	மாயை	கண்ணாடி ஒரு மாயையை உருவாக்குகிறது.
immigration	குடியேற்றம்	குடியேற்ற கொள்கை கடந்த ஆண்டு மாறியது.
immune	நோயெதிர்ப்பு	தடுப்பூசி மக்களை நோயெதிர்ப்பு சக்தி கொண்டவர்களாக மாற்றும்.
implement	செயல்படுத்து	பள்ளி இந்தக் கொள்கையை செயல்படுத்தும்.
implication	உட்குறிப்பு	உட்குறிப்பு தெளிவாக இருந்தது.
incentive	ஊக்கம்	போனஸ் தொழிலாளர்களுக்கு ஒரு ஊக்கத்தை அளித்தது.
