source_headword	KO	example_KO
rock (music)	록 음악	저는 록 음악을 좋아해요.
role	역할	그녀의 역할은 중요해요.
roof	지붕	지붕은 수리가 필요해요.
round	둥근	그 탁자는 둥글어요.
route	경로	이 경로가 더 짧아요.
rubbish	쓰레기	쓰레기를 밖에 두세요.
rude	무례한	그 말은 무례했어요.
runner	달리기 선수	그 달리기 선수는 피곤해 보여요.
running	달리기	달리기는 건강에 좋아요.
sadly	슬프게도	슬프게도 우리는 기차를 놓쳤어요.
safe	안전한	이 거리는 안전하게 느껴져요.
sail	항해하다	우리는 토요일에 항해해요.
sailing	요트 타기	요트 타기는 여기서 인기가 있어요.
salary	월급	그의 월급은 지금 더 높아요.
sale	세일	세일은 내일 시작해요.
sauce	소스	밥에 소스를 넣으세요.
save	저장하다	지금 작업을 저장하세요.
scared	겁먹은	그 아이는 겁먹었어요.
scary	무서운	이 이야기는 무서워요.
scene	장면	마지막 장면은 재미있었어요.
schedule	일정표	오늘 일정표를 확인하세요.
score	점수	점수가 얼마예요?
screen	화면	화면을 조심히 닦으세요.
search	검색하다	웹에서 사진을 검색하세요.
season	계절	여름은 바쁜 계절이에요.
seat	자리	이 자리에 앉으세요.
second1 (next after the first)	둘째	둘째, 손을 씻으세요.
secondly	둘째로	둘째로, 답을 확인하세요.
secret	비밀	이 비밀을 안전하게 지키세요.
secretary	비서	비서가 오늘 전화했어요.
seem	처럼 보이다	당신은 피곤해 보여요.
sense	의미	이 계획은 의미가 있어요.
separate	별개의	서류를 따로 두세요.
series	시리즈	이 시리즈는 인기가 있어요.
serious	심각한	이 문제는 심각해요.
serve	제공하다	그들은 정오에 점심을 제공해요.
service	서비스	서비스가 빨랐어요.
several	몇몇의	몇몇 학생들이 일찍 도착했어요.
shake	흔들다	먼저 병을 흔드세요.
shall modal	할까요	이제 시작할까요?
shape	모양	정사각형 모양을 그리세요.
sheet	시트	침대에 시트를 깔아 주세요.
ship	배	그 배는 오늘 떠났어요.
shoulder	어깨	제 어깨가 아파요.
shout	소리치다	수업 중에 소리치지 마세요.
shut	닫다	창문을 닫아 주세요.
side	쪽	이쪽에 앉으세요.
sign	표지판	표지판을 주의 깊게 읽으세요.
silver	은	은은 밝은 금속이에요.
simple	간단한	이 연습은 간단해요.
since	이후로	저는 정오부터 기다렸어요.
singing	노래하기	노래하기는 저를 편안하게 해요.
single	편도의	저는 편도 표를 샀어요.
sir	선생님	선생님, 가방이 준비됐어요.
site	사이트	이 사이트는 안전해요.
size	크기	어떤 크기가 필요해요?
ski	스키를 타다	우리는 겨울에 스키를 타요.
skiing	스키	겨울에 스키는 재미있어요.
skin	피부	그녀의 피부는 건조해요.
sky	하늘	하늘이 맑아요.
slowly	천천히	얼음 위에서는 천천히 걸으세요.
smartphone	스마트폰	제 스마트폰은 새것이에요.
smell	냄새가 나다	수프에서 좋은 냄새가 나요.
smile	미소 짓다	카메라를 보고 미소 지으세요.
smoke	연기	연기가 방을 가득 채웠어요.
smoking	흡연	흡연은 허용되지 않아요.
soap	비누	비누와 물을 사용하세요.
soccer	축구	축구는 여기서 인기가 있어요.
social	사회적인	이것은 사교 행사예요.
society	사회	사회는 시간이 지나면서 변해요.
sock	양말	양말 한 짝이 없어졌어요.
soft	부드러운	이 담요는 부드러워요.
soldier	군인	그 군인은 집에 돌아왔어요.
solution	해결책	우리는 해결책을 찾았어요.
solve	풀다	이 퍼즐을 푸세요.
somewhere	어딘가	그것을 안전한 곳에 두세요.
sort	종류	어떤 종류를 원하세요?
source	출처	먼저 출처를 확인하세요.
speaker	스피커	스피커 소리가 컸어요.
specific	구체적인	저는 구체적인 답이 필요해요.
speech	연설	그녀의 연설은 짧았어요.
speed	속도	여기서는 속도를 줄이세요.
spider	거미	벽에 거미가 있어요.
spoon	숟가락	수프에는 숟가락을 쓰세요.
square	정사각형의	정사각형 상자를 그리세요.
stage	무대	밴드는 무대 위에 있어요.
stair	계단	그 계단은 부서졌어요.
stamp	우표	편지에 우표를 붙이세요.
state	말하다	이름을 분명히 말하세요.
steal	훔치다	돈을 훔치지 마세요.
step	걸음	한 걸음 앞으로 가세요.
stomach	위	제 위가 아파요.
stone	돌	그 돌은 무거워요.
store	가게	그 가게는 일찍 닫아요.
storm	폭풍	폭풍이 오고 있어요.
straight	곧장	곧장 집으로 가세요.
strange	이상한	그 소리는 이상해요.
strategy	전략	우리는 전략이 필요해요.
stress	스트레스	일은 스트레스를 일으킬 수 있어요.
structure	구조	이 구조는 튼튼해요.
stupid	어리석은	그것은 어리석은 실수였어요.
succeed	성공하다	당신은 여기서 성공할 수 있어요.
successful	성공한	그녀는 성공했어요.
such	그런	그런 도움은 유용해요.
suddenly	갑자기	갑자기 개가 달아났어요.
suggest	제안하다	짧은 휴식을 제안해요.
suggestion	제안	당신의 제안은 도움이 돼요.
suit	정장	이 정장은 비싸요.
support	지원하다	우리는 우리 팀을 지원해요.
suppose	생각하다	저는 당신이 맞다고 생각해요.
surprise	놀라움	그 놀라움은 그녀를 기쁘게 했어요.
surprised	놀란	그녀는 오늘 놀랐어요.
surprising	놀라운	결과는 놀라웠어요.
survey	설문 조사	이 설문 조사를 완료해 주세요.
sweet	달콤한	이 차는 달콤해요.
symbol	기호	이 기호는 위험을 뜻해요.
system	시스템	그 시스템은 잘 작동해요.
tablet	태블릿	제 태블릿은 책상 위에 있어요.
target	목표	목표를 조심히 맞히세요.
task	과제	이 과제는 쉬워요.
taste	맛보다	먼저 수프를 맛보세요.
teaching	가르치는 일	가르치는 일은 어려운 일이에요.
technology	기술	기술은 빠르게 변해요.
teenage	십 대의	제 십 대 남동생은 열심히 공부해요.
temperature	온도	온도가 낮아요.
term	학기	이번 학기는 곧 끝나요.
themselves	그들 자신	그들은 저녁을 직접 만들었어요.
thick	두꺼운	이 책은 두꺼워요.
thief	도둑	도둑이 도망쳤어요.
thin	얇은	그 종이는 얇아요.
thinking	생각	생각에는 시간이 걸려요.
thought	생각	저는 이상한 생각이 들었어요.
throw	던지다	공을 부드럽게 던지세요.
tidy	정돈된	방을 정돈된 상태로 유지하세요.
tie	묶다	지금 신발 끈을 묶으세요.
tip	팁	서비스에 팁을 남기세요.
tool	도구	알맞은 도구를 사용하세요.
top	맨 위	맨 위 선반이 가득 찼어요.
touch	만지다	유리를 만지지 마세요.
tour	관광	우리는 시내 관광을 했어요.
tourism	관광업	관광업은 이 마을에 도움이 돼요.
towards	쪽으로	역 쪽으로 걸어가세요.
towel	수건	깨끗한 수건을 가져오세요.
tower	탑	그 탑은 아주 오래됐어요.
toy	장난감	그 장난감 자동차는 빨간색이에요.
track	길	그 길은 북쪽으로 이어져요.
tradition	전통	이 전통은 오래됐어요.
traditional	전통적인	그녀는 전통 옷을 입었어요.
trainer	트레이너	제 트레이너는 도움이 돼요.
training	훈련	훈련은 내일 시작해요.
transport	교통	대중교통이 늦어요.
traveller	여행자	그 여행자는 도움을 요청했어요.
trouble	문제	우리는 어제 문제가 있었어요.
truck	트럭	트럭은 밖에 있어요.
twin	쌍둥이	제 쌍둥이 여동생이 더 커요.
typical	전형적인	이것은 전형적인 하루예요.
underground	지하의	기차는 지하로 달려요.
understanding	이해	당신의 이해는 맞아요.
unfortunately	불행하게도	불행하게도 가게는 닫혔어요.
unhappy	불행한	그는 불행해 보여요.
uniform	교복	그녀는 학교 교복을 입어요.
unit	단위	이 단위는 작아요.
united	단결한	팀은 단결한 상태였어요.
unusual	특이한	그 소리는 특이해요.
used to modal	예전에 하곤 했다	우리는 예전에 여기 살았어요.
user	사용자	각 사용자에게 번호가 있어요.
usual	평소의	저는 평소 자리에 앉았어요.
valley	계곡	계곡은 푸르러요.
van	승합차	그 승합차는 가득 찼어요.
variety	다양성	우리는 더 많은 다양성이 필요해요.
vehicle	차량	이 차량은 느려요.
view	경치	경치가 아름다워요.
virus	바이러스	바이러스 때문에 그는 아팠어요.
voice	목소리	그녀의 목소리는 조용해요.
war	전쟁	전쟁은 몇 년 전에 끝났어요.
washing	빨래	빨래는 밖에 있어요.
wave	파도	파도가 배를 쳤어요.
weak	약한	다리가 약하게 느껴져요.
web	웹	웹페이지가 열려 있어요.
wedding	결혼식	결혼식은 곧 시작해요.
weight	무게	먼저 무게를 확인하세요.
wet	젖은	제 신발이 젖었어요.
wheel	바퀴	바퀴가 고장 났어요.
while	잠시	여기서 잠시 기다리세요.
whole	전체의	저는 사과 전체를 먹었어요.
whose	누구의	이것은 누구의 전화예요?
wide	넓은	길이 넓어요.
wild	야생의	야생 동물이 여기 살아요.
wind1	바람	바람이 강해요.
winner	승자	승자가 웃었어요.
wish	소원	소원을 비세요.
wood	나무	그 의자는 나무로 만들어졌어요.
wooden	나무로 된	그 나무 상자는 무거워요.
working	일하는	근무일이 끝났어요.
worried	걱정하는	저는 오늘 걱정돼요.
worry	걱정하다	지금 걱정하지 마세요.
worse	더 나쁜	이 통증은 더 나빠요.
worst	최악의	그날은 최악의 날이었어요.
wow	와	와, 정말 놀라워요!
yet	아직	우리 아직 도착 안 했어요?
yours	당신의 것	이 책은 당신의 것이에요.
zero	영	영까지 세세요.
