simplified	BG	example_BG
挨	издържам; понасям	Той издържа цяла нощ и най-накрая дочака разсъмването.
癌症	рак	Ранното откриване на рак е много важно.
暧昧	двусмислен; неясен	Отговорът му беше много двусмислен.
爱不释手	не мога да се откъсна	Тя толкова обикна тази книга, че едва можеше да я остави.
爱戴	обичам и уважавам	Този учител е дълбоко обичан и уважаван от учениците.
安宁	спокоен; мирен	Нощите тук са много спокойни.
安详	ведър; спокоен	Изражението на възрастния човек беше много ведро.
安置	настанявам; уреждам	Правителството настани хората, пострадали от бедствието.
按摩	масаж	Запазих си час за масаж.
暗示	намеквам; намек	Тя ми намекна да не питам повече.
案件	съдебен случай	Полицията разследва този случай.
案例	примерен случай	Този случай е много представителен.
昂贵	скъп	Това оборудване е много скъпо.
凹凸	неравен	Повърхността на този път е неравна.
熬	издържам; варя дълго	Той издържа три тежки дни, преди да завърши доклада.
奥秘	тайна	Ученият иска да разкрие тази тайна.
巴不得	нямам търпение	Нямам търпение веднага да тръгна.
巴结	подмазвам се	Той не желае да се подмазва на ръководителите.
扒	вкопчвам се; ровя	Детето се вкопчи във вратата и погледна навън.
疤	белег	На ръката му има белег.
拔苗助长	вредя с прекалено бързане	Ако насилваш детето да учи така, само ще навредиш с прекалено бързане.
把关	проверявам; контролирам	Този договор трябва да бъде проверен от адвокат.
把手	дръжка	Дръжката на вратата е счупена.
罢工	стачка; стачкувам	Работниците решиха утре да стачкуват.
霸道	властен; тираничен	Той говори твърде властно.
掰	разчупвам с ръце	Тя разчупи хляба на две половини.
摆脱	отървавам се	Той най-накрая се отърва от лошия навик.
拜访	посещавам	През уикенда ще посетим учителя.
拜年	честитя Нова година	По време на Пролетния празник посещаваме дядо и баба, за да им честитим Нова година.
拜托	моля; разчитам на	Разчитам на теб за този въпрос.
败坏	развалям; увреждам	Такова поведение ще увреди репутацията на компанията.
斑	петно	По котката има едно черно петно.
颁布	обнародвам; издавам	Новите правила ще бъдат обнародвани следващата седмица.
颁发	връчвам; издавам	Училището връчи грамоти на отличните ученици.
版本	версия	Този софтуер има нова версия.
伴侣	партньор; спътник	Тя смята кучето за свой спътник.
伴随	съпътствам	Успехът често е съпътстван от напрежение.
半途而废	отказвам се по средата	Не можеш да се откажеш по средата, когато правиш изследване.
扮演	играя роля	Той играе лекар във филма.
榜样	пример за подражание	Родителите са пример за подражание за децата.
绑架	отвличам	Полицията предотврати случай на отвличане.
磅	паунд	Тази кутия тежи двадесет паунда.
包庇	прикривам	Никой не бива да прикрива престъпление.
包袱	вързоп; бреме	След като остави бремето си, той се почувства много по-леко.
包围	обкръжавам	Репортерите обкръжиха актьора.
包装	опаковка	Опаковката на този подарък е много красива.
保管	пазя; съхранявам	Тези документи се съхраняват при мен.
保密	пазя в тайна	Съдържанието на срещата трябва да се пази в тайна.
保姆	бавачка; домашна помощница	Те наеха бавачка.
保守	консервативен	Мислите му са сравнително консервативни.
保卫	защитавам	Войниците защитават границата.
保养	поддържам	Тази кола се нуждае от редовна поддръжка.
保障	гарантирам; защитавам	Законът защитава правата на гражданите.
保重	пази се	Моля, пази се, когато си далеч от дома.
饱和	насищане	Този пазар вече е близо до насищане.
饱经沧桑	преживял много превратности	Този възрастен човек е преживял много превратности.
报酬	възнаграждение	Той получи разумно възнаграждение.
报仇	отмъщавам	Той не иска да отмъщава, а само иска да започне отначало.
报答	отплащам се	Ще ти се отплатя за помощта с действия.
报复	отмъщение; отмъщавам	Отмъщението само ще задълбочи конфликта.
报警	съобщавам на полицията	След като откриеш пожар, трябва веднага да се обадиш в полицията.
报销	възстановявам разходи	Пътните разходи могат да бъдат възстановени.
抱负	амбиция	Той има големи амбиции още от малък.
暴力	насилие	Ние се противопоставяме на всякаква форма на насилие.
