source_headword	TL	example_TL
strengthen	palakasin	Palalakasin ng bagong patakaran ang kaligtasan sa internet.
strictly	mahigpit	Ang mga tiket ay mahigpit na limitado sa dalawa bawat tao.
striking	kapansin-pansin	Ang painting ay may kapansin-pansing mga kulay.
stroke	hagod	Nagpinta siya ng isang hagod sa papel.
stunning	nakamamanghang	Ang tanawin sa bundok ay nakamamanghang.
subsequent	kasunod	Kinumpirma ng kasunod na pulong ang badyet.
subsequently	kasunod nito	Nagsara ang kalsada; kasunod nito, mabagal na gumalaw ang trapiko.
suburb	suburbyo	Nakatira sila sa isang tahimik na suburbyo.
suffering	pagdurusa	Bawasan ng gamot ang kanyang pagdurusa.
sufficient	sapat	May sapat na oras ang koponan.
sufficiently	sapat	Ang silid ay sapat na mainit.
super	super	Ang bagong tablet ay napakabilis.
surgeon	siruhano	Inayos ng siruhano ang napinsalang tuhod.
survival	kaligtasan	Ang malinis na tubig ay mahalaga para sa kaligtasan.
survivor	nakaligtas	Inilarawan ng nakaligtas ang baha.
suspend	suspindihin	Maaaring suspindihin ng paaralan ang biyahe.
sustainable	napapanatiling	Ang sakahan ay gumagamit ng mga napapanatiling pamamaraan.
swallow	lunukin	Lunukin ang tabletang gamit ang tubig.
sympathetic	nakikiramay	Ang tagapamahala ay nakikiramay sa kanyang problema.
tackle	harapin	Kailangan nating harapin ang problema sa pabahay.
tag	tag	Ang bag ay may tag ng presyo.
tap	gripo	Pinatay niya ang gripo.
technological	teknolohikal	Ang pagbabagong teknolohikal ay nakaaapekto sa bawat lugar ng trabaho.
teens	mga kabataan	Maraming mga kabataan ang araw-araw na gumagamit ng social media.
temple	templo	Ang templo ay nakatayo malapit sa ilog.
temporarily	pansamantala	Pansamantalang sarado ang opisina.
tendency	ugali	May ugali siyang dumating nang huli.
tension	tensyon	Tumaas ang tensyon sa panahon ng talakayan.
terms	mga tuntunin	Ang mga tuntunin ng kontrata ay malinaw.
terribly	labis	Labis na naiyak ang bata.
terrify	takutin	Tinatakot ng malalakas na ingay ang aso.
territory	teritoryo	Ipinapakita ng mapa ang bagong teritoryo.
terror	takot	Kumalat ang takot matapos ang pag-atake.
terrorism	terorismo	Ang terorismo ay nagbabanta sa pampublikong kaligtasan.
terrorist	terorista	Inaresto ng pulisya ang terorista kahapon.
testing	pagsubok	Magsisimula ang pagsubok sa produkto sa Lunes.
textbook	aklat-aralin	Naiwan niya ang kanyang aklat-aralin sa biyolohiya.
theft	pagnanakaw	Tumaas ang pagnanakaw sa lugar.
therapist	therapist	Tinulungan siya ng therapist na pamahalaan ang pagkabalisa.
thesis	tesis	Sinusuri ng kanyang tesis ang online na pag-aaral.
thorough	masusi	Ang isang masusing pagsusuri ay walang nakitang mga error.
thoroughly	nang masusi	Linisin nang masusi ang sugat.
thumb	hinlalaki	Itinaas niya ang kanyang hinlalaki para senyasan ang pagsang-ayon.
timing	timing	Perpekto ang timing ng tawag.
tissue	tisyu	Pinunasan niya ang baso ng tisyu.
ton	tonelada	Ang trak ay nagdala ng isang toneladang buhangin.
tonne	tonelada	Ang padala ay tumimbang ng isang tonelada.
tournament	paligsahan	Magsisimula bukas ang paligsahan sa tennis.
trace	tuntunin	Maaaring tuntunin ng mga siyentipiko ang pinagmulan ng virus.
trading	pangangalakal	Huminto ang pangangalakal ng stock sa tanghali.
tragedy	trahedya	Ang aksidente ay isang malagim na trahedya.
tragic	kalunos-lunos	Ang pagbangga ay may kalunos-lunos na mga kahihinatnan.
trait	katangian	Ang pasensya ay isang kapaki-pakinabang na katangian.
transmit	maglipat	Maaaring maglipat ng sakit ang mga lamok.
transportation	transportasyon	Siksikan ngayon ang pampublikong transportasyon.
trap	hulihin	Ang kahon ay maaaring ligtas na makahuli ng mga insekto.
treasure	kayamanan	Ang lumang dibdib ay may kayamanan.
tribe	tribo	Pinrotektahan ng tribo ang mga tradisyon nito.
trigger	mag-trigger	Ang usok ay maaaring mag-trigger ng alarma.
trillion	trilyon	Ang utang ay umabot sa isang trilyong dolyar.
troop	tropa	Ang tropa ay lumipat patungo sa hangganan.
tsunami	tsunami	Sinira ng tsunami ang mga tahanan sa baybayin.
ultimate	sukdulan	Ang sukdulang layunin ay kapayapaan.
unacceptable	hindi katanggap-tanggap	Ang pagkaantala ay hindi katanggap-tanggap sa mga pasahero.
uncertainty	kawalan ng katiyakan	Ang kawalan ng katiyakan ay nagpakaba sa mga mamumuhunan.
undergo	sumailalim	Ang pasyente ay sasailalim sa operasyon bukas.
undertake	isagawa	Isasagawa ng koponan ang isang survey.
unfold	magbukas	Dahan-dahang nagbukas ang drama.
unfortunate	malas	Ang pagkakamali ay malas ngunit maaayos.
unite	pag-isahin	Sinubukan ng mga pinuno na pag-isahin ang partido.
unity	pagkakaisa	Nanawagan ang talumpati para sa pambansang pagkakaisa.
universal	unibersal	Gumagamit ang app ng unibersal na disenyo.
urgent	kagyat	Nakatanggap ang ospital ng kagyat na tawag.
usage	paggamit	Ipinapaliwanag ng gabay ang tamang paggamit.
useless	walang silbi	Ang sirang charger ay walang silbi.
valid	wasto	Wasto pa rin ang iyong pasaporte.
variation	pagkakaiba-iba	May malawak na pagkakaiba-iba sa mga presyo.
vertical	patayo	Ang tsart ay may patayong axis.
viewpoint	pananaw	Nagbago ang kanyang pananaw pagkatapos ng debate.
visa	visa	Nag-apply siya para sa isang student visa.
visible	nakikita	Nakikita ang karatula mula rito.
voluntary	boluntaryo	Ang kurso ay may boluntaryong mga workshop.
