simplified	DE	example_DE
哎	he; ach	He, warum bist du gekommen?
唉	ach; seufz	Ach, ich bin schon wieder zu spät.
爱护	pflegen; schützen	Wir sollten die Umwelt schützen.
爱惜	schätzen; sorgsam umgehen mit	Bitte schätze deine eigene Zeit.
爱心	das Mitgefühl; die Fürsorge	Sie ist sehr fürsorglich.
安慰	trösten	Mein Freund hat mich getröstet.
安装	installieren	Der Arbeiter installiert gerade die Klimaanlage.
岸	das Ufer	Das Boot nähert sich langsam dem Ufer.
暗	dunkel	Im Zimmer ist es sehr dunkel.
熬夜	bis spät aufbleiben	Bis spät aufzubleiben ist schlecht für die Gesundheit.
把握	die Sicherheit; etw. sicher können	Ich bin nicht sicher, ob ich das gut machen kann.
摆	anordnen; aufstellen	Stell die Stühle bitte ordentlich auf.
办理	erledigen; abwickeln	Ich gehe zur Bank, um einige Angelegenheiten zu erledigen.
傍晚	der Abend; gegen Abend	Am Abend gehen wir spazieren.
包裹	das Paket	Ich habe ein Paket erhalten.
包含	enthalten	Der Preis enthält das Frühstück.
包括	einschließen; enthalten	Die Gebühr enthält das Mittagessen.
薄	dünn	Dieses Buch ist sehr dünn.
保持	beibehalten; bewahren	Bitte bleibt ruhig.
保存	speichern; aufbewahren	Bitte speichere diese Datei.
保留	reservieren; beibehalten	Bitte reserviere mir einen Sitzplatz.
保险	die Versicherung	Ich habe eine Reiseversicherung gekauft.
宝贝	der Schatz	Das ist mein Schatz.
宝贵	wertvoll	Zeit ist sehr wertvoll.
报到	sich anmelden; sich melden	Die neuen Schüler kommen heute zur Anmeldung in die Schule.
报道	berichten	Die Nachrichten haben über diese Sache berichtet.
报告	der Bericht; berichten	Er hält gerade einen Bericht.
报社	die Zeitungsredaktion	Sie arbeitet bei einer Zeitungsredaktion.
抱怨	sich beschweren	Er beschwert sich immer, dass es zu viel Arbeit gibt.
悲观	pessimistisch	Sei nicht zu pessimistisch.
背	der Rücken	Er sitzt mit dem Rücken zur Tür.
背景	der Hintergrund	Bitte stelle kurz deinen Hintergrund vor.
被子	die Decke	Die Decke ist sehr warm.
