simplified	LV	example_LV
啊	modāla piekrišanas vai apstiprinājuma partikula	Labi, tad iesim tagad.
阿姨	tante; aukle; vecāka sieviete	Tante strādā lielā veikalā.
矮	zems	Šis galds ir mazliet zems.
爱好	vaļasprieks; interese	Mans vaļasprieks ir klausīties mūziku.
安静	kluss; mierīgs	Bibliotēkā ir ļoti kluss.
把	turēt; satvert; objekta partikula	Lūdzu, aizveriet durvis.
搬	pārcelties; pārvietot	Rīt mēs pārvācamies.
班	klase; grupa	Mūsu klasē ir divdesmit skolēni.
办法	metode; veids	Šī metode ir ļoti laba.
办公室	birojs	Direktors ir birojā.
半	puse; pus-	Es gaidīju pusstundu.
帮忙	palīdzēt; sniegt palīdzību	Vai tu vari palīdzēt?
包	ietīt; turēt; soma	Viņa nopirka jaunu somu.
饱	paēdis; paēst	Es jau esmu paēdis.
北方	ziemeļi; ziemeļu daļa	Ziemā ziemeļos ir ļoti auksti.
被	pasīva partikula; no	Mans velosipēds tika aizdots draugam.
鼻子	deguns	Viņa deguns ir mazliet sarkans.
比较	salīdzināt; diezgan	Šodien ir diezgan karsts.
比赛	spēle; sacensības	Šī spēle ir ļoti svarīga.
笔记本	klade	Es noliku kladi uz galda.
必须	vajadzēt; obligāti	Tev rūpīgi jāatkārto viela.
变化	pārmaiņa; mainīties	Šī pilsēta ir daudz mainījusies.
别人	citi cilvēki	Neņem citu cilvēku mantas.
冰箱	ledusskapis	Augļi ir ledusskapī.
不但…而且…	ne tikai... bet arī...	Viņš ir ne tikai gudrs, bet arī čakls.
菜单	ēdienkarte	Lūdzu, iedodiet man ēdienkarti.
参加	piedalīties; pievienoties	Es gribu piedalīties šajā sanāksmē.
草	zāle	Kucēns skrien pa zāli.
层	stāvs; slānis	Šai ēkai ir trīs stāvi.
差	atšķirties; trūkt; slikts	Šodien laikapstākļi ir slikti.
超市	liels veikals	Es eju uz lielu veikalu pirkt maizi.
衬衫	krekls; blūze	Šis krekls ir ļoti tīrs.
城市	pilsēta	Pekina ir liela pilsēta.
成绩	atzīmes; rezultāti	Viņa matemātikas atzīmes ir ļoti labas.
迟到	kavēt	Nekavē stundu.
除了	bez; izņemot	Bez kafijas es vēl gribu tēju.
船	kuģis; laiva	Mēs braucam uz to pilsētu ar laivu.
春	pavasaris	Pavasarī ir daudz ziedu.
词典	vārdnīca	Šī vārdnīca ir ļoti noderīga.
聪明	gudrs; apķērīgs	Šis bērns ir ļoti gudrs.
打扫	tīrīt; slaucīt	Nedēļas nogalē es tīru istabu.
打算	plānot; grasīties	Kādi plāni tev ir rītdienai?
带	atnest; paņemt līdzi	Lūdzu, paņemiet līdzi pasi.
担心	uztraukties; noraizējies	Neuztraucies, es tev palīdzēšu.
蛋糕	kūka	Šī kūka ir ļoti salda.
当然	protams	Protams, tu vari.
地	apstākļa partikula	Viņš laimīgi pasmaidīja.
灯	lampa; gaisma	Lūdzu, ieslēdziet gaismu.
地方	vieta; apgabals	Šī vieta ir ļoti mierīga.
地铁	metro	Es katru dienu braucu uz darbu ar metro.
地图	karte	Es meklēju skolu kartē.
电梯	lifts	Lifts ir pa kreisi.
电子邮件	elektroniska vēstule	Es sūtu skolotājam elektronisku vēstuli.
东	austrumi	Saule lec austrumos.
冬	ziema	Ziemā man patīk dzert karstu tēju.
动物	dzīvnieks	Panda ir slavens dzīvnieks Ķīnā.
短	īss	Šīs bikses ir pārāk īsas.
段	rindkopa; daļa	Lūdzu, izlasiet šo rindkopu.
锻炼	vingrot; trenēties	Es vingroju katru rītu.
多么	cik; kā	Cik laba te ir vide!
饿	izsalcis; kļūt izsalkušam	Es esmu izsalcis un gribu ēst maizi.
耳朵	auss	Man mazliet sāp auss.
发	sūtīt; izdot	Vakarā es sūtu elektroniskas vēstules.
发烧	būt drudzim	Viņam ir drudzis un viņš nevar iet uz skolu.
发现	atklāt; pamanīt	Es pamanīju, ka šī metode ir laba.
方便	ērts	Ar metro braukt ir ērti.
放	nolikt; palaist	Lūdzu, nolieciet grāmatu uz galda.
放心	būt mierīgam; neuztraukties	Neuztraucies, es ieradīšos laikā.
分	sadalīt; izdalīt	Lūdzu, sadaliet kūku visiem.
复习	atkārtot; atkārtošana	Pirms eksāmena man jāatkārto viela.
附近	tuvumā; apkārtne	Tuvumā ir restorāns.
干净	tīrs	Šī istaba ir ļoti tīra.
感冒	saaukstēties; saaukstēšanās	Es esmu saaukstējies un gribu atpūsties.
感兴趣	interesēties	Man ļoti interesē ķīniešu valoda.
刚才	tikko; pirms brīža	Kas tev tikko zvanīja?
个子	augums	Viņš ir garš.
根据	saskaņā ar; pamatojoties uz	Saskaņā ar karti skola ir austrumos.
跟	ar; sekot	Es eju uz parku ar draugu.
更	vēl vairāk; vairāk	Šodien ir vēl aukstāks nekā vakar.
公斤	kilograms	Šie āboli sver vienu kilogramu.
公园	parks	Bērni spēlējas parkā.
故事	stāsts	Vectēvs man stāsta stāstu.
刮风	pūst vējam	Šodien pūš vējš; nebrauc ar velosipēdu.
关	aizvērt; izslēgt	Lūdzu, aizveriet durvis.
关系	attiecības; saikne	Manas attiecības ar kolēģi ir labas.
关心	rūpēties; interesēties	Mamma ļoti rūpējas par manu veselību.
关于	par; attiecībā uz	Šī grāmata ir par ķīniešu kultūru.
国家	valsts	Ķīna ir ļoti liela valsts.
过	pieredzes partikula	Es esmu bijis Pekinā.
过去	pagātne; agrāk	Agrāk šeit nebija metro.
还是	vai; tomēr	Vai tu dzer tēju vai kafiju?
害怕	baidīties	Es nebaidos no eksāmena.
黑板	tāfele	Skolotājs raksta zīmes uz tāfeles.
后来	vēlāk; pēc tam	Vēlāk mēs aizgājām uz parku.
护照	pase	Lūdzu, paņemiet līdzi pasi.
96:花	tērēt; maksāt	Telefona pirkšana maksāja divus tūkstošus juaņu.
97:花	zieds	Uz galda ir zieds.
画	zīmēt; attēls	Mana jaunākā māsa labprāt zīmē pandas.
坏	slikts; sabojāts	Mans dators sabojājās.
欢迎	sagaidīt; laipni lūgts	Laipni lūgts manās mājās.
环境	vide; apstākļi	Šīs skolas vide ir ļoti laba.
还	atdot; atgriezt	Lūdzu, rīt atdodiet man grāmatu.
换	mainīt; nomainīt	Es gribu nomainīt kreklu.
黄河	Dzeltenā upe	Dzeltenā upe ir ļoti gara.
回答	atbildēt; atbilde	Lūdzu, atbildiet uz manu jautājumu.
会议	sanāksme; konference	Sanāksme sākas deviņos.
或者	vai; varbūt	Tu vari braukt ar metro vai autobusu.
几乎	gandrīz	Viņš vingro gandrīz katru dienu.
机会	iespēja	Šī ir laba iespēja.
极	ārkārtīgi; ļoti	Viņa ir ārkārtīgi laimīga.
季节	gadalaiks	Rudens ir mans mīļākais gadalaiks.
记得	atcerēties	Vai atceries paņemt kredītkarti?
检查	pārbaudīt; apskatīt	Ārsts mani apskata.
简单	vienkāršs	Šis teikums ir ļoti vienkāršs.
健康	veselība; vesels	Vingrošana ir laba veselībai.
见面	satikties	Rīt mēs satiksimies skolā.
讲	skaidrot; runāt	Skolotājs skaidro ļoti skaidri.
教	mācīt	Viņš māca man rakstīt ķīniešu zīmes.
脚	pēda; kāja	Man mazliet sāp pēda.
角	stūris	Veikals ir ielas stūrī.
接	sagaidīt; saņemt; atbildēt	Es eju uz lidostu sagaidīt draugu.
街道	iela	Šī iela ir ļoti tīra.
结婚	apprecēties	Viņi apprecēsies nākamgad.
结束	beigties; pabeigt	Spēle jau ir beigusies.
节目	raidījums	Šis televīzijas raidījums ir ļoti labs.
节日	svētki; festivāls	Pavasara svētki ir svarīgi ķīniešu svētki.
解决	atrisināt	Šī problēma jau ir atrisināta.
借	aizņemties; aizdot	Es gribu aizņemties tavu vārdnīcu.
经常	bieži	Es bieži eju uz bibliotēku.
经过	iet cauri; process	Es katru dienu eju cauri šim parkam.
经理	direktors; vadītājs	Direktors ir sanāksmē.
久	ilgi; ilgs laiks	Es šeit dzīvoju jau ilgi.
旧	vecs; lietots	Šis apģērba gabals ir ļoti vecs.
句子	teikums	Lūdzu, uzrakstiet vienu teikumu.
决定	izlemt; lēmums	Es izlēmu mācīties ķīniešu valodu.
可爱	jauks; mīļš	Šis kaķis ir ļoti mīļš.
渴	izslāpis	Es esmu izslāpis un gribu dzert ūdeni.
刻	ceturtdaļstunda; brīdis	Ir ceturksnis pāri astoņiem.
客人	viesis; klients	Šodien pie mums mājās atnāca viesis.
空调	gaisa kondicionieris	Lūdzu, ieslēdziet gaisa kondicionieri.
口	mute; malks; skaitītājvārds cilvēkiem vai dzīvniekiem	Viņš iedzēra malku ūdens.
哭	raudāt	Kāpēc bērns raud?
裤子	bikses	Šīs bikses ir jaunas.
筷子	ēšanas kociņi	Es protu ēst ar ēšanas kociņiem.
蓝	zils	Debesis ir zilas.
老	vecs; gados vecs	Mans skolotājs nav vecs.
离开	aizbraukt; atstāt	Viņš rīt aizbrauc no Pekinas.
礼物	dāvana	Šī ir dāvana tev.
历史	vēsture	Man patīk Ķīnas vēsture.
脸	seja	Viņas seja ir ļoti sarkana.
练习	praktizēt; vingrinājums	Lūdzu, vairāk praktizējiet runāt ķīniski.
辆	skaitītājvārds transportlīdzekļiem	Pie durvīm ir taksometrs.
聊天	sarunāties; tērzēt	Es sarunājos ar draugu.
了解	saprast; uzzināt	Es gribu saprast ķīniešu kultūru.
邻居	kaimiņš	Mans kaimiņš ir ļoti sirsnīgs.
留学	studēt ārzemēs	Viņa studē Ķīnā.
楼	ēka; stāvs	Birojs ir trešajā stāvā.
绿	zaļš	Pavasarī koki kļuva zaļi.
马	zirgs	Tas zirgs skrien ļoti ātri.
马上	tūlīt; nekavējoties	Es tūlīt atgriezīšos.
满意	apmierināts	Es esmu ļoti apmierināts ar šo istabu.
帽子	cepure	Šī cepure ir ļoti skaista.
米	metrs; rīsi	Šis galds ir divus metrus garš.
面包	maize	Brokastīs es ēdu maizi.
明白	saprast; skaidrs	Es saprotu, ko tu gribi teikt.
拿	paņemt; turēt	Lūdzu, paņemiet man vienu grāmatu.
奶奶	vecmāmiņa no tēva puses; vecmāmiņa	Vecmāmiņai patīk klausīties mūziku.
南	dienvidi	Skola ir pilsētas dienvidos.
难	grūts	Šis jautājums nav grūts.
难过	skumjš	Viņa šodien ir mazliet skumja.
年级	klase; mācību gads	Mana jaunākā māsa mācās trešajā klasē.
年轻	jauns	Šis direktors ir ļoti jauns.
鸟	putns	Kokā ir putns.
努力	pūles; censties	Viņš ļoti cītīgi mācās.
爬山	kāpt kalnā; doties kalnos	Šajā nedēļas nogalē dosimies kalnos.
盘子	šķīvis; paplāte	Uz galda ir trīs šķīvji.
胖	resns; apaļīgs	Šis suns ir mazliet resns.
啤酒	alus	Tētis nedzer alu.
皮鞋	ādas kurpes	Šis ādas kurpju pāris ir dārgs.
瓶子	pudele	Pudelē ir ūdens.
其实	patiesībā	Patiesībā man nepatīk alus.
其他	cits; pārējie	Visi pārējie klasesbiedri ir atnākuši.
奇怪	dīvains	Šī skaņa ir ļoti dīvaina.
骑	jāt; braukt	Viņš katru dienu brauc uz darbu ar velosipēdu.
起飞	pacelties	Lidmašīna drīz pacelsies.
起来	piecelties; augšup	Lūdzu, piecelieties.
清楚	skaidrs; skaidri	Tu runāji ļoti skaidri.
请假	lūgt brīvdienu	Viņš ir saaukstējies un viņam jālūdz brīvdiena.
秋	rudens	Rudenī laiks ir patīkams.
裙子	svārki	Šie svārki ir ļoti skaisti.
然后	tad; pēc tam	Vispirms es ēdu, pēc tam pildu mājasdarbus.
热情	sirsnīgs; aizrautīgs	Ķīniešu draugi ir ļoti sirsnīgi.
认为	uzskatīt; domāt	Es uzskatu, ka šī metode ir laba.
认真	nopietns; uzmanīgs	Lūdzu, uzmanīgi klausieties skolotāju.
容易	viegls	Šo ķīniešu zīmi ir viegli uzrakstīt.
如果	ja	Ja līs, mēs brauksim ar metro.
伞	lietussargs	Līst; lūdzu, paņem lietussargu.
上网	pārlūkot tīmekli	Vakarā es pārlūkoju tīmekli, lai pārbaudītu karti.
声音	balss; skaņa	Tava balss skan skaisti.
生气	dusmīgs; sadusmoties	Nedusmojies; es to nedarīju tīšām.
世界	pasaule	Pasaule ir ļoti liela.
试	mēģināt; pielaikot	Es gribu pielaikot šo ādas kurpju pāri.
瘦	tievs	Viņš ir tievāks nekā agrāk.
叔叔	tēvocis	Tēvocis ved mani uz skolu.
舒服	ērts; justies labi	Šis krēsls ir ērts.
数学	matemātika	Matemātikas stunda ir interesanta.
树	koks	Mājas priekšā ir koks.
刷牙	tīrīt zobus	Es katru rītu tīru zobus.
双	pāris; dubults	Es nopirku ādas kurpju pāri.
水平	līmenis; mērs	Viņa ķīniešu valodas līmenis ir augsts.
司机	šoferis	Šoferis mūs gaida pie durvīm.
太阳	saule	Šodien saule ir stipra.
特别	īpaši; īpašs	Šis raidījums ir īpaši interesants.
疼	sāpēt; sāpīgs	Man sāp kāja.
