hsk_key	source_word	simplified	SI	example_SI	TA	example_TA
3606:白白	白白	白白	නිෂ්ඵලව; වැඩක් නැතිව	ඔහු පැයක් පුරා නිෂ්ඵලව බලා සිටියේය.	வீணாக; பயனின்றி	அவர் ஒரு மணி நேரம் வீணாக காத்திருந்தார்.
3607:白领	白领	白领	කාර්යාල සේවකයා; සුදු කරපටි සේවකයා	මෙම නගරයේ තරුණ කාර්යාල සේවකයන් බොහෝ දෙනෙක් සිටිති.	அலுவலகப் பணியாளர்; வெள்ளைக் காலர் தொழிலாளர்	இந்த நகரத்தில் பல இளம் அலுவலகப் பணியாளர்கள் உள்ளனர்.
3609:摆放	摆放	摆放	තබා සකස් කරයි	කරුණාකර ද්‍රව්‍ය මේසය මත පිළිවෙළට සකස් කරන්න.	வைக்க; ஒழுங்குபடுத்த	தயவுசெய்து பொருட்களை மேசையில் ஒழுங்காக வையுங்கள்.
3610:百分点	百分点	百分点	ප්‍රතිශත ලක්ෂ්‍යය	රැකියා විරහිත අනුපාතය ප්‍රතිශත ලක්ෂ්‍ය දෙකකින් පහත වැටුණි.	சதவீதப் புள்ளி	வேலையின்மை விகிதம் இரண்டு சதவீதப் புள்ளிகள் குறைந்தது.
3611:百货	百货	百货	පොදු වෙළඳ භාණ්ඩ; බහුභාණ්ඩ	සති අන්තයේ මෙම බහුභාණ්ඩ වෙළඳසැල ඉතා ජනකීර්ණය.	பொதுப் பொருட்கள்; பல்பொருள் கடைச் சரக்குகள்	வார இறுதிகளில் இந்த பல்பொருள் கடை மிகவும் கூட்டமாக இருக்கும்.
3613:败	败	败	පරාජය වේ; පරාජයට පත් වේ	අපගේ කණ්ඩායම අවසානයේ ලකුණු එකකින් පරාජය විය.	தோல்வியடைய; தோற்கடிக்கப்பட	எங்கள் அணி இறுதியில் ஒரு புள்ளியால் தோற்றது.
3616:版	版	版	සංස්කරණය; අනුවාදය	මෙම පොතේ නව සංස්කරණයක් නිකුත් වී ඇත.	பதிப்பு	இந்த புத்தகத்தின் புதிய பதிப்பு வெளியானது.
3621:棒球	棒球	棒球	බේස්බෝල්	ළමයින් උද්‍යානයේ බේස්බෝල් ක්‍රීඩා කරමින් සිටිති.	பேஸ்பால்	குழந்தைகள் பூங்காவில் பேஸ்பால் விளையாடுகின்றனர்.
3623:保健	保健	保健	සෞඛ්‍ය රැකවරණය; සෞඛ්‍ය පවත්වාගැනීම	වැඩිහිටි අය සෞඛ්‍ය රැකවරණයට වැඩි වැඩියෙන් අවධානය යොමු කරති.	சுகாதாரப் பராமரிப்பு	மூத்தவர்கள் சுகாதாரப் பராமரிப்பில் மேலும் மேலும் கவனம் செலுத்துகின்றனர்.
3624:保暖	保暖	保暖	උණුසුම රඳවා ගනී	ශීත ඍතුවේ පිටතට යන විට උණුසුම රඳවා ගත යුතුය.	சூடு காக்க	குளிர்காலத்தில் வெளியே செல்லும்போது சூடு காக்க வேண்டும்.
3625:保修	保修	保修	වගකීම් යටතේ අලුත්වැඩියා කරයි	මෙම පරිගණකය වසරක් වගකීම් යටතේ නොමිලේ අලුත්වැඩියා කළ හැක.	உத்தரவாதத்தின் கீழ் பழுது பார்க்க	இந்த கணினியை ஒரு வருடம் உத்தரவாதத்தின் கீழ் இலவசமாகப் பழுது பார்க்கலாம்.
3627:爆	爆	爆	පිපිරෙයි; පුපුරයි	බැලුනය හදිසියේ පුපුරා ගියේය.	வெடிக்க; பிளந்து போக	பலூன் திடீரென வெடித்தது.
3629:报刊	报刊	报刊	පුවත්පත් සහ සඟරා	පුස්තකාලයේ චීන පුවත්පත් සහ සඟරා බොහෝ ඇත.	செய்தித்தாள்கள் மற்றும் இதழ்கள்	நூலகத்தில் பல சீன செய்தித்தாள்கள் மற்றும் இதழ்கள் உள்ளன.
