source_headword	RO	example_RO
abolish	a aboli	Legea va aboli vechea taxă.
abortion	avortul	Avortul rămâne o problemă medicală sensibilă.
absence	absența	Absența ei a întârziat decizia finală.
absent	absent	Doi membri au fost absenți de la curs.
absurd	absurd	Afirmația a sunat absurd pentru toată lumea.
abundance	abundența	Valea are o abundență de apă.
abuse	abuzul	Raportul a descris abuzul la locul de muncă.
academy	academia	Academia pregătește tineri muzicieni.
accelerate	a accelera	Noua finanțare va accelera cercetarea.
acceptance	acceptarea	Acceptarea criticilor de către el m-a impresionat.
accessible	accesibil	Muzeul este accesibil utilizatorilor de scaune cu rotile.
accomplishment	realizarea	Terminarea cărții a fost o adevărată realizare.
accordance	conformitatea	Munca a fost făcută în conformitate cu politica.
accordingly	în consecință	Dovezile s-au schimbat și am acționat în consecință.
accountability	responsabilitatea	Politica crește responsabilitatea pentru manageri.
accountable	responsabil	Managerii sunt responsabili pentru siguranță.
accumulate	a acumula	Praful se poate acumula în spatele ecranului.
accumulation	acumularea	Acumularea de date a durat luni de zile.
accusation	acuzația	Acuzația a șocat comitetul.
accused	acuzatul	Acuzatul a apărut în instanță.
acquisition	achiziția	Achiziția a extins compania rapid.
acre	acrul	Ferma acoperă un acru.
activation	activarea	Activarea cardului durează câteva minute.
activist	activistul	Activistul a vorbit la miting.
acute	acut	A simțit o durere acută după ce a alergat.
adaptation	adaptarea	Adaptarea a schimbat sfârșitul romanului.
adhere	a respecta	Personalul trebuie să respecte regulile de siguranță.
adjacent	adiacent	Hotelul este adiacent stației.
adjustment	ajustarea	O mică ajustare a rezolvat problema.
administer	a administra	Asistentele administrează vaccinul cu atenție.
administrative	administrativ	Personalul administrativ se ocupă de formulare.
administrator	administratorul	Administratorul mi-a resetat parola.
admission	intrarea	Intrarea la muzeu este gratuită.
adolescent	adolescentul	Adolescentul a avut nevoie de sprijin suplimentar.
adoption	adopția	Adopția i-a oferit copilului o casă stabilă.
adverse	advers	Medicamentul a cauzat efecte adverse.
advocate	avocatul	Avocatul a apărat drepturile chiriașilor.
aesthetic	estetic	Camera are un stil estetic calm.
affection	afecțiunea	A arătat afecțiune pentru familia ei.
aftermath	urmările	Urmările furtunii au fost dificile.
aggression	agresiunea	Profesorul a observat agresiunea în timpul pauzei.
agricultural	agricol	Exporturile agricole au crescut anul acesta.
aide	asistentul	Asistentul a organizat programul ministrului.
albeit	deși	Planul a funcționat, deși încet.
alert	a alerta	Vă rugăm să alertați personalul imediat.
align	a alinia	Săgețile se aliniază cu drumul.
alignment	alinierea	Alinierea roților a îmbunătățit manevrabilitatea mașinii.
alike	la fel	Gemenii se îmbracă la fel în weekend.
allegation	acuzația	Acuzația a apărut în ziar.
allege	a pretinde	Ei pretind că fondurile s-au pierdut.
allegedly	chipurile	Șoferul ar fi ignorat avertismentul.
alliance	alianța	Partidele au format o alianță temporară.
allocate	a aloca	Orașul va aloca bani pentru școli.
allocation	alocarea	Alocarea locurilor a fost nedreaptă.
allowance	alocația	Alocația ei acoperă prânzul și transportul.
ally	aliatul	Canada a devenit un aliat apropiat.
aluminium	aluminiul	Cadrul este făcut din aluminiu.
amateur	amator	Un fotograf amator a făcut poza.
ambassador	ambasadorul	Ambasadorul s-a întâlnit cu studenții locali.
amend	a modifica	Parlamentul a votat pentru a modifica legea.
amendment	amendamentul	Amendamentul a schimbat un paragraf.
amid	pe fondul	Discursul a venit pe fondul tensiunii crescânde.
analogy	analogia	Profesorul a folosit o analogie simplă.
anchor	ancora	Barca a aruncat ancora lângă insulă.
angel	îngerul	Copilul a purtat un costum de înger.
anonymous	anonim	Plângerea a fost anonimă.
apparatus	aparatura	Aparatura de laborator are nevoie de curățare.
appealing	atrăgător	Oferta pare atrăgătoare pentru studenți.
appetite	apetitul	Exercițiile fizice i-au crescut apetitul.
applaud	a aplauda	Publicul a început să aplaude puternic.
applicable	aplicabil	Reducerea este aplicabilă astăzi.
appoint	a numi	Consiliul va numi un director.
appreciation	aprecierea	Ea și-a exprimat aprecierea pentru ajutorul lor.
arbitrary	arbitrar	Termenul limită a părut arbitrar personalului.
architectural	arhitectural	Orașul își protejează moștenirea arhitecturală.
archive	arhiva	Arhiva stochează fotografii vechi.
arena	arena	Dezbaterea s-a mutat în arena publică.
arguably	probabil	Acesta este probabil cel mai bun roman al său.
arm	a înarma	Gărzile vor înarma convoiul.
array	gama	Magazinul oferă o gamă de instrumente.
articulate	a exprima	Ea poate exprima clar idei complexe.
ash	cenușa	Cenușa a acoperit mașina după incendiu.
aspiration	aspirația	Aspirația ei este să devină chirurg.
aspire	a aspira	Mulți studenți aspiră să studieze în străinătate.
assassination	asasinatul	Asasinatul a schimbat politica țării.
assault	agresiunea	Agresiunea s-a întâmplat lângă gară.
assemble	a asambla	Muncitorii asamblează mobilierul manual.
assembly	adunarea	Adunarea școlară începe la nouă.
assert	a-și impune	A încercat să-și impună autoritatea.
assertion	afirmația	Afirmația ei a surprins comitetul.
assurance	asigurarea	Managerul a dat asigurări de sprijin.
asylum	azilul	Familia a cerut azil la graniță.
atrocity	atrocitatea	Filmul a descris o atrocitate din timpul războiului.
attain	a atinge	Puțini alergători ating acea viteză.
attendance	prezența	Prezența s-a îmbunătățit după anunț.
attorney	avocatul	Avocatul a interogat martorul.
attribute	a atribui	Oamenii de știință atribuie creșterea poluării.
audit	auditul	Auditul a găsit mai multe erori.
authentic	autentic	Restaurantul servește mâncare regională autentică.
authorize	a autoriza	Doar managerii pot autoriza rambursările.
auto	automobilul	Industria auto s-a schimbat rapid.
autonomy	autonomia	Regiunea dorește o autonomie mai mare.
availability	disponibilitatea	Disponibilitatea locurilor este limitată.
await	a aștepta	Mai multe mesaje așteaptă răspunsul tău.
backdrop	fundalul	Munții au format un fundal dramatic.
backing	sprijinul	Propunerea a obținut sprijinul alegătorilor.
backup	copia de rezervă	Sistemul creează o copie de rezervă zilnic.
bail	cauțiunea	Judecătorul a stabilit cauțiunea la prânz.
ballot	buletinul de vot	Fiecare alegător a primit un buletin de vot.
banner	bannerul	Bannerul atârna deasupra intrării.
bare	gol	Camera avea pereți goi.
barrel	butoiul	Butoiul era plin cu apă.
bass1	basul	Basul a sunat profund și cald.
battlefield	câmpul de luptă	Vechiul câmp de luptă a devenit un memorial.
bay	golful	Satul este așezat lângă un golf liniștit.
beam	grinda	O grindă de oțel susține acoperișul.
