hsk_key	source_word	simplified	SI	example_SI	TA	example_TA	TE	example_TE	KN	example_KN	ML	example_ML	KK	example_KK	KA	example_KA	HY	example_HY
303:白色	白色	白色	සුදු පාට	මම සුදු කෝප්පයට කැමතියි.	வெள்ளை நிறம்	எனக்கு வெள்ளை கோப்பை பிடிக்கும்.	తెలుపు రంగు	నాకు తెల్ల కప్పు ఇష్టం.	ಬಿಳಿ ಬಣ್ಣ	ನನಗೆ ಬಿಳಿ ಕಪ್ ಇಷ್ಟ.	വെളുപ്പ്; വെള്ള നിറം	എനിക്ക് വെള്ള കപ്പ് ഇഷ്ടമാണ്.	ақ түс	Маған ақ кесе ұнайды.	თეთრი ფერი	თეთრი ჭიქა მომწონს.	սպիտակ գույն	Ինձ դուր է գալիս սպիտակ բաժակը։
305:帮	帮	帮	උදව් කිරීම	කරුණාකර දොර අරින්න මට උදව් කරන්න.	உதவுதல்	கதவைத் திறக்க எனக்கு உதவுங்கள்.	సహాయం చేయడం	దయచేసి తలుపు తెరవడానికి నాకు సహాయం చేయండి.	ಸಹಾಯ ಮಾಡು	ದಯವಿಟ್ಟು ಬಾಗಿಲು ತೆರೆಯಲು ನನಗೆ ಸಹಾಯ ಮಾಡಿ.	സഹായിക്കുക	വാതിൽ തുറക്കാൻ ദയവായി എന്നെ സഹായിക്കുക.	көмектесу	Есікті ашуға көмектесіңізші.	დახმარება	კარის გაღებაში დამეხმარეთ, გთხოვთ.	օգնել	Խնդրում եմ օգնիր ինձ դուռը բացել։
308:本子	本子	本子	සටහන් පොත	මේ සටහන් පොත මගේ එකයි.	நோட்டுப் புத்தகம்	இந்த நோட்டுப் புத்தகம் என்னுடையது.	నోటుబుక్; చిన్న పుస్తకం	ఈ నోటుబుక్ నాది.	ನೋಟುಪುಸ್ತಕ	ಈ ನೋಟುಪುಸ್ತಕ ನನ್ನದು.	നോട്ടുപുസ്തകം	ഈ നോട്ടുപുസ്തകം എന്റേതാണ്.	дәптер	Бұл дәптер менікі.	რვეული	ეს რვეული ჩემია.	տետր	Այս տետրը իմն է։
310:笔	笔	笔	පෑන; පැන්සල	මට පෑනක් තියෙනවා.	பேனா; பென்சில்	என்னிடம் ஒரு பேனா உள்ளது.	పెన్; పెన్సిల్	నా దగ్గర ఒక పెన్ ఉంది.	ಪೆನ್; ಪೆನ್ಸಿಲ್	ನನ್ನ ಬಳಿ ಒಂದು ಪೆನ್ ಇದೆ.	പേന; പെൻസിൽ	എന്റെ കൈയിൽ ഒരു പേന ഉണ്ട്.	қалам; қарындаш	Менде бір қалам бар.	კალამი; ფანქარი	მე ერთი კალამი მაქვს.	գրիչ; մատիտ	Ես մեկ գրիչ ունեմ։
312:不错	不错	不错	නරක නැහැ; හොඳයි	මේ ආපනශාලාව හොඳයි.	மோசமில்லை; நன்றாக உள்ளது	இந்த உணவகம் நன்றாக உள்ளது.	చెడ్డది కాదు; బాగుంది	ఈ రెస్టారెంట్ బాగుంది.	ಕೆಟ್ಟದಲ್ಲ; ಚೆನ್ನಾಗಿದೆ	ಈ ಊಟದ ಮನೆ ಚೆನ್ನಾಗಿದೆ.	മോശമല്ല; നല്ലതാണ്	ഈ ഭക്ഷണശാല നല്ലതാണ്.	жаман емес; жақсы	Бұл мейрамхана жаман емес.	ცუდი არ არის; კარგია	ეს რესტორანი ცუდი არ არის.	վատ չէ; լավ է	Այս ռեստորանը վատ չէ։
313:不好意思	不好意思	不好意思	සමාවෙන්න; ලැජ්ජාවෙන්	සමාවෙන්න, මම ප්‍රමාද වුණා.	மன்னிக்கவும்; சங்கடமாக இருக்கிறது	மன்னிக்கவும், நான் தாமதமாக வந்தேன்.	క్షమించండి; మొహమాటంగా ఉంది	క్షమించండి, నేను ఆలస్యంగా వచ్చాను.	ಕ್ಷಮಿಸಿ; ಸಂಕೋಚವಾಗುವುದು	ಕ್ಷಮಿಸಿ, ನಾನು ತಡವಾಗಿ ಬಂದೆ.	ക്ഷമിക്കണം; സംകോചം തോന്നുക	ക്ഷമിക്കണം, ഞാൻ വൈകി വന്നു.	кешіріңіз; ыңғайсыздану	Кешіріңіз, мен кешігіп келдім.	ბოდიში; უხერხულად ყოფნა	ბოდიში, დამაგვიანდა.	ներեցեք; ամաչել	Ներեցեք, ես ուշացա։
315:车站	车站	车站	ස්ථානය; නැවතුම	නැවතුම ඉදිරියේ තියෙනවා.	நிலையம்; நிறுத்தம்	நிறுத்தம் முன்னால் உள்ளது.	స్టేషన్; ఆపు స్థలం	స్టాప్ ముందుంది.	ನಿಲ್ದಾಣ; ನಿಲುಗಡೆ	ನಿಲುಗಡೆ ಮುಂದೆ ಇದೆ.	സ്റ്റേഷൻ; സ്റ്റോപ്പ്	സ്റ്റോപ്പ് മുന്നിലുണ്ട്.	станция; аялдама	Аялдама алда тұр.	სადგური; გაჩერება	გაჩერება წინ არის.	կայարան; կանգառ	Կանգառը առջևում է։
317:出国	出国	出国	විදේශයට යාම	ඔහු ලබන අවුරුද්දේ ඉගෙනගන්න විදේශයට යනවා.	வெளிநாடு செல்லுதல்	அவர் அடுத்த ஆண்டு படிக்க வெளிநாடு செல்கிறார்.	విదేశానికి వెళ్లడం	అతను వచ్చే సంవత్సరం చదవడానికి విదేశానికి వెళ్తాడు.	ವಿದೇಶಕ್ಕೆ ಹೋಗು	ಅವನು ಮುಂದಿನ ವರ್ಷ ಓದಲು ವಿದೇಶಕ್ಕೆ ಹೋಗುತ್ತಾನೆ.	വിദേശത്തേക്ക് പോകുക	അവൻ അടുത്ത വർഷം പഠിക്കാൻ വിദേശത്തേക്ക് പോകും.	шетелге шығу	Ол келесі жылы оқуға шетелге барады.	უცხოეთში წასვლა	ის მომავალ წელს სასწავლებლად უცხოეთში წავა.	արտասահման գնալ	Նա հաջորդ տարի սովորելու համար արտասահման կգնա։
318:出来	出来	出来	පිටතට පැමිණීම	කරුණාකර ටිකකට පිටතට එන්න.	வெளியே வருதல்	தயவுசெய்து ஒரு நிமிடம் வெளியே வாருங்கள்.	బయటికి రావడం	దయచేసి కాసేపు బయటికి రండి.	ಹೊರಗೆ ಬಾ	ದಯವಿಟ್ಟು ಸ್ವಲ್ಪ ಹೊತ್ತು ಹೊರಗೆ ಬನ್ನಿ.	പുറത്തേക്ക് വരുക	ദയവായി ഒന്ന് പുറത്തേക്ക് വരൂ.	шығу; сыртқа келу	Бір сәт сыртқа шығыңызшы.	გამოსვლა	ერთი წუთით გარეთ გამოდით, გთხოვთ.	դուրս գալ	Խնդրում եմ մի պահ դուրս եկեք։
319:出门	出门	出门	ගෙදරින් පිටවීම	මම උදේ අටට ගෙදරින් පිටවෙනවා.	வீட்டைவிட்டு வெளியேறுதல்	நான் காலை எட்டு மணிக்கு வீட்டைவிட்டு செல்கிறேன்.	ఇంటి నుంచి బయలుదేరడం	నేను ఉదయం ఎనిమిది గంటలకు ఇంటి నుంచి బయలుదేరుతాను.	ಮನೆಯಿಂದ ಹೊರಡು	ನಾನು ಬೆಳಗ್ಗೆ ಎಂಟು ಗಂಟೆಗೆ ಮನೆಯಿಂದ ಹೊರಡುತ್ತೇನೆ.	വീട്ടിൽ നിന്ന് പുറപ്പെടുക	ഞാൻ രാവിലെ എട്ടിന് വീട്ടിൽ നിന്ന് പുറപ്പെടും.	үйден шығу	Мен таңертең сағат сегізде үйден шығамын.	სახლიდან გასვლა	დილით რვა საათზე სახლიდან გავდივარ.	տնից դուրս գալ	Ես առավոտյան ժամը ութին տնից դուրս եմ գալիս։
