source_headword	FR	example_FR
prey	la proie	Les hiboux chassent des proies la nuit.
privatization	la privatisation	La privatisation a changé le système ferroviaire.
privilege	le privilège	L'éducation ne devrait pas être un privilège.
probe	l'enquête	L'enquête a révélé de graves erreurs.
problematic	problématique	L'accord reste problématique.
proceedings	la procédure	La procédure judiciaire a commencé lundi.
proceeds	les recettes	Les recettes soutiendront les écoles locales.
processing	le traitement	Le traitement de l'image prend du temps.
processor	le processeur	Le processeur a échoué pendant les tests.
proclaim	proclamer	Les dirigeants proclament la victoire trop tôt.
productive	productif	La réunion a été productive.
productivity	la productivité	La productivité s'est améliorée après la formation.
profitable	rentable	Le magasin est devenu rentable cette année.
profound	profond	Le discours a eu un effet profond.
projection	la projection	La projection montre une croissance régulière.
prominent	éminent	Elle est devenue une scientifique éminente.
pronounced	prononcé	Son accent est devenu plus prononcé.
propaganda	la propagande	La campagne a utilisé la propagande en ligne.
proposition	la proposition	La proposition est une entreprise risquée.
prosecute	poursuivre	Les fonctionnaires poursuivent les cas de fraude grave.
prosecution	l'accusation	L'accusation a présenté de nouvelles preuves.
prosecutor	le procureur	Le procureur a interrogé le témoin.
prospective	potentiel	Les futurs étudiants ont visité le campus.
prosperity	la prospérité	Le commerce a apporté la prospérité à la région.
protective	protecteur	Elle portait des gants protecteurs.
protocol	le protocole	Le protocole exige une approbation écrite.
province	la province	La province a investi dans les transports.
provincial	provincial	Les fonctionnaires provinciaux ont annoncé le plan.
provision	la clause	Le contrat inclut une clause de sécurité.
provoke	provoquer	Le discours pourrait provoquer de vives réactions.
psychiatric	psychiatrique	L'hôpital a ouvert une unité psychiatrique.
pulse	le pouls	L'infirmière a vérifié son pouls.
pump	la pompe	La pompe fait monter l'eau.
punch	le coup de poing	Il a donné un coup de poing sous le coup de la colère.
query	la requête	Envoyez votre requête au service d'assistance.
quest	la quête	Leur quête de justice a continué.
quota	le quota	L'équipe a atteint son quota de ventes.
radar	le radar	La tempête est apparue sur le radar.
radical	radical	Le groupe a proposé des réformes radicales.
rage	la rage	Sa rage s'est vite estompée.
raid	le raid	La police a mené un raid à l'aube.
rally	le rassemblement	Les partisans ont rejoint le rassemblement en centre-ville.
ranking	le classement	L'université a amélioré son classement.
rape	le viol	Les affaires de viol nécessitent une enquête minutieuse.
ratio	le ratio	La classe a un faible ratio d'enseignants.
rational	rationnel	Sa décision était rationnelle.
ray	le rayon	Un rayon de soleil est entré.
readily	volontiers	Il a volontiers accepté l'offre.
realization	la prise de conscience	La prise de conscience a changé ses plans.
realm	le domaine	Cette question appartient à un autre domaine.
rear	arrière	Utilisez l'entrée arrière aujourd'hui.
reasoning	le raisonnement	Son raisonnement était clair.
reassure	rassurer	Le médecin a essayé de la rassurer.
rebel	le rebelle	Le chef rebelle a échappé à la capture.
rebellion	la rébellion	La rébellion a pris fin après des négociations.
recipient	le destinataire	Le destinataire a signé le formulaire.
reconstruction	la reconstruction	La reconstruction a commencé après l'inondation.
recount1	raconter	Elle peut raconter les événements clairement.
referendum	le référendum	Le référendum a divisé le pays.
reflection	la réflexion	L'essai nécessitait une réflexion plus approfondie.
reform	la réforme	La réforme a amélioré les services publics.
refuge	le refuge	La famille a cherché refuge à l'étranger.
refusal	le refus	Son refus a surpris le comité.
regain	regagner	Il a travaillé dur pour regagner la confiance.
regardless	indépendamment	Ils ont continué indépendamment des critiques.
regime	le régime	Le régime a restreint la liberté d'expression.
regulator	le régulateur	Le régulateur a condamné l'entreprise à une amende.
regulatory	réglementaire	L'approbation réglementaire a pris des mois.
rehabilitation	la rééducation	La rééducation l'a aidé à remarcher.
reign	le règne	Le règne du roi a duré des décennies.
rejection	le rejet	Le rejet a nui à sa confiance.
relevance	la pertinence	Les données ont une pertinence limitée.
reliability	la fiabilité	La fiabilité est importante dans les systèmes d'urgence.
reluctant	réticent	Il était réticent à parler.
remainder	le reste	Le reste est allé à des œuvres caritatives.
remains	les restes	Les restes ont été soigneusement examinés.
remedy	le recours	La loi prévoit un recours.
reminder	le rappel	L'e-mail a été un rappel utile.
removal	le retrait	Le retrait des barrières a aidé le commerce.
render	rendre	L'erreur a rendu le contrat invalide.
renew	renouveler	Renouvelez votre passeport bientôt.
renowned	renommé	Elle est renommée pour ses recherches.
rental	la location	La location inclut l'assurance.
replacement	le remplacement	La pièce de remplacement est arrivée aujourd'hui.
reportedly	apparemment	Le ministre a apparemment démissionné hier.
representation	la représentation	Une représentation équitable reste importante.
reproduce	se reproduire	Ces plantes se reproduisent rapidement.
reproduction	la reproduction	La reproduction numérique a amélioré l'accès.
republic	la république	La république a tenu des élections.
resemble	ressembler	Les deux conceptions se ressemblent beaucoup.
reside	résider	Ils résident près de la frontière.
residence	la résidence	Sa résidence officielle est gardée.
residential	résidentiel	Le quartier est principalement résidentiel.
residue	le résidu	Le nettoyant a laissé un résidu collant.
resignation	la démission	Sa démission a choqué le conseil d'administration.
resistance	la résistance	La résistance au changement était forte.
respective	respectif	Ils sont retournés dans leurs bureaux respectifs.
respectively	respectivement	Les scores étaient de 80 et 90, respectivement.
restoration	la restauration	La restauration du bâtiment a pris des années.
restraint	la retenue	La police a fait preuve de retenue.
resume	reprendre	Les cours reprennent la semaine prochaine.
retreat	la retraite	L'armée a commencé une retraite.
retrieve	récupérer	Elle a récupéré le fichier.
revelation	la révélation	La révélation a nui à sa réputation.
revenge	la vengeance	Il voulait se venger de l'insulte.
reverse	annuler	Le tribunal a annulé la décision.
revival	la relance	La ville a connu une relance économique.
revive	relancer	Le festival a aidé à relancer les traditions locales.
revolutionary	révolutionnaire	L'invention était révolutionnaire.
rhetoric	la rhétorique	Sa rhétorique semblait agressive.
rifle	le fusil	Le fusil était rangé en sécurité.
riot	l'émeute	L'émeute a duré plusieurs heures.
rip	déchirer	Déchirez le papier doucement.
ritual	le rituel	Le rituel marque la récolte.
robust	robuste	Le système est robuste.
rock	secouer	L'explosion a secoué le village.
rod	la tige	Le rideau pend à une tringle.
rotate	tourner	Tournez la poignée lentement.
rotation	la rotation	La rotation des cultures protège le sol.
ruling	la décision	Le tribunal a rendu une décision.
rumour	la rumeur	La rumeur s'est répandue rapidement.
sack	renvoyer	Le conseil d'administration pourrait renvoyer l'entraîneur.
sacred	sacré	Le temple est sacré.
sacrifice	le sacrifice	Les parents font souvent des sacrifices.
saint	le saint	L'église honore un saint local.
sake	l'intérêt	Il est resté pour son bien.
sanction	la sanction	La sanction a affecté le commerce international.
say	le mot à dire	Les employés ont eu leur mot à dire sur la planification.
scattered	éparpillé	Des papiers éparpillés couvraient le bureau.
sceptical	sceptique	Elle est restée sceptique face à cette affirmation.
scope	la portée	La portée du projet s'est élargie.
screw	la vis	Serrez la vis avec précaution.
scrutiny	l'examen minutieux	L'accord a fait l'objet d'un examen minutieux du public.
seal	sceller	Scellez l'enveloppe avant de la poster.
secular	laïc	L'école suit un programme laïc.
seemingly	apparemment	La tâche était apparemment simple.
segment	le segment	Le segment final était plus court.
seize	saisir	La police a saisi les documents.
seldom	rarement	Elle manque rarement un cours.
selective	sélectif	Le programme est très sélectif.
senator	le sénateur	Le sénateur a soutenu le projet de loi.
sensation	la sensation	La découverte a fait sensation.
sensitivity	la sensibilité	Le problème exige de la sensibilité.
sentiment	le sentiment	Le sentiment public a changé rapidement.
separation	la séparation	La séparation a été difficile.
serial	de série	Le numéro de série est manquant.
settlement	le règlement	Le règlement a mis fin au litige.
set-up	l'installation	L'installation a pris toute la matinée.
sexuality	la sexualité	Le cours aborde l'identité et la sexualité.
shareholder	l'actionnaire	Un actionnaire a interrogé le conseil d'administration.
shatter	briser	Les nouvelles ont brisé sa confiance.
shed	supprimer	L'entreprise va supprimer des emplois.
sheer	immense	La taille immense a surpris tout le monde.
shipping	l'expédition	Les frais d'expédition ont augmenté.
shoot	la séance photo	La séance photo s'est terminée tôt.
shrink	rétrécir	La chemise peut rétrécir.
shrug	hausser les épaules	Elle a haussé légèrement les épaules.
sigh	soupirer	Il a soupiré de soulagement.
simulate	simuler	Le logiciel peut simuler le trafic.
simulation	la simulation	La simulation a prédit des inondations.
simultaneously	simultanément	Deux alarmes ont sonné simultanément.
sin	le péché	L'orgueil est considéré comme un péché.
situated	situé	L'hôtel est situé en centre-ville.
sketch	le croquis	Elle a fait un croquis rapide.
skip	sauter	Ne sautez pas le petit-déjeuner.
slam	claquer	Il peut claquer la porte.
slap	taper	Ne tapez pas sur la table.
slavery	l'esclavage	L'esclavage a façonné l'histoire de la région.
slot	le créneau	Réservez un créneau horaire en ligne.
smash	se briser	Le verre s'est brisé sur le sol.
snap	se casser	La branche s'est cassée sous le vent.
soak	faire tremper	Faites tremper les haricots toute la nuit.
soar	monter en flèche	Les prix du carburant pourraient monter en flèche.
socialist	socialiste	Le parti soutient des politiques socialistes.
sole	seul	Il était le seul survivant.
solely	exclusivement	La décision lui appartenait exclusivement.
solicitor	l'avocat	L'avocat a préparé le contrat.
solidarity	la solidarité	Les travailleurs ont exprimé leur solidarité.
solo	solo	Elle a sorti un album solo.
sound	solide	Le plan est solide et pratique.
sovereignty	la souveraineté	Le traité a protégé la souveraineté nationale.
spam	le spam	Les spams ont rempli la boîte de réception.
span	enjamber	Le pont enjambe la rivière.
spark	déclencher	Une petite remarque a déclenché le débat.
specialized	spécialisé	La clinique fournit des soins spécialisés.
specification	la spécification	La conception répond à toutes les spécifications.
specimen	le spécimen	Le spécimen a été conservé en toute sécurité.
spectacle	le spectacle	Le défilé était un spectacle vivant.
spectrum	le spectre	Les opinions couvrent un large spectre.
spell	la période	La période de sécheresse a duré des semaines.
sphere	la sphère	La politique est entrée dans la sphère culturelle.
spin	tourner	Les roues ont commencé à tourner.
spine	la colonne vertébrale	La blessure a affecté sa colonne vertébrale.
spotlight	les feux de la rampe	Le scandale l'a mis sous les feux de la rampe.
spouse	le conjoint	Son conjoint a assisté à la cérémonie.
