source_headword	KN	example_KN
absolutely	ಸಂಪೂರ್ಣವಾಗಿ	ನಾನು ನಿಮ್ಮೊಂದಿಗೆ ಸಂಪೂರ್ಣವಾಗಿ ಒಪ್ಪುತ್ತೇನೆ.
academic	ಶೈಕ್ಷಣಿಕ	ಶೈಕ್ಷಣಿಕ ವರ್ಷ ಸೆಪ್ಟೆಂಬರ್‌ನಲ್ಲಿ ಆರಂಭವಾಗುತ್ತದೆ.
access	ಪ್ರವೇಶ	ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಗ್ರಂಥಾಲಯಕ್ಕೆ ಪ್ರವೇಶ ಬೇಕು.
accommodation	ವಸತಿ	ನಾವು ನಿಲ್ದಾಣದ ಬಳಿ ವಸತಿ ಬುಕ್ ಮಾಡಿದೆವು.
account	ಬ್ಯಾಂಕ್ ಖಾತೆ	ಅವಳು ಹೊಸ ಬ್ಯಾಂಕ್ ಖಾತೆ ತೆರೆದಳು.
achievement	ಸಾಧನೆ	ಕೋರ್ಸ್ ಮುಗಿಸುವುದು ದೊಡ್ಡ ಸಾಧನೆಯಾಗಿತ್ತು.
ad	ಜಾಹೀರಾತು	ಜಾಹೀರಾತು ಹೊಸ ಫೋನ್ ತೋರಿಸಿತು.
addition	ಸೇರಿಕೆ	ಈಜುಕೊಳವು ಉಪಯುಕ್ತ ಸೇರ್ಪಡೆಯಾಗಿದೆ.
admire	ಮೆಚ್ಚು	ನಾನು ಅವಳ ಶಾಂತ ಮನೋಭಾವವನ್ನು ಮೆಚ್ಚುತ್ತೇನೆ.
admit	ಒಪ್ಪಿಕೊಳ್ಳು	ಅವನು ತನ್ನ ತಪ್ಪನ್ನು ಒಪ್ಪಿಕೊಂಡನು.
advanced	ಮುನ್ನಡೆಯಾದ	ಇದು ಮುನ್ನಡೆಯಾದ ಇಂಗ್ಲಿಷ್ ತರಗತಿ.
advise	ಸಲಹೆ ನೀಡು	ವೈದ್ಯರು ನಿಯಮಿತ ವ್ಯಾಯಾಮವನ್ನು ಸಲಹೆ ನೀಡುತ್ತಾರೆ.
afford	ಭರಿಸಲು ಸಾಧ್ಯವಾಗು	ನಾವು ಟ್ಯಾಕ್ಸಿ ವೆಚ್ಚ ಭರಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ.
aged	ವಯಸ್ಸಿನ	ಕೋರ್ಸ್ ಹತ್ತು ವಯಸ್ಸಿನ ಮಕ್ಕಳಿಗೆ.
agent	ಪ್ರಯಾಣ ಪ್ರತಿನಿಧಿ	ಪ್ರಯಾಣ ಪ್ರತಿನಿಧಿ ನಮ್ಮ ಟಿಕೆಟ್‌ಗಳನ್ನು ಬದಲಿಸಿದರು.
agreement	ಒಪ್ಪಂದ	ಅವರು ಇಂದು ಒಪ್ಪಂದಕ್ಕೆ ಬಂದರು.
ahead	ಮುಂದೆ	ಮುಂದಿರುವ ರಸ್ತೆ ಸ್ಪಷ್ಟವಾಗಿದೆ.
aim	ಗುರಿ ಇಟ್ಟುಕೊಳ್ಳು	ನಾವು ಬೇಗ ಮುಗಿಸಲು ಗುರಿ ಇಟ್ಟುಕೊಂಡಿದ್ದೇವೆ.
alarm	ಅಲಾರಂ	ಅಲಾರಂ ಆರು ಗಂಟೆಗೆ ಮೊಳಗಿತು.
album	ಆಲ್ಬಮ್	ಈ ಆಲ್ಬಮ್‌ನಲ್ಲಿ ಹತ್ತು ಹಾಡುಗಳಿವೆ.
alcohol	ಮದ್ಯ	ಹೋಟೆಲ್ ಮದ್ಯವನ್ನು ನೀಡುವುದಿಲ್ಲ.
alcoholic	ಮದ್ಯಯುಕ್ತ	ಈ ಪಾನೀಯ ಮದ್ಯಯುಕ್ತವಲ್ಲ.
amazed	ಆಶ್ಚರ್ಯಗೊಂಡ	ಅವಳು ಫಲಿತಾಂಶದಿಂದ ಆಶ್ಚರ್ಯಗೊಂಡಳು.
ambition	ಮಹತ್ವಾಕಾಂಕ್ಷೆ	ಅವನ ಮಹತ್ವಾಕಾಂಕ್ಷೆ ಪೈಲಟ್ ಆಗುವುದು.
ambitious	ಮಹತ್ವಾಕಾಂಕ್ಷೆಯ	ಅವಳಿಗೆ ಮಹತ್ವಾಕಾಂಕ್ಷೆಯ ಯೋಜನೆ ಇದೆ.
analyse	ವಿಶ್ಲೇಷಿಸು	ನಾವು ಫಲಿತಾಂಶಗಳನ್ನು ವಿಶ್ಲೇಷಿಸಬೇಕು.
analysis	ವಿಶ್ಲೇಷಣೆ	ಅವಳ ವಿಶ್ಲೇಷಣೆ ಸ್ಪಷ್ಟವೂ ಎಚ್ಚರಿಕೆಯಿಂದಿತ್ತು.
announce	ಪ್ರಕಟಿಸು	ಅವರು ನಾಳೆ ವಿಜೇತರನ್ನು ಪ್ರಕಟಿಸುವರು.
announcement	ಪ್ರಕಟನೆ	ಪ್ರಕಟನೆಯು ಎಲ್ಲರನ್ನೂ ಆಶ್ಚರ್ಯಗೊಳಿಸಿತು.
