source_headword	RO	example_RO
hunt	a căuta	Ei caută ciuperci toamna.
hurricane	un uragan	Uraganul a avariat multe case.
hurry	o grabă	Nu este nicio grabă astăzi.
identity	o identitate	Identitatea ei a rămas secretă.
ignore	a ignora	Nu ignora acest avertisment.
illegal	ilegal	Este ilegal să parchezi aici.
imaginary	imaginar	Povestea are o insulă imaginară.
immediate	imediat	Avem nevoie de un răspuns imediat.
immigrant	un imigrant	Imigrantul a învățat engleza repede.
impact	un impact	Vestea a avut un impact puternic.
import	a importa	Țara va importa mai mult orez.
importance	importanță	Ea a înțeles importanța somnului.
impression	o impresie	Prima lui impresie a fost pozitivă.
impressive	impresionant	Muzeul are o intrare impresionantă.
improvement	o îmbunătățire	A existat o îmbunătățire clară luna aceasta.
incredibly	incredibil	Testul a fost incredibil de dificil.
indeed	într-adevăr	A fost într-adevăr o zi ciudată.
indicate	a indica	Indicatorul va indica ieșirea.
indirect	indirect	Ea a dat un răspuns indirect.
indoor	de interior	Hotelul are o piscină de interior.
indoors	înăuntru	Am stat înăuntru în timpul furtunii.
influence	o influență	Profesorul lui a avut o influență puternică.
ingredient	un ingredient	Făina este ingredientul principal.
injure	a răni	Nu îți răni spatele.
injured	rănit	Jucătorul rănit a părăsit terenul.
innocent	nevinovat	Copilul părea complet nevinovat.
intelligence	inteligență	Ea a arătat multă inteligență la clasă.
intend	a intenționa	Intenționez să studiez în străinătate.
intention	o intenție	Intenția lui era să ajute.
invest	a investi	Ei investesc bani în educație.
investigate	a investiga	Poliția va investiga accidentul.
involved	implicat	Mai mulți elevi au fost implicați.
iron	fier	Poarta este făcută din fier.
issue	o problemă	Aceasta este o problemă serioasă.
IT	IT	Ea lucrează în IT.
journal	un jurnal	El scrie într-un jurnal.
judge	un judecător	Judecătorul a ascultat cu atenție.
keen	dornic	Ea este dornică să învețe.
keyboard	o tastatură	Tastatura mea nu mai funcționează.
kick	a lovi	Lovește mingea ușor.
killing	o ucidere	Uciderea a șocat satul.
kind (caring)	bun; amabil	A fost un gest amabil.
kiss	un sărut	Ea i-a dat bebelușului un sărut.
label	o etichetă	Citește eticheta înainte de folosire.
laboratory	un laborator	Laboratorul este închis astăzi.
lack	o lipsă	Lipsa somnului afectează memoria.
latest	cel mai recent	Ai citit cel mai recent raport?
lay	a așeza	Așază cartea pe masă.
layer	un strat	Adaugă încă un strat de vopsea.
leading	de frunte	Ea este o cercetătoare de frunte.
leaf	o frunză	O frunză a căzut pe haina mea.
leather	piele	Geanta lui este făcută din piele.
legal	juridic	Avem nevoie de sfaturi juridice.
leisure	timp liber	Cititul este activitatea mea preferată de timp liber.
length	o lungime	Măsoară lungimea camerei.
lie2 (tell a lie)	a minți	Nu îți minți părinții.
limit	o limită	Limita de viteză este cincizeci.
lip	o buză	Ea și-a mușcat buza.
liquid	un lichid	Apa este un lichid limpede.
literature	literatură	Ea studiază literatura franceză.
live2	în direct	Trupa a cântat în direct aseară.
living	viu	Plantele vii au nevoie de lumină.
locate	a localiza	Poți localiza fișierul?
located	situat	Biroul este situat în centru.
location	o locație	Aceasta este o locație bună.
lonely	singur	El s-a simțit singur după mutare.
loss	o pierdere	Pierderea a fost grea pentru toți.
luxury	lux	Hotelul oferă lux adevărat.
mad	furios	Ea a fost furioasă din cauza întârzierii.
magic	magie	Spectacolul a fost plin de magie.
mainly	în principal	Grupul este format în principal din studenți.
mall	un centru comercial	Ne-am întâlnit la centrul comercial.
management	management	Un management bun economisește timp.
marketing	marketing	Marketingul ajută la vânzarea produsului.
marriage	o căsătorie	Căsătoria lor a durat treizeci de ani.
meanwhile	între timp	Între timp am gătit cina.
measure	a măsura	Măsoară masa cu atenție.
medium	mediu	Am comandat o pizza medie.
mental	mintal	Stresul afectează sănătatea mintală.
mess	o dezordine	Curăță această dezordine.
mild	blând	Supa are un gust blând.
mine (hole in the ground)	o mină	Mina s-a închis anul trecut.
mix	a amesteca	Amestecă ouăle cu laptele.
mixture	un amestec	Amestecul a devenit gros.
mood	o dispoziție	Muzica i-a schimbat dispoziția.
mud	noroi	Pantofii lui erau acoperiți de noroi.
murder	o crimă	Crima s-a întâmplat noaptea.
muscle	un mușchi	Exercițiile dezvoltă mușchii.
mystery	un mister	Casa veche este un mister.
nail	o unghie	Mi-am rupt o unghie.
narrative	o narațiune	Romanul are o narațiune clară.
nation	o națiune	Întreaga națiune a sărbătorit.
native	nativ	Spaniola este limba ei nativă.
naturally	în mod natural	Copiii învață în mod natural prin joacă.
necessarily	neapărat	Mâncarea scumpă nu este neapărat mai bună.
needle	un ac	Acul este foarte ascuțit.
neighbourhood	un cartier	Ei locuiesc într-un cartier liniștit.
net	o plasă	Pescarul și-a reparat plasa.
nor	nici	El nici nu a zâmbit, nici nu a vorbit.
northern	nordic	Ei au vizitat coasta nordică.
nuclear	nuclear	Dezbaterea era despre energia nucleară.
obvious	evident	Răspunsul a fost evident.
obviously	evident	Evident, avem nevoie de mai mult timp.
occasion	o ocazie	Aceasta este o ocazie specială.
occur	a apărea	Accidentele pot apărea oriunde.
odd	ciudat	A fost o întrebare ciudată.
official	oficial	Rezultatul oficial a sosit astăzi.
old-fashioned	demodat	Telefonul ei pare demodat.
operation	o operație	Operația a durat două ore.
organized	organizat	Biroul ei este foarte organizat.
organizer	un organizator	Organizatorul i-a întâmpinat pe invitați.
originally	inițial	Ea a venit inițial din Canada.
ought modal	ar trebui să	Ar trebui să te odihnești.
ours	al nostru	Această masă este a noastră.
outdoor	de exterior	Am cumpărat mobilier de exterior.
outdoors	afară	Copiii ar trebui să se joace afară.
package	un colet	Coletul a sosit în această dimineață.
painful	dureros	Tăietura a fost dureroasă.
pale	palid	Fața lui părea palidă.
pan	o tigaie	Încălzește tigaia mai întâi.
participate	a participa	Toată lumea poate participa.
particularly	în special	Îmi place în special acest cântec.
passion	o pasiune	Muzica este pasiunea ei.
path	o potecă	Urmează poteca prin parc.
payment	o plată	Plata este scadentă mâine.
peaceful	liniștit	Grădina este liniștită.
percentage	un procent	Un procent mic a fost de acord.
perfectly	perfect	Planul a funcționat perfect.
performance	o reprezentație	Reprezentația ei a fost excelentă.
personally	personal	Personal, prefer ceaiul.
persuade	a convinge	Poți să-l convingi să se alăture?
photographer	un fotograf	Fotograful a făcut multe poze.
photography	fotografie	Fotografia este hobby-ul lui preferat.
pin	un ac	Pune un ac pe hartă.
pipe	o țeavă	Țeava transportă apă.
planning	planificare	Planificarea necesită timp.
pleasant	plăcut	Am avut o seară plăcută.
pleasure	o plăcere	A fost o plăcere să te cunosc.
plenty	destul	Avem destul timp.
