simplified	KN	example_KN
挨	ಸಹಿಸುವುದು	ಅವನು ಇಡೀ ರಾತ್ರಿ ಸಹಿಸಿ ಕೊನೆಗೆ ಬೆಳಗಿನವರೆಗೆ ಕಾಯುತ್ತಿದ್ದ.
癌症	ಕ್ಯಾನ್ಸರ್	ಕ್ಯಾನ್ಸರ್ ಅನ್ನು ಬೇಗ ಪತ್ತೆಹಚ್ಚುವುದು ಬಹಳ ಮುಖ್ಯ.
暧昧	ಅಸ್ಪಷ್ಟ; ದ್ವಂದ್ವಾರ್ಥದ	ಅವನ ಉತ್ತರ ತುಂಬಾ ಅಸ್ಪಷ್ಟವಾಗಿತ್ತು.
爱不释手	ಬಿಡಲು ಮನಸ್ಸಾಗದಷ್ಟು ಇಷ್ಟಪಡುವುದು	ಅವಳು ಆ ಪುಸ್ತಕವನ್ನು ಬಿಡಲು ಮನಸ್ಸಾಗದಷ್ಟು ಇಷ್ಟಪಟ್ಟಳು.
爱戴	ಪ್ರೀತಿ ಮತ್ತು ಗೌರವ	ಈ ಶಿಕ್ಷಕರನ್ನು ವಿದ್ಯಾರ್ಥಿಗಳು ತುಂಬಾ ಪ್ರೀತಿ ಮತ್ತು ಗೌರವದಿಂದ ಕಾಣುತ್ತಾರೆ.
安宁	ಶಾಂತ; ನೆಮ್ಮದಿಯ	ಇಲ್ಲಿನ ರಾತ್ರಿಗಳು ತುಂಬಾ ನೆಮ್ಮದಿಯವಾಗಿವೆ.
安详	ಪ್ರಶಾಂತ	ವೃದ್ಧರ ಮುಖಭಾವ ತುಂಬಾ ಪ್ರಶಾಂತವಾಗಿತ್ತು.
安置	ನೆಲೆಗೊಳಿಸುವುದು	ಸರ್ಕಾರ ವಿಪತ್ತುಪೀಡಿತ ಜನರನ್ನು ನೆಲೆಗೊಳಿಸಿತು.
按摩	ಮಸಾಜ್	ನಾನು ಒಂದು ಮಸಾಜ್‌ಗೆ ಮುಂಗಡ ಕಾಯ್ದಿರಿಸಿದ್ದೇನೆ.
暗示	ಸೂಚನೆ ನೀಡುವುದು	ಅವಳು ನನಗೆ ಮತ್ತೆ ಕೇಳಬೇಡ ಎಂದು ಸೂಚನೆ ನೀಡಿದಳು.
案件	ಪ್ರಕರಣ	ಪೊಲೀಸರು ಈ ಪ್ರಕರಣವನ್ನು ತನಿಖೆ ಮಾಡುತ್ತಿದ್ದಾರೆ.
