source_headword	KO	example_KO
institute	연구소	그 기관은 새로운 연구 프로그램을 시작했다.
institution	기관	그 기관은 입학 규정을 변경했다.
insurance	보험	그녀의 보험은 병원비를 보장해주었다.
intended	의도된	메시지는 대상 청중에게 도달했다.
intense	격렬한	토론은 순식간에 격렬해졌다.
internal	내부의	회사는 내부 감사를 시작했다.
interpret	해석하다	결과를 주의 깊게 해석하세요.
interrupt	방해하다	지금 발표자를 방해하지 마세요.
investigation	조사	조사를 통해 심각한 실수가 드러났다.
investment	투자	그 투자는 많은 지역 일자리를 창출했다.
joy	기쁨	그들의 성공은 큰 기쁨을 가져다주었다.
judgement	판단력	그의 판단력은 경험과 함께 향상되었다.
junior	하급의	그녀는 주니어 분석가로 팀에 합류했다.
justice	정의	재판 후 가족들은 정의를 요구했다.
justify	정당화하다	당신은 그 결정을 명확히 정당화해야 한다.
labour	노동력	그 프로젝트에는 숙련된 노동력이 필요하다.
landscape	풍경	폭풍이 지나간 후 풍경이 변했다.
largely	주로	그 계획은 대체로 성공적이었다.
launch	출시하다	그들은 내일 제품을 출시할 것이다.
leadership	리더십	강력한 리더십이 팀의 회복을 도왔다.
league	리그	우리 클럽은 지역 리그에 가입했다.
lean	기대다	젖은 벽에 기대지 마세요.
licence	면허	면허증은 다음 달에 만료된다.
limited	제한된	우리는 오늘 시간이 제한되어 있다.
lively	활기찬	점심 식사 후 회의가 활기를 띠었다.
load	짐	트럭은 무거운 짐을 싣고 있었다.
loan	대출	은행이 대출을 승인했다.
logical	논리적인	그녀의 주장은 명확하고 논리적이었다.
long-term	장기적인	이것은 장기적인 해결책이다.
loose	느슨한	손잡이가 느슨하게 느껴진다.
lord	영주	그 영주는 여러 마을을 소유했다.
lower	낮추다	그들은 겨울 동안 가격을 낮춘다.
lung	폐	흡연은 폐를 손상시킬 수 있다.
maintain	유지하다	우리는 정기적인 연락을 유지한다.
majority	대다수	대다수가 그 제안을 지지했다.
mass	덩어리	구름 덩어리가 하늘을 덮었다.
massive	대규모의	지진은 대규모 피해를 일으켰다.
master	달인	그녀는 협상의 달인이 되었다.
matching	어울리는	그는 신발과 벨트를 맞춰 신었다.
maximum	최대의	방이 최대 수용 인원에 도달했다.
means	수단	이메일은 우리의 주요 연락 수단이다.
measurement	측정	측정치가 약간 틀렸다.
melt	녹다	눈은 정오쯤이면 녹을 것이다.
military	군사의	그 군사 기지는 작년에 폐쇄되었다.
mineral	광물	철은 중요한 광물이다.
minimum	최소의	최소 연령은 십팔세이다.
minister	장관	장관은 어려운 질문에 대답했다.
minor	사소한	사고로 가벼운 피해가 발생했다.
minority	소수	소수가 새로운 규칙에 반대했다.
mission	임무	그들의 임무는 무사히 끝났다.
mixed	엇갈린	그 소식은 엇갈린 반응을 얻었다.
modify	수정하다	디자인은 나중에 수정할 수 있습니다.
monitor	모니터	간호사가 그의 상태를 모니터링할 것입니다.
moral	도덕적인	그 이야기에는 도덕적인 교훈이 있습니다.
motor	모터	모터가 예고 없이 멈췄다.
mount	설치하다	그들은 입구 근처에 카메라를 설치합니다.
multiple	다수의	여러 요인이 지연을 초래했습니다.
multiply	곱하다	그 숫자에 10을 곱하세요.
mysterious	신비로운	밖에 신비로운 빛이 나타났다.
neat	깔끔한	그녀의 책상은 항상 깔끔합니다.
nerve	신경	그 부상은 신경을 손상시켰다.
nevertheless	그럼에도 불구하고	임무는 어려웠지만, 그럼에도 불구하고 우리는 끝냈습니다.
nightmare	악몽	그 여행은 악몽이 되었다.
notion	개념	변화가 불가능하다는 개념을 버리세요.
numerous	수많은	수많은 연구가 이 아이디어를 뒷받침합니다.
obey	준수하다	운전자는 표지판을 준수해야 합니다.
objective	목표	우리의 목표는 쓰레기를 줄이는 것입니다.
obligation	의무	부모는 자녀를 보호할 의무가 있습니다.
observation	관찰	그의 관찰이 토론의 흐름을 바꿨습니다.
observe	관찰하다	과학자들은 매년 봄에 새들을 관찰합니다.
obtain	얻다	서면 허가를 얻어야 합니다.
occasionally	가끔	그녀는 가끔 재택근무를 합니다.
