source_headword	SR	example_SR
stranger	странац	Странац је питао за правац.
strength	снага	Њена снага је помогла тиму.
string	канап	Вежи кутију канапом.
strongly	снажно	Снажно се не слажем са том идејом.
studio	студио	Уметник ради у малом студију.
stuff	ствари	Стави своје ствари на полицу.
substance	супстанца	Полиција је пронашла чудну супстанцу.
successfully	успешно	Успешно су завршили пројекат.
sudden	изненадан	Изненадна бука нас је пробудила.
suffer	патити	Многе биљке пате по сувом времену.
suitable	прикладан	Ова јакна је прикладна за школу.
summarize	резимирати	Можеш ли да резимираш чланак?
summary	сажетак	Напиши кратак сажетак вечерас.
supply	снабдевање	Граду је потребно снабдевање чистом водом.
supporter	навијач	Сваки навијач је гласно навијао.
surely	сигурно	Сигурно можемо ово да решимо.
surface	површина	Површина је деловала хладно и глатко.
survive	преживети	Ове животиње преживљавају хладне зиме.
switch	искључити	Искључи кухињско светло.
symptom	симптом	Кашаљ може бити симптом.
tail	реп	Пас има дуг реп.
talent	таленат	Она има таленат за музику.
talented	талентован	Он је талентован млади глумац.
tape	трака	Користи траку да затвориш кутију.
tax	порез	Свако мора да плати овај порез.
technical	технички	Имали смо технички проблем.
technique	техника	Ова техника штеди време.
tend	имати склоност	Деца имају склоност да брзо уче.
tent	шатор	Спавали смо у малом шатору.
theirs	њихов	Плави бицикли су њихови.
theme	тема	Журка је имала тему плаже.
theory	теорија	Његова теорија објашњава проблем.
therefore	стога	Падала је киша, стога смо остали унутра.
though	иако	Иако уморна, наставила је да ради.
throat	грло	Јутрос ме боли грло.
throughout	током	Људи су плесали током целе вечери.
tight	тесан	Ове ципеле су превише тесне.
till	док	Чекај овде док се не вратим.
tin	конзерва	Отвори конзерву пасуља.
tiny	мајушан	Мајушна птица је слетела у близини.
toe	ножни прст	Јуче сам повредио ножни прст.
tongue	језик	Опекла је језик на чај.
total	укупан	Укупни трошак је био мали.
totally	потпуно	Потпуно разумем твоју забринутост.
trade	трговина	Међународна трговина ствара радна места.
translate	превести	Молим те преведи ову реченицу.
translation	превод	Превод звучи природно.
treat	односити се	Односи се према свима са поштовањем.
treatment	лечење	Пацијенту је данас потребно лечење.
trend	тренд	Овај тренд расте широм света.
trick	трик	Тај трик са картама ме је изненадио.
truth	истина	Молим те реци истину.
tube	туба	Нежно стисни тубу.
typically	обично	Студенти обично стижу пре девет.
tyre	гума	Аутомобилу је потребна нова гума.
ugly	ружан	Та боја зида изгледа ружно.
unable	у немогућности	Био је у немогућности да одговори.
uncomfortable	неудобан	Ова столица је неудобна.
underwear	доњи веш	Спакуј чист доњи веш за пут.
unemployed	незапослен	Била је незапослена два месеца.
unemployment	незапосленост	Незапосленост је порасла током зиме.
unfair	неправедан	Одлука је деловала неправедно.
union	синдикат	Синдикат је тражио безбеднији рад.
unless	осим ако	Не одлази осим ако не позовем.
unlike	за разлику од	За разлику од Тома, Ана воли зиму.
unlikely	мало вероватан	Снег је мало вероватан ове недеље.
unnecessary	непотребан	Додатне торбе су непотребне.
unpleasant	непријатан	Соба је имала непријатан мирис.
update	ажурирати	Морам да ажурирам свој телефон.
upon	на	Некада давно, живео је један краљ.
upset	узнемирен	Осећала се узнемирено након позива.
used1	који се користи	Ова соба се користи за састанке.
used2	навикнут	Навикнут сам на рана јутра.
valuable	вредан	Овај сат је вредан.
value	вредност	Кућа је изгубила вредност прошле године.
various	разни	Пробали смо разна локална јела.
version	верзија	Ова верзија ради боље.
victim	жртва	Жртва је позвала полицију.
viewer	гледалац	Један гледалац је поставио питање.
violent	насилан	Филм је био превише насилан.
volunteer	волонтирати	Волонтирам у библиотеци.
vote	гласати	Не заборави да гласаш сутра.
warn	упозорити	Покушао сам да га упозорим.
warning	упозорење	Упозорење се појавило на екрану.
waste	трошити	Не троши чисту воду.
weapon	оружје	Нож је постао оружје.
weigh	измерити	Пажљиво измери брашно.
western	вестерн	Гледали су вестерн филм.
whatever	шта год	Изабери шта год желиш.
whenever	кад год	Позови кад год ти треба помоћ.
whether	да ли	Не знам да ли се она слаже.
wing	крило	Птица је повредила једно крило.
within	у року од	Молим те одговори у року од два дана.
wonder	питати се	Питам се шта се десило.
wool	вуна	Овај капут је направљен од вуне.
worldwide	широм света	Песма је постала популарна широм света.
worth	вредан	Ову књигу вреди прочитати.
written	писан	Молим те пошаљи писана упутства.
yard	двориште	Деца су се играла у дворишту.
youth	омладина	Омладински клубови подржавају локалне тинејџере.
