source_headword	IS	example_IS
absorb	að tileinka sér	Handklæðið sýgur vatnið hratt í sig.
abstract	óhlutbundinn	Í fyrirlestrinum var rætt um óhlutbundnar hugmyndir.
accent	hreimurinn	Auðvelt er að skilja hreiminn hennar.
accidentally	óvart	Ég eyddi skránni óvart.
accommodate	að koma til móts við	Hótelið getur hýst stórar fjölskyldur.
accomplish	að framkvæma	Hún náði markmiði sínu fyrir júní.
accountant	bókari	Bókarinn fór yfir reikninginn.
accuracy	nákvæmni	Prófið mælir lestrarnákvæmni.
accurately	nákvæmlega	Kortið sýnir leiðina nákvæmlega.
acid	sýra	Sýran skemmdi málmyfirborðið.
activate	að virkja	Ýttu á hnappinn til að virkja viðvörunina.
addiction	fíkn	Fíkn hans hafði áhrif á vinnuna hans.
additionally	auk þess	Að auki þurfum við fleiri stóla.
adequate	fullnægjandi	Herbergið hefur nægilega birtu.
adequately	nægilega vel	Skýrslan útskýrði vandamálið nægilega vel.
adjust	að aðlaga	Stilltu sætið áður en þú keyrir.
affordable	á viðráðanlegu verði	Íbúðin er á viðráðanlegu verði fyrir nemendur.
agriculture	landbúnaður	Landbúnaður styður margar dreifbýlisfjölskyldur.
AIDS	alnæmið	Læknar meðhöndla alnæmi með nútímalækningum.
alien	geimvera	Kvikmyndin sýnir framandi plánetu.
alongside	við hliðina á	Hjólastígurinn liggur meðfram ánni.
altogether	algjörlega	Allt í allt tók verkefnið sex vikur.
ambulance	sjúkrabíllinn	Sjúkrabíllinn kom á nokkrum mínútum.
amusing	skemmtilegur	Sagan var skemmtileg og létt.
analyst	greinandi	Sérfræðingurinn fór yfir sölugögnin.
ancestor	forfaðirinn	Forfaðir minn bjó nálægt þessu þorpi.
animation	hreyfimyndin	Hreyfimyndin gerði kennslustundina skýrari.
annually	árlega	Hátíðin er haldin árlega.
anticipate	að sjá fyrir	Við búumst við mikilli umferð á morgun.
anxiety	kvíðinn	Kvíði getur gert svefn erfiðan.
apology	afsökunarbeiðnin	Hún bauð fram einlæga afsökunarbeiðni.
applicant	umsækjandinn	Umsækjandinn sendi nýja ferilskrá.
appropriately	á viðeigandi hátt	Vinsamlegast klæddu þig viðeigandi fyrir viðtalið.
arrow	örin	Örin bendir á útgönguleiðina.
artwork	listaverkið	Safnið sýndi staðbundin listaverk.
aside	til hliðar	Hún steig til hliðar til að hleypa honum framhjá.
