simplified	SI	example_SI
哎	ඒයි	ඒයි, ඔයා කොහොම මෙහෙට ආවාද?
唉	අනේ	අනේ, මම නැවතත් පරක්කු වුණා.
爱护	රැකබලා ගැනීම	අපි පරිසරය රැකබලා ගත යුතුය.
爱惜	අගය කිරීම	කරුණාකර ඔබේ කාලය අගය කරන්න.
爱心	කරුණාවන්තකම	ඇය ඉතා කරුණාවන්තය.
安慰	සැනසීම දීම	මිතුරා මාව සැනසුවා.
安装	ස්ථාපනය කිරීම	කම්කරුවා වායු සමීකරණ යන්ත්‍රය ස්ථාපනය කරමින් සිටී.
岸	ඉවුර	නෞකාව සෙමින් ඉවුරට ළඟා විය.
暗	අඳුරු	කාමරය ඉතා අඳුරුය.
熬夜	රෑ අවදිව සිටීම	රෑ අවදිව සිටීම සෞඛ්‍යයට හොඳ නැත.
把握	විශ්වාසය	මේ වැඩේ හොඳට කරන්න මට විශ්වාසයක් නැහැ.
摆	සකස් කිරීම	කරුණාකර පුටු පිළිවෙළට සකස් කරන්න.
办理	කටයුතු සිදු කිරීම	මම බැංකුවට ගොස් කටයුතු කරමි.
傍晚	සවස	සවස අපි ඇවිදින්න යමු.
包裹	පාර්සලය	මට පාර්සලයක් ලැබුණා.
包含	ඇතුළත් වීම	මිලට උදේ ආහාරය ඇතුළත් වේ.
包括	ඇතුළත් කිරීම	ගාස්තුවට දවල් ආහාරය ඇතුළත් වේ.
薄	තුනී	මෙම පොත ඉතා තුනීය.
保持	පවත්වා ගැනීම	කරුණාකර නිශ්ශබ්දතාව පවත්වා ගන්න.
保存	සුරැකීම	කරුණාකර මෙම ගොනුව සුරකින්න.
保留	වෙන්කර තැබීම	කරුණාකර මට ආසනයක් වෙන්කර තබන්න.
保险	රක්ෂණය	මම ගමන් රක්ෂණයක් මිලදී ගත්තා.
宝贝	වටිනා දේ	මෙය මගේ වටිනා දේය.
宝贵	වටිනා	කාලය ඉතා වටිනවා.
报到	ලියාපදිංචි වීමට පැමිණීම	නවක සිසුන් අද පාසලට ලියාපදිංචි වීමට පැමිණේ.
报道	වාර්තා කිරීම	පුවත් එම සිද්ධිය වාර්තා කළේය.
报告	වාර්තාව	ඔහු දැන් වාර්තාවක් ඉදිරිපත් කරමින් සිටී.
报社	පුවත්පත් කාර්යාලය	ඇය පුවත්පත් කාර්යාලයක වැඩ කරයි.
抱怨	මැසිවිලි නැඟීම	වැඩ වැඩියි කියා ඔහු නිතර මැසිවිලි නඟයි.
悲观	නිරාශාවාදී	අතිශය නිරාශාවාදී වෙන්න එපා.
背	පිටුපස	ඔහු දොරට පිටුපස හරවා වාඩි වී සිටී.
背景	පසුබිම	කරුණාකර ඔබේ පසුබිම ටිකක් හඳුන්වා දෙන්න.
被子	පොරෝනය	පොරෝනය ඉතා උණුසුම්ය.
本科	ප්‍රථම උපාධි	ඔහු ප්‍රථම උපාධි සිසුවෙකි.
本领	හැකියාව	ඔහු නව හැකියාවක් ඉගෙන ගත්තේය.
本质	සාරය	ගැටලුවේ සාරය ඉතා සරලය.
彼此	එකිනෙකා	අපි එකිනෙකාට ගෞරව කළ යුතුය.
比例	අනුපාතය	පිරිමින් හා කාන්තාවන්ගේ අනුපාතය සමාන තරම්ය.
必然	අනිවාර්යයෙන්	උත්සාහය අනිවාර්යයෙන් ප්‍රතිඵල ගෙන එයි.
必要	අවශ්‍ය	කලබල වීමට අවශ්‍ය නැහැ.
毕竟	කෙසේ වෙතත්	කෙසේ වෙතත් ඔහු තවමත් දරුවෙකි.
避免	වළක්වා ගැනීම	කරුණාකර පරක්කු වීම වළක්වා ගන්න.
编辑	සංස්කරණය කිරීම	ඔහු මෙම ලිපිය සංස්කරණය කිරීමේ වගකීම දරයි.
鞭炮	පටාක	වසන්ත උත්සවයේදී සමහරු පටාක පුපුරවති.
便	ඉන්පසු	ඔහු කෑම කා අවසන් වූ පසු පන්තියට ගියේය.
辩论	වාද විවාද කිරීම	ඔවුන් මෙම ප්‍රශ්නය ගැන වාද විවාද කරමින් සිටිති.
标点	විරාම ලකුණු	කරුණාකර විරාම ලකුණු ගැන අවධානය යොමු කරන්න.
标志	ලකුණ	රතු ආලෝකය නවතින්න කියන ලකුණකි.
表达	ප්‍රකාශ කිරීම	ඔහු තම අදහස ප්‍රකාශ කළේය.
表面	මතුපිට	මේසයේ මතුපිට ඉතා පිරිසිදුය.
表明	පෙන්වා දීම	ප්‍රතිඵලය ඔහු නිවැරදි බව පෙන්වා දෙයි.
表情	මුහුණේ හැඟීම	ඇගේ මුහුණේ හැඟීම ඉතා බැරෑරුම්ය.
表现	දක්වන හැසිරීම	ඔහු අද ඉතා හොඳ හැසිරීමක් දැක්වීය.
冰激凌	අයිස්ක්‍රීම්	ළමයි අයිස්ක්‍රීම් කෑමට කැමතියි.
病毒	වෛරසය	මෙම වෛරසය ඉතා ඉක්මනින් පැතිරෙයි.
播放	වාදනය කිරීම	කරුණාකර මෙම ගීතය වාදනය කරන්න.
玻璃	වීදුරු	වීදුරු කෝප්පය කැඩී ගියේය.
