simplified	ES	example_ES	FR	example_FR	DE	example_DE	IT	example_IT	PT	example_PT	RU	example_RU
白天	el día; durante el día	Durante el día estudio en la escuela.	la journée; pendant la journée	Pendant la journée, j'étudie à l'école.	der Tag; tagsüber	Tagsüber lerne ich in der Schule.	il giorno; di giorno	Di giorno studio a scuola.	o dia; durante o dia	Durante o dia estudo na escola.	день; дневное время	Днем я учусь в школе.
边	el lado; el borde	El libro está al lado de la mesa.	le côté; le bord	Le livre est à côté de la table.	die Seite; der Rand	Das Buch liegt neben dem Tisch.	il lato; il bordo	Il libro è accanto al tavolo.	o lado; a borda	O livro está ao lado da mesa.	сторона; край	Книга лежит рядом со столом.
病	la enfermedad; estar enfermo	Él está enfermo.	la maladie; être malade	Il est malade.	die Krankheit; krank sein	Er ist krank.	la malattia; essere malato	Lui è malato.	a doença; estar doente	Ele está doente.	болезнь; болеть	Он заболел.
不要	no; no querer	No bebas demasiado café.	ne pas; ne pas vouloir	Ne bois pas trop de café.	nicht; nicht wollen	Trink nicht zu viel Kaffee.	non; non volere	Non bere troppo caffè.	não; não querer	Não bebas demasiado café.	не надо; не хотеть	Не пей слишком много кофе.
唱	cantar	A mi hermana menor le gusta cantar canciones chinas.	chanter	Ma petite soeur aime chanter des chansons chinoises.	singen	Meine jüngere Schwester singt gern chinesische Lieder.	cantare	A mia sorella minore piace cantare canzoni cinesi.	cantar	A minha irmã mais nova gosta de cantar canções chinesas.	петь	Моя младшая сестра любит петь китайские песни.
车	el coche; el vehículo	Hay un coche en la puerta.	la voiture; le véhicule	Il y a une voiture devant la porte.	das Auto; das Fahrzeug	Vor der Tür steht ein Auto.	l'auto; il veicolo	C'è un'auto davanti alla porta.	o carro; o veículo	Há um carro à porta.	машина; транспортное средство	У двери стоит машина.
大学	la universidad	Mi hermano mayor estudia en la universidad.	l'université	Mon grand frère étudie à l'université.	die Universität	Mein älterer Bruder studiert an der Universität.	l'università	Mio fratello maggiore studia all'università.	a universidade	O meu irmão mais velho estuda na universidade.	университет	Старший брат учится в университете.
大学生	el estudiante universitario	Ella es estudiante universitaria.	l'étudiant universitaire; l'étudiante universitaire	Elle est étudiante à l'université.	der Student; die Studentin	Sie ist Studentin.	lo studente universitario; la studentessa universitaria	Lei è una studentessa universitaria.	o estudante universitário; a estudante universitária	Ela é estudante universitária.	студент; студентка	Она студентка университета.
第	el prefijo ordinal	Esta es la primera lección.	le préfixe ordinal	C'est la première leçon.	die Ordnungszahl-Vorsilbe	Das ist Lektion eins.	il prefisso ordinale	Questa è la prima lezione.	o prefixo ordinal	Esta é a primeira lição.	показатель порядкового числительного	Это первый урок.
店	la tienda	Esta tienda es pequeña.	le magasin	Ce magasin est petit.	der Laden; das Geschäft	Dieser Laden ist klein.	il negozio	Questo negozio è piccolo.	a loja	Esta loja é pequena.	магазин	Этот магазин маленький.
电话	el teléfono; la llamada	¿Cuál es tu número de teléfono?	le téléphone; l'appel	Quel est ton numéro de téléphone ?	das Telefon; der Anruf	Wie lautet deine Telefonnummer?	il telefono; la telefonata	Qual è il tuo numero di telefono?	o telefone; a chamada	Qual é o teu número de telefone?	телефон; телефонный звонок	Какой у тебя номер телефона?
电影院	el cine	El cine está al lado de la escuela.	le cinéma	Le cinéma est à côté de l'école.	das Kino	Das Kino ist neben der Schule.	il cinema	Il cinema è accanto alla scuola.	o cinema	O cinema fica ao lado da escola.	кинотеатр	Кинотеатр находится рядом со школой.
读书	leer; estudiar	El niño está leyendo en la habitación.	lire; étudier	L'enfant lit dans la chambre.	lesen; lernen	Das Kind liest im Zimmer.	leggere; studiare	Il bambino legge nella stanza.	ler; estudar	A criança está a ler no quarto.	читать; учиться	Ребенок читает в комнате.
饭	la comida; el arroz cocido	Estoy comiendo.	le repas; le riz cuit	Je suis en train de manger.	das Essen; gekochter Reis	Ich esse gerade.	il pasto; il riso cotto	Sto mangiando.	a refeição; o arroz cozido	Estou a comer.	еда; вареный рис	Я сейчас ем.
饭店	el restaurante; el hotel	Este restaurante es muy famoso.	le restaurant; l'hôtel	Ce restaurant est très connu.	das Restaurant; das Hotel	Dieses Restaurant ist sehr bekannt.	il ristorante; l'hotel	Questo ristorante è molto famoso.	o restaurante; o hotel	Este restaurante é muito conhecido.	ресторан; гостиница	Этот ресторан очень известный.
歌	la canción	Esta canción suena muy bien.	la chanson	Cette chanson sonne bien.	das Lied	Dieses Lied klingt schön.	la canzone	Questa canzone suona bene.	a canção	Esta canção soa bem.	песня	Эта песня звучит красиво.
国	el país; la nación	China es un país grande.	le pays; la nation	La Chine est un grand pays.	das Land; die Nation	China ist ein großes Land.	il paese; la nazione	La Cina è un grande paese.	o país; a nação	A China é um país grande.	страна; государство	Китай - большая страна.
还	todavía; también	Todavía quiero beber té.	encore; aussi	Je veux encore boire du thé.	noch; auch	Ich möchte noch Tee trinken.	ancora; anche	Voglio ancora bere tè.	ainda; também	Ainda quero beber chá.	еще; также	Я еще хочу выпить чаю.
汉字	el carácter chino	Este carácter chino no es difícil.	le caractère chinois	Ce caractère chinois n'est pas difficile.	das chinesische Schriftzeichen	Dieses chinesische Schriftzeichen ist nicht schwer.	il carattere cinese	Questo carattere cinese non è difficile.	o carácter chinês	Este carácter chinês não é difícil.	китайский иероглиф	Этот китайский иероглиф не трудный.
好看	bonito; agradable de ver	Esta foto se ve muy bonita.	beau; agréable à regarder	Cette photo est très belle.	gut aussehend; schön anzusehen	Dieses Foto sieht schön aus.	bello; piacevole da vedere	Questa foto è molto bella.	bonito; agradável de ver	Esta fotografia é muito bonita.	красивый; приятный на вид	Эта фотография очень красивая.
好听	agradable de escuchar	Esta canción suena muy bien.	agréable à entendre	Cette chanson sonne bien.	angenehm anzuhören	Dieses Lied klingt schön.	piacevole da ascoltare	Questa canzone suona bene.	agradável de ouvir	Esta canção soa bem.	приятный на слух	Эта песня звучит красиво.
好玩儿	divertido	Este juego es divertido.	amusant	Ce jeu est amusant.	spaßig; unterhaltsam	Dieses Spiel macht Spaß.	divertente	Questo gioco è divertente.	divertido	Este jogo é divertido.	веселый; интересный	Эта игра интересная.
后	detrás; después	Hay un parque detrás de la escuela.	derrière; après	Il y a un parc derrière l'école.	hinten; nach; hinter	Hinter der Schule gibt es einen Park.	dietro; dopo	Dietro la scuola c'è un parco.	atrás; depois	Há um parque atrás da escola.	сзади; после; за	За школой есть парк.
火车	el tren	Voy a Pekín en tren.	le train	Je vais à Pékin en train.	der Zug	Ich fahre mit dem Zug nach Peking.	il treno	Vado a Pechino in treno.	o comboio	Vou para Pequim de comboio.	поезд	Я еду в Пекин на поезде.
家人	la familia; el familiar	Toda mi familia está en Pekín.	la famille; un membre de la famille	Toute ma famille est à Pékin.	die Familie; das Familienmitglied	Meine ganze Familie ist in Peking.	la famiglia; il familiare	Tutta la mia famiglia è a Pechino.	a família; o familiar	Toda a minha família está em Pequim.	семья; член семьи	Вся моя семья в Пекине.
见	ver; encontrarse	Mañana veré al profesor.	voir; rencontrer	Demain, je verrai le professeur.	sehen; treffen	Ich treffe morgen den Lehrer.	vedere; incontrare	Domani vedrò l'insegnante.	ver; encontrar	Amanhã vou encontrar o professor.	видеть; встречаться	Завтра я встречусь с учителем.
今年	este año	Este año estudio chino.	cette année	Cette année, j'étudie le chinois.	dieses Jahr	Dieses Jahr lerne ich Chinesisch.	quest'anno	Quest'anno studio cinese.	este ano	Este ano estudo chinês.	в этом году	В этом году я изучаю китайский.
开车	conducir	Papá conduce al trabajo todos los días.	conduire	Papa va au travail en voiture tous les jours.	Auto fahren	Vater fährt jeden Tag mit dem Auto zur Arbeit.	guidare	Papà va al lavoro in macchina ogni giorno.	conduzir	O pai vai de carro para o trabalho todos os dias.	водить машину	Папа каждый день ездит на работу на машине.
看病	ir al médico; consultar a un médico	Mañana iré al hospital a ver al médico.	voir un médecin	Demain, j'irai à l'hôpital voir un médecin.	zum Arzt gehen	Ich gehe morgen ins Krankenhaus zum Arzt.	andare dal medico	Domani andrò in ospedale dal medico.	ir ao médico	Amanhã vou ao hospital consultar um médico.	обратиться к врачу	Завтра я пойду в больницу к врачу.
没事	no pasa nada; estar bien	Estoy bien, no te preocupes.	ce n'est rien; aller bien	Je vais bien, ne t'inquiète pas.	es ist nichts; in Ordnung sein	Mir geht es gut, mach dir keine Sorgen.	non è niente; stare bene	Sto bene, non preoccuparti.	não é nada; estar bem	Estou bem, não te preocupes.	ничего; все в порядке	Со мной все в порядке, не волнуйся.
没有	no tener; no haber	No tengo teléfono.	ne pas avoir; il n'y a pas	Je n'ai pas de téléphone.	nicht haben; es gibt nicht	Ich habe kein Handy.	non avere; non esserci	Non ho un telefono.	não ter; não haver	Não tenho telefone.	не иметь; нет	У меня нет телефона.
们	sufijo de plural para personas	Los profesores están en la oficina.	suffixe du pluriel pour les personnes	Les professeurs sont dans le bureau.	Pluralendung für Personen	Die Lehrer sind im Büro.	suffisso plurale per persone	Gli insegnanti sono in ufficio.	sufixo de plural para pessoas	Os professores estão no escritório.	суффикс множественного числа для людей	Учителя в офисе.
面条儿	los fideos	Al mediodía como fideos.	les nouilles	À midi, je mange des nouilles.	die Nudeln	Mittags esse ich Nudeln.	i noodles; gli spaghetti cinesi	A mezzogiorno mangio noodles.	os noodles; a massa chinesa	Ao meio-dia como massa chinesa.	лапша	В полдень я ем лапшу.
明年	el año que viene	El año que viene iré a China.	l'année prochaine	L'année prochaine, j'irai en Chine.	nächstes Jahr	Nächstes Jahr fahre ich nach China.	l'anno prossimo	L'anno prossimo andrò in Cina.	o ano que vem	No próximo ano vou à China.	в следующем году	В следующем году я поеду в Китай.
哪个	cuál; cuál de ellos	¿Qué taza te gusta?	lequel; laquelle	Quelle tasse aimes-tu ?	welcher; welche; welches	Welche Tasse magst du?	quale; quale di questi	Quale tazza ti piace?	qual; qual deles	De qual chávena gostas?	какой; который	Какая чашка тебе нравится?
哪里	dónde	¿Dónde vives?	où	Où habites-tu ?	wo	Wo wohnst du?	dove	Dove abiti?	onde	Onde moras?	где; куда	Где ты живешь?
哪儿	dónde	¿A dónde vas?	où	Où vas-tu ?	wohin; wo	Wohin gehst du?	dove	Dove vai?	onde	Para onde vais?	куда; где	Куда ты идешь?
哪些	cuáles; qué cosas	¿Qué libros son tuyos?	lesquels; lesquelles	Quels livres sont à toi ?	welche	Welche Bücher gehören dir?	quali	Quali libri sono tuoi?	quais	Quais livros são teus?	какие; которые	Какие книги твои?
那边	allí; aquel lado	La tienda está allí.	là-bas; ce côté-là	Le magasin est là-bas.	dort drüben; jene Seite	Der Laden ist dort drüben.	laggiù; da quella parte	Il negozio è laggiù.	ali; aquele lado	A loja fica ali.	там; та сторона	Магазин вон там.
那个	ese; aquel	Ese estudiante es mi amigo.	celui-là; ce; cet	Cet étudiant est mon ami.	der da; jener	Dieser Student dort ist mein Freund.	quello	Quello studente è mio amico.	aquele	Aquele estudante é meu amigo.	тот; тот самый	Тот студент - мой друг.
那里	allí	El profesor está allí.	là; là-bas	Le professeur est là.	dort	Der Lehrer ist dort.	lì; là	L'insegnante è lì.	ali	O professor está ali.	там	Учитель там.
那儿	allí	Mi amigo está allí.	là-bas	Mon ami est là-bas.	dort drüben	Mein Freund ist dort drüben.	là	Il mio amico è là.	ali	O meu amigo está ali.	там	Мой друг там.
那些	esos; aquellos	Esas manzanas están frescas.	ceux-là; ces choses-là	Ces pommes sont fraîches.	diese dort; jene	Diese Äpfel dort sind frisch.	quei; quelle	Quelle mele sono fresche.	aqueles; aquelas	Essas maçãs estão frescas.	те	Те яблоки свежие.
男	masculino; hombre	Este niño es varón.	masculin; homme	Cet enfant est un garçon.	männlich; Mann	Dieses Kind ist männlich.	maschile; uomo	Questo bambino è maschio.	masculino; homem	Esta criança é do sexo masculino.	мужской; мужчина	Этот ребенок - мальчик.
男朋友	el novio	Su novio sabe conducir.	le petit ami	Son petit ami sait conduire.	der Freund; der feste Freund	Ihr Freund kann Auto fahren.	il ragazzo; il fidanzato	Il suo ragazzo sa guidare.	o namorado	O namorado dela sabe conduzir.	парень; бойфренд	Ее парень умеет водить машину.
你好	hola	Hola, me llamo Xiao Li.	bonjour; salut	Bonjour, je m'appelle Xiao Li.	hallo	Hallo, ich heiße Xiao Li.	ciao; salve	Ciao, mi chiamo Xiao Li.	olá	Olá, chamo-me Xiao Li.	здравствуйте; привет	Здравствуйте, меня зовут Сяо Ли.
你们	vosotros; ustedes	¿Tenéis clase hoy?	vous	Avez-vous cours aujourd'hui ?	ihr; Sie	Habt ihr heute Unterricht?	voi	Avete lezione oggi?	vocês	Têm aulas hoje?	вы	У вас сегодня есть занятие?
女	femenino; mujer	Ella es médica.	féminin; femme	Elle est médecin.	weiblich; Frau	Sie ist Ärztin.	femminile; donna	Lei è una dottoressa.	feminino; mulher	Ela é médica.	женский; женщина	Она врач-женщина.
