source_headword	KN	example_KN
absorb	ಗ್ರಹಿಸು	ಟವೆಲ್ ನೀರನ್ನು ಬೇಗನೆ ಹೀರಿಕೊಳ್ಳುತ್ತದೆ.
abstract	ಅಮೂರ್ತ	ಉಪನ್ಯಾಸವು ಅಮೂರ್ತ ವಿಚಾರಗಳನ್ನು ಚರ್ಚಿಸಿತು.
accent	ಉಚ್ಚಾರಣೆ	ಅವಳ ಉಚ್ಚಾರಣೆಯನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳುವುದು ಸುಲಭ.
accidentally	ಆಕಸ್ಮಿಕವಾಗಿ	ನಾನು ಆಕಸ್ಮಿಕವಾಗಿ ಫೈಲ್ ಅನ್ನು ಅಳಿಸಿದೆ.
accommodate	ಸರಿಹೊಂದಿಸು	ಹೋಟೆಲ್ ದೊಡ್ಡ ಕುಟುಂಬಗಳಿಗೆ ವಸತಿ ಕಲ್ಪಿಸಬಲ್ಲದು.
accomplish	ಸಾಧಿಸು	ಅವಳು ಜೂನ್ ಮೊದಲು ತನ್ನ ಗುರಿಯನ್ನು ಸಾಧಿಸಿದಳು.
accountant	ಅಕೌಂಟೆಂಟ್	ಲೆಕ್ಕಿಗರು ಇನ್‌ವಾಯ್ಸ್ ಅನ್ನು ಪರಿಶೀಲಿಸಿದರು.
accuracy	ನಿಖರತೆ	ಪರೀಕ್ಷೆಯು ಓದುವಿಕೆಯ ನಿಖರತೆಯನ್ನು ಅಳೆಯುತ್ತದೆ.
accurately	ನಿಖರವಾಗಿ	ನಕ್ಷೆಯು ಮಾರ್ಗವನ್ನು ನಿಖರವಾಗಿ ತೋರಿಸುತ್ತದೆ.
acid	ಆಮ್ಲ	ಆಮ್ಲವು ಲೋಹದ ಮೇಲ್ಮೈಯನ್ನು ಹಾನಿಗೊಳಿಸಿತು.
activate	ಸಕ್ರಿಯಗೊಳಿಸು	ಅಲಾರಂ ಅನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಲು ಗುಂಡಿಯನ್ನು ಒತ್ತಿ.
addiction	ಚಟ	ಅವನ ವ್ಯಸನವು ಅವನ ಕೆಲಸದ ಮೇಲೆ ಪರಿಣಾಮ ಬೀರಿತು.
additionally	ಹೆಚ್ಚುವರಿಯಾಗಿ	ಹೆಚ್ಚುವರಿಯಾಗಿ, ನಮಗೆ ಹೆಚ್ಚು ಕುರ್ಚಿಗಳು ಬೇಕಾಗುತ್ತವೆ.
adequate	ಸಾಕಷ್ಟು	ಕೋಣೆಯಲ್ಲಿ ಸಾಕಷ್ಟು ಬೆಳಕಿದೆ.
adequately	ಸಮರ್ಪಕವಾಗಿ	ವರದಿಯು ಸಮಸ್ಯೆಯನ್ನು ಸಮರ್ಪಕವಾಗಿ ವಿವರಿಸಿದೆ.
adjust	ಸರಿಹೊಂದಿಸು	ಚಾಲನೆ ಮಾಡುವ ಮೊದಲು ಸೀಟನ್ನು ಹೊಂದಿಸಿ.
affordable	ಕೈಗೆಟಕುವ	ಈ ಅಪಾರ್ಟ್ಮೆಂಟ್ ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಕೈಗೆಟುಕುವಂತಿದೆ.
agriculture	ಕೃಷಿ	ಕೃಷಿಯು ಅನೇಕ ಗ್ರಾಮೀಣ ಕುಟುಂಬಗಳನ್ನು ಪೋಷಿಸುತ್ತದೆ.
AIDS	ಏಡ್ಸ್	ವೈದ್ಯರು ಆಧುನಿಕ ಔಷಧದೊಂದಿಗೆ ಏಡ್ಸ್‌ಗೆ ಚಿಕಿತ್ಸೆ ನೀಡುತ್ತಾರೆ.
alien	ಅನ್ಯಗ್ರಹ ಜೀವಿ	ಚಿತ್ರವು ಅನ್ಯಗ್ರಹವನ್ನು ತೋರಿಸುತ್ತದೆ.
alongside	ಪಕ್ಕದಲ್ಲಿ	ಬೈಕ್ ಮಾರ್ಗವು ನದಿಯ ಪಕ್ಕದಲ್ಲಿ ಸಾಗುತ್ತದೆ.
altogether	ಸಂಪೂರ್ಣವಾಗಿ	ಒಟ್ಟಾರೆಯಾಗಿ, ಈ ಯೋಜನೆಗೆ ಆರು ವಾರಗಳು ಬೇಕಾಯಿತು.
ambulance	ಆಂಬ್ಯುಲೆನ್ಸ್	ಆಂಬ್ಯುಲೆನ್ಸ್ ಕೆಲವೇ ನಿಮಿಷಗಳಲ್ಲಿ ಬಂದಿತು.
amusing	ತಮಾಷೆಯ	ಕಥೆಯು ಮನರಂಜನೆ ಮತ್ತು ಹಗುರವಾಗಿತ್ತು.
analyst	ವಿಶ್ಲೇಷಕ	ವಿಶ್ಲೇಷಕರು ಮಾರಾಟದ ಡೇಟಾವನ್ನು ಪರಿಶೀಲಿಸಿದರು.
ancestor	ಪೂರ್ವಜ	ನನ್ನ ಪೂರ್ವಜರು ಈ ಹಳ್ಳಿಯ ಬಳಿ ವಾಸಿಸುತ್ತಿದ್ದರು.
animation	ಅನಿಮೇಷನ್	ಅನಿಮೇಷನ್ ಪಾಠವನ್ನು ಹೆಚ್ಚು ಸ್ಪಷ್ಟಪಡಿಸಿತು.
annually	ವಾರ್ಷಿಕವಾಗಿ	ಈ ಉತ್ಸವವನ್ನು ವಾರ್ಷಿಕವಾಗಿ ನಡೆಸಲಾಗುತ್ತದೆ.
anticipate	ನಿರೀಕ್ಷಿಸು	ನಾಳೆ ಹೆಚ್ಚು ಟ್ರಾಫಿಕ್ ಇರಬಹುದು ಎಂದು ನಾವು ನಿರೀಕ್ಷಿಸುತ್ತೇವೆ.
anxiety	ಆತಂಕ	ಆತಂಕವು ನಿದ್ರೆಯನ್ನು ಕಷ್ಟಕರವಾಗಿಸಬಹುದು.
apology	ಕ್ಷಮೆ	ಅವಳು ಪ್ರಾಮಾಣಿಕವಾಗಿ ಕ್ಷಮೆಯಾಚಿಸಿದಳು.
applicant	ಅರ್ಜಿದಾರ	ಅರ್ಜಿದಾರರು ಹೊಸ ರೆಸ್ಯೂಮ್ ಅನ್ನು ಕಳುಹಿಸಿದ್ದಾರೆ.
appropriately	ಸೂಕ್ತವಾಗಿ	ದಯವಿಟ್ಟು ಸಂದರ್ಶನಕ್ಕೆ ಸೂಕ್ತವಾಗಿ ಉಡುಗೆ ಧರಿಸಿ.
arrow	ಬಾಣ	ಬಾಣವು ನಿರ್ಗಮನದತ್ತ ಸೂಚಿಸುತ್ತದೆ.
