simplified	IT	example_IT
挨	sopportare; resistere	Ha resistito tutta la notte e finalmente ha aspettato l'alba.
癌症	il cancro	Scoprire il cancro in fase iniziale è molto importante.
暧昧	vago; ambiguo	La sua risposta era molto ambigua.
爱不释手	non riuscire a staccarsene	Amava così tanto questo libro che non riusciva a metterlo giù.
爱戴	amare e rispettare	Questo insegnante è profondamente amato e rispettato dagli studenti.
安宁	tranquillo; sereno	Le notti qui sono molto tranquille.
安详	sereno; placido	L'espressione dell'anziano era molto serena.
安置	sistemare; ricollocare	Il governo ha sistemato le persone colpite dal disastro.
按摩	il massaggio	Ho prenotato un massaggio.
暗示	suggerire; alludere	Mi ha fatto capire di non chiedere più.
案件	il caso giudiziario	La polizia sta indagando su questo caso.
案例	il caso	Questo caso è molto rappresentativo.
昂贵	costoso; caro	Questa attrezzatura è molto costosa.
凹凸	irregolare; sconnesso	La superficie di questa strada è irregolare.
熬	resistere; cuocere a lungo	Ha lavorato duramente per tre giorni prima di finire il rapporto.
奥秘	il mistero profondo	Lo scienziato vuole svelare questo mistero.
巴不得	non vedere l'ora	Non vedo l'ora di partire subito.
巴结	adulare; ingraziarsi	Non vuole ingraziarsi i dirigenti.
扒	aggrapparsi; scavare	Il bambino si è aggrappato alla porta e ha guardato fuori.
疤	la cicatrice	Ha una cicatrice sul braccio.
拔苗助长	rovinare le cose per troppa fretta	Costringere un bambino a studiare così rovina solo le cose per la fretta.
把关	controllare; fare da filtro	Questo contratto deve essere controllato da un avvocato.
把手	la maniglia	La maniglia della porta è rotta.
罢工	lo sciopero; scioperare	Gli operai hanno deciso di scioperare domani.
霸道	prepotente; autoritario	Parla in modo troppo prepotente.
掰	spezzare con le mani	Ha spezzato il pane in due metà.
摆脱	liberarsi di	Alla fine si è liberato della cattiva abitudine.
拜访	fare visita	Andremo a fare visita all'insegnante nel fine settimana.
拜年	fare gli auguri di Capodanno	Durante la Festa di Primavera andiamo dai nonni a fare gli auguri di Capodanno.
拜托	affidare; chiedere un favore	Per questa cosa conto su di te.
败坏	rovinare; danneggiare	Questo comportamento danneggerà la reputazione dell'azienda.
斑	la macchia	Il gatto ha una macchia nera sul corpo.
颁布	pubblicare; promulgare	Le nuove regole saranno pubblicate la prossima settimana.
颁发	conferire; assegnare	La scuola ha conferito certificati agli studenti eccellenti.
版本	la versione	Questo software ha una nuova versione.
伴侣	il compagno; la compagna	Lei considera il cane il proprio compagno.
伴随	accompagnare	Il successo è spesso accompagnato dalla pressione.
半途而废	abbandonare a metà	Quando si fa ricerca non si può abbandonare a metà.
扮演	interpretare	Interpreta un medico nel film.
榜样	il modello	I genitori sono modelli per i figli.
绑架	il rapimento; rapire	La polizia ha impedito un caso di rapimento.
磅	la libbra	Questa scatola pesa venti libbre.
包庇	proteggere; coprire	Nessuno può coprire un crimine.
包袱	il fardello	Dopo aver deposto il fardello, si è sentito molto più leggero.
包围	circondare	I giornalisti hanno circondato l'attore.
包装	la confezione	La confezione di questo regalo è molto bella.
保管	custodire; garantire	Questi documenti sono custoditi da me.
保密	mantenere segreto	Il contenuto della riunione deve restare segreto.
保姆	la tata; la domestica	Hanno assunto una tata.
保守	conservatore; prudente	Le sue idee sono piuttosto conservatrici.
保卫	difendere; proteggere	I soldati difendono il confine.
保养	manutenere; curare	Questa auto ha bisogno di manutenzione regolare.
保障	garantire; proteggere	La legge tutela i diritti dei cittadini.
保重	prendersi cura di sé	Quando sei lontano da casa, abbi cura di te.
饱和	la saturazione	Questo mercato è già vicino alla saturazione.
饱经沧桑	aver vissuto molte vicissitudini	Questo anziano ha vissuto molte vicissitudini.
报酬	il compenso	Ha ricevuto un compenso ragionevole.
报仇	vendicarsi	Non vuole vendicarsi, vuole solo ricominciare.
报答	ricambiare	Ricambierò il tuo aiuto con le azioni.
报复	la vendetta; vendicarsi	La vendetta non farà che approfondire il conflitto.
报警	chiamare la polizia; dare l'allarme	Dopo aver scoperto un incendio bisogna chiamare subito la polizia.
报销	rimborsare; chiedere il rimborso	Le spese di viaggio possono essere rimborsate.
抱负	l'ambizione	Fin da piccolo ha grandi ambizioni.
暴力	la violenza	Ci opponiamo a ogni forma di violenza.
暴露	esporre; venire alla luce	Questo problema è gradualmente venuto alla luce.
曝光	l'esposizione; rendere pubblico	Dopo la pubblicazione di questa foto, la cosa ha attirato attenzione.
爆发	scoppiare; eruttare	Il vulcano è improvvisamente eruttato.
爆炸	l'esplosione; esplodere	Nel laboratorio è avvenuta un'esplosione.
卑鄙	spregevole; vile	Questo metodo spregevole fa arrabbiare la gente.
悲哀	triste; addolorato	Dopo aver sentito la notizia, si è sentito molto triste.
悲惨	tragico; miserabile	Quello fu un periodo tragico della storia.
北极	l'Artico; il Polo Nord	Gli scienziati stanno facendo ricerca nell'Artico.
备份	il backup	Per favore, fai prima il backup dei file importanti.
备忘录	il promemoria	Ha scritto i punti principali nel promemoria.
背叛	il tradimento; tradire	Non riusciva ad accettare il tradimento dell'amico.
背诵	recitare a memoria	Gli studenti stanno recitando il testo a memoria.
被动	passivo	Nella trattativa non possiamo essere troppo passivi.
被告	l'imputato	L'imputato ha negato tutte le accuse.
贝壳	la conchiglia	Il bambino raccoglieva conchiglie in riva al mare.
奔波	correre qua e là	Per lavoro corre qua e là dappertutto.
奔驰	sfrecciare; correre	L'auto sfrecciava sull'autostrada.
本能	l'istinto	Proteggere i figli è un istinto dei genitori.
本钱	il capitale	Fare affari richiede capitale.
本人	io stesso; la persona stessa	Io stesso sono disposto ad assumermi la responsabilità.
本身	in sé; di per sé	Questo piano in sé non ha problemi.
本事	la capacità; l'abilità	È molto capace.
笨拙	goffo; impacciato	I suoi movimenti sono un po' goffi.
崩溃	crollare; andare in crash	Il sistema è andato improvvisamente in crash.
甭	non occorre	Non devi preoccuparti di questa cosa.
蹦	saltellare	Il cucciolo saltellava sull'erba.
迸发	esplodere; prorompere	Gli applausi sono esplosi dalla folla.
逼迫	costringere	Li hanno costretti a firmare il contratto.
鼻涕	il muco nasale	Il bambino ha il raffreddore e continua ad avere il naso che cola.
比方	l'esempio	Per esempio, possiamo provare prima per un mese.
比喻	la metafora	Questa metafora è molto vivida.
比重	la proporzione	La proporzione del settore dei servizi diventa sempre più alta.
鄙视	disprezzare	Non disprezzare gli sforzi degli altri.
弊病	il difetto; il malanno	Questo sistema ha parecchi difetti.
弊端	l'inconveniente; il difetto	Il nuovo piano ha risolto i difetti del vecchio sistema.
臂	il braccio	Il suo braccio destro è ferito.
闭塞	isolato; chiuso	In passato i trasporti in questo villaggio di montagna erano molto isolati.
编织	tessere; lavorare a maglia	La nonna sta lavorando a maglia un maglione.
边疆	la frontiera	Molti soldati difendono la frontiera della patria.
边界	il confine	I due Paesi hanno ridisegnato il confine.
边境	la zona di confine	Le zone di confine hanno rafforzato i controlli di sicurezza.
边缘	il bordo	La tazza è sul bordo del tavolo.
鞭策	stimolare; spronare	Le parole dell'insegnante mi hanno sempre spronato.
扁	piatto	Questa scatola è larga e piatta.
贬低	sminuire	Non sminuire a caso gli sforzi degli altri.
贬义	il senso negativo	Questa parola qui ha una connotazione negativa.
便利	comodo; agevole	La metropolitana rende gli spostamenti più comodi.
便条	il biglietto	Ha lasciato un biglietto sul tavolo.
便于	essere comodo per	Questo design è comodo da usare per gli anziani.
变故	l'imprevisto; la disgrazia	In famiglia è successa improvvisamente una disgrazia.
变迁	il cambiamento; le vicissitudini	I cambiamenti della città lo hanno commosso molto.
变质	andare a male	Il latte va a male se resta fuori troppo a lungo.
辨认	riconoscere; identificare	La polizia gli ha chiesto di identificare la persona nella foto.
辩护	difendere	L'avvocato ha difeso l'imputato.
辩解	giustificare; spiegare	Ha cercato di giustificare il proprio errore.
辩证	dialettico	Dobbiamo guardare questo problema in modo dialettico.
辫子	la treccia	La bambina ha due trecce.
遍布	essere diffuso ovunque	Questa pianta è diffusa in tutto il Paese.
标本	il campione; l'esemplare	Nel museo sono esposti esemplari di animali.
标记	il segno; la marcatura	Per favore, fai dei segni accanto ai paragrafi importanti.
标题	il titolo	Il titolo di questo articolo è molto attraente.
表决	votare; il voto	I rappresentanti voteranno sulla proposta.
表态	dichiarare la propria posizione	Non ha ancora dichiarato pubblicamente la propria posizione.
表彰	elogiare; premiare	L'azienda ha premiato i dipendenti eccellenti.
憋	trattenere; soffocare	Ha trattenuto la risata e non ha parlato.
别墅	la villa	Hanno comprato una villa in periferia.
别致	originale; particolare	L'arredamento di questo caffè è molto particolare.
别扭	imbarazzante; innaturale	Questa frase suona un po' innaturale.
濒临	essere sull'orlo di	Questo animale è sull'orlo dell'estinzione.
冰雹	la grandine	Ieri pomeriggio è caduta una forte grandine.
丙	il terzo; C	La gara del gruppo C inizia nel pomeriggio.
并非	non essere affatto	Le cose non sono come pensi.
并列	essere alla pari	Questi due progetti sono a pari merito al primo posto.
剥削	sfruttare; lo sfruttamento	Nella vecchia società esisteva un grave sfruttamento.
拨	comporre; assegnare	Per favore, componi questo numero di telefono.
播种	seminare	Gli agricoltori iniziano a seminare in primavera.
波浪	l'onda	Sul mare si sono sollevate grandi onde.
波涛	i flutti; le onde grandi	La barca avanzava tra i flutti.
伯母	la zia	Andrò a trovare mia zia nel fine settimana.
博大精深	vasto e profondo	La cultura cinese è vasta e profonda.
博览会	l'esposizione; la fiera internazionale	L'esposizione internazionale ha attirato molte aziende.
搏斗	lottare; combattere	La polizia ha lottato con il criminale.
薄弱	debole	La sua base grammaticale è relativamente debole.
不顾	nonostante; senza badare a	È corso dentro senza badare al pericolo.
不愧	essere degno di	È davvero degno di essere chiamato un esperto con esperienza.
不料	inaspettatamente	Inaspettatamente, la riunione è stata annullata all'improvviso.
不像话	assurdo; inaccettabile	È inaccettabile trattare gli ospiti in questo modo.
不屑一顾	disprezzare; ignorare con sdegno	Ha ignorato queste voci con disprezzo.
哺乳	allattare	La madre sta allattando il neonato.
捕捉	catturare; cogliere	Il fotografo ha catturato un momento meraviglioso.
补偿	compensare	L'azienda ti compenserà per la perdita.
补救	rimediare	Abbiamo ancora tempo per rimediare.
补贴	il sussidio	Il governo concede sussidi alle famiglie a basso reddito.
不得已	non avere altra scelta	Ha lasciato la sua città natale solo perché non aveva altra scelta.
不妨	tanto vale; non c'è nulla di male	Tanto vale ascoltare prima la sua spiegazione.
不敢当	non meritare un elogio	Con un complimento così, davvero non lo merito.
不禁	non poter fare a meno di	Sentendo la notizia, non ha potuto fare a meno di sorridere.
不堪	insopportabile	Il rumore qui è insopportabile.
不可思议	incredibile; inconcepibile	Questo risultato è davvero incredibile.
不免	inevitabilmente	Salendo sul palco per la prima volta, era inevitabilmente un po' nervoso.
不时	di tanto in tanto	Di tanto in tanto alzava lo sguardo verso l'orologio.
不惜	non esitare a	Per salvare una persona, non ha esitato a correre rischi.
不相上下	alla pari	Le due squadre sono alla pari.
不言而喻	essere ovvio	L'importanza dell'onestà è ovvia.
不由得	non poter fare a meno di	Vedendo la vecchia foto, non ho potuto fare a meno di pensare all'infanzia.
不择手段	usare qualsiasi mezzo	Fa qualsiasi cosa pur di guadagnare denaro.
不止	più di	Alla riunione hanno partecipato più di cento persone.
布告	l'avviso	Un avviso è stato affisso all'ingresso della scuola.
布局	la disposizione	La disposizione di questo appartamento è molto ragionevole.
布置	disporre; assegnare	L'insegnante ha assegnato nuovi compiti.
步伐	il passo	La squadra avanzava con passi ordinati.
部署	schierare; predisporre	L'azienda sta predisponendo un nuovo piano di vendita.
部位	la parte; il punto	Il medico ha controllato la parte ferita.
才干	la capacità; la competenza	È molto capace nella gestione.
裁缝	il sarto	Questo sarto è molto abile.
裁判	l'arbitro	L'arbitro ha annunciato la sospensione della partita.
裁员	licenziare personale	L'azienda ha deciso di licenziare personale a causa delle perdite.
财富	la ricchezza	Anche la conoscenza è una forma di ricchezza.
财务	la finanza; gli affari finanziari	Il reparto finanziario sta controllando i conti.
财政	le finanze pubbliche	Le entrate fiscali sono aumentate quest'anno.
彩票	il biglietto della lotteria	Ogni tanto compra un biglietto della lotteria.
