source_headword	ET	example_ET
abandon	loobuma	Eile loobusid nad plaanist.
absolute	absoluutne	Siin on vaja absoluutset ausust.
acceptable	vastuvõetav	See lahendus tundub vastuvõetav.
accompany	saatma	Muusika saatis kogu stseeni.
accurate	täpne	Raport peab olema täpne.
accuse	süüdistama	Nad süüdistasid teda veas.
acknowledge	tunnistama	Ta tunnistas probleemi avalikult.
acquire	omandama	Ettevõte omandas uue oskuse.
actual	tegelik	Tegelik hind oli madalam.
adapt	kohanema	Me pidime kiiresti kohanema.
additional	lisaks olev	Lisainfo tuli hiljem.
administration	administratsioon	Administratsioon muutis reegleid.
adopt	vastu võtma	Nad võtsid uue poliitika vastu.
advance	edenema	Projekt edenes aeglaselt.
affair	asi	See asi jäi privaatseks.
afterwards	pärast	Pärast tundsid kõik kergendust.
agency	agentuur	Agentuur avaldas uue aruande.
agenda	päevakord	Päevakord oli juba täis.
aggressive	agressiivne	Tema toon oli liiga agressiivne.
aid	abi	Küla sai kiiresti abi.
aircraft	lennuk	Lennuk maandus õhtul.
alter	muutma	Väike detail muutis tulemust.
anger	viha	Tema viha oli selgelt näha.
angle	nurk	Foto tehti madala nurga alt.
anniversary	aastapäev	Nad tähistasid aastapäeva kodus.
annual	iga-aastane	Iga-aastane koosolek toimub mais.
anxious	ärev	Ta oli enne eksamit ärev.
apparent	ilmselge	Viga oli kohe ilmselge.
apparently	ilmselt	Ilmselt jäi rong hiljaks.
appeal	üleskutse	Üleskutse jõudis paljude inimesteni.
approach	lähenemisviis	See lähenemisviis töötas paremini.
appropriate	sobiv	Vali sobiv vastus.
approval	heakskiit	Plaan sai juhilt heakskiidu.
approve	heaks kiitma	Komitee kiitis eelarve heaks.
arise	tekkima	Küsimus tekkis koosolekul.
armed	relvastatud	Relvastatud valve jäi ukse juurde.
arms	relvad	Relvad hoiti lukustatud kapis.
artificial	tehislik	Maitse tundus liiga tehislik.
artistic	kunstiline	Tal on tugev kunstiline nägemus.
ashamed	häbenenud	Ta oli oma sõnade pärast häbenenud.
