source_headword	JA	example_JA
hunt	探す；狩る	彼らは秋にきのこを探します。
hurricane	ハリケーン	ハリケーンは多くの家を壊しました。
hurry	急ぎ	今日は急ぐ必要はありません。
identity	身元；アイデンティティ	彼女の身元は秘密のままでした。
ignore	無視する	この警告を無視しないでください。
illegal	違法な	ここに駐車するのは違法です。
imaginary	想像上の	その物語には想像上の島があります。
immediate	即時の	私たちは即時の返事が必要です。
immigrant	移民	その移民はすぐに英語を学びました。
impact	影響	そのニュースは強い影響を与えました。
import	輸入する	その国はもっと米を輸入します。
importance	重要性	彼女は睡眠の重要性を理解しました。
impression	印象	彼の第一印象は良かったです。
impressive	印象的な	その博物館には印象的な入口があります。
improvement	改善	今月は明らかな改善がありました。
incredibly	信じられないほど	そのテストは信じられないほど難しかったです。
indeed	確かに	それは確かに変な日でした。
indicate	示す	その標識は出口を示します。
indirect	間接的な	彼女は間接的な答えをしました。
indoor	屋内の	そのホテルには屋内プールがあります。
indoors	屋内で	嵐の間、私たちは屋内にいました。
influence	影響	彼の先生は大きな影響を与えました。
ingredient	材料	小麦粉が主な材料です。
injure	けがをさせる	背中を痛めないでください。
injured	けがをした	けがをした選手はフィールドを離れました。
innocent	無実の；無邪気な	その子どもは完全に無邪気に見えました。
intelligence	知能	彼女は授業で高い知能を示しました。
intend	意図する	私は海外で学ぶつもりです。
intention	意図	彼の意図は助けることでした。
invest	投資する	彼らは教育にお金を投資します。
investigate	調査する	警察は事故を調査します。
involved	関わった	数人の学生が関わっていました。
iron	鉄	門は鉄でできています。
issue	問題	これは重大な問題です。
IT	情報技術	彼女は情報技術の仕事をしています。
journal	日記；雑誌	彼は日記を書いています。
judge	裁判官	裁判官は注意深く聞きました。
keen	熱心な	彼女は学ぶことに熱心です。
keyboard	キーボード	私のキーボードは動かなくなりました。
kick	蹴る	ボールをそっと蹴ってください。
killing	殺害	その殺害は村に衝撃を与えました。
kind (caring)	親切な	それは親切な行動でした。
kiss	キス	彼女は赤ちゃんにキスをしました。
label	ラベル	使う前にラベルを読んでください。
laboratory	実験室	実験室は今日は閉まっています。
lack	不足	睡眠不足は記憶に悪いです。
latest	最新の	最新の報告を読みましたか。
lay	置く	本をテーブルの上に置いてください。
layer	層	もう一層ペンキを塗ってください。
leading	主要な	彼女は主要な科学者です。
leaf	葉	一枚の葉が私のコートに落ちました。
leather	革	彼のかばんは革でできています。
legal	法律の	私たちは法律上の助言が必要です。
leisure	余暇	読書は私の好きな余暇活動です。
length	長さ	部屋の長さを測ってください。
lie2 (tell a lie)	うそをつく	両親にうそをつかないでください。
limit	制限	速度制限は五十です。
lip	唇	彼女は唇をかみました。
liquid	液体	水は透明な液体です。
literature	文学	彼女はフランス文学を学んでいます。
live2	生の；ライブの	そのバンドは昨夜ライブで演奏しました。
living	生きている	生きている植物には光が必要です。
locate	見つける	そのファイルを見つけられますか。
located	位置している	事務所は中心街にあります。
location	場所	ここはよい場所です。
lonely	孤独な	彼は引っ越し後に孤独を感じました。
loss	損失；喪失	その損失は皆にとってつらかったです。
luxury	ぜいたく	そのホテルは本当のぜいたくを提供します。
mad	怒った	彼女は遅れに怒っていました。
magic	魔法	そのショーは魔法でいっぱいでした。
mainly	主に	そのグループは主に学生です。
mall	ショッピングモール	私たちはモールで会いました。
management	管理	よい管理は時間を節約します。
marketing	マーケティング	マーケティングは商品を売る助けになります。
marriage	結婚	彼らの結婚は三十年続きました。
meanwhile	その間に	その間に私は夕食を作りました。
measure	測る	テーブルを注意深く測ってください。
medium	中くらいの	私は中サイズのピザを注文しました。
mental	心の	ストレスは心の健康に影響します。
mess	散らかり	この散らかりを片づけてください。
mild	穏やかな	そのスープは穏やかな味です。
mine (hole in the ground)	鉱山	その鉱山は去年閉鎖されました。
mix	混ぜる	卵を牛乳と混ぜてください。
mixture	混合物	その混合物は濃くなりました。
mood	気分	音楽が彼女の気分を変えました。
mud	泥	彼の靴は泥だらけでした。
murder	殺人	殺人は夜に起こりました。
muscle	筋肉	運動は筋肉を作ります。
mystery	謎	その古い家は謎です。
nail	爪	私は爪を一本折りました。
narrative	物語	その小説には明確な物語があります。
nation	国民；国家	国全体が祝いました。
native	母語の	スペイン語は彼女の母語です。
naturally	自然に	子どもは遊びを通して自然に学びます。
necessarily	必ずしも	高い食べ物が必ずしも良いわけではありません。
needle	針	その針はとても鋭いです。
neighbourhood	近所	彼らは静かな近所に住んでいます。
net	網	漁師は網を修理しました。
nor	もまたない	彼は笑わず、話しもしませんでした。
northern	北の	彼らは北の海岸を訪れました。
nuclear	核の	議論は核エネルギーについてでした。
obvious	明らかな	答えは明らかでした。
obviously	明らかに	明らかにもっと時間が必要です。
occasion	機会；場面	これは特別な機会です。
occur	起こる	事故はどこでも起こり得ます。
odd	奇妙な	それは奇妙な質問でした。
official	公式の	公式の結果は今日届きました。
old-fashioned	時代遅れの	彼女の電話は時代遅れに見えます。
operation	手術	手術は二時間続きました。
organized	整理された	彼女の机はとても整理されています。
organizer	主催者	主催者は客を迎えました。
originally	もともと	彼女はもともとカナダ出身でした。
ought modal	べきだ	あなたは休むべきです。
ours	私たちのもの	このテーブルは私たちのものです。
outdoor	屋外の	私たちは屋外用の家具を買いました。
outdoors	屋外で	子どもは屋外で遊ぶべきです。
package	荷物	荷物は今朝届きました。
painful	痛い	その切り傷は痛かったです。
pale	青白い	彼の顔は青白く見えました。
pan	フライパン	まずフライパンを温めてください。
participate	参加する	誰でも参加できます。
particularly	特に	私は特にこの歌が好きです。
passion	情熱	音楽は彼女の情熱です。
path	小道	公園を通る小道を進んでください。
payment	支払い	支払いは明日が期限です。
peaceful	平和な	庭は平和です。
percentage	割合	少ない割合の人が同意しました。
perfectly	完璧に	計画は完璧にうまくいきました。
performance	演技；出来	彼女の演技はすばらしかったです。
personally	個人的に	個人的にはお茶のほうが好きです。
persuade	説得する	彼に参加するよう説得できますか。
photographer	写真家	写真家は多くの写真を撮りました。
photography	写真	写真は彼の一番好きな趣味です。
pin	ピン	地図にピンを置いてください。
pipe	管	その管は水を運びます。
planning	計画	計画には時間がかかります。
pleasant	楽しい	私たちは楽しい夜を過ごしました。
pleasure	喜び	あなたに会えてうれしかったです。
plenty	たくさん	私たちにはたくさん時間があります。
plot	筋；物語の展開	その筋は追いやすかったです。
plus1	足す	二足す三は五です。
poem	詩	彼女は短い詩を書きました。
poet	詩人	詩人は声に出して読みました。
poetry	詩歌	彼は現代詩が好きです。
poison	毒	毒を子どもから離してください。
poisonous	有毒な	一部のきのこは有毒です。
policy	方針	会社は方針を変えました。
political	政治的な	その演説は政治的でした。
politician	政治家	政治家は質問に答えました。
politics	政治	政治は複雑になることがあります。
port	港	船は港に入りました。
portrait	肖像画	肖像画はホールに掛かっています。
possibly	もしかすると	彼女はもしかすると遅れて到着します。
pot	鉢	その植物にはもっと大きな鉢が必要です。
pour	注ぐ	牛乳をゆっくり注いでください。
poverty	貧困	多くの家族が貧困の中で暮らしています。
powder	粉	粉を水に加えてください。
powerful	強力な	エンジンは強力です。
practical	実用的な	これは実用的な解決策です。
pray	祈る	彼らは毎朝祈ります。
prayer	祈り	彼女は静かに祈りました。
prediction	予測	彼の予測は正しかったです。
prepared	準備できた	私は試験の準備ができています。
presentation	発表	彼女の発表は明確でした。
press	押す	ボタンを一回押してください。
pressure	圧力	圧力は健康に影響することがあります。
pretend	ふりをする	眠っているふりをしないでください。
previous	前の	前の授業はもっと簡単でした。
previously	以前に	私たちは以前ローマに住んでいました。
priest	司祭	司祭は静かに話しました。
primary	主要な	健康が私たちの主要な関心です。
prince	王子	王子は学校を訪れました。
princess	王女	王女は青いドレスを着ていました。
printing	印刷	報告書の印刷には数分かかりました。
prisoner	囚人	囚人は夜に逃げました。
private	私的な	これは私的な会話です。
producer	プロデューサー	プロデューサーはその映画を気に入りました。
production	生産	生産は来週始まります。
profession	職業	教師は尊敬される職業です。
profit	利益	店は利益を上げました。
promote	促進する	彼らは健康的な食事を促進します。
proper	適切な	ハイキングには適切な靴を履いてください。
properly	きちんと	ドアをきちんと閉めてください。
property	不動産	彼らは川の近くに不動産を買いました。
protest	抗議	抗議は平和に終わりました。
proud	誇りに思う	彼女は息子を誇りに思いました。
prove	証明する	あなたの答えを証明できますか。
punish	罰する	先生は彼を罰しませんでした。
punishment	罰	その罰は公平に見えました。
qualification	資格	この仕事には資格が必要です。
qualified	資格のある	彼女は資格のある看護師です。
qualify	資格を得る	私たちのチームは資格を得るかもしれません。
queue	列	私たちは長い列で待ちました。
quit	やめる	彼は喫煙をやめることにしました。
quotation	引用	そのエッセーは引用で始まります。
quote	引用する	あなたの言葉を引用してもいいですか。
race (people)	人種	その用紙は人種について尋ねます。
racing	競馬	競馬はそこで人気があります。
range	範囲；種類	その店は幅広い種類を売っています。
rare	珍しい	この鳥は珍しいです。
rarely	めったに	私たちはめったに外食しません。
reaction	反応	彼女の反応は私を驚かせました。
reality	現実	現実は彼の夢と違いました。
receipt	領収書	領収書を保管してください。
recommendation	推薦	推薦をありがとうございます。
reference	参考	最後に参考を追加してください。
reflect	反射する	鏡は光を反射します。
regularly	定期的に	彼女は定期的に運動します。
reject	拒否する	彼らはその申し出を拒否するかもしれません。
relate	共感する	私はその話に共感できます。
related	関連した	二つの問題は関連しています。
relation	関係	それらの間には関係があります。
relative	相対的な	速度は相対的です。
relaxed	リラックスした	彼は夕食後にリラックスしました。
relaxing	くつろげる	その音楽はくつろげます。
release	公開する	彼らはその映画をまもなく公開します。
reliable	信頼できる	このバスはたいてい信頼できます。
religion	宗教	宗教は彼女にとって重要です。
religious	宗教的な	彼らは宗教的な建物を訪れました。
remain	残る；保つ	落ち着いたままでいてください。
remind	思い出させる	明日私に思い出させてください。
remote	遠隔の	彼らは遠い村に住んでいます。
rent	家賃	家賃は今日が期限です。
repeated	繰り返された	繰り返された間違いが作業を遅らせました。
represent	表す	星は希望を表します。
require	必要とする	この仕事には訓練が必要です。
reservation	予約	私は予約をしました。
resource	資源；資料	図書館は役に立つ資料です。
respect	尊重	同級生を尊重してください。
responsibility	責任	育児は大きな責任です。
responsible	責任がある	彼女はチケットの責任者です。
retire	退職する	父はまもなく退職します。
retired	退職した	彼は退職した教師です。
revise	修正する	今夜エッセーを修正してください。
risk	危険	雨の危険があります。
robot	ロボット	ロボットが床を掃除しました。
roll	転がす	ボールを私に転がしてください。
romantic	ロマンチックな	彼らはロマンチックな夕食をとりました。
rope	ロープ	ロープをしっかり結んでください。
rough	でこぼこの	道はでこぼこでした。
row1	列	前の列に座ってください。
royal	王室の	王室の家族が到着しました。
rugby	ラグビー	私たちはテレビでラグビーを見ました。
safety	安全	仕事では安全が重要です。
sailor	船員	船員は船を修理しました。
sample	サンプル	看護師は血液サンプルを取りました。
sand	砂	砂が私の靴を覆いました。
scan	スキャンする	まず書類をスキャンしてください。
scientific	科学的な	これは科学的な方法です。
script	台本	俳優は台本を読みました。
sculpture	彫刻	彫刻は外に立っています。
secondary	二次的な	これは二次的な問題です。
security	警備	警備が私たちのバッグを調べました。
seed	種	土に種を植えてください。
sensible	賢明な	それは賢明な考えです。
seriously	真剣に	この問題を真剣に受け止めてください。
servant	召使い	召使いがドアを開けました。
set (put)	置く	グラスをテーブルに置いてください。
set (group)	一式	この一式にはカップが六つ含まれます。
setting	舞台設定	物語には都市の舞台設定があります。
sex	性別	用紙は年齢と性別を尋ねます。
sexual	性的な	授業では性的健康について話しました。
sharp	鋭い	このナイフは鋭いです。
shelf	棚	本を棚に置いてください。
shell	貝殻	貝殻は空でした。
shift	勤務時間	私の勤務時間は八時に始まります。
shine	輝く	星は夜に輝きます。
shiny	光る	彼女の靴は光っています。
shoot	撮影する	写真家はその場面を撮影します。
shy	内気な	彼は見知らぬ人に対して内気です。
sight	眺め	その山は美しい眺めでした。
signal	信号	信号は弱かったです。
silent	静かな	部屋は静かになりました。
silly	ばかな	それはばかな間違いでした。
similarity	類似点	明らかな類似点があります。
similarly	同様に	二つ目の計画も同様に機能します。
simply	単に	単にこのボタンを押してください。
sink	沈む	重い石はすぐに沈みます。
slice	一切れ	私はケーキを一切れ食べました。
slightly	少し	部屋は少し暖かいです。
smart	きちんとした	彼女はきちんとした上着を着ていました。
smooth	滑らかな	道は滑らかです。
software	ソフトウェア	ソフトウェアは更新が必要です。
soil	土	土は乾いています。
solid	固い	壁は固いです。
southern	南の	彼らは南の海岸に住んでいます。
specifically	具体的に	私は具体的にお茶を頼みました。
spending	支出	政府支出が増えました。
spicy	辛い	このカレーは辛いです。
