source_headword	SK	example_SK
incur	spôsobiť	Omeškania môžu spôsobiť dodatočné náklady.
indicator	ukazovateľ	Nezamestnanosť je jedným z ekonomických ukazovateľov.
indictment	obžaloba	Obžaloba obsahovala tri body.
indigenous	pôvodný	Pôvodným rastlinám sa tu dobre darí.
induce	vyvolať	Liek môže vyvolať spánok.
indulge	dopriať si	Nedopraje si drahé zvyky.
inequality	nerovnosť	Príjmová nerovnosť zostáva hlavným problémom.
infamous	neslávne známy	Väznica sa stala neslávne známou po celom svete.
infant	dojča	Dojča spalo v postieľke.
infect	infikovať	Vírus môže infikovať zdravé bunky.
inflict	spôsobiť	Nespôsobujte zvieratám bolesť.
influential	vplyvný	Je to vplyvná právna vedkyňa.
inherent	inherentný	Dizajn má inherentné riziká.
inhibit	brzdiť	Strach môže brzdiť úprimnú diskusiu.
initiate	iniciovať	Manažér iniciuje preskúmanie.
inject	podať injekciu	Zdravotná sestra podá vakcínu.
injection	injekcia	Injekcia zmiernila bolesť.
injustice	nespravodlivosť	Rozsudok odhalil jasnú nespravodlivosť.
inmate	väzeň	Väzeň požiadal o právnu radu.
insertion	vloženie	Formulár potrebuje jedno vloženie textu.
insider	zasvätenec	Zasvätenec prezradil správu.
inspect	kontrolovať	Úradníci každoročne kontrolujú most.
inspection	kontrola	Kontrola odhalila vážne poškodenie.
inspiration	inšpirácia	Jej prejav mi dodal inšpiráciu.
instinct	inštinkt	Jeho prvým inštinktom bolo pomôcť.
institutional	inštitucionálny	Inštitucionálne pravidlá ovplyvnili rozhodnutie.
instruct	poučiť	Príručka poučí nových zamestnancov.
instrumental	nápomocný	Jej rady boli nápomocné pri rokovaniach.
insufficient	nedostatočný	Dôkazy boli nedostatočné na vznesenie obvinenia.
insult	urážka	Jeho urážka ukončila rozhovor.
intact	neporušený	Staroveký múr zostal neporušený.
intake	príjem	Príjem cukru by mal zostať mierny.
integral	neoddeliteľný	Dôvera je pre tím neoddeliteľná.
integrated	integrovaný	Škola ponúka integrovanú podporu.
integration	integrácia	Integrácia zlepšila celý systém.
integrity	integrita	Sudca preukázal veľkú bezúhonnosť.
intensify	zintenzívniť sa	Búrka sa môže cez noc zintenzívniť.
intensity	intenzita	Intenzita tréningu sa zvýšila.
intensive	intenzívny	Absolvovali intenzívny jazykový tréning.
intent	úmysel	Jeho úmysel bolo ťažké dokázať.
interactive	interaktívny	Múzeum má interaktívne expozície.
interface	rozhranie	Rozhranie sa ľahko ovláda.
interfere	zasahovať	Nezasahujte do vyšetrovania.
interference	rušenie	Rušenie signálu prerušilo hovor.
interim	predbežný	Predbežná správa dorazí zajtra.
interior	vnútorný	Vnútorné steny potrebujú farbu.
intermediate	stredne pokročilý	Pripojila sa k triede pre stredne pokročilých.
intervene	zasiahnuť	Polícia musela rýchlo zasiahnuť.
intervention	zásah	Skorý zásah pomohol pacientovi.
intimate	intímny	Usporiadali intímny rodinný obrad.
intriguing	pútavý	Údaje odhalili pútavý vzorec.
investigator	vyšetrovateľ	Vyšetrovateľ vypočul každého svedka.
invisible	neviditeľný	Plyn je neviditeľný a nebezpečný.
invoke	odvolávať sa	Právnik sa snažil odvolať na precedens.
involvement	zapojenie	Jeho zapojenie zostalo nejasné.
ironic	ironický	Ironická poznámka všetkých rozosmiala.
ironically	ironicky	Ironicky, trasa trvala dlhšie.
irony	irónia	Irónia bola zrejmá každému.
irrelevant	irelevantný	Tento detail je tu irelevantný.
isolation	izolácia	Izolácia môže poškodiť duševné zdravie.
judicial	súdny	Súdne preskúmanie sa začína v pondelok.
junction	križovatka	Na križovatke odbočte doľava.
jurisdiction	právomoc	Súd má obmedzenú právomoc.
just	spravodlivý	Sudca urobil spravodlivé rozhodnutie.
justification	odôvodnenie	Potrebujeme jasné odôvodnenie výdavkov.
kidnap	uniesť	Zločinci sa pokúsili uniesť diplomata.
kidney	oblička	Jej funkcia obličiek sa zlepšila.
kingdom	kráľovstvo	Kráľovstvo sa pod jeho vládou rozšírilo.
lad	chlapec	Mladý chlapec niesol tašky.
landlord	prenajímateľ	Prenajímateľ opravil kúrenie.
landmark	dominanta	Veža sa stala dominantou mesta.
lap	kolená	Dieťa jej sedelo na kolenách.
large-scale	rozsiahly	Mesto plánovalo rozsiahle opravy.
laser	laser	Laser meral vzdialenosť.
latter	posledný	Tá druhá možnosť sa zdá byť bezpečnejšia.
lawn	trávnik	Deti sa hrali na trávniku.
lawsuit	súdny spor	Spoločnosť urovnala súdny spor.
layout	usporiadanie	Usporiadanie stránky vyzerá jasnejšie.
leak	únik	Únik z potrubia zaplavil kuchyňu.
leap	skok	Tržby zaznamenali náhly skok.
legacy	odkaz	Jej odkaz formoval univerzitu.
legendary	legendárny	Legendárny spevák sa vrátil na pódium.
legislation	legislatíva	Nová legislatíva chráni nájomcov.
legislative	legislatívny	Zákonodarný výbor sa dnes zišiel.
legislature	zákonodarný zbor	Zákonodarný zbor schválil rozpočet.
legitimate	oprávnený	Vzniesli oprávnené obavy.
lengthy	zdĺhavý	Zdĺhavá debata oddialila hlasovanie.
lesbian	lesbický	Na fóre vystúpila lesbická aktivistka.
lesser	menší	Vyberte si menšie riziko.
lethal	smrtiaci	Chemikália môže byť smrtiaca.
liable	zodpovedný	Vodiči sú zodpovední za škody.
liberal	liberálny	Podporuje liberálne sociálne politiky.
liberation	oslobodenie	Oslobodenie zmenilo budúcnosť krajiny.
liberty	sloboda	Zákon chráni osobnú slobodu.
license	udeliť licenciu	Štát môže udeliť licenciu novým klinikám.
lifelong	celoživotný	Získala tam celoživotných priateľov.
likelihood	pravdepodobnosť	Pravdepodobnosť dažďa sa zvýšila.
limb	končatina	Zranená končatina sa hojila pomaly.
linear	lineárny	Graf ukazuje lineárny trend.
line-up	zostava	Zostava festivalu zahŕňa miestne kapely.
linger	pretrvávať	Vôňa môže pretrvávať hodiny.
listing	inzerát	Inzerát na byt vyzeral presne.
literacy	gramotnosť	Programy gramotnosti dospelých sa rozšírili.
liver	pečeň	Pečeň filtruje škodlivé látky.
lobby	hala	Hala bola popoludní preplnená.
log	záznam	Systém uchováva denný záznam.
logic	logika	Logika jeho argumentu zlyhala.
long-standing	dlhoročný	Vyriešili dlhoročný spor.
long-time	dlhoročný	Je dlhoročnou dobrovoľníčkou.
loom	týčiť sa	Nad údolím sa týčia tmavé mraky.
loop	okruh	Cesta tvorí okruh.
loyalty	lojalita	Jeho lojalita urobila na tím dojem.
machinery	stroje	Továreň nainštalovala nové stroje.
magical	čarovný	Záhrada vyzerala v noci čarovne.
magistrate	sudca	Prípad vypočul sudca.
magnetic	magnetický	Magnetické pole ovplyvnilo kompas.
magnitude	rozsah	Rozsah škôd bol jasný.
mainland	pevnina	Trajekt spája ostrovy s pevninou.
mainstream	stredný prúd	Myšlienka vstúpila do politiky stredného prúdu.
maintenance	údržba	Pravidelná údržba zabraňuje poruchám.
mandate	mandát	Prezident si nárokoval silný mandát.
mandatory	povinný	Účasť je pre stážistov povinná.
manifest	prejavovať sa	Príznaky sa môžu prejavovať po týždňoch.
manipulate	manipulovať	Nemanipulujte s výsledkami prieskumu.
manipulation	manipulácia	Manipulácia s údajmi bola odhalená.
manuscript	rukopis	Vydavateľ prijal jej rukopis.
march	pochodovať	Demonštranti budú pochodovať do centra mesta.
marginal	okrajový	Zmena mala okrajové výhody.
marine	morský	Morský život potrebuje čistú vodu.
marketplace	trhovisko	Online trhovisko sa rýchlo rozšírilo.
mask	maska	Pracovníci musia nosiť masku.
massacre	masaker	Masaker šokoval celý región.
mathematical	matematický	Matematický model predpovedal dopyt.
mature	dospelý	Dospelé stromy poskytujú tieň.
maximize	maximalizovať	Aktualizácia bude maximalizovať výdrž batérie.
meaningful	zmysluplný	Mali zmysluplný rozhovor.
meantime	medziobdobie	Medzitým počkajte vonku.
medieval	stredoveký	Hrad má stredoveké hradby.
meditation	meditácia	Denná meditácia upokojuje jej myseľ.
melody	melódia	Melódia mi zostala v hlave.
memo	obežník	Obežník vysvetlil zásady.
memoir	pamäti	Jej pamäti opisujú exil v detstve.
memorial	pamätník	Pamätník uctieva miestnych vojakov.
mentor	mentor	Jej mentor posúdil návrh.
merchant	obchodník	Obchodník predával hodváb a korenie.
mercy	milosrdenstvo	Sudca prejavil milosrdenstvo.
mere	púhy	Púhy pohľad odhalil chybu.
merely	iba	Iba zopakovala pokyny.
merge	zlúčiť sa	Obe spoločnosti sa zlúčia.
merger	fúzia	Fúzia vytvorila väčšiu banku.
merit	zásluha	Návrh má jasnú zásluhu.
methodology	metodológia	Štúdia vysvetľuje svoju metodológiu.
midst	stred	Pracovali v strede chaosu.
migration	migrácia	Sezónna migrácia ovplyvňuje miestne pracovné miesta.
militant	militant	Militantná skupina odmietla rokovania.
militia	milícia	Milícia kontrolovala cestu.
mill	mlyn	Starý mlyn sa stal múzeom.
minimal	minimálny	Plán vyžaduje minimálne úsilie.
minimize	minimalizovať	Musíme minimalizovať zbytočné riziko.
mining	ťažba	Ťažba poškodila údolie rieky.
ministry	ministerstvo	Ministerstvo oznámilo nové pravidlá.
minute2	drobný	V skle sa objavila drobná prasklina.
miracle	zázrak	Jeho zotavenie vyzeralo ako zázrak.
misery	bieda	Utečenci znášali roky biedy.
misleading	zavádzajúci	Zavádzajúci graf miatol čitateľov.
missile	strela	Test strely zvýšil napätie.
mob	dav	Nahnevaný dav zablokoval dopravu.
mobility	mobilita	Lepšie autobusy zlepšujú mestskú mobilitu.
mobilize	mobilizovať	Lídri rýchlo mobilizujú dobrovoľníkov.
moderate	umiernený	Kandidát zastáva umiernené názory.
modification	úprava	Dizajn potrebuje jednu úpravu.
momentum	spád	Kampaň rýchlo nabrala spád.
monk	mních	Mních žil v tichu.
monopoly	monopol	Firma mala monopol.
morality	morálka	Kurz skúma verejnú morálku.
motive	motív	Polícia spochybňovala jeho motív.
motorist	motorista	Motorista zastal na červenú.
municipal	mestský	Mestské služby sa tento rok zlepšili.
mutual	vzájomný	Dosiahli vzájomnú dohodu.
namely	a to	Zostáva jeden problém, a to financovanie.
nationwide	celoštátny	Štrajk spôsobil celoštátne meškania.
naval	námorný	Námorná základňa bola minulý rok zatvorená.
neglect	zanedbať	Nezanedbávajte základnú bezpečnosť.
neighbouring	susedný	Susedné mestá zdieľali nemocnicu.
nest	hniezdo	Vták si postavil hniezdo.
net	čistý	Čistý zisk prudko vzrástol.
newsletter	spravodaj	Spravodaj prichádza každý piatok.
niche	nika	Spoločnosť našla ziskovú niku.
noble	ušľachtilý	Jej ušľachtilé gesto urobilo na všetkých dojem.
nod	prikývnuť	Ak rozumiete, prikývnite.
nominate	nominovať	Budú nominovať nového predsedu.
nomination	nominácia	Jej nominácia prekvapila výbor.
nominee	nominant	Nominant odpovedal na ťažké otázky.
nonetheless	napriek tomu	Napriek tomu plán pokračoval.
non-profit	neziskový	Pracuje pre neziskovú kliniku.
nonsense	nezmysel	Tá fáma je úplný nezmysel.
noon	poludnie	Stretnutie sa začína na poludnie.
notable	pozoruhodný	Správa urobila pozoruhodný pokrok.
notably	nápadne	Nápadne klesli náklady v máji.
notify	upozorniť	Pred odchodom upozornite personál.
notorious	neslávne známy	Táto cesta je neslávne známa nehodami.
