source_headword	KO	example_KO
heal	치료하다	휴식은 신체가 치료되는 것을 돕습니다.
healthcare	의료	올해 의료비가 올랐습니다.
helmet	헬멧	자전거를 탈 때 헬멧을 쓰세요.
hence	그러므로	그러므로 우리는 일정을 변경했습니다.
herb	허브	바질은 유용한 허브입니다.
hidden	숨겨진	열쇠는 매트 아래에 숨겨져 있었습니다.
highway	고속도로	눈이 내린 후 고속도로가 폐쇄되었습니다.
hilarious	아주 웃기는	그 영화는 아주 웃겼습니다.
hip	엉덩이	그녀는 연습 중 엉덩이를 다쳤습니다.
historian	역사가	역사가는 오래된 편지를 연구했습니다.
homeless	집이 없는	보호소는 집이 없는 가족을 돕습니다.
honesty	정직	정직은 신뢰를 구축합니다.
hook	갈고리	코트를 갈고리에 거세요.
hopefully	바라건대	바라건대 기차가 곧 도착하면 좋겠습니다.
hunger	배고픔	배고픔은 집중력에 영향을 미칠 수 있습니다.
hypothesis	가설	실험은 가설을 시험했습니다.
icon	아이콘	오늘 앱 아이콘이 변경되었습니다.
ID	신분증	접수처에 신분증을 보여주세요.
identical	동일한	쌍둥이는 동일한 재킷을 입었습니다.
illusion	환상	거울은 환상을 만듭니다.
immigration	이민	작년에 이민 정책이 변경되었습니다.
immune	면역력이 있는	백신은 사람들에게 면역력을 줄 수 있습니다.
implement	시행하다	학교는 정책을 시행할 것입니다.
implication	함축	함축된 의미는 분명했습니다.
incentive	동기 부여	보너스는 근로자들에게 동기를 부여했습니다.
incorporate	포함하다	식사에 더 많은 채소를 포함하세요.
incorrect	부정확한	대답이 부정확했습니다.
independence	독립	그 나라는 독립을 기념했습니다.
index	색인	주제에 대한 색인을 확인하세요.
indication	징후	미소는 안도의 징후였습니다.
inevitable	불가피한	약간의 지연은 불가피했습니다.
inevitably	불가피하게	부족 사태 이후 가격이 불가피하게 올랐습니다.
infer	추론하다	우리는 문맥에서 답을 추론할 수 있습니다.
inflation	인플레이션	인플레이션으로 식품 가격이 상승했습니다.
info	정보	웹사이트에 유용한 정보가 나열되어 있습니다.
infrastructure	기반 시설	폭풍이 지역 기반 시설을 손상시켰습니다.
inhabitant	주민	각 주민은 깨끗한 물을 받았습니다.
inherit	물려받다	그녀는 가족의 집을 물려받을 것입니다.
ink	잉크	프린터에는 검정 잉크가 필요합니다.
innovation	혁신	혁신은 산업을 발전시킵니다.
innovative	혁신적인	회사는 혁신적인 제품을 출시했습니다.
input	의견	매니저가 의견을 요청했습니다.
insert	삽입하다	카드를 기계에 삽입하세요.
inspector	검사관	검사관이 건물을 점검했습니다.
installation	설치	설치에 두 시간이 걸렸습니다.
instant	즉각적인	앱에서 즉각적인 답장이 왔습니다.
instantly	즉각적으로	화면이 즉각적으로 켜졌습니다.
integrate	통합하다	소프트웨어는 새로운 도구를 통합할 수 있습니다.
intellectual	지적인	토론은 지적이면서도 친근했습니다.
interact	상호작용하다	학생들은 그룹 작업 중에 상호작용합니다.
interaction	상호작용	상호작용은 정중했습니다.
interpretation	해석	시에 대한 그녀의 해석은 독창적이었습니다.
interval	간격	막 사이에 짧은 휴식 시간이 있었습니다.
invade	침략하다	군대는 섬을 침략하려 했습니다.
invasion	침략	침략은 많은 마을을 파괴했습니다.
investor	투자자	투자자는 새로운 스타트업에 자금을 지원했습니다.
isolate	격리하다	의사는 심각한 감염 환자를 격리합니다.
isolated	고립된	마을은 눈으로 고립되었습니다.
jail	감옥	도둑은 감옥에 갔습니다.
jet	제트기	제트기가 정오에 착륙했습니다.
joint	공동의	그들은 공동 프로젝트를 발표했습니다.
journalism	저널리즘	저널리즘은 정확한 사실을 요구합니다.
jury	배심원단	배심원단이 결정을 내렸습니다.
kit	키트	수리 키트에는 나사가 포함되어 있습니다.
ladder	사다리	사다리가 벽에 기대어 있었습니다.
landing	착륙	비행기가 부드럽게 착륙했습니다.
lane	차선	오른쪽 차선을 유지하세요.
lately	최근에	나는 최근에 잠을 잘 자지 못했습니다.
leaflet	전단	전단은 서비스에 대해 설명합니다.
legend	전설	전설은 숨겨진 도시에 대해 이야기합니다.
lens	렌즈	카메라 렌즈를 조심스럽게 닦으세요.
lifetime	평생	그는 평생 동안 돈을 모았습니다.
lighting	조명	좋은 조명은 방을 나아 보이게 합니다.
likewise	마찬가지로	그녀가 미소 지었고 그도 마찬가지로 했습니다.
limitation	한계	계획에는 한 가지 한계가 있습니다.
literally	말 그대로	그녀는 말 그대로 버스로 달려갔습니다.
literary	문학의	축제는 문학 작품을 기립니다.
litre	리터	우유 1리터를 사세요.
litter	쓰레기	쓰레기를 버리지 마세요.
logo	로고	로고는 모든 페이지에 나타납니다.
lottery	복권	그는 작은 복권 상금에 당첨되었습니다.
loyal	충실한	개는 주인에게 충실했습니다.
lyric	가사	가사는 주요 아이디어를 반복했습니다.
magnificent	장엄한	궁전은 장엄해 보였습니다.
make-up	화장	그녀는 간단한 화장을 했습니다.
making	제작	영화 제작은 어려웠습니다.
manufacture	제조하다	공장은 전화를 제조할 것입니다.
manufacturing	제조업	지역 제조업 일자리가 증가했습니다.
marathon	마라톤	그녀는 마라톤을 완주했습니다.
margin	여백	여백에 메모를 적으세요.
marker	마커	라벨을 적을 때 마커를 사용하세요.
martial	무술의	그는 무술을 공부합니다.
mate	친구	예전 학교 친구가 어제 전화했습니다.
mayor	시장	시장이 도서관을 열었습니다.
mechanic	정비공	정비공이 버스를 수리했습니다.
mechanical	기계적인	시계에 기계적 결함이 있습니다.
mechanism	장치	잠금 장치는 간단합니다.
medal	메달	그녀는 금메달을 땄습니다.
medication	약물	약물은 물과 함께 복용하세요.
membership	회원권	체육관 회원권은 온라인이 더 저렴합니다.
memorable	기억에 남는	여행은 기억에 남았습니다.
metaphor	은유	그 시는 강렬한 은유를 사용합니다.
miner	광부	광부는 지하에서 일했습니다.
miserable	비참한	비로 인해 소풍이 비참해졌습니다.
mode	모드	카메라를 야간 모드로 전환하세요.
modest	겸손한	그들은 수수한 집에 삽니다.
