simplified	SW	example_SW
挨	kuvumilia; kustahimili	Alivumilia usiku mzima na hatimaye akasubiri hadi alfajiri.
癌症	saratani	Kugundua saratani mapema ni muhimu sana.
暧昧	isiyoeleweka wazi; yenye utata	Jibu lake lilikuwa na utata sana.
爱不释手	kupenda sana kiasi cha kutotaka kuacha	Alikipenda kitabu hicho sana hata hakutaka kukiacha.
爱戴	kupenda na kuheshimu	Mwalimu huyu anapendwa na kuheshimiwa sana na wanafunzi.
安宁	utulivu; amani	Usiku hapa una utulivu sana.
安详	mtulivu; mwenye amani	Uso wa mzee huyo ulikuwa mtulivu sana.
安置	kuweka mahali; kupanga makazi	Serikali iliwaweka watu walioathiriwa na maafa katika makazi mapya.
按摩	masaji; kukanda	Niliweka miadi ya masaji.
暗示	kudokeza; ishara	Alidokeza kwamba niache kuuliza.
案件	kesi	Polisi wanachunguza kesi hii.
案例	mfano wa kesi; kisa	Kisa hiki kinawakilisha vizuri hali hiyo.
昂贵	ghali	Kifaa hiki ni ghali sana.
凹凸	isiyo tambarare; yenye mabonde	Uso wa barabara hii si tambarare.
熬	kuchemsha kwa muda mrefu; kuvumilia	Alivumilia siku tatu ngumu kabla ya kumaliza ripoti.
奥秘	fumbo; siri kuu	Mwanasayansi anataka kufichua siri hii.
巴不得	kutamani sana	Natamani sana kuondoka mara moja.
巴结	kujipendekeza	Hataki kujipendekeza kwa viongozi.
扒	kung'ang'ania; kushikilia	Mtoto alishikilia mlango na kutazama nje.
疤	kovu	Kuna kovu mkononi mwake.
拔苗助长	kuharibu mambo kwa pupa	Kumlazimisha mtoto kusoma hivi kutaharibu mambo kwa pupa.
把关	kukagua; kudhibiti	Mkataba huu unahitaji wakili aukague.
把手	mpini; kishikio	Mpini wa mlango umevunjika.
罢工	mgomo; kugoma	Wafanyakazi waliamua kugoma kesho.
霸道	kimabavu; mwenye mabavu	Anazungumza kwa njia ya kimabavu.
掰	kupasua kwa mikono	Alipasua mkate vipande viwili kwa mikono.
摆脱	kujiondoa; kuondokana na	Hatimaye aliacha tabia mbaya.
