source_headword	BG	example_BG
rock (music)	рок музика	Обичам рок музика.
role	роля	Нейната роля е важна.
roof	покрив	Покривът има нужда от ремонт.
round	кръгъл	Масата е кръгла.
route	маршрут	Този маршрут е по-кратък.
rubbish	боклук	Изнеси боклука навън.
rude	груб	Тази забележка беше груба.
runner	бегач	Бегачът изглежда уморен.
running	бягане	Бягането ме поддържа здрав.
sadly	за съжаление	За съжаление изпуснахме влака.
safe	безопасен	Тази улица изглежда безопасна.
sail	плавам; ветроходствам	В събота ще ветроходстваме.
sailing	ветроходство	Ветроходството е популярно тук.
salary	заплата	Заплатата му сега е по-висока.
sale	разпродажба	Разпродажбата започва утре.
sauce	сос	Добави сос към ориза.
save	запазвам	Запази работата си сега.
scared	уплашен	Детето е уплашено.
scary	страшен	Тази история е страшна.
scene	сцена	Последната сцена беше смешна.
schedule	график	Провери графика днес.
score	резултат	Какъв е резултатът?
screen	екран	Почисти екрана внимателно.
search	търся	Търси снимки в интернет.
season	сезон	Лятото е натоварен сезон.
seat	място	Вземи това място, моля.
second1 (next after the first)	втори	Второ, измий си ръцете.
secondly	второ	Второ, провери отговора.
secret	тайна	Пази тази тайна.
secretary	секретар	Секретарят се обади днес.
seem	изглеждам	Изглеждаш уморен.
sense	смисъл	Този план има смисъл.
separate	отделен	Дръж документите отделно.
series	сериал; поредица	Този сериал е популярен.
serious	сериозен	Този проблем е сериозен.
serve	сервирам	Сервират обяд на обяд.
service	услуга	Услугата беше бърза.
several	няколко	Няколко студенти дойдоха рано.
shake	разклащам	Първо разклати бутилката.
shall modal	да	Да започнем ли сега?
shape	форма	Нарисувай квадратна форма.
sheet	чаршаф	Постави чаршафа на леглото.
ship	кораб	Корабът отплава днес.
shoulder	рамо	Боли ме рамото.
shout	викам	Не викай в час.
shut	затварям	Затвори прозореца, моля.
side	страна	Седни от тази страна.
sign	знак	Прочети знака внимателно.
silver	сребро	Среброто е светъл метал.
simple	прост	Това упражнение е просто.
since	от	Чакам от обяд.
singing	пеене	Пеенето ми помага да се отпусна.
single	единствен	Купих един билет.
sir	господине	Господине, чантата ви е готова.
site	уебсайт	Този уебсайт е безопасен.
size	размер	Какъв размер ти трябва?
ski	карам ски	През зимата караме ски.
skiing	ски	Ските са забавни през зимата.
skin	кожа	Кожата ѝ е суха.
sky	небе	Небето е ясно.
slowly	бавно	Върви бавно по леда.
smartphone	смартфон	Моят смартфон е нов.
smell	миризма; мириша	Супата мирише добре.
smile	усмивка; усмихвам се	Усмихни се на камерата.
smoke	дим	Димът изпълни стаята.
smoking	пушене	Пушенето не е разрешено.
soap	сапун	Използвай сапун и вода.
soccer	футбол	Футболът е популярен тук.
social	социален	Това е социално събитие.
society	общество	Обществото се променя с времето.
sock	чорап	Един чорап липсва.
soft	мек	Това одеяло е меко.
soldier	войник	Войникът се върна у дома.
solution	решение	Намерихме решение.
solve	решавам	Реши тази загадка.
somewhere	някъде	Сложи го някъде на безопасно място.
sort	вид	Какъв вид искаш?
source	източник	Първо провери източника.
speaker	говорител	Говорителят беше шумен.
specific	конкретен	Имам нужда от конкретен отговор.
speech	реч	Речта ѝ беше кратка.
speed	скорост	Намали скоростта тук.
spider	паяк	На стената има паяк.
spoon	лъжица	Използвай лъжица за супата.
square	квадратен	Нарисувай квадратна кутия.
stage	сцена	Групата е на сцената.
stair	стъпало	Стъпалото е счупено.
stamp	марка	Сложи марка на писмото.
state	заявявам	Кажи името си ясно.
steal	крада	Не кради пари.
step	стъпка	Направи една стъпка напред.
stomach	стомах	Боли ме стомахът.
stone	камък	Камъкът е тежък.
store	магазин	Магазинът затваря рано.
storm	буря	Идва буря.
straight	направо	Върви направо към дома.
