source_headword	VI	example_VI
crawl	bò	Đứa bé bắt đầu bò qua thảm.
creator	người sáng tạo	Người sáng tạo cảm ơn mọi người vì sự ủng hộ của họ.
credibility	sự đáng tin cậy	Nhân chứng đã mất đi sự đáng tin cậy trong quá trình thẩm vấn.
credible	đáng tin cậy	Báo cáo đã cung cấp bằng chứng đáng tin cậy.
creep	len lỏi	Sương mù bắt đầu len lỏi qua thung lũng.
critique	bài phê bình	Giáo sư đã đưa ra một bài phê bình chi tiết.
crown	vương miện	Nữ hoàng đội một chiếc vương miện bạc.
crude	thô sơ	Bức vẽ tuy thô sơ nhưng rõ ràng.
crush	nghiền nát	Những tảng đá nặng có thể nghiền nát đường ống.
crystal	pha lê	Khối pha lê phản chiếu ánh sáng buổi sáng.
cult	tà phái	Tà phái đã cô lập các thành viên của mình.
cultivate	trồng trọt	Nông dân trồng lúa ở vùng này.
curiosity	sự tò mò	Sự tò mò đã dẫn cô ấy đến với khoa học.
custody	quyền nuôi dưỡng	Đứa trẻ vẫn ở trong quyền nuôi dưỡng của người cha.
cutting	bài báo cắt ra	Tờ báo đã xuất bản một bài báo cắt ra về anh ấy.
cynical	hoài nghi	Lời nhận xét hoài nghi của anh ấy làm cả đội khó chịu.
dam	đập nước	Đập nước giữ lại nước sông.
damaging	có hại	Bài báo có hại đã làm tổn thương chiến dịch.
dawn	bình minh	Chúng tôi rời làng lúc bình minh.
debris	mảnh vỡ	Mảnh vỡ do cơn bão đã chặn kín con đường.
debut	màn ra mắt	Màn ra mắt của cô ấy đã thu hút sự chú ý của cả nước.
decision-making	việc ra quyết định	Việc ra quyết định tốt đòi hỏi thông tin rõ ràng.
decisive	kiên quyết	Hành động kiên quyết của cô ấy đã ngăn chặn thiệt hại nặng nề hơn.
declaration	lời tuyên bố	Bộ trưởng đọc một lời tuyên bố chính thức.
dedicated	tận tụy	Cô y tá tận tụy đã làm việc suốt đêm.
dedication	sự cống hiến	Sự cống hiến của anh ấy đã truyền cảm hứng cho các cầu thủ trẻ.
deed	hành động	Hành động dũng cảm đó đã cứu sống hai người.
deem	coi là	Tòa án có thể coi hợp đồng này là không hợp lệ.
default	mặc định	Tạm thời hãy sử dụng cài đặt mặc định.
defect	khuyết điểm	Các thanh tra đã phát hiện một khuyết điểm nghiêm trọng.
defensive	phòng thủ	Giọng điệu phòng thủ của anh ấy làm mọi người ngạc nhiên.
deficiency	sự thiếu hụt	Sự thiếu hụt sắt có thể ảnh hưởng đến sức khỏe.
deficit	thâm hụt	Khoản thâm hụt ngân sách làm các quan chức lo lắng.
defy	bất tuân	Những người biểu tình quyết định bất tuân lệnh cấm.
delegate	đại biểu	Mỗi đại biểu đều nhận được một thẻ bỏ phiếu.
delegation	phái đoàn	Phái đoàn đã đến trước buổi trưa.
delicate	mỏng manh	Tấm kính mỏng manh rất dễ vỡ.
