source_headword	TH	example_TH
absolutely	อย่างแน่นอน	ฉันเห็นด้วยกับคุณอย่างแน่นอน.
academic	ทางวิชาการ	ปีการศึกษาเริ่มในเดือนกันยายน.
access	การเข้าถึง	นักเรียนต้องการการเข้าถึงห้องสมุด.
accommodation	ที่พัก	เราจองที่พักใกล้สถานี.
account	บัญชี	เธอเปิดบัญชีธนาคารใหม่.
achievement	ความสำเร็จ	การจบหลักสูตรเป็นความสำเร็จใหญ่.
ad	โฆษณา	โฆษณานั้นแสดงโทรศัพท์รุ่นใหม่.
addition	ส่วนเพิ่มเติม	สระว่ายน้ำเป็นส่วนเพิ่มเติมที่มีประโยชน์.
admire	ชื่นชม	ฉันชื่นชมท่าทีสงบของเธอ.
admit	ยอมรับ	เขายอมรับความผิดพลาดของเขา.
advanced	ขั้นสูง	นี่คือชั้นเรียนภาษาอังกฤษขั้นสูง.
advise	แนะนำ	แพทย์แนะนำให้ออกกำลังกายสม่ำเสมอ.
afford	จ่ายไหว	เราไม่สามารถจ่ายค่าแท็กซี่ไหว.
aged	อายุ	หลักสูตรนี้สำหรับเด็กอายุสิบปี.
agent	ตัวแทน	ตัวแทนท่องเที่ยวเปลี่ยนตั๋วของเรา.
agreement	ข้อตกลง	พวกเขาบรรลุข้อตกลงวันนี้.
ahead	ข้างหน้า	ถนนข้างหน้าปลอดโปร่ง.
aim	เป้าหมาย; มุ่งหมาย	เรามุ่งหมายจะเสร็จเร็วๆนี้.
alarm	สัญญาณเตือน	สัญญาณเตือนดังตอนหกโมง.
album	อัลบั้ม	อัลบั้มนี้มีสิบเพลง.
alcohol	แอลกอฮอล์	โรงแรมไม่เสิร์ฟแอลกอฮอล์.
alcoholic	มีแอลกอฮอล์	เครื่องดื่มนี้ไม่มีแอลกอฮอล์.
amazed	ประหลาดใจ	เธอประหลาดใจกับผลลัพธ์.
ambition	ความทะเยอทะยาน	ความทะเยอทะยานของเขาคือเป็นนักบิน.
ambitious	ทะเยอทะยาน	เธอมีแผนที่ทะเยอทะยาน.
analyse	วิเคราะห์	เราต้องวิเคราะห์ผลลัพธ์.
analysis	การวิเคราะห์	การวิเคราะห์ของเธอชัดเจนและรอบคอบ.
announce	ประกาศ	พวกเขาจะประกาศผู้ชนะพรุ่งนี้.
