source_headword	LV	example_LV
ability	spēja; prasme	Viņas prasme peldēt ir skaidra.
able	spējīgs; varēt	Viņš var nākt šodien.
abroad	ārzemēs	Viņa vēlas studēt ārzemēs.
accept	pieņemt	Lūdzu, pieņem šo mazo dāvanu.
accident	negadījums	Negadījums notika netālu no skolas.
according to	saskaņā ar	Saskaņā ar ziņojumu nāk lietus.
achieve	sasniegt	Tu vari sasniegt savu mērķi.
act	rīkoties; tēlot	Viņš var tēlot izrādē.
active	aktīvs	Viņa ir aktīva katru dienu.
actually	patiesībā	Patiesībā man vajag vairāk laika.
advantage	priekšrocība	Šim plānam ir priekšrocība.
adventure	piedzīvojums	Viņu ceļojums bija piedzīvojums.
advertise	reklamēt	Viņi reklamē jaunu darbu.
advertisement	reklāma; sludinājums	Es redzēju sludinājumu.
advertising	reklamēšana	Reklāma palīdz pārdot ēdienu.
affect	ietekmēt	Miegs var ietekmēt tavu veselību.
against	pret; pie	Neatbalsties pret sienu.
ah	ah	Ah, tagad es saprotu.
airline	aviokompānija	Aviokompānija ir ļoti aizņemta.
alive	dzīvs	Mazā zivs ir dzīva.
all right	labi; kārtībā	Tagad viss ir kārtībā.
allow	atļaut; ļaut	Šeit atļauj suņus.
almost	gandrīz	Mēs esam gandrīz gatavi.
alone	viens; viena	Viņa dzīvo viena.
along	gar; pa	Ej pa šo ceļu.
already	jau	Es jau zinu atbildi.
alternative	alternatīva	Šis vilciens ir alternatīva.
although	lai gan	Lai gan ir vēlu, varam palikt.
among	starp	Viņš stāvēja starp kokiem.
amount	daudzums; summa	Daudzums ir pārāk mazs.
ancient	sens; antīks	Šī senā siena ir slavena.
ankle	potīte	Šodien man sāp potīte.
anybody	kāds; jebkurš	Vai kāds var atbildēt?
any more	vairs	Man to vairs nevajag.
anyway	tik un tā; jebkurā gadījumā	Tik un tā varam sākt tagad.
anywhere	jebkur	Sēdies jebkur, kur vēlies.
app	lietotne	Šī lietotne ir noderīga.
appear	parādīties	Viņas vārds parādīsies šeit.
appearance	izskats; parādīšanās	Viņa izskats ir citāds.
apply	pieteikties; lietot	Piesakies darbam šodien.
architect	arhitekts	Arhitektam ir plāns.
architecture	arhitektūra	Man patīk moderna arhitektūra.
argue	strīdēties	Nestrīdies ar māsu.
argument	strīds; arguments	Strīds bija īss.
army	armija	Armija ir liela.
arrange	organizēt; sakārtot	Lūdzu, organizē sanāksmi.
arrangement	vienošanās; kārtība	Vienošanās darbojas labi.
asleep	aizmidzis; guļošs	Mazulis ir aizmidzis.
assistant	asistents; palīgs	Asistents man palīdzēja.
athlete	sportists; atlēts	Sportists skrien ātri.
attack	uzbrukums; uzbrukt	Suns var uzbrukt.
attend	apmeklēt; piedalīties	Šodien es apmeklēju nodarbību.
attention	uzmanība	Lūdzu, pievērs uzmanību tagad.
attractive	pievilcīgs	Dārzs ir pievilcīgs.
audience	publika	Publika bija klusa.
author	autors	Autors uzrakstīja šo grāmatu.
available	pieejams	Ēdiens tagad ir pieejams.
average	vidējs; vidējais	Vidējais rezultāts bija labs.
avoid	izvairīties	Izvairies no aizņemta ceļa.
award	balva	Viņa ieguva balvu.
awful	briesmīgs	Laiks bija briesmīgs.
background	fons; izcelsme	Attēlam ir tumšs fons.
badly	slikti	Viņš šodien spēlēja slikti.
bar	bārs	Mēs satikāmies viesnīcas bārā.
