simplified	LT	example_LT
啊	modalinė pritarimo ar patvirtinimo dalelytė	Gerai, tada eikime dabar.
阿姨	teta; auklė; vyresnė moteris	Teta dirba didelėje parduotuvėje.
矮	žemas	Šis stalas yra šiek tiek žemas.
爱好	pomėgis; susidomėjimas	Mano pomėgis yra klausytis muzikos.
安静	tylus; ramus	Bibliotekoje labai tylu.
把	laikyti; paimti; objekto dalelytė	Prašau uždaryti duris.
搬	kraustytis; perkelti	Rytoj kraustomės.
班	klasė; grupė	Mūsų klasėje yra dvidešimt mokinių.
办法	metodas; būdas	Šis metodas labai geras.
办公室	biuras; kabinetas	Direktorius yra biure.
半	pusė; pusiau	Laukiau pusę valandos.
帮忙	padėti; pagelbėti	Ar gali padėti?
包	vynioti; laikyti; krepšys	Ji nusipirko naują krepšį.
饱	sotus; pasisotinti	Aš jau sotus.
北方	šiaurė; šiaurinė dalis	Žiema šiaurėje labai šalta.
被	pasyvo dalelytė; kieno nors	Mano dviratį pasiskolino draugas.
鼻子	nosis	Jo nosis šiek tiek raudona.
比较	lyginti; gana	Šiandien gana karšta.
比赛	rungtynės; varžybos	Šios rungtynės labai svarbios.
笔记本	sąsiuvinis	Padėjau sąsiuvinį ant stalo.
必须	privalėti; būtina	Turi atidžiai pakartoti medžiagą.
变化	pokytis; keistis	Šis miestas labai pasikeitė.
别人	kiti žmonės	Neimk kitų žmonių daiktų.
冰箱	šaldytuvas	Vaisiai yra šaldytuve.
不但…而且…	ne tik... bet ir...	Jis ne tik protingas, bet ir darbštus.
菜单	meniu	Prašau duoti man meniu.
参加	dalyvauti; prisijungti	Noriu dalyvauti šiame susitikime.
草	žolė	Šuniukas bėga per žolę.
层	aukštas; sluoksnis	Šis pastatas turi tris aukštus.
差	skirtingas; trūkti; blogas	Šiandien oras blogas.
超市	didelė parduotuvė	Einu į didelę parduotuvę pirkti duonos.
衬衫	marškiniai; palaidinė	Šie marškiniai labai švarūs.
城市	miestas	Pekinas yra didelis miestas.
成绩	pažymiai; rezultatai	Jo matematikos pažymiai labai geri.
迟到	vėluoti	Nevėluok į pamoką.
除了	be; išskyrus	Be kavos, dar noriu arbatos.
船	laivas; valtis	Į tą miestą plaukiame laivu.
春	pavasaris	Pavasarį būna daug gėlių.
词典	žodynas	Šis žodynas labai naudingas.
聪明	protingas; sumanus	Šis vaikas labai protingas.
打扫	valyti; šluoti	Savaitgalį tvarkau kambarį.
打算	planuoti; ketinti	Kokius planus turi rytojui?
带	atnešti; pasiimti su savimi	Prašau pasiimti pasą.
担心	nerimauti; susirūpinęs	Nesijaudink, aš tau padėsiu.
蛋糕	tortas; pyragas	Šis tortas labai saldus.
当然	žinoma	Žinoma, gali.
地	prieveiksminė dalelytė	Jis laimingai nusišypsojo.
灯	lempa; šviesa	Prašau įjungti šviesą.
地方	vieta; sritis	Ši vieta labai rami.
地铁	metro	Kasdien važiuoju į darbą metro.
