source_headword	ZH	example_ZH
incur	招致	延误可能会招致额外费用。
indicator	指标	失业率是一项经济指标。
indictment	起诉书	起诉书列出了三项指控。
indigenous	本土的	本土植物在这里生长得很好。
induce	引起	这药能引起睡意。
indulge	沉溺于	她不沉溺于昂贵的嗜好。
inequality	不平等	收入不平等仍是一个主要问题。
infamous	臭名昭著的	这座监狱在全世界变得臭名昭著。
infant	婴儿	婴儿在婴儿床里睡觉。
infect	感染	病毒会感染健康的细胞。
inflict	造成	不要对动物造成痛苦。
influential	有影响力的	她是一位有影响力的法学学者。
inherent	内在的	这个设计有内在的风险。
inhibit	抑制	恐惧会抑制坦诚的讨论。
initiate	发起	经理将发起评估。
inject	注射	护士将注射疫苗。
injection	注射	注射减轻了疼痛。
injustice	不公正	这项裁决暴露了明显的不公正。
inmate	囚犯	这名囚犯请求法律咨询。
insertion	插入	表格需要插入一段文本。
insider	内部人士	一名内部人士泄露了报告。
inspect	检查	官员们每年检查这座桥。
inspection	检查	检查发现了严重的损坏。
inspiration	灵感	她的演讲给了我灵感。
instinct	本能	他的第一本能是帮忙。
institutional	制度上的	制度上的规则影响了决定。
instruct	指示	手册将指示新员工。
instrumental	起关键作用的	她的建议在谈判中起到了关键作用。
insufficient	不足的	证据不足以提出指控。
insult	侮辱	他的侮辱结束了谈话。
intact	完好无损的	这座古墙完好无损。
intake	摄入量	糖的摄入量应保持适度。
integral	不可或缺的	信任对团队来说是不可或缺的。
integrated	综合的	学校提供综合支持。
integration	整合	整合改善了整个系统。
integrity	正直	这位法官表现出极大的正直。
intensify	加剧	风暴可能会在夜间加剧。
intensity	强度	训练的强度增加了。
intensive	密集的	他们完成了密集的语言训练。
intent	意图	他的意图很难证明。
interactive	互动的	这家博物馆有互动展览。
interface	界面	这个界面很容易导航。
interfere	干涉	不要干涉调查。
interference	干扰	信号干扰中断了通话。
interim	临时的	一份临时报告明天到达。
interior	内部的	内部的墙壁需要粉刷。
intermediate	中级的	她加入了中级班。
intervene	干预	警察不得不迅速干预。
intervention	干预	早期干预帮助了病人。
intimate	亲密的	他们举行了一场亲密的家庭仪式。
intriguing	引人入胜的	数据揭示了一个引人入胜的模式。
investigator	调查员	调查员采访了每位目击者。
invisible	看不见的	这种气体是看不见且危险的。
invoke	援引	律师试图援引先例。
involvement	参与	他的参与仍然不清楚。
ironic	讽刺的	讽刺的评论让大家都笑了。
ironically	讽刺地	讽刺地是，这条路线花了更长的时间。
irony	讽刺	讽刺意味对每个人都很明显。
irrelevant	不相关的	那个细节在这里是不相关的。
isolation	隔离	隔离会损害心理健康。
judicial	司法的	司法审查周一开始。
junction	交叉路口	在交叉路口左转。
jurisdiction	管辖权	法庭的管辖权有限。
just	公正的	法官做出了公正的决定。
justification	理由	我们需要明确的花费理由。
kidnap	绑架	罪犯试图绑架这位外交官。
kidney	肾脏	她的肾脏功能改善了。
kingdom	王国	王国在他的统治下扩张了。
lad	小伙子	年轻的小伙子提着包。
landlord	房东	房东修理了暖气。
landmark	地标	这座塔成了城市地标。
lap	大腿	孩子坐在她的大腿上。
large-scale	大规模的	城市计划进行大规模维修。
laser	激光	激光测量了距离。
latter	后者	后者选项似乎更安全。
lawn	草坪	孩子们在草坪上玩耍。
lawsuit	诉讼	公司解决了这起诉讼。
layout	布局	页面布局看起来更清晰。
leak	泄漏	管道泄漏淹没了厨房。
leap	飞跃	销售额突然飞跃。
legacy	遗产	她的遗产塑造了这所大学。
legendary	传奇的	这位传奇歌手重返舞台。
legislation	立法	新立法保护租客。
legislative	立法的	立法委员会今天开会了。
legislature	立法机关	立法机关批准了预算。
legitimate	合法的	他们提出了合理的担忧。
lengthy	漫长的	漫长的辩论推迟了投票。
lesbian	女同性恋的	这位女同性恋活动家在论坛上发言。
lesser	较小的	选择较小的风险。
lethal	致命的	这种化学物质可能是致命的。
liable	有责任的	司机对损坏负有责任。
liberal	自由主义的	他支持自由主义的社会政策。
liberation	解放	解放改变了国家的未来。
liberty	自由	法律保护个人自由。
license	许可	州政府可能会批准新诊所。
lifelong	终身的	她在这里交了终身的朋友。
likelihood	可能性	下雨的可能性增加了。
limb	肢体	受伤的肢体愈合得很慢。
linear	线性的	图表显示了线性趋势。
line-up	阵容	音乐节阵容包括当地乐队。
linger	逗留 / 徘徊 / 持续	气味可能会持续几个小时。
listing	房源 / 列表	公寓的房源信息看起来很准确。
literacy	读写能力	成人扫盲项目扩大了。
liver	肝脏	肝脏可以过滤有害物质。
lobby	大堂	中午过后，大堂里挤满了人。
log	日志	系统保留每日日志。
logic	逻辑	他的论点逻辑站不住脚。
long-standing	长期存在的	他们解决了一个长期的争端。
long-time	长期的	她是一名资深志愿者。
loom	逼近	乌云笼罩着山谷。
loop	环 / 环线	这条小路形成了一个环形。
loyalty	忠诚	他的忠诚给团队留下了深刻的印象。
machinery	机械	工厂安装了新机械。
magical	魔幻的 / 神奇的	花园在夜晚显得很神奇。
magistrate	地方推事 / 地方法官	地方法官审理了此案。
magnetic	磁性的	磁场影响了指南针。
magnitude	规模 / 严重程度	损坏的程度很明显。
mainland	大陆	渡轮连接岛屿与大陆。
mainstream	主流	这个想法进入了主流政治。
maintenance	维护	定期维护可以防止故障。
mandate	授权 / 委托	总统声称获得了强有力的授权。
mandatory	强制性的	受训人员必须参加。
manifest	显现	症状可能会在几周后显现。
manipulate	操纵	不要操纵调查结果。
manipulation	操纵	数据操纵被发现了。
manuscript	手稿	出版社接受了她的手稿。
march	游行 / 行军	抗议者将游行到市中心。
marginal	微小的 / 边缘的	这项改变只带来了微小的益处。
marine	海洋的	海洋生物需要干净的水。
marketplace	市场	在线市场扩张迅速。
mask	口罩 / 面具	工人们必须戴口罩。
massacre	屠杀	这场屠杀震惊了整个地区。
mathematical	数学的	这个数学模型预测了需求。
mature	成熟的	成熟的树木提供了阴凉。
maximize	最大化	更新将最大化电池寿命。
meaningful	有意义的	他们进行了一次有意义的对话。
meantime	期间 / 同时	在此期间，请在外面等候。
medieval	中世纪的	这座城堡有中世纪的城墙。
meditation	冥想	每日的冥想能使她的心平静下来。
melody	旋律	那旋律萦绕在我的脑海中。
memo	备忘录	备忘录解释了这项政策。
memoir	回忆录	她的回忆录描述了童年的流亡生活。
memorial	纪念碑	这座纪念碑是为了纪念当地的士兵。
mentor	导师	她的导师审查了这项提案。
merchant	商人	这位商人卖丝绸和香料。
mercy	仁慈 / 宽恕	法官表现出了仁慈。
mere	仅仅的	仅仅看一眼就发现了错误。
merely	仅仅	她只是重复了一遍指示。
merge	合并	这两家公司将合并。
merger	合并	这次合并造就了一家更大的银行。
merit	优点 / 价值	这项提议有明显的价值。
methodology	方法论	该研究解释了其方法论。
midst	中间	他们在混乱中工作。
migration	迁移 / 移民	季节性迁徙影响当地就业。
militant	激进的 / 武装分子	激进组织拒绝了谈判。
militia	民兵组织	民兵控制了这条路。
mill	磨坊 / 工厂	这座旧磨坊成了一个博物馆。
minimal	最小的	这个计划需要最少的努力。
minimize	使最小化	我们必须尽量减少不必要的风险。
mining	采矿	采矿破坏了河谷。
ministry	部 / 内阁部门	该部宣布了新规定。
minute2	微小的	玻璃上出现了一条微小的裂纹。
miracle	奇迹	他的康复看起来像个奇迹。
misery	痛苦 / 悲惨	难民们忍受了多年的苦难。
misleading	误导的	这个误导性的图表使读者感到困惑。
missile	导弹	导弹试验加剧了紧张局势。
mob	暴民	愤怒的暴民堵塞了交通。
mobility	流动性	更好的公交车改善了城市流动性。
mobilize	动员	领导人们迅速动员了志愿者。
moderate	适度的 / 温和的	这位候选人持有温和的观点。
modification	修改	这个设计需要做一次修改。
momentum	动力 / 势头	这场运动迅速获得了势头。
monk	僧侣	这位僧侣在静默中生活。
monopoly	垄断	这家公司处于垄断地位。
morality	道德	这门课程探讨公共道德。
motive	动机	警察询问了他的动机。
motorist	驾车者	驾车者在红灯前停了下来。
municipal	市政的	今年市政服务有所改善。
mutual	相互的	他们达成了一项共同协议。
namely	即	还有一个问题，即资金问题。
nationwide	全国的	罢工导致了全国范围的延误。
naval	海军的	那座海军基地去年关闭了。
neglect	忽视	不要忽视基本的安全。
neighbouring	邻近的	邻近的城镇共用这家医院。
nest	巢	鸟儿筑了一个巢。
net	净的	净利润急剧上升。
newsletter	时事通讯	时事通讯每周五送达。
niche	利基 / 缝隙市场	这家公司找到了一个有利可图的利基市场。
noble	高尚的	她高尚的举动给每个人留下了深刻的印象。
nod	点头	如果你明白了，请点头。
nominate	提名	他们将提名一位新主席。
nomination	提名	她的提名让委员会感到惊讶。
nominee	被提名者	被提名人回答了难题。
nonetheless	尽管如此	尽管如此，计划还是推进了。
non-profit	非营利的	她在一家非营利性诊所工作。
nonsense	胡说八道	那个谣言完全是胡扯。
noon	中午	会议在中午开始。
notable	值得注意的	该报告取得了显著的进展。
notably	显著地 / 尤其	值得注意的是，五月份成本下降了。
notify	通知	离开前请通知工作人员。
notorious	臭名昭著的	这条路因事故频发而臭名昭著。
novel	新颖的	他们提出了一个新颖的解决方案。
nursery	托儿所	托儿所负责照顾婴儿。
objection	反对	律师提出了反对意见。
